KEY,English
BASE_RESULT_TYPE.SUCCESS,"Your request has been processed successfully, but please try again later as your network is currently unstable."
BASE_RESULT_TYPE.FAIL,Your request was not processed successfully due to an unstable network connection. Please try again later.
BASE_RESULT_TYPE.SESSION_ERROR,You were disconnected from the server for being idle for a long time. Please restart the game.
BASE_RESULT_TYPE.ACCOUNT_ERROR,The account is incorrect.
BASE_RESULT_TYPE.UNHANDLED,The request cannot be handled.
BASE_RESULT_TYPE.EXCEPTION,An internal error has occurred.
BASE_RESULT_TYPE.HTTP_ERROR,An error occurred during web request.
BASE_RESULT_TYPE.PARSING_ERROR,Parsing has failed.
RESULT_TYPE.SUCCESS,"Your request has been processed successfully, but please try again later as your network is currently unstable."
RESULT_TYPE.FAIL,Your request was not processed successfully due to an unstable network connection. Please try again later.
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,Cannot find the level info.
RESULT_TYPE.CANNOT_UPGRADE_MORE,Cannot upgrade any more.
RESULT_TYPE.NOT_ENOUGH_GOLD,Insufficient gold.
RESULT_TYPE.NOT_ENOUGH_GEM,Insufficient ruby.
RESULT_TYPE.INSUFFICIENT_ITEM,Insufficient material items.
RESULT_TYPE.GRADE_DATA_NOT_FOUND,Cannot find the rank info.
RESULT_TYPE.CANNOT_UPGRADE_YET,Cannot upgrade yet.
RESULT_TYPE.REQ_GOLD_NOT_FOUND,Cannot find the gold info required.
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,Cannot find the material item info required.
RESULT_TYPE.SESSION_ERROR,You were disconnected from the server for being idle for a long time. Please restart the game.
RESULT_TYPE.ACCOUNT_ERROR,The account is incorrect.
RESULT_TYPE.UNHANDLED,Not processed.
RESULT_TYPE.HTTP_ERROR,Web request has failed.
RESULT_TYPE.PARSING_ERROR,Invalid reply.
RESULT_TYPE.HERO_NOT_FOUND,You do not have this Hero.
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,The gear info does not exist.
RESULT_TYPE.EQUIP_NOT_OWNED,You do not have the gear.
RESULT_TYPE.EQUIP_NOT_FOUND,The gear does not exist.
RESULT_TYPE.EQUIPPED,The gear is already equipped.
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,Cannot find the gear code.
RESULT_TYPE.MAX_JOIN_REQUEST,Exceeded the admission request limit.\nPlease cancel some requests and proceed.
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,Exceeded the admission request limit of the guild.
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,The price required is invalid.
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,Invalid gear materials.
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,You don't have this gear material.
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,Low team level.
RESULT_TYPE.MAX_MEMBER,Reached max guild members.
RESULT_TYPE.INVALID_RANK,Invalid guild member's rights.
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,Cannot find the admission request info.
RESULT_TYPE.NAME_DUPLICATED,The same name exists.
RESULT_TYPE.GUILD_MEMBER_EXIST,Guild members still exist.
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,This hero is already registered as a mercenary.
RESULT_TYPE.MAX_MERCENARY,Exceeded the mercenary registration limit.
RESULT_TYPE.NOT_REGISTERED_MERCENARY,Unregistered mercenary.
RESULT_TYPE.ALREADY_JOINED,Already joined a guild.
RESULT_TYPE.LOG_NOT_FOUND,The battle record does not exist.
