KEY,"French"
BASE_RESULT_TYPE.SUCCESS,"Votre requête a bien été prise en compte, mais votre connexion est instable. Veuillez réessayer plus tard."
BASE_RESULT_TYPE.FAIL,"Votre requête n'a pas été prise en compte, car votre connexion est instable. Veuillez réessayer plus tard."
BASE_RESULT_TYPE.SESSION_ERROR,"Vous avez été déconnecté(e) du serveur en raison d'une inactivité prolongée. Veuillez relancer le jeu."
BASE_RESULT_TYPE.ACCOUNT_ERROR,"Le compte est incorrect."
BASE_RESULT_TYPE.UNHANDLED,"La demande ne peut pas être traitée."
BASE_RESULT_TYPE.EXCEPTION,"Une erreur interne s'est produite."
BASE_RESULT_TYPE.HTTP_ERROR,"Erreur de la requête Web."
BASE_RESULT_TYPE.PARSING_ERROR,"Échec de l'analyse."
RESULT_TYPE.SUCCESS,"Votre requête a bien été prise en compte, mais votre connexion est instable. Veuillez réessayer plus tard."
RESULT_TYPE.FAIL,"Votre requête n'a pas été prise en compte, car votre connexion est instable. Veuillez réessayer plus tard."
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"Pas d'info sur le niveau."
RESULT_TYPE.CANNOT_UPGRADE_MORE,"Plus de mise à niveau disponible."
RESULT_TYPE.NOT_ENOUGH_GOLD,"Or insuffisant."
RESULT_TYPE.NOT_ENOUGH_GEM,"Rubis insuffisants."
RESULT_TYPE.INSUFFICIENT_ITEM,"Composants insuffisants."
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"Pas d'info sur le Classement."
RESULT_TYPE.CANNOT_UPGRADE_YET,"Pas de mise à niveau disponible."
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"Pas d'info sur l'Or nécessaire."
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"Pas d'info sur les Composants nécessaires."
RESULT_TYPE.SESSION_ERROR,"Vous avez été déconnecté(e) du serveur en raison d'une inactivité prolongée. Veuillez relancer le jeu."
RESULT_TYPE.ACCOUNT_ERROR,"Le compte est incorrect."
RESULT_TYPE.UNHANDLED,"Non traité."
RESULT_TYPE.HTTP_ERROR,"Échec de la requête Web."
RESULT_TYPE.PARSING_ERROR,"Réponse non valide."
RESULT_TYPE.HERO_NOT_FOUND,"Le héros n'existe pas."
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"Pas d'info sur l'équipement."
RESULT_TYPE.EQUIP_NOT_OWNED,"Vous n'avez pas l'équipement."
RESULT_TYPE.EQUIP_NOT_FOUND,"L'équipement n'existe pas."
RESULT_TYPE.EQUIPPED,"L'équipement est déjà porté."
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"Pas de code pour l'équipement."
RESULT_TYPE.MAX_JOIN_REQUEST,"Limite de la demande d'admission atteinte.\nVeuillez annuler des demandes et continuer."
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"Limite de la demande d'admission de la guilde dépassée."
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"Prix requis invalide."
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"Composants invalides."
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"Vous n'avez pas ce composant."
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"Niveau d'Équipe bas."
RESULT_TYPE.MAX_MEMBER,"Maximum de membres de guilde atteint."
RESULT_TYPE.INVALID_RANK,"Droits de membre de guilde invalides."
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,"Info de demande d'admission introuvable."
RESULT_TYPE.NAME_DUPLICATED,"Le nom existe déjà."
RESULT_TYPE.GUILD_MEMBER_EXIST,"Membres de guilde toujours existants."
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,"Ce héros est déjà enregistré comme mercenaire."
RESULT_TYPE.MAX_MERCENARY,"Limite d'inscription comme mercenaire dépassée."
RESULT_TYPE.NOT_REGISTERED_MERCENARY,"Mercenaire non enregistré."
RESULT_TYPE.ALREADY_JOINED,"Déjà membre d'une guilde."
RESULT_TYPE.LOG_NOT_FOUND,"Pas d'enregistrement de bataille."
RESULT_TYPE.INVALID_PLUNDER_RESULT,"Enregistrement de bataille invalide."
RESULT_TYPE.ALREADY_CHASED,"Déjà poursuivi."
