KEY,German
BASE_RESULT_TYPE.SUCCESS,Deine Anfrage wurde erfolgreich weitergeleitet. Dein Netzwerk ist instabil – bitte versuche es später erneut.
BASE_RESULT_TYPE.FAIL,Deine Anfrage konnte aufgrund eines Fehlers in der Netzwerkverbindung nicht weitergeleitet werden. Bitte versuche es später erneut.
BASE_RESULT_TYPE.SESSION_ERROR,"Du wurdest vom Server abgemeldet, weil du zu lange inaktiv warst. Bitte starte das Spiel neu."
BASE_RESULT_TYPE.ACCOUNT_ERROR,Konto fehlerhaft.
BASE_RESULT_TYPE.UNHANDLED,Anfrage konnte nicht bearbeitet werden.
BASE_RESULT_TYPE.EXCEPTION,Ein interner Fehler ist aufgetreten.
BASE_RESULT_TYPE.HTTP_ERROR,Während der Web-Anfrage ist ein Fehler aufgetreten.
BASE_RESULT_TYPE.PARSING_ERROR,Satzanalyse fehlgeschlagen.
RESULT_TYPE.SUCCESS,Deine Anfrage wurde erfolgreich weitergeleitet. Dein Netzwerk ist instabil – bitte versuche es später erneut.
RESULT_TYPE.FAIL,Deine Anfrage konnte aufgrund eines Fehlers in der Netzwerkverbindung nicht weitergeleitet werden. Bitte versuche es später erneut.
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,Kann Level-Info nicht finden.
RESULT_TYPE.CANNOT_UPGRADE_MORE,Kann nicht weiter verstärkt werden.
RESULT_TYPE.NOT_ENOUGH_GOLD,Nicht genug Gold.
RESULT_TYPE.NOT_ENOUGH_GEM,Nicht genug Rubine.
RESULT_TYPE.INSUFFICIENT_ITEM,Nicht genug Material.
RESULT_TYPE.GRADE_DATA_NOT_FOUND,Kann Ranginformation nicht finden.
RESULT_TYPE.CANNOT_UPGRADE_YET,Kann noch nicht verstärkt werden.
RESULT_TYPE.REQ_GOLD_NOT_FOUND,Kann angeforderte Goldinformation nicht finden.
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,Kann angeforderte Materialinformation nicht finden.
RESULT_TYPE.SESSION_ERROR,"Du wurdest vom Server abgemeldet, weil du zu lange inaktiv warst. Bitte starte das Spiel neu."
RESULT_TYPE.ACCOUNT_ERROR,Konto fehlerhaft.
RESULT_TYPE.UNHANDLED,Wurde nicht bearbeitet.
RESULT_TYPE.HTTP_ERROR,Web-Anfrage fehlgeschlagen.
RESULT_TYPE.PARSING_ERROR,Ungültige Antwort.
RESULT_TYPE.HERO_NOT_FOUND,Du hast diesen Helden nicht.
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,Diese Ausr.-Info existiert nicht.
RESULT_TYPE.EQUIP_NOT_OWNED,Diese Ausrüstung ist nicht in deinem Besitz.
RESULT_TYPE.EQUIP_NOT_FOUND,Diese Ausrüstung existiert nicht.
RESULT_TYPE.EQUIPPED,Diese Ausrüstung ist bereits angelegt.
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,Kann Ausrüstungs-Code nicht finden.
RESULT_TYPE.MAX_JOIN_REQUEST,"Zu viele Beitrittsgesuche.\nBitte widerrufe einige Gesuche, bevor du fortfährst."
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,Diese Gilde hat bereits zu viele Beitrittsgesuche.
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,Der benötigte Preis ist fehlerhaft.
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,Ungültige Ausrüstungsmaterialien.
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,Du hast dieses Ausr.-Material nicht.
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,Team-Level zu niedrig.
RESULT_TYPE.MAX_MEMBER,Maximale Gildenmitglieder-Anzahl erreicht.
RESULT_TYPE.INVALID_RANK,Ungültige Gildenmitglied-Rechte.
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,Kann Information zum Beitrittsgesuch nicht finden.
RESULT_TYPE.NAME_DUPLICATED,Name existiert bereits.
RESULT_TYPE.GUILD_MEMBER_EXIST,Es sind noch Gildenmitglieder vorhanden.
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,Dieser Held ist bereits als Söldner registriert.
RESULT_TYPE.MAX_MERCENARY,Zu viele Helden als Söldner registriert.
RESULT_TYPE.NOT_REGISTERED_MERCENARY,Dieser Söldner ist nicht registriert.
RESULT_TYPE.ALREADY_JOINED,Gehört bereits einer Gilde an.
RESULT_TYPE.LOG_NOT_FOUND,Diese Schlachtaufzeichnung existiert nicht.
RESULT_TYPE.INVALID_PLUNDER_RESULT,Ungültige Schlachtaufzeichnung.
RESULT_TYPE.ALREADY_CHASED,Wurde bereits gejagt.
RESULT_TYPE.INVALID_CHAPTER_INDEX,Ungültiger Missionsort.
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,Kann Missionsort nicht finden.
RESULT_TYPE.COLLECT_ENDED,Kollektion ist bereits vollständig.
RESULT_TYPE.DEAD_HERO_EXIST,Gefallene Helden können nicht geplündert werden.
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,Kann Jagd-Information nicht finden.
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,Kann Expeditionsmissions-Info nicht finden.
RESULT_TYPE.INVALID_TEAM_SLOT,Ungültige Gruppe für Expeditions-Mission.
RESULT_TYPE.ALREADY_HARVESTED,Mission bereits abgeschlossen.
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,Maximalanzahl für 'Sofort Beenden' erreicht.
RESULT_TYPE.COLLECT_NOT_ENDED,Die Mission ist noch nicht abgeschlossen.
RESULT_TYPE.RECORD_NOT_FOUND,Die Wiederholung existiert nicht.
RESULT_TYPE.ALREADY_DEFEND_REWARDED,Du hast bereits eine Belohnung für die Plünderungsverteid. erhalten.
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,Tageslimit der Belohnungen für Plünderung-Verteidigungen erreicht.
RESULT_TYPE.CHAPTER_NOT_COMPLETED,Dieses Kapitel ist noch nicht abgeschlossen.
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,Kann VIP-Level Daten nicht finden.
RESULT_TYPE.MAX_RES_COLLECT_TEAM,Alle Teams derzeit auf Missionen.
RESULT_TYPE.NOW_COLLECTING,Dieses Team ist derzeit auf einer Mission.
RESULT_TYPE.INVALID_HERO_INDEX,Dieser Held ist entweder auf einer Mission oder existiert nicht.
RESULT_TYPE.CHAPTER_NOT_FOUND,Das Kapitel existiert nicht.
RESULT_TYPE.DUNGEON_NOT_FOUND,Das Dungeon existiert nicht.
RESULT_TYPE.EMPTY_HERO_INDICES,Dieser Held ist leer.
RESULT_TYPE.CANNOT_PLAY_DUNGEON,Dungeon kann nicht gespielt werden.
RESULT_TYPE.NOT_ENOUGH_STAMINA,Ausdauer unzureichend.
RESULT_TYPE.NOT_ENOUGH_PLAY_KEY,Ungenügend Schlüssel
RESULT_TYPE.INVALID_DIFF,Ungültige Schwierigkeitsstufe.
RESULT_TYPE.VERIFY_FAILED,Verifizierung fehlgeschlagen.
RESULT_TYPE.CHECK_FAILED,Überprüfung fehlgeschlagen.
RESULT_TYPE.USER_CAMPAIGN_INFO_NOT_FOUND,Aufgrund eines Netzwerkfehlers kommt es zu einer Server-Verzögerung beim Verarbeiten von Benutzerinformationen. Versuche es später erneut.
RESULT_TYPE.WRONG_CHAPTER_INDEX,Diese Funktion ist nicht verfügbar.
RESULT_TYPE.WRONG_DUNGEON_INDEX,Diese Funktion ist nicht verfügbar.
RESULT_TYPE.INVALID_STAR,Ungültige Sternen-Info.
RESULT_TYPE.ENCHANT_RESULT_NOT_FOUND,Neubewertungsinfo existiert nicht.
RESULT_TYPE.EQUIP_ITEM_SLOT_INDEX_MISMATCH,Ziel der Neubewertung ist anders.
RESULT_TYPE.OPTION_SLOT_INDEX_MISMATCH,Das Optionsfach zur Neubewertung ist anders.
RESULT_TYPE.OPTION_INDEX_MISMATCH,Das Optionsergebnis der Neubewertung ist anders.
RESULT_TYPE.PREV_OPTION_INDEX_MISMATCH,Die überschreibende Option ist anders als die des ursprünglichen Versuchs.
RESULT_TYPE.INVALID_OPTION_SLOT,Ungültiges Optionsfach.
RESULT_TYPE.RANDOM_OPTION_DATA_ERROR,Ungültige Zufallsoptions-Info.
RESULT_TYPE.NO_HERO,Dieser Held existiert nicht.
RESULT_TYPE.HERO_DATA_NOT_FOUND,Diese Helden-Info existiert nicht.
RESULT_TYPE.ALREADY_OTHER_HERO_EQUIPPED,Die Ausrüstung wird bereits von einem anderen Helden getragen.
RESULT_TYPE.ITEM_DATA_NOT_FOUND,Gegenstand-Info existiert nicht.
RESULT_TYPE.EQUIP_ITEM_DATA_NOT_FOUND,Ausrüstungs-Info existiert nicht.
RESULT_TYPE.EQUIP_TAG_ERROR,Ungültiger Ausr.-Anhänger.
RESULT_TYPE.TOO_LOW_GRADE,Rang zu niedrig.
RESULT_TYPE.TOO_LOW_LEVEL,Level zu niedrig.
RESULT_TYPE.LOCKED_PART_INDEX,Ausr.-Fach verschlossen.
RESULT_TYPE.EQUIP_PART_ERROR,Ausr.-Fach nicht benutzbar.
RESULT_TYPE.REMOVE_FAILED,Entfernen fehlgeschlagen.
RESULT_TYPE.INVALID_HERO_PART_INDEX,Ungültiges Ausr.-Fach.
RESULT_TYPE.ALREADY_UNLOCKED,Bereits freigeschaltet.
RESULT_TYPE.UNLOCK_FAILED,Freischaltung fehlgeschlagen.
RESULT_TYPE.EQUIP_ITEM_NOT_FOUND,Diese Ausr. existiert nicht.
RESULT_TYPE.UNEQUIP_FAILED,Entfernen d. Ausr. fehlgeschlagen.
RESULT_TYPE.STAT_DATA_NOT_FOUND,Werte-Info nicht vorhanden.
RESULT_TYPE.EMPTY_MATERIAL_EQUIP_ITEM,Material ist leer.
RESULT_TYPE.INVALID_MATERIAL_EQUIP_ITEM,Ungültige Material-Ausr.
RESULT_TYPE.FRIEND_NOT_FOUND,Spieler existiert nicht.
RESULT_TYPE.REQUEST_MYSELF,Anfrage kann nicht an sich selbst gesendet werden.
RESULT_TYPE.CANNOT_SEARCH_MYSELF,Du kannst nicht nach dir selbst suchen.
RESULT_TYPE.GACHA_DATA_NOT_FOUND,Gacha-Info existiert nicht.
RESULT_TYPE.WRONG_GACHA_INDEX,Ungültige Gacha-Nummer.
RESULT_TYPE.WRONG_GACHA_COUNT,Ungültige Gacha-Anzahl.
RESULT_TYPE.NO_MERCENARIES,Keine Söldner vorhanden.
RESULT_TYPE.NO_GUILD,Gilde existiert nicht.
RESULT_TYPE.INVAILID_RANK,Ungültiger Rang.
RESULT_TYPE.GUILD_MAX_JOIN_REQUEST,Anfrage-Limit für die Gilde erreicht.
RESULT_TYPE.TRIAL_DUNGEON_DATA_NOT_FOUND,Keine Infos über Dungeon der Prüfungen vorhanden.
RESULT_TYPE.NOT_PLAYER_HERO,Du besitzt diesen Helden nicht.
RESULT_TYPE.ITEM_NOT_OWNED,Du besitzt dieses Gegenstand nicht.
RESULT_TYPE.ITEM_TYPE_MISMATCH,Anderer Gegenstand-Typ.
RESULT_TYPE.POTION_DATA_NOT_FOUND,Portions-Info nicht vorhanden.
RESULT_TYPE.INVALID_ACTION,Ungültige Aktion.
RESULT_TYPE.RECIPE_DATA_NOT_FOUND,Rezept-Info nicht vorhanden.
RESULT_TYPE.MATERIAL_DATA_NOT_FOUND,Material-Info nicht vorhanden.
RESULT_TYPE.NOT_ENOUGH_MATERIAL,Nicht genug Material.
RESULT_TYPE.MATCH_RESULT_NOT_FOUND,Match-Ergebnis nicht vorhanden.
RESULT_TYPE.MATCH_UID_MISMATCH,Match-Nummer stimmt nicht überein.
RESULT_TYPE.MATCHING_DISABLED,Berechnen des Kampfergebnisses.
RESULT_TYPE.NOT_ENOUGH_SWORD,Nicht genug Schwerter.
RESULT_TYPE.MATCH_USER_NOT_FOUND,Infos über Teilnehmer nicht vorhanden.
RESULT_TYPE.NPC_INFO_NOT_FOUND,NPC-Info nicht vorhanden.
RESULT_TYPE.WAIT_MORE,Aufgrund eines Netzwerkfehlers kommt es zu einer Server-Verzögerung beim Verarbeiten von Kampfinformationen. Bitte tippe erneut auf OK.
RESULT_TYPE.NOT_ENOUGH_CHEESE,Nicht genug Käse.
RESULT_TYPE.USER_PLUNDER_INFO_NOT_FOUND,Plünderungs-Info nicht vorhanden.
RESULT_TYPE.COLLECT_NODE_DATA_NOT_FOUND,Sammelknoten-Info nicht vorhanden.
RESULT_TYPE.PLAYER_NOT_FOUND,Spieler existiert nicht.
RESULT_TYPE.V_I_P_LEVEL_DATA_NOT_FOUND,VIP-Level Info nicht vorhanden.
RESULT_TYPE.SHOP_DATA_NOT_FOUND,Shop-Info nicht vorhanden.
RESULT_TYPE.SHOP_ITEM_DATA_NOT_FOUND,Shop-Artikel-Info nicht vorhanden.
RESULT_TYPE.PLAYER_SHOP_ITEM_NOT_FOUND,Shop-Artikel-Info des Spielers nicht vorhanden.
RESULT_TYPE.SOLD_OUT,Bereits verkauft.
RESULT_TYPE.INVALID_COST,Ungültiger Preis.
RESULT_TYPE.NO_ITEM_DATA,Gegenstand-Info existiert nicht.
RESULT_TYPE.NOT_OWNED,Nicht in Besitz.
RESULT_TYPE.INVALID_ITEM_COUNT,Ungültige Itenanzahl.
RESULT_TYPE.NOT_ENOUGH_STONE,Ungenügend Verstärkungskristalle.
RESULT_TYPE.HERO_LEVEL_LIMIT,Hero-Level zu niedrig.
RESULT_TYPE.SKILL_LEVEL_NOT_FOUND,Skilllevel-Info nicht vorhanden.
RESULT_TYPE.SKILL_PRICE_NOT_FOUND,Skillpreis-Info nicht vorhanden.
RESULT_TYPE.TEAM_LEVEL_LIMIT,Kann Heldenlevel nicht übersteigen.
RESULT_TYPE.SKILL_NOT_FOUND,Skill existiert nicht.
RESULT_TYPE.REQ_GOLD_ERROR,Benötigtes Gold fehlerhaft.
RESULT_TYPE.STAR_DATA_NOT_FOUND,Sternen-Info fehlerhaft.
