KEY,Portuguese
BASE_RESULT_TYPE.SUCCESS,"Seu pedido foi processado com sucesso. Sua rede é instável, tente novamente mais tarde."
BASE_RESULT_TYPE.FAIL,Seu pedido não foi processado com sucesso devido a uma conexão de rede instável. Tente novamente mais tarde.
BASE_RESULT_TYPE.SESSION_ERROR,Você foi desconectado do servidor por passar tempo demais ocioso. Reinicie o jogo.
BASE_RESULT_TYPE.ACCOUNT_ERROR,A conta está incorreta.
BASE_RESULT_TYPE.UNHANDLED,A solicitação não pode ser realizada.
BASE_RESULT_TYPE.EXCEPTION,Um erro interno ocorreu.
BASE_RESULT_TYPE.HTTP_ERROR,Um erro ocorreu durante a solicitação da web.
BASE_RESULT_TYPE.PARSING_ERROR,Falha na análise.
RESULT_TYPE.SUCCESS,"Seu pedido foi processado com sucesso. Sua rede é instável, tente novamente mais tarde."
RESULT_TYPE.FAIL,Seu pedido não foi processado com sucesso devido a uma conexão de rede instável. Tente novamente mais tarde.
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,Não é possível encontrar as informações de nível.
RESULT_TYPE.CANNOT_UPGRADE_MORE,Não é mais possível atualizar.
RESULT_TYPE.NOT_ENOUGH_GOLD,Ouro insuficiente.
RESULT_TYPE.NOT_ENOUGH_GEM,Rubi insuficiente.
RESULT_TYPE.INSUFFICIENT_ITEM,Itens materiais insuficientes.
RESULT_TYPE.GRADE_DATA_NOT_FOUND,Não é possível encontrar as informações de classificação.
RESULT_TYPE.CANNOT_UPGRADE_YET,Ainda não é possível atualizar.
RESULT_TYPE.REQ_GOLD_NOT_FOUND,Não é possível encontrar as informações de ouro solicitadas.
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,Não é possível encontrar as informações de materiais solicitadas.
RESULT_TYPE.SESSION_ERROR,Você foi desconectado do servidor por passar tempo demais ocioso. Reinicie o jogo.
RESULT_TYPE.ACCOUNT_ERROR,A conta está incorreta.
RESULT_TYPE.UNHANDLED,Não processado.
RESULT_TYPE.HTTP_ERROR,Falha na solicitação da web.
RESULT_TYPE.PARSING_ERROR,Resposta inválida.
RESULT_TYPE.HERO_NOT_FOUND,Você não tem este herói.
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,As informações de equipamento não existem.
RESULT_TYPE.EQUIP_NOT_OWNED,Você não tem este equipamento.
RESULT_TYPE.EQUIP_NOT_FOUND,O equipamento não existe.
RESULT_TYPE.EQUIPPED,O equipamento já está equipado.
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,Não é possível encontrar o código do equipamento.
RESULT_TYPE.MAX_JOIN_REQUEST,Excedeu o limite de solicitação de admissão.\nCancele algumas solicitações e continue.
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,Excedeu o limite de solicitação de admissão da guilda.
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,O preço solicitado é inválido.
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,Materiais inválidos.
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,Você não tem este material.
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,Baixo nível de equipe.
RESULT_TYPE.MAX_MEMBER,Atingiu o máximo de membros da guilda.
RESULT_TYPE.INVALID_RANK,Direitos de membros da guilda inválidos.
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,Não é possível encontrar informações de solicitação de admissão.
RESULT_TYPE.NAME_DUPLICATED,O mesmo nome existe.
RESULT_TYPE.GUILD_MEMBER_EXIST,Os membros da guilda já existem.
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,Este herói já está registrado como mercenário.
RESULT_TYPE.MAX_MERCENARY,Excedeu o limite de registro de mercenário.
RESULT_TYPE.NOT_REGISTERED_MERCENARY,Mercenário não registrado.
RESULT_TYPE.ALREADY_JOINED,Já entrou em uma guilda.
RESULT_TYPE.LOG_NOT_FOUND,O registro de batalha não existe.
RESULT_TYPE.INVALID_PLUNDER_RESULT,Registro de batalha inválido.
RESULT_TYPE.ALREADY_CHASED,Perseguição já concluída.
RESULT_TYPE.INVALID_CHAPTER_INDEX,Local da missão inválido.
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,Não é possível encontrar o local da missão.
RESULT_TYPE.COLLECT_ENDED,Coleção já concluída.
RESULT_TYPE.DEAD_HERO_EXIST,Não é possível pilhar um herói morto.
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,Não é possível encontrar informações de perseguição.
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,Não é possível encontrar as informações da missão de expedição.
RESULT_TYPE.INVALID_TEAM_SLOT,Equipe de missão de expedição inválida.
RESULT_TYPE.ALREADY_HARVESTED,Já concluiu a missão.
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,Atingiu o máximo de Terminar Agora.
RESULT_TYPE.COLLECT_NOT_ENDED,A missão ainda não foi concluída.
RESULT_TYPE.RECORD_NOT_FOUND,Já recebeu as recompensas por defender pilhagens.
RESULT_TYPE.ALREADY_DEFEND_REWARDED,Atingiu o limite diário de recompensas por defender pilhagens.
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,Atingiu o limite diário de recompensas por defender pilhagens.
RESULT_TYPE.CHAPTER_NOT_COMPLETED,O capítulo não foi concluído.
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,Não é possível encontrar o nível de dados VIP.
RESULT_TYPE.MAX_RES_COLLECT_TEAM,Todas as equipes estão em missão no momento.
RESULT_TYPE.NOW_COLLECTING,A equipe está agora em uma missão.
RESULT_TYPE.INVALID_HERO_INDEX,O herói está em uma missão ou não existe.
RESULT_TYPE.CHAPTER_NOT_FOUND,O capítulo não existe.
RESULT_TYPE.DUNGEON_NOT_FOUND,A masmorra não existe.
RESULT_TYPE.EMPTY_HERO_INDICES,Não há nada anexado ao herói.
RESULT_TYPE.CANNOT_PLAY_DUNGEON,Não é possível jogar nesta masmorra.
