KEY,"Russian"
BASE_RESULT_TYPE.SUCCESS,"Ваш запрос был успешно обработан. Ваша сеть работает нестабильно, повторите попытку позже."
BASE_RESULT_TYPE.FAIL,"Не удалось обработать ваш запрос, так как ваше сетевое подключение нестабильно. Повторите попытку позже."
BASE_RESULT_TYPE.SESSION_ERROR,"Вы были отключены от сервера, так как бездействовали продолжительное время. Запустите игру заново."
BASE_RESULT_TYPE.ACCOUNT_ERROR,"Ошибка аккаунта."
BASE_RESULT_TYPE.UNHANDLED,"Запрос не может быть обработан."
BASE_RESULT_TYPE.EXCEPTION,"Внутренняя ошибка."
BASE_RESULT_TYPE.HTTP_ERROR,"Ошибка обработки запроса."
BASE_RESULT_TYPE.PARSING_ERROR,"Ошибка веб-запроса."
RESULT_TYPE.SUCCESS,"Ваш запрос был успешно обработан. Ваша сеть работает нестабильно, повторите попытку позже."
RESULT_TYPE.FAIL,"Не удалось обработать ваш запрос, так как ваше сетевое подключение нестабильно. Повторите попытку позже."
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"Не найдены данные уровня."
RESULT_TYPE.CANNOT_UPGRADE_MORE,"Дальнейшее улучшение невозможно."
RESULT_TYPE.NOT_ENOUGH_GOLD,"Не хватает золота."
RESULT_TYPE.NOT_ENOUGH_GEM,"Не хватает рубинов."
RESULT_TYPE.INSUFFICIENT_ITEM,"Не хватает материалов."
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"Не найдены данные класса."
RESULT_TYPE.CANNOT_UPGRADE_YET,"Пока нельзя улучшить."
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"Не найдены данные о золоте."
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"Не найдены данные о материалах."
RESULT_TYPE.SESSION_ERROR,"Вы были отключены от сервера, так как бездействовали продолжительное время. Запустите игру заново."
RESULT_TYPE.ACCOUNT_ERROR,"Ошибка аккаунта."
RESULT_TYPE.UNHANDLED,"Не обработано."
RESULT_TYPE.HTTP_ERROR,"Не удалось выполнить запрос."
RESULT_TYPE.PARSING_ERROR,"Ошибка веб-запроса."
RESULT_TYPE.HERO_NOT_FOUND,"Герой не существует."
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"Нет данных о снаряжении."
RESULT_TYPE.EQUIP_NOT_OWNED,"У вас нет снаряжения."
RESULT_TYPE.EQUIP_NOT_FOUND,"Снаряжение не существует."
RESULT_TYPE.EQUIPPED,"Снаряжение используется."
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"Не найден код снаряжения."
RESULT_TYPE.MAX_JOIN_REQUEST,"Превышено количество запросов на вступление.\nОтмените часть запросов, чтобы продолжить."
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"У гильдии превышено число запросов на вступление."
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"Неверная цена."
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"Неверный материал."
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"У вас нет материала."
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"Низкий ур. группы."
RESULT_TYPE.MAX_MEMBER,"Гильдия переполнена."
RESULT_TYPE.INVALID_RANK,"Не соотв. роли в гильдии."
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,"Не найдены данные заявки на вступление."
RESULT_TYPE.NAME_DUPLICATED,"Имя уже существует."
RESULT_TYPE.GUILD_MEMBER_EXIST,"Члены гильдии еще существуют."
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,"Герой уже зарегистрирован наемником."
RESULT_TYPE.MAX_MERCENARY,"Превышено макс. число зарегистр. наемников."
RESULT_TYPE.NOT_REGISTERED_MERCENARY,"Наемник не зарегистрирован."
RESULT_TYPE.ALREADY_JOINED,"Уже в гильдии."
RESULT_TYPE.LOG_NOT_FOUND,"Список битв не существует."
RESULT_TYPE.INVALID_PLUNDER_RESULT,"Неверный список битв."
RESULT_TYPE.ALREADY_CHASED,"Преследование уже состоялось."
RESULT_TYPE.INVALID_CHAPTER_INDEX,"Неверное место задачи."
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,"Не найдено место выполнения задачи."
RESULT_TYPE.COLLECT_ENDED,"Сбор завершен."
RESULT_TYPE.DEAD_HERO_EXIST,"Мертвый герой не может грабить."
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,"Не найдены данные преследования."
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,"Не найдены данные похода."
RESULT_TYPE.INVALID_TEAM_SLOT,"Неверный отряд для задачи похода."
RESULT_TYPE.ALREADY_HARVESTED,"Задача уже выполнена."
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,"Сегодня достигнуто макс. кол-во быстрых завершений."
RESULT_TYPE.COLLECT_NOT_ENDED,"Задача еще не выполнена."
RESULT_TYPE.RECORD_NOT_FOUND,"Список записей для воспроизв. не существует."
RESULT_TYPE.ALREADY_DEFEND_REWARDED,"Награда за защиту от мародера уже получена."
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,"Сегодня достигнуто макс. кол-во наград за защиту от мародера."
RESULT_TYPE.CHAPTER_NOT_COMPLETED,"Эта глава еще не завершена."
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,"Не найдены данные ур. VIP."
RESULT_TYPE.MAX_RES_COLLECT_TEAM,"Все группы выполняют задачу."
RESULT_TYPE.NOW_COLLECTING,"Группа выполняет задачу."
RESULT_TYPE.INVALID_HERO_INDEX,"Герой либо выполняет задачу, либо не существует."
RESULT_TYPE.CHAPTER_NOT_FOUND,"Глава не существует."
RESULT_TYPE.DUNGEON_NOT_FOUND,"Подземелье не существует."
RESULT_TYPE.EMPTY_HERO_INDICES,"Нет данных о герое."
RESULT_TYPE.CANNOT_PLAY_DUNGEON,"Игра в подземелье невозможна."
RESULT_TYPE.NOT_ENOUGH_STAMINA,"Не хватает выносливости."
RESULT_TYPE.NOT_ENOUGH_PLAY_KEY,"Не хватает ключей."
RESULT_TYPE.INVALID_DIFF,"Неверный ур. сложности."
