KEY,Thai
BASE_RESULT_TYPE.SUCCESS,ประมวลผลคำขอของคุณเรียบร้อยแล้ว เครือข่ายของคุณไม่เสถียร ดังนั้นโปรดลองใหม่อีกครั้งในภายหลัง
BASE_RESULT_TYPE.FAIL,การประมวลผลคำขอของคุณล้มเหลวเนื่องจากการเชื่อมต่อเครือข่ายไม่เสถียร โปรดลองใหม่อีกครั้งในภายหลัง
BASE_RESULT_TYPE.SESSION_ERROR,คุณถูกตัดการเชื่อมต่อจากเซิร์ฟเวอร์เนื่องจากอยู่นิ่งเป็นเวลานาน โปรดเข้าเกมใหม่
BASE_RESULT_TYPE.ACCOUNT_ERROR,ไอดีของท่านไม่ถูกต้อง
BASE_RESULT_TYPE.UNHANDLED,การเรียกข้อมูลผิดพลาด
BASE_RESULT_TYPE.EXCEPTION,พบความผิดปรกติของระบบภายใน
BASE_RESULT_TYPE.HTTP_ERROR,พบความผิดปรกติระหว่างการดึงข้อมูลในเว็บ
BASE_RESULT_TYPE.PARSING_ERROR,พบปัญหาในการ Parsing
RESULT_TYPE.SUCCESS,ประมวลผลคำขอของคุณเรียบร้อยแล้ว เครือข่ายของคุณไม่เสถียร ดังนั้นโปรดลองใหม่อีกครั้งในภายหลัง
RESULT_TYPE.FAIL,การประมวลผลคำขอของคุณล้มเหลวเนื่องจากการเชื่อมต่อเครือข่ายไม่เสถียร โปรดลองใหม่อีกครั้งในภายหลัง
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,ไม่พบข้อมูลเลเวล
RESULT_TYPE.CANNOT_UPGRADE_MORE,ไม่สามารถอัพเกรดเพิ่มได้
RESULT_TYPE.NOT_ENOUGH_GOLD,มี Gold ไม่เพียงพอ
RESULT_TYPE.NOT_ENOUGH_GEM,มี Ruby ไม่เพียงพอ
RESULT_TYPE.INSUFFICIENT_ITEM,มีวัตถุดิบไม่เพียงพอ
RESULT_TYPE.GRADE_DATA_NOT_FOUND,ไม่พบข้อมูล Rank
RESULT_TYPE.CANNOT_UPGRADE_YET,ไม่สามารถอัพเกรดได้
RESULT_TYPE.REQ_GOLD_NOT_FOUND,ไม่พบค่า Gold ที่ต้องการ
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,ไม่พบวัตถุดิบที่ต้องการ
RESULT_TYPE.SESSION_ERROR,คุณถูกตัดการเชื่อมต่อจากเซิร์ฟเวอร์เนื่องจากอยู่นิ่งเป็นเวลานาน โปรดเข้าเกมใหม่
RESULT_TYPE.ACCOUNT_ERROR,ไอดีของท่านไม่ถูกต้อง
RESULT_TYPE.UNHANDLED,กระบวนการล้มเหลว
RESULT_TYPE.HTTP_ERROR,การดึงข้อมูลเว็บล้มเหลว
RESULT_TYPE.PARSING_ERROR,พบข้อผิดพลาดในการตอบกลับ
RESULT_TYPE.HERO_NOT_FOUND,ไม่มีวีรบุรุษนี้
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,ไม่พบข้อมูลอุปกรณ์
RESULT_TYPE.EQUIP_NOT_OWNED,คุณไม่มีอุปกรณ์
RESULT_TYPE.EQUIP_NOT_FOUND,ไม่พบอุปกรณ์
RESULT_TYPE.EQUIPPED,อุปกรณ์นี้ได้สวมใส่ไว้แล้ว
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,ไม่พบรหัสอุปกรณ์
RESULT_TYPE.MAX_JOIN_REQUEST,คำร้องเข้ากิลด์ถึงขีดจัดกัดแล้ว\nโปรดยกเลิกบางรายการแล้วทำใหม่อีกครั้ง
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,คำร้องเข้ากิลด์เต็มแล้ว
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,ราคาที่ต้องจ่ายไม่ถูกต้อง
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,วัตถุดิบของอุปกรณ์ไม่ถูกต้อง
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,คุณไม่มีวัตถุดิบของอุปกรณ์นี้
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,คุณมีเลเวลทีมน้อยเกินไป
RESULT_TYPE.MAX_MEMBER,มีสมาชิกกิลด์เต็มแล้ว
RESULT_TYPE.INVALID_RANK,สิทธิในการจัดการสมาชิกกิลด์ผิดพลาด
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,ไม่พบข้อมูลคำร้อง
RESULT_TYPE.NAME_DUPLICATED,ชื่อนี้ถูกใช้ไปแล้ว
RESULT_TYPE.GUILD_MEMBER_EXIST,ยังมีสมาชิกกิลด์อยู่
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,ฮีโร่นี้อยู่ในทีมผจญภัยแล้ว
RESULT_TYPE.MAX_MERCENARY,จำนวนสมาชิกทีมผจญภัยครบแล้ว
RESULT_TYPE.NOT_REGISTERED_MERCENARY,ฮีโร่ที่ไม่ได้อยู่ในทีมผจญภัย
RESULT_TYPE.ALREADY_JOINED,เข้าร่วมกิลด์แล้ว
RESULT_TYPE.LOG_NOT_FOUND,ไม่พบสถิติการสู้
RESULT_TYPE.INVALID_PLUNDER_RESULT,สถิติการสู้ผิดพลาด
RESULT_TYPE.ALREADY_CHASED,เริ่มไล่ล่าแล้ว
RESULT_TYPE.INVALID_CHAPTER_INDEX,ตำแหน่งภารกิจผิดพลาด
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,ไม่พบตำแหน่งภารกิจ
RESULT_TYPE.COLLECT_ENDED,การรวบรวมสมบูรณ์แล้ว
RESULT_TYPE.DEAD_HERO_EXIST,ไม่สามารถขโมยฮีโร่ที่หมดสภาพแล้วได้
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,ไม่พบข้อมูลการไล่ล่า
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,ไม่พบข้อมูลภารกิจสำรวจ
RESULT_TYPE.INVALID_TEAM_SLOT,ปาร์ตี้ภารกิจสำรวจผิดพลาด
RESULT_TYPE.ALREADY_HARVESTED,ผ่านภารกิจนี้ไปเรียบร้อยแล้ว
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,คุณทำเสร็จถึงจำนวนสูงสุดของวันนี้แล้ว
RESULT_TYPE.COLLECT_NOT_ENDED,ภารกิจนี้ยังไม่สำเร็จ
RESULT_TYPE.RECORD_NOT_FOUND,ไม่พบสถิติการสู้
RESULT_TYPE.ALREADY_DEFEND_REWARDED,ได้รับรางวัลจากการป้องกันการขโมยแล้ว
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,คุณได้รับรางวัลถึงจำนวนสูงสุดของการป้องกันการขโมยของวันนี้แล้ว
RESULT_TYPE.CHAPTER_NOT_COMPLETED,เนื้อเรื่องหลักบทนี้ยังไม่สำเร็จ
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,ไม่พบข้อมูลเลเวล VIP
RESULT_TYPE.MAX_RES_COLLECT_TEAM,ตอนนี้ทุกทีมอยู่ในภารกิจแล้ว
RESULT_TYPE.NOW_COLLECTING,ตอนนี้ทีมอยู่ในภารกิจ
RESULT_TYPE.INVALID_HERO_INDEX,ฮีโร่อยู่ในภารกิจหรือไม่มีฮีโร่นี้แล้ว
RESULT_TYPE.CHAPTER_NOT_FOUND,ไม่สามารถเข้าภารกิจนี้ได้
RESULT_TYPE.DUNGEON_NOT_FOUND,ไม่สามารถเข้าดันเจี้ยนนี้ได้
RESULT_TYPE.EMPTY_HERO_INDICES,ยังไม่มีฮีโร่นี้
RESULT_TYPE.CANNOT_PLAY_DUNGEON,ไม่สามารถเข้าดันเจี้ยนได้
RESULT_TYPE.NOT_ENOUGH_STAMINA,พลังงานในการเข้าเล่นไม่เพียงพอ
RESULT_TYPE.NOT_ENOUGH_PLAY_KEY,กุญแจไม่เพียงพอ
RESULT_TYPE.INVALID_DIFF,ระดับความยากง่ายของเลเวลไม่ถูกต้อง
RESULT_TYPE.VERIFY_FAILED,การยืนยันผิดพลาด
RESULT_TYPE.CHECK_FAILED,การตรวจสอบผิดพลาด
RESULT_TYPE.USER_CAMPAIGN_INFO_NOT_FOUND,เนื่องจากข้อผิดพลาดของเครือข่าย เซิร์ฟเวอร์จึงมีความล่าช้าในการประมวลผลข้อมูลผู้ใช้ โปรดลองใหม่อีกครั้งในภายหลัง
RESULT_TYPE.WRONG_CHAPTER_INDEX,ฟีเจอร์นี้ไม่พร้อมใช้งาน
RESULT_TYPE.WRONG_DUNGEON_INDEX,ฟีเจอร์นี้ไม่พร้อมใช้งาน
RESULT_TYPE.INVALID_STAR,ข้อมูล Star ผิดพลาด
