KEY,"Vietnamese"
BASE_RESULT_TYPE.SUCCESS,"Yêu cầu của bạn đã được xử lý thành công. Mạng của bạn không ổn định, vui lòng thử lại sau."
BASE_RESULT_TYPE.FAIL,"Yêu cầu của bạn chưa được xử lý thành công do kết nối mạng không ổn định. Vui lòng thử lại sau."
BASE_RESULT_TYPE.SESSION_ERROR,"Bạn đã bị ngắt kết nối khỏi máy chủ do đứng yên quá lâu. Vui lòng khởi động lại trò chơi."
BASE_RESULT_TYPE.ACCOUNT_ERROR,"Tài khoản không đúng."
BASE_RESULT_TYPE.UNHANDLED,"Lệnh không thể xử lý được."
BASE_RESULT_TYPE.EXCEPTION,"Phát sinh lỗi nội bộ."
BASE_RESULT_TYPE.HTTP_ERROR,"Phát sinh lỗi trong lúc yêu cầu web"
BASE_RESULT_TYPE.PARSING_ERROR,"Phân tích lệnh thất bại."
RESULT_TYPE.SUCCESS,"Yêu cầu của bạn đã được xử lý thành công. Mạng của bạn không ổn định, vui lòng thử lại sau."
RESULT_TYPE.FAIL,"Yêu cầu của bạn chưa được xử lý thành công do kết nối mạng không ổn định. Vui lòng thử lại sau."
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"Không thể tìm thấy thông tin cấp độ. "
RESULT_TYPE.CANNOT_UPGRADE_MORE,"Không thể cường hóa thêm được nữa."
RESULT_TYPE.NOT_ENOUGH_GOLD,"Thiếu vàng."
RESULT_TYPE.NOT_ENOUGH_GEM,"Thiếu Ruby."
RESULT_TYPE.INSUFFICIENT_ITEM,"Thiếu vật phẩm nguyên liệu."
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"Không thể tìm thấy thông tin thứ hạng. "
RESULT_TYPE.CANNOT_UPGRADE_YET,"Chưa thể cường hóa được. "
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"Không thể tìm thấy thông tin Vàng cần dùng."
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"Không thể tìm thấy thông tin vật phẩm nguyên liệu cần dùng."
RESULT_TYPE.SESSION_ERROR,"Bạn đã bị ngắt kết nối khỏi máy chủ do đứng yên quá lâu. Vui lòng khởi động lại trò chơi."
RESULT_TYPE.ACCOUNT_ERROR,"Tài khoản không đúng."
RESULT_TYPE.UNHANDLED,"Chưa được xử lý."
RESULT_TYPE.HTTP_ERROR,"Yêu cầu web thất bại"
RESULT_TYPE.PARSING_ERROR,"Lệnh đáp không đúng"
RESULT_TYPE.HERO_NOT_FOUND,"Anh hùng không tồn tại."
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"Thông tin trang bị không tồn tại."
RESULT_TYPE.EQUIP_NOT_OWNED,"Bạn không sở hữu trang bị này."
RESULT_TYPE.EQUIP_NOT_FOUND,"Trang bị không tồn tại."
RESULT_TYPE.EQUIPPED,"Trang bị đã được mặc. "
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"Không thể tìm thấy mã trang bị."
RESULT_TYPE.MAX_JOIN_REQUEST,"Vượt quá số lần yêu cầu gia nhập. \n Hãy hủy một số yêu cầu trước và tiếp tục tiến hành."
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"Vượt quá số yêu cầu của Guild mà bạn yêu cầu gia nhập."
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"Giá cần dùng không đúng."
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"Nguyên liệu trang bị không đúng."
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"Nguyên liệu trang bị không sở hữu."
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"Cấp độ của đội thấp."
RESULT_TYPE.MAX_MEMBER,"Vượt quá số thành viên Guild."
