KEY,"English"
SKILL_DESC_91000110,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 4% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000111,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 4.8% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000112,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 5.8% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000113,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 7% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000114,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 8.4% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000115,"[Judgement Blade] Reduces Cooldown by 30% and increases DMG by 10% upon every use. This effect can be stacked up to max 10 times."
SKILL_DESC_91000210,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 1 sec."
SKILL_DESC_91000211,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 1.2 sec."
SKILL_DESC_91000212,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 1.4 sec."
SKILL_DESC_91000213,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 1.7 sec."
SKILL_DESC_91000214,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 2.1 sec."
SKILL_DESC_91000215,"[Miraculous Light] Increases Heal Rate by 50% and target becomes Immune to DMG for 2.5 sec."
SKILL_DESC_91000310,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 100."
SKILL_DESC_91000311,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 120."
SKILL_DESC_91000312,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 140."
SKILL_DESC_91000313,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 170."
SKILL_DESC_91000314,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 210."
SKILL_DESC_91000315,"[Fire Needle] Changes target to the enemy with the highest ATK and reduces the target's Mana by 250."
SKILL_DESC_91000410,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 200 upon Critical Hit."
SKILL_DESC_91000411,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 240 upon Critical Hit."
SKILL_DESC_91000412,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 290 upon Critical Hit."
SKILL_DESC_91000413,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 350 upon Critical Hit."
SKILL_DESC_91000414,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 420 upon Critical Hit."
SKILL_DESC_91000415,"[No Mercy] Dispels all negative effects from self, and recovers Mana by 500 upon Critical Hit."
SKILL_DESC_91000510,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 10% for 10 sec."
SKILL_DESC_91000511,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 12% for 10 sec."
SKILL_DESC_91000512,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 14% for 10 sec."
SKILL_DESC_91000513,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 17% for 10 sec."
SKILL_DESC_91000514,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 21% for 10 sec."
SKILL_DESC_91000515,"[Smash] Reduces the target's ATK by 20% and increases P.DMG target receives by 25% for 10 sec."
SKILL_DESC_91000610,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 200 for 10 sec."
SKILL_DESC_91000611,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 240 for 10 sec."
SKILL_DESC_91000612,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 290 for 10 sec."
SKILL_DESC_91000613,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 350 for 10 sec."
SKILL_DESC_91000614,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 420 for 10 sec."
SKILL_DESC_91000615,"[Collision] Reduces the target's CC Resist by 250 and P.Block chance by 500 for 10 sec."
SKILL_DESC_91000710,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 10% for 10 sec."
SKILL_DESC_91000711,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 12% for 10 sec."
SKILL_DESC_91000712,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 14% for 10 sec."
SKILL_DESC_91000713,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 17% for 10 sec."
SKILL_DESC_91000714,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 21% for 10 sec."
SKILL_DESC_91000715,"[Rapid Fire] Increases DMG by 50%, and increases P.DMG target receives by 25% for 10 sec."
SKILL_DESC_91000810,"[Thunderbolt] Reduces the target's Heal Rate by 30% and the target's Mana by 100 for 10 sec."
SKILL_DESC_91000811,"[Thunderbolt] Reduces the target's Heal Rate by 30% and the target's Mana by 120 for 10 sec."
SKILL_DESC_91000812,"[Thunderbolt] Reduces the target's Heal Rate by 30% and the target's Mana by 140 for 10 sec."
SKILL_DESC_91000813,"[Thunderbolt] Reduces the target's Heal Rate by 30% and the target's Mana by 170 for 10 sec."
