KEY,Russian
SKILL_DESC_91000110,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 4% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000111,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 4.8% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000112,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 5.8% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000113,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 7% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000114,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 8.4% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000115,[Меч правосудия] Снижает время перезарядки на 30% и повышает урон на 10% за каждое применение. Эффект суммируется до 10 раз.
SKILL_DESC_91000210,[Чудесный свет] Повышает исцеление на 50% и на 1 сек. наделяет цель невосприимчивостью к урону.
SKILL_DESC_91000211,"[Чудесный свет] Повышает исцеление на 50% и на 1,2 сек. наделяет цель невосприимчивостью к урону."
SKILL_DESC_91000212,"[Чудесный свет] Повышает исцеление на 50% и на 1,4 сек. наделяет цель невосприимчивостью к урону."
SKILL_DESC_91000213,"[Чудесный свет] Повышает исцеление на 50% и на 1,7 сек. наделяет цель невосприимчивостью к урону."
SKILL_DESC_91000214,[Чудесный свет] Повышает исцеление на 50% и на 2.1 сек. наделяет цель невосприимчивостью к урону.
SKILL_DESC_91000215,[Чудесный свет] Повышает исцеление на 50% и на 2.5 сек. наделяет цель невосприимчивостью к урону.
SKILL_DESC_91000310,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 100.
SKILL_DESC_91000311,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 120.
SKILL_DESC_91000312,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 140.
SKILL_DESC_91000313,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 170.
SKILL_DESC_91000314,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 210.
SKILL_DESC_91000315,[Огненные иглы] Меняет цель на противника с наивысшим уровнем АТК и снижает ману цели на 250.
SKILL_DESC_91000410,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 200 маны при крит. ударе."
SKILL_DESC_91000411,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 240 маны при крит. ударе."
SKILL_DESC_91000412,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 290 маны при крит. ударе."
SKILL_DESC_91000413,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 350 маны при крит. ударе."
SKILL_DESC_91000414,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 420 маны при крит. ударе."
SKILL_DESC_91000415,"[Без жалости] Отменяет все отриц. эффекты, действующие на героя, и восстанавливает 500 маны при крит. ударе."
SKILL_DESC_91000510,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 10%.
SKILL_DESC_91000511,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 12%.
SKILL_DESC_91000512,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 14%.
SKILL_DESC_91000513,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 17%.
SKILL_DESC_91000514,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 21%.
SKILL_DESC_91000515,[Разгром] Снижает АТК цели на 20% и на 10 сек. увеличивает получаемый ею физ. урон на 25%.
SKILL_DESC_91000610,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 200."
SKILL_DESC_91000611,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 240."
SKILL_DESC_91000612,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 290."
SKILL_DESC_91000613,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 350."
SKILL_DESC_91000614,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 420."
SKILL_DESC_91000615,"[Крушение] В течение 10 сек. снижает у цели отпор контролю на 250, а физ. блок – на 500."
SKILL_DESC_91000710,[Картечь] Повышает урон на {1}% и при крит. ударе восстанавливает {2} ОМ.
SKILL_DESC_91000711,[Картечь] Повышает урон на 50% и на 10 сек. увеличивает получаемый целью физ. урон на 12%.
SKILL_DESC_91000712,[Картечь] Повышает урон на 50% и на 10 сек. увеличивает получаемый целью физ. урон на 14%.
SKILL_DESC_91000713,[Картечь] Повышает урон на 50% и на 10 сек. увеличивает получаемый целью физ. урон на 17%.
SKILL_DESC_91000714,[Картечь] Повышает урон на 50% и на 10 сек. увеличивает получаемый целью физ. урон на 21%.
SKILL_DESC_91000715,[Картечь] Повышает урон на 50% и на 10 сек. увеличивает получаемый целью физ. урон на 25%.
SKILL_DESC_91000810,[Молния] На 10 сек. снижает исцеление цели на 30% и ману цели – на 100.
SKILL_DESC_91000811,[Молния] На 10 сек. снижает исцеление цели на 30% и ману цели – на 120.
