KEY,"Thai"
SKILL_DESC_91000110,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 4% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000111,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 4.8% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000112,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 5.8% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000113,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 7% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000114,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 8.4% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000115,"[ใบมีดแห่งการพิพากษา] ลดเวลาคูลดาวน์ลง 30% และเพิ่มความเสียหายขึ้น 10% เมื่อใช้ เอฟเฟคนี้สามารถซ้อนทับกันได้สูงสุด 10 ครั้ง"
SKILL_DESC_91000210,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 1 วินาที"
SKILL_DESC_91000211,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 1.2 วินาที"
SKILL_DESC_91000212,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 1.4 วินาที"
SKILL_DESC_91000213,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 1.7 วินาที"
SKILL_DESC_91000214,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 2.1 วินาที"
SKILL_DESC_91000215,"[แสงแห่งปาฏิหาริย์] เพิ่มอัตราการรักษา 50% และทำให้เป้าหมายต้านทานความเสียหายเป็นเวลา 2.5 วินาที"
SKILL_DESC_91000310,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 100 หน่วย"
SKILL_DESC_91000311,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 120 หน่วย"
SKILL_DESC_91000312,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 140 หน่วย"
SKILL_DESC_91000313,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 170 หน่วย"
SKILL_DESC_91000314,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 210 หน่วย"
SKILL_DESC_91000315,"[เข็มไฟ] เปลี่ยนเป้าหมายเป็นศัตรูที่มีพลังโจมตีสูงที่สุดและลดมานาของเป้าหมายลง 250 หน่วย"
SKILL_DESC_91000410,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 200 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000411,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 240 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000412,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 290 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000413,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 350 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000414,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 420 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000415,"[ไม่ปรานี] ลบล้างเอฟเฟคลบทั้งหมดจากผู้ใช้ และฟื้นฟูมานา 500 หน่วยเมื่อทำการโจมตีคริติคอล"
SKILL_DESC_91000510,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 10% เป็นเวลา 10 วินาที"
SKILL_DESC_91000511,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 12% เป็นเวลา 10 วินาที"
SKILL_DESC_91000512,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 14% เป็นเวลา 10 วินาที"
SKILL_DESC_91000513,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 17% เป็นเวลา 10 วินาที"
SKILL_DESC_91000514,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 21% เป็นเวลา 10 วินาที"
SKILL_DESC_91000515,"[บดแหลก] ลดพลังโจมตีของเป้าหมายลง 20% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 25% เป็นเวลา 10 วินาที"
SKILL_DESC_91000610,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 200 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000611,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 240 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000612,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 290 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000613,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 350 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000614,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 420 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000615,"[การปะทะ] ลดการต้านทานสถานะผิดปกติของเป้าหมายลง 250 หน่วย และลดการบล็อคกายภาพลง 500 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000710,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 10% เป็นเวลา 10 วินาที"
SKILL_DESC_91000711,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 12% เป็นเวลา 10 วินาที"
SKILL_DESC_91000712,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 14% เป็นเวลา 10 วินาที"
SKILL_DESC_91000713,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 17% เป็นเวลา 10 วินาที"
SKILL_DESC_91000714,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 21% เป็นเวลา 10 วินาที"
SKILL_DESC_91000715,"[ไฟรัว] เพิ่มความเสียหาย 50% และเพิ่มความเสียหายกายภาพที่เป้าหมายได้รับ 25% เป็นเวลา 10 วินาที"
SKILL_DESC_91000810,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 100 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000811,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 120 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000812,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 140 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000813,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 170 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000814,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 210 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000815,"[สายฟ้าฟาด] ลดอัตราการรักษาของเป้าหมายลง 30% และลดมานาของเป้าหมายลง 250 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91000910,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 20% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91000911,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 24% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91000912,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 29% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91000913,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 35% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91000914,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 42% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91000915,"[โจมตีดูดกลืน] เพิ่มความเสียหาย 50% และเพิ่มพลังโจมตี 20% เมื่อกำจัดศัตรูเป็นเวลา 10 วินาที การเพิ่มพลังโจมตีสามารถซ้อนทับกันได้สูงสุด 3 ครั้ง"
SKILL_DESC_91001010,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 1 วินาที"
SKILL_DESC_91001011,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 1.2 วินาที"
SKILL_DESC_91001012,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 1.4 วินาที"
SKILL_DESC_91001013,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 1.7 วินาที"
SKILL_DESC_91001014,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 2.1 วินาที"
SKILL_DESC_91001015,"[ฝนลูกธนู] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 2.5 วินาที"
SKILL_DESC_91001110,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 100 หน่วย"
SKILL_DESC_91001111,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 120 หน่วย"
SKILL_DESC_91001112,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 140 หน่วย"
SKILL_DESC_91001113,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 170 หน่วย"
SKILL_DESC_91001114,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 210 หน่วย"
SKILL_DESC_91001115,"[พายุอีกา] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดมานาของเป้าหมายลง 250 หน่วย"
SKILL_DESC_91001210,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 200 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001211,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 240 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001212,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 290 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001213,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 350 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001214,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 420 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001215,"[ตูมมมม!] ต้านทานสถานะผิดปกติภายในระยะเวลาของสกิล และลดความต้านทานคริติคอลกายภาพของเป้าหมายลง 500 หน่วยเป็นเวลา 10 วินาที"
SKILL_DESC_91001310,"[ป่าหนาม] ลดค่ามานาลง 1 หน่วยและลดเวลาคูลดาวน์ลง 0.8 วินาที"
