KEY,Vietnamese
SKILL_DESC_91000110,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 4% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000111,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 4.8% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000112,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 5.8% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000113,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 7% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000114,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 8.4% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000115,[Lưỡi đao phán quyết] Giảm 30% Thời gian hồi chiêu và tăng 10% Sát thương khi sử dụng. Hiệu ứng này có thể cộng dồn tối đa 10 lần.
SKILL_DESC_91000210,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 1 giây.
SKILL_DESC_91000211,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 1.2 giây.
SKILL_DESC_91000212,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 1.4 giây.
SKILL_DESC_91000213,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 1.7 giây.
SKILL_DESC_91000214,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 2.1 giây.
SKILL_DESC_91000215,[Ánh sáng huyền diệu] Tăng 50% Tỷ lệ hồi máu và giúp mục tiêu Miễn nhiễm sát thương trong 2.5 giây.
SKILL_DESC_91000310,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 100 Mana của mục tiêu đó.
SKILL_DESC_91000311,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 120 Mana của mục tiêu đó.
SKILL_DESC_91000312,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 140 Mana của mục tiêu đó.
SKILL_DESC_91000313,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 170 Mana của mục tiêu đó.
SKILL_DESC_91000314,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 210 Mana của mục tiêu đó.
SKILL_DESC_91000315,[Kim lửa] Đổi mục tiêu sang kẻ địch có lực tấn công cao nhất và giảm 250 Mana của mục tiêu đó.
