KEY,Japanese
SKILL_NAME_7510,審判を下せ！！
SKILL_NAME_7511,審判を下せ！！II
SKILL_NAME_7512,審判を下せ！！III
SKILL_NAME_7513,審判を下せ！！IV
SKILL_NAME_7520,力を貸したまえ！！
SKILL_NAME_7521,力を貸したまえ！！II
SKILL_NAME_7522,力を貸したまえ！！III
SKILL_NAME_7523,力を貸したまえ！！IV
SKILL_NAME_7530,苦しみを断ち切らんことを！！
SKILL_NAME_7531,苦しみを断ち切らんことを！！II
SKILL_NAME_7532,苦しみを断ち切らんことを！！III
SKILL_NAME_7533,苦しみを断ち切らんことを！！IV
SKILL_NAME_7540,祖先の力を見せてやろう！！
SKILL_NAME_7541,祖先の力を見せてやろう！！II
SKILL_NAME_7542,祖先の力を見せてやろう！！III
SKILL_NAME_7543,祖先の力を見せてやろう！！IV
SKILL_NAME_60007510,審判を下せ！！[光]
SKILL_NAME_60007511,審判を下せ！！[闇]
SKILL_NAME_60007520,力を貸したまえ！！[光]
SKILL_NAME_60007521,力を貸したまえ！！[闇]
SKILL_NAME_60007530,苦しみを断ち切らんことを！！[光]
SKILL_NAME_60007531,苦しみを断ち切らんことを！！[闇]
SKILL_NAME_60007540,祖先の力を見せてやろう！！[光]
SKILL_NAME_60007541,祖先の力を見せてやろう！！[闇]
SKILL_NAME_60007550,ダカーリス[光]
SKILL_NAME_60007551,ダカーリス[闇]
SKILL_DESC_7510,対象の敵とその周囲範囲内を攻撃し、[ffc800]{1}[-]の魔法ダメージを与えて[64ffff]{2}[-]秒間気絶させ、範囲内の味方のHPを[ffc800]{3}[-]回復させます。[力を貸したまえ！！]発動すると、このスキルのクールタイムを初期化し、3回使用するまでスキルクールタイムが発生しません。
SKILL_DESC_7511,ダメージが[64ff64]{1}[-]%増加します。
SKILL_DESC_7512,ダメージが[64ff64]{1}[-]%増加します。
SKILL_DESC_7513,ダメージが[64ff64]{1}[-]%増加します。
