KEY,Portuguese
SKILL_NAME_7510,Execute o julgamento!!
SKILL_NAME_7511,Execute o julgamento!! II
SKILL_NAME_7512,Execute o julgamento!! III
SKILL_NAME_7513,Execute o julgamento!! IV
SKILL_NAME_7520,Me dê sua força!!
SKILL_NAME_7521,Me dê sua força!! II
SKILL_NAME_7522,Me dê sua força!! III
SKILL_NAME_7523,Me dê sua força!! IV
SKILL_NAME_7530,Acabe com o sofrimento!!
SKILL_NAME_7531,Acabe com o sofrimento!! II
SKILL_NAME_7532,Acabe com o sofrimento!! III
SKILL_NAME_7533,Acabe com o sofrimento!! IV
SKILL_NAME_7540,Veja a força dos antepassados!!
SKILL_NAME_7541,Veja a força dos antepassados!! II
SKILL_NAME_7542,Veja a força dos antepassados!! III
SKILL_NAME_7543,Veja a força dos antepassados!! IV
SKILL_NAME_60007510,Execute o julgamento!! [Luz]
SKILL_NAME_60007511,Execute o julgamento!! [Escuridão]
SKILL_NAME_60007520,Me dê sua força!! [Luz]
SKILL_NAME_60007521,Me dê sua força!! [Escuridão]
SKILL_NAME_60007530,Acabe com o sofrimento!! [Luz]
SKILL_NAME_60007531,Acabe com o sofrimento!! [Escuridão]
SKILL_NAME_60007540,Veja a força dos antepassados!! [Luz]
SKILL_NAME_60007541,Veja a força dos antepassados!! [Escuridão]
SKILL_NAME_60007550,Dakaris [Luz]
SKILL_NAME_60007551,Dakaris [Escuridão]
SKILL_DESC_7510,"Ataca o alvo e os inimigos ao redor causando [ffc800]{1}[-] de DANO M além de atordoar por [64ffff]{2}[-] seg e recuperar o PV de aliados ao redor em [ffc800]{3}[-]. Ao ativar [Me dê sua força!!], o tempo de resfriamento desta habilidade será reiniciado e o tempo de resfriamento não será aplicado até que a habilidade seja usada por 3 vezes. "
SKILL_DESC_7511,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7512,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7513,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7520,"Recupera [ffc800]{2}[-] de PV e {3} orbes de PM, e aumenta o ATQ em [64ff64]{4}[-] ao longo de [64ffff]{1}[-]s. Caso o PV esteja cheio, cria um escudo capaz de bloquear DANO recebido em [ffc800]{5}[-] e criar imunidade a efeitos de status por [64ff64]{6}[-]s. Aplica-se a todos, caso o número de aliados seja igual ou inferior a 3."
SKILL_DESC_7521,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_7522,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_7523,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_7530,"Ataca um alvo aleatório 5x causando DANO M total de [ffc800]{1}[-] e, caso o alvo seja um herói, causa DANO M adicional de [ffc800]{2}[-]. Caso seu status seja [Me dê sua força!!], atacará primeiro o adversário com maior poder de ATQ."
SKILL_DESC_7531,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7532,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7533,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_7540,"Caso o PV esteja cheio, aumenta o ATQ em [64ff64]{1}[-], caso contrário, recupera o PV em [ffc800]{2}[-] a cada seg. Quando recebe um golpe fatal, bloqueia [ffc800]{3}[-] de DANO recebido e cria um escudo de imunidade a efeito de status a cada [64ff64]{4}[-]s, gastando todo seu PM. Não é capaz de recuperar seu PM enquanto o escudo está ativo."
SKILL_DESC_7541,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_7542,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_7543,Aumenta a taxa de aumento de ATQ em [64ff64]{1}[-] %.
SKILL_DESC_60007510,Aumenta a duração do atordoamento em 1s.
SKILL_DESC_60007511,Reduz o custo de PM em 1.
SKILL_DESC_60007520,"Ao ativar, aumenta sua própria VEL de ATQ em 500."
SKILL_DESC_60007521,Aumenta a duração do escudo protetor em 5s.
SKILL_DESC_60007530,Cria imunidade a efeito de status quando usada.
SKILL_DESC_60007531,Aumenta o DANO em 40%.
SKILL_DESC_60007540,Reforça a quantidade de Cura em 100%.
SKILL_DESC_60007541,"Caso o PV esteja cheio, recupera 300 de PM a cada seg."
SKILL_DESC_60007550,"ATQ, DEF, PV +15% / CHANCE CRÍT +100"
SKILL_DESC_60007551,"Durante os primeiros 5 seg do início da primeira batalha, você recebe o [Conselho dos Antepassados], aumentando a sua RST a efeitos de status em 200. Caso passados os 5 seg, ainda tenha o [Conselho dos Antepassados], serão removidos efeitos negativos de 3 aliados aleatórios e a DEF desses aliados será aumentada em 50% por 10 seg. Não é possível remover o efeito de aumento da DEF."
SKILL_DESC_90000750,Reduz o DANO recebido em 10% e aumenta a RST a efeitos de status em 100. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_90000751,Reduz o DANO recebido em 12% e aumenta a RST a efeitos de status em 120. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_90000752,Reduz o DANO recebido em 14% e aumenta a RST a efeitos de status em 140. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_90000753,Reduz o DANO recebido em 17% e aumenta a RST a efeitos de status em 170. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_90000754,Reduz o DANO recebido em 21% e aumenta a RST a efeitos de status em 210. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_90000755,Reduz o DANO recebido em 25% e aumenta a RST a efeitos de status em 250. Este efeito dobra a cada 2 seg após o uso da habilidade.
SKILL_DESC_91007510,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 1% do PV Máx. do aliado curado.
SKILL_DESC_91007511,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 1.2% do PV Máx. do aliado curado.
SKILL_DESC_91007512,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 1.4% do PV Máx. do aliado curado.
SKILL_DESC_91007513,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 1.7% do PV Máx. do aliado curado.
SKILL_DESC_91007514,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 2.1% do PV Máx. do aliado curado.
SKILL_DESC_91007515,[Execute o julgamento!!] Aumenta o DANO em 50% e recupera o PV em 2.5% do PV Máx. do aliado curado.
SKILL_DESC_91007520,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 20%.
SKILL_DESC_91007521,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 24%.
SKILL_DESC_91007522,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 29%.
SKILL_DESC_91007523,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 35%.
SKILL_DESC_91007524,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 42%.
SKILL_DESC_91007525,[Me dê sua força!!] Reduz o tempo de resfriamento em 5s e aumenta as taxas de cura de PV e recuperação de PM em 50%.
SKILL_DESC_91007530,"[Acabe com o sofrimento!!] Aumenta o DANO em 20% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007531,"[Acabe com o sofrimento!!] Aumenta o DANO em 24% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007532,"[Acabe com o sofrimento!!] Aumenta o DANO em 29% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007533,"[Acabe com o sofrimento!!] Aumenta o DANO em 35% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007534,"[Acabe com o sofrimento!!] Aumenta o DANO em 42% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007535,"[Acabe com o sofrimento!!] Aumenta o DANO em 50% e, caso mate o adversário, a habilidade é usada mais uma vez."
SKILL_DESC_91007540,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 20% e o escudo se aplica a todos os aliados.
SKILL_DESC_91007541,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 24% e o escudo se aplica a todos os aliados.
SKILL_DESC_91007542,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 29% e o escudo se aplica a todos os aliados.
SKILL_DESC_91007543,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 35% e o escudo se aplica a todos os aliados.
SKILL_DESC_91007544,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 42% e o escudo se aplica a todos os aliados.
SKILL_DESC_91007545,[Veja a força dos antepassados!!] Aumenta a proteção de escudo em 50% e o escudo se aplica a todos os aliados.
SKILL_NAME_7110,"Corte, Lâmina da Justiça!"
SKILL_NAME_7111,"Corte, Lâmina da Justiça! II"
SKILL_NAME_7112,"Corte, Lâmina da Justiça! III"
SKILL_NAME_7113,"Corte, Lâmina da Justiça! IV"
SKILL_NAME_7120,"Disperse, Neblina de Cristal!"
SKILL_NAME_7121,"Disperse, Neblina de Cristal! II"
SKILL_NAME_7122,"Disperse, Neblina de Cristal! III"
SKILL_NAME_7123,"Disperse, Neblina de Cristal! IV"
SKILL_NAME_7130,"Desabroche, Flor Escarlate!"
SKILL_NAME_7131,"Desabroche, Flor Escarlate! II"
SKILL_NAME_7132,"Desabroche, Flor Escarlate! III"
SKILL_NAME_7133,"Desabroche, Flor Escarlate! IV"
SKILL_NAME_7140,Chega de Maldade!
SKILL_NAME_7141,Chega de Maldade! II
SKILL_NAME_7142,Chega de Maldade! III
SKILL_NAME_7143,Chega de Maldade! IV
SKILL_NAME_60007110,"Corte, Lâmina da Justiça! [Luz]"
SKILL_NAME_60007111,"Corte, Lâmina da Justiça! [Escuridão]"
SKILL_NAME_60007120,"Disperse, Neblina de Cristal! [Luz]"
SKILL_NAME_60007121,"Disperse, Neblina de Cristal! [Escuridão]"
SKILL_NAME_60007130,"Desabroche, Flor Escarlate! [Luz]"
SKILL_NAME_60007131,"Desabroche, Flor Escarlate! [Escuridão]"
SKILL_NAME_60007140,Chega de Maldade! [Luz]
SKILL_NAME_60007141,Chega de Maldade! [Escuridão]
SKILL_NAME_60007150,Kirze [Luz]
SKILL_NAME_60007151,Kirze [Escuridão]
