KEY,"Thai"
SKILL_NAME_7510,"รับคำพิพากษา!!"
SKILL_NAME_7511,"รับคำพิพากษา!! II"
SKILL_NAME_7512,"รับคำพิพากษา!! III"
SKILL_NAME_7513,"รับคำพิพากษา!! IV"
SKILL_NAME_7520,"จะต้องยืมพลัง!!"
SKILL_NAME_7521,"จะต้องยืมพลัง!! II"
SKILL_NAME_7522,"จะต้องยืมพลัง!! III"
SKILL_NAME_7523,"จะต้องยืมพลัง!! IV"
SKILL_NAME_7530,"จงหยุดความเจ็บปวด!!"
SKILL_NAME_7531,"จงหยุดความเจ็บปวด!! II"
SKILL_NAME_7532,"จงหยุดความเจ็บปวด!! III"
SKILL_NAME_7533,"จงหยุดความเจ็บปวด!! IV"
SKILL_NAME_7540,"แสดงพลังแห่งบรรพบุรุษ!!"
SKILL_NAME_7541,"แสดงพลังแห่งบรรพบุรุษ!! II"
SKILL_NAME_7542,"แสดงพลังแห่งบรรพบุรุษ!! III"
SKILL_NAME_7543,"แสดงพลังแห่งบรรพบุรุษ!! IV"
SKILL_NAME_60007510,"รับคำพิพากษา!! [แสงสว่าง]"
SKILL_NAME_60007511,"รับคำพิพากษา!! [ความมืด]"
SKILL_NAME_60007520,"จะต้องยืมพลัง!! [แสงสว่าง]"
SKILL_NAME_60007521,"จะต้องยืมพลัง!! [ความมืด]"
SKILL_NAME_60007530,"จงหยุดความเจ็บปวด!! [แสงสว่าง]"
SKILL_NAME_60007531,"จงหยุดความเจ็บปวด!! [ความมืด]"
SKILL_NAME_60007540,"แสดงพลังแห่งบรรพบุรุษ!! [แสงสว่าง]"
SKILL_NAME_60007541,"แสดงพลังแห่งบรรพบุรุษ!! [ความมืด]"
SKILL_NAME_60007550,"Dakaris [แสงสว่าง]"
SKILL_NAME_60007551,"Dakaris [ความมืด]"
SKILL_DESC_7510,"โจมตีเป้าหมายและศัตรูรอบๆเพื่อสร้างความเสียหายเวท [ffc800]{1}[-] และทำให้สตันเป็นเวลา [64ffff]{2}[-] วินาที ฟื้นฟู HP ของพันธมิตร [ffc800]{3}[-] [จะต้องยืมพลัง!!] เมื่อเปิดใช้งาน จะรีเซทเวลาคูลดาวน์ของสกิลนี้ และหากใช้ถึง 3 ครั้งจะไม่เกิดเวลาคูลดาวน์อีก"
SKILL_DESC_7511,"เพิ่มความเสียหาย [64ff64]{1}[-] %"
SKILL_DESC_7512,"เพิ่มความเสียหาย [64ff64]{1}[-] %"
SKILL_DESC_7513,"เพิ่มความเสียหาย [64ff64]{1}[-] %"
SKILL_DESC_7520,"ในเวลา [64ffff]{1}[-]วินาที จะฟื้นฟู HP ของตัวเอง [ffc800]{2}[-] ฟื้นฟู MP {3} หน่วย และเพิ่มพลังโจมตี [64ff64]{4}[-] เมื่อเปิดใช้งาน หากมี HP เต็ม จะป้องกันความเสียหาย [ffc800]{5}[-] และสร้างเกราะป้องกันที่ต้านทานผลจากสถานะผิดปกติเป็นเวลา [64ff64]{6}[-] วินาที หากมีพันธมิตรไม่เกิน 3 คน จะมีเอฟเฟคแก่พันธมิตรทั้งหมด"
