KEY,"Vietnamese"
SKILL_NAME_7510,"Lệnh phán quyết"
SKILL_NAME_7511,"Lệnh phán quyết II"
SKILL_NAME_7512,"Lệnh phán quyết III"
SKILL_NAME_7513,"Lệnh phán quyết IV"
SKILL_NAME_7520,"Mượn sức mạnh"
SKILL_NAME_7521,"Mượn sức mạnh II"
SKILL_NAME_7522,"Mượn sức mạnh III"
SKILL_NAME_7523,"Mượn sức mạnh IV"
SKILL_NAME_7530,"Chấm dứt nỗi đau"
SKILL_NAME_7531,"Chấm dứt nỗi đau II"
SKILL_NAME_7532,"Chấm dứt nỗi đau III"
SKILL_NAME_7533,"Chấm dứt nỗi đau IV"
SKILL_NAME_7540,"Sức mạnh tổ tiên"
SKILL_NAME_7541,"Sức mạnh tổ tiên II"
SKILL_NAME_7542,"Sức mạnh tổ tiên III"
SKILL_NAME_7543,"Sức mạnh tổ tiên IV"
SKILL_NAME_60007510,"Lệnh phán quyết [Ánh sáng]"
SKILL_NAME_60007511,"Lệnh phán quyết [Bóng tối]"
SKILL_NAME_60007520,"Mượn sức mạnh [Ánh sáng]"
SKILL_NAME_60007521,"Mượn sức mạnh [Bóng tối]"
SKILL_NAME_60007530,"Chấm dứt nỗi đau [Ánh sáng]"
SKILL_NAME_60007531,"Chấm dứt nỗi đau [Bóng tối]"
SKILL_NAME_60007540,"Sức mạnh tổ tiên [Ánh sáng]"
SKILL_NAME_60007541,"Sức mạnh tổ tiên [Bóng tối]"
SKILL_NAME_60007550,"Dakaris [Ánh sáng]"
SKILL_NAME_60007551,"Dakaris [Bóng tối]"
SKILL_DESC_7510,"Tấn công kẻ địch và phạm vi xung quanh, gây [ffc800]{1}[-] sát thương phép thuật, làm choáng kẻ địch trong [64ffff]{2}[-] giây và hồi phục [ffc800]{3}[-] thể lực cho đồng đội trong phạm vi. Khi sử dụng 'Mượn sức mạnh', thời gian đợi hồi chiêu chiêu này sẽ được đặt lại và thời gian đợi hồi chiều sẽ không bị phát sinh cho tới khi dùng hết 3 lần chiêu này."
SKILL_DESC_7511,"Tăng [64ff64]{1}[-]% sát thương."
SKILL_DESC_7512,"Tăng [64ff64]{1}[-]% sát thương."
SKILL_DESC_7513,"Tăng [64ff64]{1}[-]% sát thương."
