KEY,ChineseSimplified
SKILL_NAME_110,审判之刃
SKILL_NAME_111,审判之刃II
SKILL_NAME_112,审判之刃III
SKILL_NAME_113,审判之刃IV
SKILL_NAME_140,英勇突刺
SKILL_NAME_141,英勇突刺II
SKILL_NAME_142,英勇突刺III
SKILL_NAME_143,英勇突刺IV
SKILL_NAME_130,天神附体
SKILL_NAME_131,天神附体II
SKILL_NAME_132,天神附体III
SKILL_NAME_133,天神附体IV
SKILL_NAME_120,神击
SKILL_NAME_121,神击II
SKILL_NAME_122,神击III
SKILL_NAME_123,神击IV
SKILL_NAME_150,圣光复苏
SKILL_NAME_3303810,审判之刃
SKILL_NAME_3303820,破灭
SKILL_NAME_3303830,魔王降临
SKILL_DESC_110,朝自身前方圆形范围内的敌人进行2次攻击，给予[ffc800]{1}[-]的物理伤害并在[64ffff]{2}[-]秒内使敌人倒下。
SKILL_DESC_111,伤害提高[64ff64]{1}[-]%
SKILL_DESC_112,伤害提高[64ff64]{1}[-]%
SKILL_DESC_113,伤害提高[64ff64]{1}[-]%
SKILL_DESC_140,朝目标敌人进行3次攻击，并冲至敌人身后给予[ffc800]{1}[-]的物理伤害。
SKILL_DESC_141,伤害提高[64ff64]{1}[-]%
SKILL_DESC_142,伤害提高[64ff64]{1}[-]%
SKILL_DESC_143,伤害提高[64ff64]{1}[-]%。
SKILL_DESC_130,对周围敌人造成[ffc800]{1}[-]物理伤害，并使敌人晕眩[64ffff]3[-]秒。此外，攻击力提高[ffc800]{3}[-]与闪避率提高[64ff64]{4}[-]，同时免疫状态异常，持续[64ffff]{2}[-]秒。此效果无法被解除。
SKILL_DESC_131,攻击提高[64ff64]{1}[-]%
SKILL_DESC_132,攻击提高[64ff64]{1}[-]%
SKILL_DESC_133,技能作用期间速度提高[64ff64]{1}[-]。
SKILL_DESC_120,自身的所有防御力增加[64ff64]{1}[-]，同时回避率增加[64ff64]{2}[-]。若成功回避时，[64ffff]{3}[-]秒内一般攻击的伤害量将增加[64ff64]{4}[-]%。
SKILL_DESC_121,防御力增加量提升[64ff64]{1}[-]%。
SKILL_DESC_122,防御力增加量提升[64ff64]{1}[-]%。
SKILL_DESC_123,防御力增加量提升[64ff64]{1}[-]%。
SKILL_DESC_90000010,每次攻击有35%的机会造成160%攻击的物理伤害。
SKILL_DESC_90000011,每次攻击有35%的机会造成192%攻击的物理伤害。
SKILL_DESC_90000012,每次攻击有35%的机会造成230%攻击的物理伤害。
SKILL_DESC_90000013,每次攻击有35%的机会造成276%攻击的物理伤害。
SKILL_DESC_90000014,每次攻击有35%的机会造成331%攻击的物理伤害。
SKILL_DESC_90000015,每次攻击有35%的机会造成400%攻击的物理伤害。
SKILL_NAME_210,神迹之光
SKILL_NAME_211,神迹之光II
SKILL_NAME_212,神迹之光III
SKILL_NAME_213,神迹之光IV
SKILL_NAME_230,光之祝福
SKILL_NAME_231,光之祝福II
SKILL_NAME_232,光之祝福III
SKILL_NAME_233,光之祝福IV
SKILL_NAME_240,天堂复仇
SKILL_NAME_241,天堂复仇II
SKILL_NAME_242,天堂复仇III
SKILL_NAME_243,天堂复仇IV
SKILL_NAME_220,女神恩典
SKILL_NAME_221,女神恩典II
SKILL_NAME_222,女神恩典III
SKILL_NAME_223,女神恩典IV
SKILL_NAME_250,天堂守护
SKILL_NAME_3303910,破灭之光
SKILL_NAME_3303920,破灭的祝福
SKILL_NAME_3303930,天堂复仇
SKILL_DESC_210,回复生命值最低的友军[ffc800]{1}[-]生命值。
SKILL_DESC_211,治愈量提高[64ff64]{1}[-]%。
SKILL_DESC_212,治愈量提高[64ff64]{1}[-]%。
SKILL_DESC_213,移除目标的负面效果。
SKILL_DESC_230,对所有的友军施放于[ffc800]{1}[-]秒内吸收[64ffff]{2}[-]点伤害的防护罩，此外在防护罩生效的时间内对状态异常免疫。\n
SKILL_DESC_231,护盾效果提高[64ff64]{1}[-]%。
SKILL_DESC_232,护盾效果提高[64ff64]{1}[-]%。
SKILL_DESC_233,技能作用期间，目标回复力提高[64ff64]{1}[-]%。
SKILL_DESC_240,攻击敌人对象及其周边范围内的敌人6次共造成[ffc800]{1}[-]的魔法伤害。受到伤害的对象将于[64ffff]{2}[-]秒内陷入致盲状态且受到的所有伤害增加{3}%。
SKILL_DESC_241,伤害提高[64ff64]{1}[-]%
SKILL_DESC_242,伤害提高[64ff64]{1}[-]%
SKILL_DESC_243,暴击机率提高[64ff64]{1}[-]。
SKILL_DESC_220,每隔15秒针对[64ffff]1[-]名我方生命值最弱的友军，在[64ffff]{1}[-]秒内提升其魔法防御力[64ff64]{2}[-]。
SKILL_DESC_221,魔法防御提高[64ff64]{1}[-]%
SKILL_DESC_222,魔法防御提高[64ff64]{1}[-]%
SKILL_DESC_223,在技能作用时间治疗目标生命值[64ff64]{1}[-]%。
SKILL_DESC_90000020,每8秒使生命值最低的4名友军回复相当于攻击力80%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加20%。
SKILL_DESC_90000021,每8秒使生命值最低的4名友军回复相当于攻击力96%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加24%。
SKILL_DESC_90000022,每8秒使生命值最低的4名友军回复相当于攻击力115%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加29%。
SKILL_DESC_90000023,每8秒使生命值最低的4名友军回复相当于攻击力138%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加35%。
SKILL_DESC_90000024,每8秒使生命值最低的4名友军回复相当于攻击力165%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加42%。
SKILL_DESC_90000025,每8秒使生命值最低的4名友军回复相当于攻击力200%的生命值，并在8秒内使攻击力最高的友军的暴击率增加300、暴击伤害量增加50%。
SKILL_NAME_310,火焰钻刺
SKILL_NAME_311,火焰钻刺II
SKILL_NAME_312,火焰钻刺III
SKILL_NAME_313,火焰钻刺IV
SKILL_NAME_340,火球术
SKILL_NAME_341,火球术II
SKILL_NAME_342,火球术III
SKILL_NAME_343,火球术IV
SKILL_NAME_330,火焰骤雨
SKILL_NAME_331,火焰骤雨II
SKILL_NAME_332,火焰骤雨III
SKILL_NAME_333,火焰骤雨IV
SKILL_NAME_320,烈焰扩散
SKILL_NAME_321,烈焰扩散II
SKILL_NAME_322,烈焰扩散III
SKILL_NAME_323,烈焰扩散IV
SKILL_NAME_350,炽焰
SKILL_DESC_310,攻击任意敌人5次并总共造成[ffc800]{1}[-]魔法伤害。暴击时自己的魔力回复100。
SKILL_DESC_311,伤害提高[64ff64]{1}[-]%
SKILL_DESC_312,伤害提高[64ff64]{1}[-]%
SKILL_DESC_313,伤害提高[64ff64]{1}[-]%
SKILL_DESC_340,对敌人与其周边范围内的敌人造成[ffc800]{1}[-]魔法伤害并在[64ffff]2[-]秒内使其晕眩。如攻击对象是BOSS，将额外造成[ffc800]{2}[-]魔法伤害。
SKILL_DESC_341,伤害提高[64ff64]{1}[-]%
SKILL_DESC_342,伤害提高[64ff64]{1}[-]%
SKILL_DESC_343,伤害提高[64ff64]{1}[-]%
SKILL_DESC_330,攻击全部敌人5次并总共造成[ffc800]{1}[-]魔法伤害。本攻击的暴击伤害量将提高150%。
SKILL_DESC_331,伤害提高[64ff64]{1}[-]%
SKILL_DESC_332,伤害提高[64ff64]{1}[-]%
SKILL_DESC_333,伤害提高[64ff64]{1}[-]%
SKILL_DESC_320,攻击时使对方堆叠[fa96fa]馀烬[-]。陷入馀烬状态下的敌人在20秒内受到[ffc800]{2}[-]持续魔法伤害。馀烬最多可堆叠10次。
SKILL_DESC_321,伤害提高[64ff64]{1}[-]%
SKILL_DESC_322,伤害提高[64ff64]{1}[-]%
SKILL_DESC_323,伤害提高[64ff64]{1}[-]%
SKILL_DESC_90000030,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力3%的追加魔法伤害。
SKILL_DESC_90000031,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力3.6%的追加魔法伤害。
SKILL_DESC_90000032,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力4.3%的追加魔法伤害。
SKILL_DESC_90000033,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力5.2%的追加魔法伤害。
SKILL_DESC_90000034,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力6.3%的追加魔法伤害。
SKILL_DESC_90000035,使用技能攻击时，目标的余烬每堆叠1次，将受到相当于攻击力7.5%的追加魔法伤害。
SKILL_NAME_430,无情
SKILL_NAME_431,无情II
SKILL_NAME_432,无情III
SKILL_NAME_433,无情IV
SKILL_NAME_420,隐匿披风
SKILL_NAME_421,隐匿披风II
SKILL_NAME_422,隐匿披风III
SKILL_NAME_423,隐匿披风IV
SKILL_NAME_440,凶残刃爪
SKILL_NAME_441,凶残刃爪II
SKILL_NAME_442,凶残刃爪III
SKILL_NAME_443,凶残刃爪IV
SKILL_NAME_410,劈击
SKILL_NAME_411,劈击II
SKILL_NAME_412,劈击III
SKILL_NAME_413,劈击IV
SKILL_NAME_450,袭杀弱者
SKILL_DESC_430,攻击任意敌人[64ffff]3[-]次，造成共[ffc800]{1}[-]物理伤害，并堆叠[64ffff]1[-]层[fa96fa]流血[-]。 [fa96fa]流血[-]在{2}秒内会造成共[ffc800]{3}[-]的持续物理伤害，最多可堆叠[64ffff]3[-]层。
SKILL_DESC_431,伤害提高[64ff64]{1}[-]%
SKILL_DESC_432,伤害提高[64ff64]{1}[-]%
SKILL_DESC_433,暴击伤害提高[64ff64]{1}[-]%
SKILL_DESC_420,[64ffff]{1}[-]秒内，攻击提高[ffc800]{2}[-]且闪避所有会造成物理伤害的攻击。
SKILL_DESC_421,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_422,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_423,技能作用期间攻击速度提高[64ff64]{1}[-]。
SKILL_DESC_440,移动到生命值最低的敌人背后并造成[FFC800]{1}[-]点物理伤害。每层流血效果提高[64ff64]{2}[-]%伤害且攻击后移除所有流血效果。暴击时回復[64ffff]2[-]法力且重置技能冷却时间。
SKILL_DESC_441,伤害提高[64ff64]{1}[-]%
SKILL_DESC_442,伤害提高[64ff64]{1}[-]%
SKILL_DESC_443,暴击伤害提高[64ff64]{1}[-]%
SKILL_DESC_410,发动暴击时，将朝目标敌人攻击6次给予共[ffc800]{1}[-]的额外物理伤害。
SKILL_DESC_411,伤害提高[64ff64]{1}[-]%
SKILL_DESC_412,伤害提高[64ff64]{1}[-]%
SKILL_DESC_413,暴击伤害提高[64ff64]{1}[-]%
SKILL_DESC_90000040,每次自动攻击有25%的机会造成流血效果，并额外造成相当于50%攻击的伤害。
SKILL_DESC_90000041,每次自动攻击有28%的机会造成流血效果，并额外造成相当于60%攻击的伤害。
SKILL_DESC_90000042,每次自动攻击有31%的机会造成流血效果，并额外造成相当于72%攻击的伤害。
SKILL_DESC_90000043,每次自动攻击有34%的机会造成流血效果，并额外造成相当于86%攻击的伤害。
SKILL_DESC_90000044,每次自动攻击有37%的机会造成流血效果，并额外造成相当于103%攻击的伤害。
SKILL_DESC_90000045,每次自动攻击有40%的机会造成流血效果，并额外造成相当于125%攻击的伤害。
SKILL_NAME_520,重力猛击
SKILL_NAME_521,重力猛击II
SKILL_NAME_522,重力猛击III
SKILL_NAME_523,重力猛击IV
SKILL_NAME_510,战斗怒嚎
SKILL_NAME_511,战斗怒嚎II
SKILL_NAME_512,战斗怒嚎III
SKILL_NAME_513,战斗怒嚎IV
SKILL_NAME_530,漩涡斩
SKILL_NAME_531,漩涡斩II
SKILL_NAME_532,漩涡斩III
SKILL_NAME_533,漩涡斩IV
SKILL_NAME_540,暴怒
SKILL_NAME_541,暴怒II
SKILL_NAME_542,暴怒III
SKILL_NAME_543,暴怒IV
SKILL_NAME_550,血性狂怒
SKILL_DESC_520,对范围内的敌人造成[ffc800]{1}[-]物理伤害，并在首次攻击时将对方推倒[64ffff]{2}[-]秒并在10秒内使其攻击速度降低250。
SKILL_DESC_521,伤害提高[64ff64]{1}[-]%
SKILL_DESC_522,伤害提高[64ff64]{1}[-]%
SKILL_DESC_523,伤害提高[64ff64]{1}[-]%
SKILL_DESC_510,所有友军的攻击提高[ffc800]{2}[-]持续[64ffff]{1}[-]秒。启动时移除友军身上的负面效果。
SKILL_DESC_511,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_512,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_513,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_530,对周围的敌人造成[ffc800]{1}[-]物理伤害，并对不是英雄的敌人造成[ffc800]{2}[-]物理伤害。最后攻击时将使周围的敌人陷入冰冻状态[64ffff]{3}[-]秒。使用技能的期间不会陷入状态异常。
SKILL_DESC_531,伤害提高[64ff64]{1}[-]%
SKILL_DESC_532,伤害提高[64ff64]{1}[-]%
SKILL_DESC_533,施放时把周围敌人拉近。
SKILL_DESC_540,攻击时在[64ffff]{1}[-]秒内攻击力增加[ffc800]{2}[-]并对不是英雄的敌人造成的伤害量增加3%。最多可堆叠[64ffff]10[-]次。
SKILL_DESC_541,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_542,攻击提高[64ff64]{1}[-]%。
SKILL_DESC_543,每个堆叠提高控场抵抗50。
SKILL_DESC_90000050,自身的生命值上限增加{1}%，生命值每减少1%时，攻击力将增加{2}%且攻击速度增加{3}。
