KEY,ChineseTraditional
SKILL_NAME_110,審判之刃
SKILL_NAME_111,審判之刃II
SKILL_NAME_112,審判之刃III
SKILL_NAME_113,審判之刃IV
SKILL_NAME_140,英勇突刺
SKILL_NAME_141,英勇突刺II
SKILL_NAME_142,英勇突刺III
SKILL_NAME_143,英勇突刺IV
SKILL_NAME_130,天神附體
SKILL_NAME_131,天神附體II
SKILL_NAME_132,天神附體III
SKILL_NAME_133,天神附體IV
SKILL_NAME_120,神擊
SKILL_NAME_121,神擊II
SKILL_NAME_122,神擊III
SKILL_NAME_123,神擊IV
SKILL_NAME_150,聖光復蘇
SKILL_NAME_3303810,審判之刃
SKILL_NAME_3303820,毀滅
SKILL_NAME_3303830,魔王降臨
SKILL_DESC_110,朝自身前方圓形範圍內的敵人進行2次攻擊，給予[ffc800]{1}[-]的物理傷害並在[64ffff]{2}[-]秒內使敵人倒下。
SKILL_DESC_111,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_112,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_113,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_140,朝目標敵人進行3次攻擊，並衝至敵人身後給予[ffc800]{1}[-]的物理傷害。
SKILL_DESC_141,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_142,傷害量增加[64ff64]{1}[-]%
SKILL_DESC_143,傷害量增加[64ff64]{1}[-]%。
SKILL_DESC_130,對周圍敵人造成[ffc800]{1}[-]物理傷害，並使敵人晕眩[64ffff]3[-]秒。此外，攻擊力提高[ffc800]{3}[-]與閃避率提高[64ff64]{4}[-]，同時免疫狀態異常，持續[64ffff]{2}[-]秒。此效果無法被解除。
SKILL_DESC_131,攻擊提高[64ff64]{1}[-]%
SKILL_DESC_132,攻擊提高[64ff64]{1}[-]%
SKILL_DESC_133,技能作用期間速度提高[64ff64]{1}[-]。
SKILL_DESC_120,自身的所有防禦力增加[64ff64]{1}[-]，且迴避率增加[64ff64]{2}[-]。當自身迴避成功時，在[64ffff]{3}[-]秒內一般攻擊的傷害量將增加[64ff64]{4}[-]%。
