KEY,"English"
SKILL_NAME_110,"Judgement Blade"
SKILL_NAME_111,"Judgement Blade II"
SKILL_NAME_112,"Judgement Blade III"
SKILL_NAME_113,"Judgement Blade IV"
SKILL_NAME_140,"Valiant Dash"
SKILL_NAME_141,"Valiant Dash II"
SKILL_NAME_142,"Valiant Dash III"
SKILL_NAME_143,"Valiant Dash IV"
SKILL_NAME_130,"Proxy of God"
SKILL_NAME_131,"Proxy of God II"
SKILL_NAME_132,"Proxy of God III"
SKILL_NAME_133,"Proxy of God IV"
SKILL_NAME_120,"Goddess Strike"
SKILL_NAME_121,"Goddess Strike II"
SKILL_NAME_122,"Goddess Strike III"
SKILL_NAME_123,"Goddess Strike IV"
SKILL_NAME_150,"Revival of Light"
SKILL_NAME_3303810,"Judgement Blade"
SKILL_NAME_3303820,"Doom"
SKILL_NAME_3303830,"Advent of Dark Lord"
SKILL_DESC_110,"Deals [ffc800]{1}[-] P.DMG 2 times to frontal enemies in a circle and knocks them down for [64ffff]{2}[-] sec."
SKILL_DESC_111,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_112,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_113,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_140,"Attacks the target 3 times, and then charges behind them to deal [ffc800]{1}[-] P.DMG."
SKILL_DESC_141,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_142,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_143,"Crit Chance is increased by [64ff64]{1}[-]."
SKILL_DESC_130,"Deals [ffc800]{1}[-] P.DMG to nearby enemies and inflicts Stun for [64ffff]3[-] sec. Additionally, for [64ffff]{2}[-] sec, ATK is increased by [ffc800]{3}[-] and Dodge Rate is increased by [64ff64]{4}[-], while gaining immunity to CC. This status cannot be dispelled."
SKILL_DESC_131,"ATK boost is increased by [64ff64]{1}[-] %."
SKILL_DESC_132,"ATK boost is increased by [64ff64]{1}[-] %."
SKILL_DESC_133,"Increases Spd by [64ff64]{1}[-] for the duration of skill."
SKILL_DESC_120,"Upon dodging, deals [ffc800]{1}[-] P.DMG to frontal enemies in range, and reduces their ACC by[64ffff]{2}[-] for [64ffff]5[-] sec. After hitting the target, recovers [64ff64]300[-] mana."
SKILL_DESC_121,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_122,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_123,"Crit Chance is increased by [64ff64]{1}[-]."
SKILL_DESC_90000010,"Each attack has a 35% chance of dealing 160 % of ATK as P.DMG."
SKILL_DESC_90000011,"Each attack has a 35% chance of dealing 192 % of ATK as P.DMG."
SKILL_DESC_90000012,"Each attack has a 35% chance of dealing 230 % of ATK as P.DMG."
SKILL_DESC_90000013,"Each attack has a 35% chance of dealing 276 % of ATK as P.DMG."
SKILL_DESC_90000014,"Each attack has a 35% chance of dealing 331 % of ATK as P.DMG."
SKILL_DESC_90000015,"Each attack has a 35% chance of dealing 400 % of ATK as P.DMG."
SKILL_NAME_210,"Miraculous Light"
SKILL_NAME_211,"Miraculous Light II"
SKILL_NAME_212,"Miraculous Light III"
SKILL_NAME_213,"Miraculous Light IV"
SKILL_NAME_230,"Blessings of Light"
SKILL_NAME_231,"Blessings of Light II"
SKILL_NAME_232,"Blessings of Light III"
SKILL_NAME_233,"Blessings of Light IV"
SKILL_NAME_240,"Heaven's Vengeance"
SKILL_NAME_241,"Heaven's Vengeance II"
SKILL_NAME_242,"Heaven's Vengeance III"
SKILL_NAME_243,"Heaven's Vengeance IV"
SKILL_NAME_220,"Goddess Grace"
SKILL_NAME_221,"Goddess Grace II"
SKILL_NAME_222,"Goddess Grace III"
SKILL_NAME_223,"Goddess Grace IV"
SKILL_NAME_250,"Heavenly Protection"
SKILL_NAME_3303910,"Light of Doom"
SKILL_NAME_3303920,"Blessing of Doom"
SKILL_NAME_3303930,"Heaven's Vengeance"
SKILL_DESC_210,"Heals [ffc800]{1}[-] HP of an ally with the lowest HP."
SKILL_DESC_211,"Heal rate is increased by [64ff64]{1}[-] %."
SKILL_DESC_212,"Heal rate is increased by [64ff64]{1}[-] %."
SKILL_DESC_213,"Removes negative effects from the target."
SKILL_DESC_230,"Cast a shield on all allies that absorbs [64ffff]{2}[-] DMG for [ffc800]{1}[-] sec. While the shield is in effect, gain Immunity to CC."
SKILL_DESC_231,"Shield is increased by [64ff64]{1}[-] %."
SKILL_DESC_232,"Shield is increased by [64ff64]{1}[-] %."
SKILL_DESC_233,"Target's Heal rate is increased by [64ff64]{1}[-] % for the duration of skill."
SKILL_DESC_240,"Attacks the target and its nearby enemies 6 times, dealing up to [ffc800]{1}[-] M.DMG. Hit targets will be blinded for [64ffff]{2}[-] sec, and take {3}% increased DMG."
SKILL_DESC_241,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_242,"DMG is increased by [64ff64]{1}[-] %."
SKILL_DESC_243,"Crit Chance is increased by [64ff64]{1}[-]."
SKILL_DESC_220,"Increases M.DEF of [64ffff]1[-] ally with the lowest HP by [64ff64]{2}[-] for [64ffff]{1}[-] sec every 15 sec."
SKILL_DESC_221,"M.DEF boost is increased by [64ff64]{1}[-] %."
SKILL_DESC_222,"M.DEF boost is increased by [64ff64]{1}[-] %."
SKILL_DESC_223,"Heals target's HP by [64ff64]{1}[-] % for the duration of skill."
SKILL_DESC_90000020,"Every 8 sec, heals 4 allies with the lowest HP by 80% of own ATK, and increases Crit Chance by 300 and Crit DMG by 20% for the ally with the highest ATK for 8 sec."
SKILL_DESC_90000021,"Every 8 sec, heals 4 allies with the lowest HP by 96% of own ATK, and increases Crit Chance by 300 and Crit DMG by 24% for the ally with the highest ATK for 8 sec."
SKILL_DESC_90000022,"Every 8 sec, heals 4 allies with the lowest HP by 115% of own ATK, and increases Crit Chance by 300 and Crit DMG by 29% for the ally with the highest ATK for 8 sec."
SKILL_DESC_90000023,"Every 8 sec, heals 4 allies with the lowest HP by 138% of own ATK, and increases Crit Chance by 300 and Crit DMG by 35% for the ally with the highest ATK for 8 sec."
SKILL_DESC_90000024,"Every 8 sec, heals 4 allies with the lowest HP by 165% of own ATK, and increases Crit Chance by 300 and Crit DMG by 42% for the ally with the highest ATK for 8 sec."
SKILL_DESC_90000025,"Every 8 sec, heals 4 allies with the lowest HP by 200% of own ATK, and increases Crit Chance by 300 and Crit DMG by 50% for the ally with the highest ATK for 8 sec."
SKILL_NAME_310,"Fire Needle"
SKILL_NAME_311,"Fire Needle II"
SKILL_NAME_312,"Fire Needle III"
SKILL_NAME_313,"Fire Needle IV"
SKILL_NAME_340,"Fire Ball"
SKILL_NAME_341,"Fire Ball II"
SKILL_NAME_342,"Fire Ball III"
SKILL_NAME_343,"Fire Ball IV"
SKILL_NAME_330,"Fire Rain"
SKILL_NAME_331,"Fire Rain II"
SKILL_NAME_332,"Fire Rain III"
SKILL_NAME_333,"Fire Rain IV"
SKILL_NAME_320,"Flame Diffusion"
SKILL_NAME_321,"Flame Diffusion II"
SKILL_NAME_322,"Flame Diffusion III"
SKILL_NAME_323,"Flame Diffusion IV"
SKILL_NAME_350,"Primal Flame"
