KEY,French
SKILL_NAME_110,Lame de Jugement
SKILL_NAME_111,Lame de Jugement II
SKILL_NAME_112,Lame de Jugement III
SKILL_NAME_113,Lame de Jugement IV
SKILL_NAME_140,Ruée Vaillante
SKILL_NAME_141,Ruée Vaillante II
SKILL_NAME_142,Ruée Vaillante III
SKILL_NAME_143,Ruée Vaillante IV
SKILL_NAME_130,Autorité de Dieu
SKILL_NAME_131,Autorité de Dieu II
SKILL_NAME_132,Autorité de Dieu III
SKILL_NAME_133,Autorité de Dieu IV
SKILL_NAME_120,Frappe de la Déesse
SKILL_NAME_121,Frappe de la Déesse II
SKILL_NAME_122,Frappe de la Déesse III
SKILL_NAME_123,Frappe de la Déesse IV
SKILL_NAME_150,Renouveau de Lumière
SKILL_NAME_3303810,Lame de jugement
SKILL_NAME_3303820,Destin
SKILL_NAME_3303830,Avènement du Seigneur des ténèbres
SKILL_DESC_110,Inflige 2 fois [ffc800]{1}[-] points de DEG P aux ennemis situés en face en cercle et les renverse pendant [64ffff]{2}[-] sec.
SKILL_DESC_111,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_112,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_113,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_140,"Attaque 3 fois la cible, puis fonce derrière elle pour infliger [ffc800]{1}[-] points de DEG P."
SKILL_DESC_141,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_142,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_143,Augmente les DEG infligés de [64ff64]{1}[-]%.
SKILL_DESC_130,"Inflige [ffc800]{1}[-] points de DEG P aux ennemis à portée et applique Étourdissement pendant [64ffff]3[-] sec. Pendant [64ffff]{2}[-] sec supplémentaires, l'ATQ est augmentée de [ffc800]{3}[-] et l'Esquive de [64ff64]{4}[-], tout en étant immunisé aux Contrôles. Ceci ne peut pas être dissipé."
SKILL_DESC_131,Le taux d'augmentation d'Attaque augmente de [64ff64]{1}[-]%.
