KEY,German
SKILL_NAME_110,Urteilsklinge
SKILL_NAME_111,Urteilsklinge II
SKILL_NAME_112,Urteilsklinge III
SKILL_NAME_113,Urteilsklinge IV
SKILL_NAME_140,Tollkühner Vorstoß
SKILL_NAME_141,Tollkühner Vorstoß II
SKILL_NAME_142,Tollkühner Vorstoß III
SKILL_NAME_143,Tollkühner Vorstoß IV
SKILL_NAME_130,Göttlicher Wille
SKILL_NAME_131,Göttlicher Wille II
SKILL_NAME_132,Göttlicher Wille III
SKILL_NAME_133,Göttlicher Wille IV
SKILL_NAME_120,Stoß der Göttin
SKILL_NAME_121,Stoß der Göttin II
SKILL_NAME_122,Stoß der Göttin III
SKILL_NAME_123,Stoß der Göttin IV
SKILL_NAME_150,Wiedergeburt des Lichts
SKILL_NAME_3303810,Urteilsklinge
SKILL_NAME_3303820,Verhängnis
SKILL_NAME_3303830,Aufbruch des Dunklen Lords
SKILL_DESC_110,Fügt Frontfeinden zweimal [ffc800]{1}[-] Körp. Schaden in einem Kreis zu und wirft sie für [64ffff]{2}[-] Sek. zu Boden.
SKILL_DESC_111,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_112,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_113,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_140,"Greift das Ziel 3-mal an und stürmt dann hinter es, um ihm [ffc800]{1}[-] Körp. Schaden zuzufügen."
SKILL_DESC_141,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_142,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_143,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_130,"Verursacht [ffc800]{1}[-] Körp. Schaden an umstehenden Gegnern und betäubt sie für [64ffff]3[-] Sek. Außerdem werden für [64ffff]{2}[-] Sek. ANG um [ffc800]{3}[-] und Ausweichrate um [64ff64]{4}[-] erhöht, während Massenkontroll-Immunität eintritt. Effekt kann nicht aufgehoben werden."
SKILL_DESC_131,Erhöht ANG-Boost um [64ff64]{1}[-] %.
SKILL_DESC_132,Erhöht ANG-Boost um [64ff64]{1}[-] %.
SKILL_DESC_133,Erhöht Geschw. um [64ff64]{1}[-] % während d. Wirkungsdauer.
SKILL_DESC_120,Alle eigene VERT werden um [64ff64]{1}[-] erhöht und die Ausweichrate wird um [64ff64]{2}[-] erhöht. Beim Ausweichen eines Angriffs wird [64ffff]{3}[-] Sek. lang der Normal-Schaden um [64ff64]{4}[-] % erhöht.
SKILL_DESC_121,Erhöht VERT-Erhöhungsrate um [64ff64]{1}[-] %.
SKILL_DESC_122,Erhöht VERT-Erhöhungsrate um [64ff64]{1}[-] %.
SKILL_DESC_123,Erhöht VERT-Erhöhungsrate um [64ff64]{1}[-] %.
SKILL_DESC_90000010,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (160 % der Angriffskr.)"
SKILL_DESC_90000011,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (192 % der Angriffskr.)"
SKILL_DESC_90000012,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (230 % der Angriffskr.)"
SKILL_DESC_90000013,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (276 % der Angriffskr.)"
SKILL_DESC_90000014,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (331 % der Angriffskr.)"
SKILL_DESC_90000015,"Jeder Angriff hat eine 35 % Chance, dem Feind Körp. Schaden zuzufügen (400 % der Angriffskr.)"
SKILL_NAME_210,Wundersames Licht
SKILL_NAME_211,Wundersames Licht II
SKILL_NAME_212,Wundersames Licht III
SKILL_NAME_213,Wundersames Licht IV
SKILL_NAME_230,Segen des Lichts
SKILL_NAME_231,Segen des Lichts II
SKILL_NAME_232,Segen des Lichts III
SKILL_NAME_233,Segen des Lichts IV
SKILL_NAME_240,Himmlische Rache
SKILL_NAME_241,Himmlische Rache II
SKILL_NAME_242,Himmlische Rache III
SKILL_NAME_243,Himmlische Rache IV
SKILL_NAME_220,Anmut der Göttin
SKILL_NAME_221,Anmut der Göttin II
SKILL_NAME_222,Anmut der Göttin III
SKILL_NAME_223,Anmut der Göttin IV
SKILL_NAME_250,Himmlischer Schutz
SKILL_NAME_3303910,Licht des Verhängnisses
SKILL_NAME_3303920,Segen des Verhängnisses
SKILL_NAME_3303930,Himmlische Rache
SKILL_DESC_210,Heilt den Verbündeten mit der niedrigsten TP um [ffc800]{1}[-] TP.
SKILL_DESC_211,Erhöht Erholung um [64ff64]{1}[-] %.
SKILL_DESC_212,Erhöht Erholung um [64ff64]{1}[-] %.
SKILL_DESC_213,Entfernt neg. Effekte vom Ziel.
SKILL_DESC_230,"Zaubert ein Schild auf Verbündete, das [64ffff]{1}[-] Sek. lang [ffc800]{2}[-] Schaden absorbiert. Während des Schildes gilt Massenkontroll-Immunität."
SKILL_DESC_231,Erhöht Schild-TP um [64ff64]{1}[-] %.
SKILL_DESC_232,Erhöht Schild-TP um [64ff64]{1}[-] %.
SKILL_DESC_233,Erhöht die Erholungsrate d. Ziels um [64ff64]{1}[-] % für die Wirkungsdauer.
SKILL_DESC_240,Greift das Ziel und nahegelegene Gegner 6-mal an und verursacht bis zu [ffc800]{1}[-] Mag. Schaden. Die getroffenen Ziele werden für [64ffff]{2}[-] Sek. geblendet und erleiden {3} % mehr Schaden.
SKILL_DESC_241,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_242,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_243,Erhöht Krit. Chance um [64ff64]{1}[-] %.
SKILL_DESC_220,Erhöht alle 15 Sek. die Mag. VERT von [64ffff]1[-] Verbündeten mit den wenigsten TP für [64ffff]{1}[-] Sek. um [64ff64]{2}[-].
SKILL_DESC_221,Mag. VERT Erhöhungsrate steigt um [64ff64]{1}[-] %.
SKILL_DESC_222,Mag. VERT Erhöhungsrate steigt um [64ff64]{1}[-] %.
SKILL_DESC_223,Regeneriert die TP des Ziels um [64ff64]{1}[-] % für die Wirkungsdauer.
SKILL_DESC_90000020,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 80 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 20 %.
SKILL_DESC_90000021,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 96 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 24 %.
SKILL_DESC_90000022,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 115 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 29 %.
SKILL_DESC_90000023,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 138 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 35 %.
SKILL_DESC_90000024,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 165 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 42 %.
SKILL_DESC_90000025,Heilt alle 8 Sek. die TP von 4 Verbündeten mit den niedrigsten TP um 200 % des ANG und erhöht für 8 Sek. für den Verbündeten mit dem höchsten ANG die Krit. Chance um 300 und den Krit. Schaden um 50 %.
SKILL_NAME_310,Feuernadel
SKILL_NAME_311,Feuernadel II
SKILL_NAME_312,Feuernadel III
SKILL_NAME_313,Feuernadel IV
SKILL_NAME_340,Feuerball
SKILL_NAME_341,Feuerball II
SKILL_NAME_342,Feuerball III
SKILL_NAME_343,Feuerball IV
SKILL_NAME_330,Feuerregen
SKILL_NAME_331,Feuerregen II
SKILL_NAME_332,Feuerregen III
SKILL_NAME_333,Feuerregen IV
SKILL_NAME_320,Flammen-Diffusion
SKILL_NAME_321,Flammen-Diffusion II
SKILL_NAME_322,Flammen-Diffusion III
SKILL_NAME_323,Flammen-Diffusion IV
SKILL_NAME_350,Urflamme
SKILL_DESC_310,Greift einen zufälligen Feind 5-mal an und verursacht insgesamt [ffc800]{1}[-] Mag. Schaden. Stellt bei einem Kritischen Treffer 100 Mana wieder her.
SKILL_DESC_311,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_312,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_313,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_340,"Greift das Ziel und Feinde in seiner Nähe an, verursacht [ffc800]{1}[-] Mag. Schaden und betäubt sie für [64ffff]2[-] Sek. Verursacht an Bossen zusätzlich [ffc800]{2}[-] Mag. Schaden."
SKILL_DESC_341,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_342,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_343,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_330,Greift alle Feinde 5-mal an und verursacht insgesamt [ffc800]{1}[-] Mag. Schaden. Der Krit. Schaden dieses Angriffs ist um 150 % erhöht.
SKILL_DESC_331,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_332,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_333,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_320,"Belegt einen Feind bei einem Treffer mit einem Stapel [fa96fa]Glut[-]. Feinde, die von Glut betroffen sind, erleiden für 20 Sek. [ffc800]{2}[-] Mag. Schaden. Glut kann bis 10-mal gestapelt werden."
SKILL_DESC_321,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_322,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_323,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_90000030,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 3 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_DESC_90000031,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 3,6 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_DESC_90000032,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 4,3 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_DESC_90000033,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 5,2 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_DESC_90000034,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 6,3 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_DESC_90000035,"Skilltreffer verursachen zusätzlichen Mag. Schaden entsprechend 7,5 % des ANG pro Stapel Glut, der auf Feinde gewirkt wurden."
SKILL_NAME_430,Gnadenlos
SKILL_NAME_431,Gnadenlos II
SKILL_NAME_432,Gnadenlos III
SKILL_NAME_433,Gnadenlos IV
SKILL_NAME_420,Vorhang d. Dunkelheit
SKILL_NAME_421,Vorhang d. Dunkelheit II
SKILL_NAME_422,Vorhang d. Dunkelheit III
SKILL_NAME_423,Vorhang d. Dunkelheit IV
SKILL_NAME_440,Kingenkralle
SKILL_NAME_441,Kingenkralle II
SKILL_NAME_442,Kingenkralle III
SKILL_NAME_443,Kingenkralle IV
SKILL_NAME_410,Zerstücklung
SKILL_NAME_411,Zerstücklung II
SKILL_NAME_412,Zerstücklung III
SKILL_NAME_413,Zerstücklung IV
SKILL_NAME_450,Schwachpunkte finden
SKILL_DESC_430,"Greift einen zufälligen Feind [64ffff]3[-]-mal an, verursacht insgesamt [ffc800]{1}[-] Körp. Schaden und fügt ihm [64ffff]1[-] Stapel [fa96fa]Blutung[-] zu, der über {2} Sek. [ffc800]{3}[-] Körp. Schaden verursacht. [fa96fa]Blutung[-] ist bis zu [64ffff]3[-]-mal stapelbar."
SKILL_DESC_431,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_432,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_433,Erhöht Krit. Schaden um [64ff64]{1}[-] %.
SKILL_DESC_420,Erhöht [64ffff]{1}[-] Sek. lang Angriff um [ffc800]{2}[-] und Körp. Ausweichen um [64ff64]{3}[-] %.
SKILL_DESC_421,Angriffsrate-Steigung erhöht sich um [64ff64]{1}[-] %.
SKILL_DESC_422,Angriffsrate-Steigung erhöht sich um [64ff64]{1}[-] %.
SKILL_DESC_423,Erhöht ANG-GESCHW. um [64ff64]{1}[-] % für die Wirkungsdauer.
SKILL_DESC_440,"Schleicht hinter den Feind mit der niedrigsten TP und schlägt für [FFC800]{1}[-] Körp. Schaden zu. Jeder Blutungseffekt fügt zus. [64ff64]{2}[-] % Schaden zu. Alle Blutungseffekte werden danach aufgehoben. Bei einem Krit. Treffer erhält Roi [64ffff]2[-] MP zurück, und Skill-Cooldown wird zurückgesetzt."
SKILL_DESC_441,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_442,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_443,Erhöht Krit. Schaden um [64ff64]{1}[-] %.
SKILL_DESC_410,"Wenn ein normaler Angriff als Krit.ischer Treffer trifft, wird das Ziel 6-mal angegriffen und erleidet insgesamt [ffc800]{1}[-] zusätzlichen Körp. Schaden."
SKILL_DESC_411,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_412,Erhöht Schaden um [64ff64]{1}[-] %.
SKILL_DESC_413,Erhöht Krit. Schaden um [64ff64]{1}[-] %.
SKILL_DESC_90000040,"25 %ige Chance, mit normalen Attacken Feinden Körp. Schaden (50 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_DESC_90000041,"28 %ige  Chance, mit normalen Attacken Feinden Körp. Schaden (60 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_DESC_90000042,"31 %ige Chance, mit normalen Attacken Feinden Körp. Schaden (72 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_DESC_90000043,"34 %ige Chance, mit normalen Attacken Feinden Körp. Schaden (86 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_DESC_90000044,"37 %ige Chance, mit normalen Attacken Feinden Körp. Schaden (103 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_DESC_90000045,"40 %ige Chance, mit normalen Attacken Feinden Körp. Schaden (125 % der Angriffskr.) mitsamt Blutungseffekt zuzufügen."
SKILL_NAME_520,Zerschmettern
SKILL_NAME_521,Zerschmettern II
SKILL_NAME_522,Zerschmettern III
SKILL_NAME_523,Zerschmettern IV
SKILL_NAME_510,Kriegsschrei
SKILL_NAME_511,Kriegsschrei II
