KEY,"Korean"
SKILL_NAME_110,"심판의 날"
SKILL_NAME_111,"심판의 날 II"
SKILL_NAME_112,"심판의 날 III"
SKILL_NAME_113,"심판의 날 IV"
SKILL_NAME_140,"용맹한 돌진"
SKILL_NAME_141,"용맹한 돌진 II"
SKILL_NAME_142,"용맹한 돌진 III"
SKILL_NAME_143,"용맹한 돌진 IV"
SKILL_NAME_130,"신의 대행자"
SKILL_NAME_131,"신의 대행자 II"
SKILL_NAME_132,"신의 대행자 III"
SKILL_NAME_133,"신의 대행자 IV"
SKILL_NAME_120,"여신의 강타"
SKILL_NAME_121,"여신의 강타 II"
SKILL_NAME_122,"여신의 강타 III"
SKILL_NAME_123,"여신의 강타 IV"
SKILL_NAME_150,"빛의 소생"
SKILL_NAME_3303810,"심판의 날"
SKILL_NAME_3303820,"파멸"
SKILL_NAME_3303830,"마왕 강림"
SKILL_DESC_110,"자신 전방 원형범위 내 적들을 2회 공격하여 [ffc800]{1}[-] 물리피해를 입히고 [64ffff]{2}[-]초간 넘어뜨립니다."
SKILL_DESC_111,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_112,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_113,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_140,"적 대상을 3회 공격하며 대상의 뒤로 돌진하여 [ffc800]{1}[-] 물리피해를 입힙니다."
SKILL_DESC_141,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_142,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_143,"치명타 확률이 [64ff64]{1}[-] 증가합니다."
SKILL_DESC_130,"주변 적들에게 [ffc800]{1}[-]만큼 물리피해를 입히고, [64ffff]3[-]초간 기절시킵니다. 추가로 [64ffff]{2}[-]초간 자신의 공격력을 [ffc800]{3}[-]만큼 증가시키고 회피율이 [64ff64]{4}[-]증가하며 상태이상에 면역이 됩니다. 이 상태는 해제할 수 없습니다."
SKILL_DESC_131,"공격력 증가량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_132,"공격력 증가량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_133,"지속시간 동안 속도가 [64ff64]{1}[-] 증가합니다."
SKILL_DESC_120,"회피 시, 전방 범위내 적에게 [ffc800]{1}[-]물리피해를 입히고 [64ffff]5[-]초간 피해입은 적의 적중률을 [64ffff]{2}[-] 감소시킵니다. 타격 후 마나를 [64ff64]300[-] 회복합니다."
SKILL_DESC_121,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_122,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_123,"치명타 확률이 [64ff64]{1}[-] 증가합니다."
SKILL_DESC_90000010,"매 공격시 35 %확률로 공격력의 160 %의 물리피해를 입힙니다."
SKILL_DESC_90000011,"매 공격시 35 %확률로 공격력의 192 %의 물리피해를 입힙니다."
SKILL_DESC_90000012,"매 공격시 35 %확률로 공격력의 230 %의 물리피해를 입힙니다."
SKILL_DESC_90000013,"매 공격시 35 %확률로 공격력의 276 %의 물리피해를 입힙니다."
SKILL_DESC_90000014,"매 공격시 35 %확률로 공격력의 331 %의 물리피해를 입힙니다."
SKILL_DESC_90000015,"매 공격시 35 %확률로 공격력의 400 %의 물리피해를 입힙니다."
SKILL_NAME_210,"기적의 빛"
SKILL_NAME_211,"기적의 빛 II"
SKILL_NAME_212,"기적의 빛 III"
SKILL_NAME_213,"기적의 빛 IV"
SKILL_NAME_230,"빛의 축복"
SKILL_NAME_231,"빛의 축복 II"
SKILL_NAME_232,"빛의 축복 III"
SKILL_NAME_233,"빛의 축복 IV"
SKILL_NAME_240,"천벌"
SKILL_NAME_241,"천벌 II"
SKILL_NAME_242,"천벌 III"
SKILL_NAME_243,"천벌 IV"
SKILL_NAME_220,"여신의 가호"
SKILL_NAME_221,"여신의 가호 II"
SKILL_NAME_222,"여신의 가호 III"
SKILL_NAME_223,"여신의 가호 IV"
SKILL_NAME_250,"천상의 수호"
SKILL_NAME_3303910,"파멸의 빛"
SKILL_NAME_3303920,"파멸의 축복"
SKILL_NAME_3303930,"천벌"
SKILL_DESC_210,"체력이 가장 적게남은 아군의 체력을 [ffc800]{1}[-] 회복시킵니다."
SKILL_DESC_211,"치유량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_212,"치유량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_213,"대상에게 걸린 해로운 효과를 제거합니다."
SKILL_DESC_230,"모든 아군에게 [64ffff]{1}[-]초 동안 [ffc800]{2}[-]의 피해를 흡수하는 보호막을 시전합니다. 보호막이 지속되는 동안 상태이상 면역이 됩니다."
SKILL_DESC_231,"보호막이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_232,"보호막이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_233,"지속시간동안 대상의 회복력을 [64ff64]{1}[-] % 증가시킵니다."
SKILL_DESC_240,"적 대상과 그 주변 범위 내 적들을 6회 공격하여 총 [ffc800]{1}[-] 마법피해를 입힙니다. 피해입은 대상은 [64ffff]{2}[-]초간 실명상태가 되고 받는 모든 피해가 {3}% 증가합니다."
SKILL_DESC_241,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_242,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_243,"치명타 확률이 [64ff64]{1}[-] 증가합니다."
SKILL_DESC_220,"15초 마다 가장 체력상황이 안좋은 아군 [64ffff]1[-]명의 마법방어력을 [64ffff]{1}[-]초 동안 [64ff64]{2}[-]만큼 증가시킵니다."
SKILL_DESC_221,"마법방어력 증가치가 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_222,"마법방어력 증가치가 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_223,"지속시간동안 대상의 체력을 [64ff64]{1}[-] % 회복합니다."
SKILL_DESC_90000020,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 80% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 20% 증가시킵니다."
SKILL_DESC_90000021,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 96% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 24% 증가시킵니다."
SKILL_DESC_90000022,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 115% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 29% 증가시킵니다."
SKILL_DESC_90000023,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 138% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 35% 증가시킵니다."
SKILL_DESC_90000024,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 165% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 42% 증가시킵니다."
SKILL_DESC_90000025,"매 8초마다 체력상황이 가장 안좋은 아군 4명의 체력을 공격력의 200% 만큼 회복시키고 8초간 가장 공격력이 높은 아군의 치명타확률을 300, 치명타 피해량을 50% 증가시킵니다."
SKILL_NAME_310,"불바늘"
SKILL_NAME_311,"불바늘 II"
SKILL_NAME_312,"불바늘 III"
SKILL_NAME_313,"불바늘 IV"
SKILL_NAME_340,"화염구"
SKILL_NAME_341,"화염구 II"
SKILL_NAME_342,"화염구 III"
SKILL_NAME_343,"화염구 IV"
SKILL_NAME_330,"불비"
SKILL_NAME_331,"불비 II"
SKILL_NAME_332,"불비 III"
SKILL_NAME_333,"불비 IV"
SKILL_NAME_320,"화염확산"
SKILL_NAME_321,"화염확산 II"
SKILL_NAME_322,"화염확산 III"
SKILL_NAME_323,"화염확산 IV"
SKILL_NAME_350,"태초의 불꽃"
SKILL_DESC_310,"임의의 적을 5번 공격하여 총 [ffc800]{1}[-] 마법피해를 입힙니다. 치명타 시 자신의 마나를 100 회복합니다."
SKILL_DESC_311,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_312,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_313,"피해량이 [64ff64]{1}[-] % 증가합니다."
SKILL_DESC_340,"적 대상과 그 주변 범위내 적들에게 [ffc800]{1}[-] 마법피해를 입히고 [64ffff]2[-]초간 기절시킵니다. 대상이 보스라면 [ffc800]{2}[-] 추가 마법피해를 입힙니다. "
