KEY,Portuguese
SKILL_NAME_110,Lâmina do Julgamento
SKILL_NAME_111,Lâmina do Julgamento II
SKILL_NAME_112,Lâmina do Julgamento III
SKILL_NAME_113,Lâmina do Julgamento IV
SKILL_NAME_140,Arremetida Corajosa
SKILL_NAME_141,Arremetida Corajosa II
SKILL_NAME_142,Arremetida Corajosa III
SKILL_NAME_143,Arremetida Corajosa IV
SKILL_NAME_130,Procurador Divino
SKILL_NAME_131,Procurador Divino II
SKILL_NAME_132,Procurador Divino III
SKILL_NAME_133,Procurador Divino IV
SKILL_NAME_120,Ataque da Deusa
SKILL_NAME_121,Ataque da Deusa II
SKILL_NAME_122,Ataque da Deusa III
SKILL_NAME_123,Ataque da Deusa IV
SKILL_NAME_150,Revivescência de Luz
SKILL_NAME_3303810,Lâmina do Julgamento
SKILL_NAME_3303820,Perdição
SKILL_NAME_3303830,Advento do Senhor das Trevas
SKILL_DESC_110,Causa [ffc800]{1}[-] de DAN F. 2 vezes a inimigos frontais em um círculo e os derruba por [64ffff]{2}[-] seg.
SKILL_DESC_111,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_112,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_113,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_140,Ataca o alvo 3 vezes e avança por trás dele para causar [ffc800]{1}[-] de DAN F.
SKILL_DESC_141,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_142,Aumenta o DANO em [64ff64]{1}[-] %.
SKILL_DESC_143,Aumenta o DANO em [64ff64]{1}[-]%.
SKILL_DESC_130,"Causa [ffc800]{1}[-] de DAN.F aos inimigos próximos e inflige Atordoamento por [64ffff]3[-] segundos. Além disso, por [64ffff]{2}[-] segundos, o ATQ aumenta em [ffc800]{3}[-] e a Taxa de Esquiva aumenta em [64ff64]{4}[-], enquanto ganha imunidade a CM. Esse status não pode ser removido."
SKILL_DESC_131,Taxa de aumento de ataque aumenta em [64ff64]{1}[-] %.
SKILL_DESC_132,Taxa de aumento de ataque aumenta em [64ff64]{1}[-] %.
SKILL_DESC_133,"Aumenta a velocidade em [64ff64]{1}[-], durante o efeito do poder."
SKILL_DESC_120,"Aumenta todas as DEFs em [64ff64]{1}[-] e aumenta a ESQ em [64ff64]{2}[-]. Caso o herói consiga se esquivar, aumenta o ataque normal em [64ff64]{4}[-]% por [64ffff]{3}[-]s."
SKILL_DESC_121,Aumenta a taxa de aumento de DEF em [64ff64]{1}[-]%.
SKILL_DESC_122,Aumenta a taxa de aumento de DEF em [64ff64]{1}[-]%.
SKILL_DESC_123,Aumenta a taxa de aumento de DEF em [64ff64]{1}[-]%.
SKILL_DESC_90000010,Cada ataque tem 35% de chance de causar DAN.F ao inimigo (160 % do ATQ)
