KEY,"Russian"
SKILL_NAME_110,"Меч правосудия"
SKILL_NAME_111,"Меч правосудия II"
SKILL_NAME_112,"Меч правосудия III"
SKILL_NAME_113,"Меч правосудия IV"
SKILL_NAME_140,"Смелый натиск"
SKILL_NAME_141,"Смелый натиск II"
SKILL_NAME_142,"Смелый натиск III"
SKILL_NAME_143,"Смелый натиск IV"
SKILL_NAME_130,"Посланец бога"
SKILL_NAME_131,"Посланец бога II"
SKILL_NAME_132,"Посланец бога III"
SKILL_NAME_133,"Посланец бога IV"
SKILL_NAME_120,"Удар богини"
SKILL_NAME_121,"Удар богини II"
SKILL_NAME_122,"Удар богини III"
SKILL_NAME_123,"Удар богини IV"
SKILL_NAME_150,"Возрождение света"
SKILL_NAME_3303810,"Меч правосудия"
SKILL_NAME_3303820,"Рок"
SKILL_NAME_3303830,"Пришествие Повелителя тьмы"
SKILL_DESC_110,"Наносит врагам на передовой по кругу [ffc800]{1}[-] ед. физ. урона 2 раза, а также сбивает их с ног на [64ffff]{2}[-] сек."
SKILL_DESC_111,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_112,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_113,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_140,"3 раза атакует цель, а затем совершает прыжок ей за спину и наносит [ffc800]{1}[-] ед. физ. урона."
SKILL_DESC_141,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_142,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_143,"Шанс крит. удара +[64ff64]{1}[-]."
SKILL_DESC_130,"Наносит [ffc800]{1}[-] Физ. Урона ближайшим врагам и накладывает эффект Оглушения на [64ffff]3[-] сек. Дополнительно, на [64ffff]{2}[-] сек, Атака увеличивается на [ffc800]{3}[-] и Шанс Уклонения увеличивается на [64ff64]{4}[-], в то же время обретая иммунитет к Контролю. Данный статус нельзя отменить."
SKILL_DESC_131,"Сила АТК +[64ff64]{1}[-]%."
SKILL_DESC_132,"Сила АТК +[64ff64]{1}[-]%."
SKILL_DESC_133,"Во время действия СКР +[64ff64]{1}[-]."
SKILL_DESC_120,"В случае уклонения, наносит [ffc800]{1}[-] Физ. Урона врагам на переводой и уменьшает Меткость на [64ffff]{2}[-] на [64ffff]5[-] сек. После попадания по цели, получает [64ff64]300[-] Маны."
SKILL_DESC_121,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_122,"Урон +[64ff64]{1}[-]%."
SKILL_DESC_123,"Шанс крит. удара +[64ff64]{1}[-]."
SKILL_DESC_90000010,"При кажд. АТК шанс 35% физ. урона (+160% от силы АТК)."
SKILL_DESC_90000011,"При кажд. АТК шанс 35% физ. урона (+192% от силы АТК)."
SKILL_DESC_90000012,"При кажд. АТК шанс 35% физ. урона (+230% от силы АТК)."
SKILL_DESC_90000013,"При кажд. АТК шанс 35% физ. урона (+276% от силы АТК)."
SKILL_DESC_90000014,"При кажд. АТК шанс 35% физ. урона (+331% от силы АТК)."
SKILL_DESC_90000015,"При кажд. АТК шанс 35% физ. урона (+400% от силы АТК)."
SKILL_NAME_210,"Чудесный свет"
SKILL_NAME_211,"Чудесный свет II"
SKILL_NAME_212,"Чудесный свет III"
SKILL_NAME_213,"Чудесный свет IV"
SKILL_NAME_230,"Благо света"
SKILL_NAME_231,"Благо света II"
SKILL_NAME_232,"Благо света III"
SKILL_NAME_233,"Благо света IV"
SKILL_NAME_240,"Небесная кара"
SKILL_NAME_241,"Небесная кара II"
SKILL_NAME_242,"Небесная кара III"
SKILL_NAME_243,"Небесная кара IV"
SKILL_NAME_220,"Защита богини"
SKILL_NAME_221,"Защита богини II"
SKILL_NAME_222,"Защита богини III"
SKILL_NAME_223,"Защита богини IV"
SKILL_NAME_250,"Небесный страж"
SKILL_NAME_3303910,"Свет рока"
SKILL_NAME_3303920,"Благословение рока"
SKILL_NAME_3303930,"Небесная кара"
SKILL_DESC_210,"Восст. [ffc800]{1}[-] ОЗ союзнику с наименьш. кол-вом ОЗ."
SKILL_DESC_211,"Исцеление +[64ff64]{1}[-]%."
SKILL_DESC_212,"Исцеление +[64ff64]{1}[-]%."
SKILL_DESC_213,"Снимает нанесенный отриц. эффект с объекта."
