KEY,Thai
SKILL_NAME_110,ใบมีดแห่งการพิพากษา
SKILL_NAME_111,ใบมีดแห่งการพิพากษา II
SKILL_NAME_112,ใบมีดแห่งการพิพากษา III
SKILL_NAME_113,ใบมีดแห่งการพิพากษา IV
SKILL_NAME_140,ความรวดเร็วที่กล้าหาญ
SKILL_NAME_141,ความรวดเร็วที่กล้าหาญ II
SKILL_NAME_142,ความรวดเร็วที่กล้าหาญ III
SKILL_NAME_143,ความรวดเร็วที่กล้าหาญ IV
SKILL_NAME_130,ตัวแทนแห่งพระเจ้า
SKILL_NAME_131,ตัวแทนแห่งพระเจ้า II
SKILL_NAME_132,ตัวแทนแห่งพระเจ้า III
SKILL_NAME_133,ตัวแทนแห่งพระเจ้า IV
SKILL_NAME_120,การโจมตีของเทพธิดา
SKILL_NAME_121,การโจมตีของเทพธิดา II
SKILL_NAME_122,การโจมตีของเทพธิดา III
SKILL_NAME_123,การโจมตีของเทพธิดา IV
SKILL_NAME_150,การกลับมาของแสง
SKILL_NAME_3303810,ใบมีดแห่งการพิพากษา
SKILL_NAME_3303820,หายนะ
SKILL_NAME_3303830,การปรากฎตัวของลอร์ดแห่งความมืด
SKILL_DESC_110,สร้างความเสียหายทางกายภาพ [ffc800]{1}[-] หน่วย 2 ครั้งแก่ศัตรูในแนวหน้าเป็นวงกลมและทำให้ศัตรูล้มลงเป็นเวลา [64ffff]{2}[-] วินาที
SKILL_DESC_111,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_112,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_113,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_140,โจมตีศัตรู 3 ครั้ง และจากนั้นพุ่งเข้าด้านหลังศัตรูเพื่อสร้างความเสียหายกายภาพ [ffc800]{1}[-] หน่วย
SKILL_DESC_141,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_142,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_143,เพิ่มความเสียหาย [64ff64]{1}[-] %
SKILL_DESC_130,สร้างความเสียหายกายภาพ [ffc800]{1}[-] แก่ศัตรูรอบๆและทำให้สลบ [64ffff]3[-] วินาที ทำให้พลังโจมตีของตนเอง [ffc800]{3}[-] และอัตราการหลบหลีกเพิ่มขึ้น [64ff64]{4}[-] และต้านสถานะผิดปกติเป็นเวลา [64ffff]{2}[-] วินาที ไม่สามารถยกเลิกสถานะนี้ได้
SKILL_DESC_131,เพิ่มพลังโจมตีที่เพิ่มขึ้น [64ff64]{1}[-] %
SKILL_DESC_132,เพิ่มพลังโจมตีที่เพิ่มขึ้น [64ff64]{1}[-] %
SKILL_DESC_133,เพิ่มความเร็ว [64ff64]{1}[-] อย่างต่อเนื่อง
SKILL_DESC_120,เพิ่มพลังป้องกันทั้งหมดของตัวเอง [64ff64]{1}[-] และเพิ่มอัตราการหลบหลีก [64ff64]{2}[-] หากหลบหลีกสำเร็จ ความเสียหายของการโจมตีปกติจะเพิ่มขึ้น [64ff64]{4}[-]% เป็นเวลา [64ffff]{3}[-] วินาที
SKILL_DESC_121,เพิ่มค่าพลังป้องกันที่เพิ่มขึ้น [64ff64]{1}[-] %
SKILL_DESC_122,เพิ่มค่าพลังป้องกันที่เพิ่มขึ้น [64ff64]{1}[-] %
SKILL_DESC_123,เพิ่มค่าพลังป้องกันที่เพิ่มขึ้น [64ff64]{1}[-] %
SKILL_DESC_90000010,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 160 %
SKILL_DESC_90000011,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 192 %
SKILL_DESC_90000012,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 230 %
SKILL_DESC_90000013,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 276 %
SKILL_DESC_90000014,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 331 %
SKILL_DESC_90000015,ทุกการโจมตีมีโอกาส 35 % ที่จะสร้างความเสียหายทางกายภาพเพิ่ม 400 %
SKILL_NAME_210,แสงแห่งปาฏิหาริย์
SKILL_NAME_211,แสงแห่งปาฏิหาริย์ II
SKILL_NAME_212,แสงแห่งปาฏิหาริย์ III
