KEY,Vietnamese
SKILL_NAME_110,Lưỡi đao phán quyết
SKILL_NAME_111,Lưỡi đao phán quyết II
SKILL_NAME_112,Lưỡi đao phán quyết III
SKILL_NAME_113,Lưỡi đao phán quyết IV
SKILL_NAME_140,Nhát chém gan dạ
SKILL_NAME_141,Nhát chém gan dạ II
SKILL_NAME_142,Nhát chém gan dạ III
SKILL_NAME_143,Nhát chém gan dạ IV
SKILL_NAME_130,Đại diện của Chúa
SKILL_NAME_131,Đại diện của Chúa II
SKILL_NAME_132,Đại diện của Chúa III
SKILL_NAME_133,Đại diện của Chúa IV
SKILL_NAME_120,Cú đánh của Nữ thần
SKILL_NAME_121,Cú đánh của Nữ thần II
SKILL_NAME_122,Cú đánh của Nữ thần III
SKILL_NAME_123,Cú đánh của Nữ thần IV
SKILL_NAME_150,Hồi sinh ánh sáng
SKILL_NAME_3303810,Lưỡi đao phán quyết
SKILL_NAME_3303820,Diệt vong
SKILL_NAME_3303830,Chúa tể bóng tối giáng thế
SKILL_DESC_110,Gây [ffc800]{1}[-] sát thương vật lý 2 lần lên kẻ địch phía trước theo vòng tròn và đốn ngã chúng trong [64ffff]{2}[-] giây.
SKILL_DESC_111,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_112,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_113,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_140,"Tấn công mục tiêu 3 lần, rồi đánh thốc vào phía sau chúng và gây [ffc800]{1}[-] sát thương vật lý."
SKILL_DESC_141,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_142,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_143,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_130,"Gây [ffc800]{1}[-] sát thương vật lý lên đối thủ xung quanh, gây choáng trong [64ffff]3[-] giây.Thêm vào đó, trong vòng [64ffff]{2}[-] giây tăng [ffc800]{3}[-] lực tấn công của bản thân và tăng [64ff64]{4}[-] xác suất né, miễn nhiễm trạng thái xấu. Trạng thái này không thể gỡ bỏ."
SKILL_DESC_131,Tăng [64ff64]{1}[-]% lượng tăng lực tấn công.
SKILL_DESC_132,Tăng [64ff64]{1}[-]% lượng tăng lực tấn công.
SKILL_DESC_133,Tăng [64ff64]{1}[-]% tốc độ trong thời gian kéo dài hiệu ứng.
SKILL_DESC_120,Tăng [64ff64]{1}[-] tất cả các khả năng phòng thủ của bản thân và tăng [64ff64]{2}[-] tỉ lệ né. Nếu bản thân né thành công thì lượng Sát thương của Tấn công thường sẽ tăng lên [64ff64]{4}[-]% trong [64ffff]{3}[-] giây.
SKILL_DESC_121,Chỉ số tăng khả năng phòng thủ lên [64ff64]{1}[-]%.
SKILL_DESC_122,Chỉ số tăng khả năng phòng thủ lên [64ff64]{1}[-]%.
SKILL_DESC_123,Chỉ số tăng khả năng phòng thủ lên [64ff64]{1}[-]%.
SKILL_DESC_90000010,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 160% sức mạnh tấn công
SKILL_DESC_90000011,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 192% sức mạnh tấn công
SKILL_DESC_90000012,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 230% sức mạnh tấn công
SKILL_DESC_90000013,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 276% sức mạnh tấn công
SKILL_DESC_90000014,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 331% sức mạnh tấn công
SKILL_DESC_90000015,Mỗi đòn tấn công có 35% cơ hội gây sát thương vật lý cho kẻ địch tương đương 400% sức mạnh tấn công
SKILL_NAME_210,Ánh sáng huyền diệu
SKILL_NAME_211,Ánh sáng huyền diệu II
SKILL_NAME_212,Ánh sáng huyền diệu III
SKILL_NAME_213,Ánh sáng huyền diệu IV
SKILL_NAME_230,Phúc lành của ánh sáng
SKILL_NAME_231,Phúc lành của ánh sáng II
SKILL_NAME_232,Phúc lành của ánh sáng III
SKILL_NAME_233,Phúc lành của ánh sáng IV
SKILL_NAME_240,Sự báo thù của Thiên đường
SKILL_NAME_241,Sự báo thù của Thiên đường II
SKILL_NAME_242,Sự báo thù của Thiên đường III
SKILL_NAME_243,Sự báo thù của Thiên đường IV
SKILL_NAME_220,Vẻ duyên dáng của Nữ thần
SKILL_NAME_221,Vẻ duyên dáng của Nữ thần II
SKILL_NAME_222,Vẻ duyên dáng của Nữ thần III
SKILL_NAME_223,Vẻ duyên dáng của Nữ thần IV
SKILL_NAME_250,Bảo vệ thiên đường
SKILL_NAME_3303910,Ánh sáng diệt vong
SKILL_NAME_3303920,Phước lành diệt vong
SKILL_NAME_3303930,Sự báo thù của Thiên đường
SKILL_DESC_210,Hồi [ffc800]{1}[-] máu cho 1 đồng minh có lượng Máu thấp nhất 
SKILL_DESC_211,Tăng hồi máu [64ff64]{1}[-]%.
SKILL_DESC_212,Tăng hồi máu [64ff64]{1}[-]%.
SKILL_DESC_213,Loại bỏ hiệu ứng xấu khỏi mục tiêu.
SKILL_DESC_230,Tạo khiên chắn hấp thụ [64ffff]{2}[-] sát thương cho tất cả đồng minh trong [ffc800]{1}[-] giây. Trong khi lá chắn có hiệu lực miễn nhiễm trạng thái xấu. 
SKILL_DESC_231,Lá chắn bảo vệ tăng [64ff64]{1}[-]%.
SKILL_DESC_232,Lá chắn bảo vệ tăng [64ff64]{1}[-]%.
SKILL_DESC_233,Tăng hồi máu cho đối tượng [64ff64]{1}[-]% trong thời gian xuất kỹ năng.
SKILL_DESC_240,"Tấn công mục tiêu và kẻ địch lân cận 6 lần, gây tổng cộng [ffc800]{1}[-] sát thương phép thuật. Mục tiêu trúng đòn sẽ bị mù trong [64ffff]{2}[-] và chịu thêm {3}% sát thương."
SKILL_DESC_241,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_242,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_243,Tăng [64ff64]{1}[-]% xác suất chí mạng.
SKILL_DESC_220,"Cứ mỗi 15 giây, tăng phòng thủ phép thuật của [64ffff]1[-] đồng minh có lượng máu thấp nhất thêm [64ff64]{2}[-] trong [64ffff]{1}[-] giây."
SKILL_DESC_221,Tăng [64ff64]{1}[-]% chỉ số tăng phòng thủ phép thuật.
SKILL_DESC_222,Tăng [64ff64]{1}[-]% chỉ số tăng phòng thủ phép thuật.
SKILL_DESC_223,Hồi [64ff64]{1}[-]% thể lực của đối tượng trong thời gian xuất kỹ năng.
SKILL_DESC_90000020,"Hồi HP tương đương 80% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 20% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_DESC_90000021,"Hồi HP tương đương 96% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 24% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_DESC_90000022,"Hồi HP tương đương 115% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 29% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_DESC_90000023,"Hồi HP tương đương 138% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 35% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_DESC_90000024,"Hồi HP tương đương 165% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 42% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_DESC_90000025,"Hồi HP tương đương 200% chỉ số Tấn công cho 4 đồng minh có HP thấp nhất mỗi 8 giây, tăng 300 điểm Xác suất chí mạng và 50% Sát thương chí mạng cho đồng minh có chỉ số Tấn công cao nhất trong 8 giây."
SKILL_NAME_310,Kim lửa
SKILL_NAME_311,Kim lửa II
SKILL_NAME_312,Kim lửa III
SKILL_NAME_313,Kim lửa IV
SKILL_NAME_340,Cầu lửa
SKILL_NAME_341,Cầu lửa II
SKILL_NAME_342,Cầu lửa III
SKILL_NAME_343,Cầu lửa IV
SKILL_NAME_330,Mưa lửa
SKILL_NAME_331,Mưa lửa
SKILL_NAME_332,Mưa lửa
SKILL_NAME_333,Mưa lửa
SKILL_NAME_320,Khuếch tán lửa
SKILL_NAME_321,Khuếch tán lửa II
SKILL_NAME_322,Khuếch tán lửa III
SKILL_NAME_323,Khuếch tán lửa IV
SKILL_NAME_350,Ngọn lửa nguyên thủy
SKILL_DESC_310,"Tấn công một kẻ địch ngẫu nhiên 5 lần, gây tổng cộng [ffc800]{1}[-] Sát thương phép thuật. Hồi phục 100 Mana cho bản thân khi có Đòn chí mạng."
SKILL_DESC_311,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_312,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_313,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_340,"Tấn công mục tiêu và kẻ địch gần mục tiêu, gây [ffc800]{1}[-] Sát thương phép thuật và làm choáng chúng trong [64ffff]2[-] giây. Gây thêm [ffc800]{2}[-] Sát thương phép thuật lên Boss."
SKILL_DESC_341,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_342,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_343,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_330,"Tấn công tất cả kẻ địch 5 lần, gây tổng cộng [ffc800]{1}[-] Sát thương phép thuật. Đòn tấn công này gây thêm 150% Sát thương chí mạng."
SKILL_DESC_331,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_332,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_333,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_320,Gây một lần cộng dồn [fa96fa]Mồi lửa[-] khi đánh trúng kẻ địch. Kẻ địch dính Mồi lửa nhận thêm [ffc800]{2}[-] Sát thương phép thuật trong 20 giây. Mồi lửa có thể cộng dồn tối đa 10 lần.
SKILL_DESC_321,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_322,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_323,Tăng [64ff64]{1}[-]% sát thương.
SKILL_DESC_90000030,Kỹ năng đánh trúng sẽ gây thêm Sát thương phép thuật tương đương 3% điểm Tấn công trên mỗi lần cộng dồn Mồi lửa mà kẻ địch dính phải.
SKILL_DESC_90000031,"Kỹ năng đánh trúng sẽ gây thêm Sát thương phép thuật tương đương 3,6% điểm Tấn công trên mỗi lần cộng dồn Mồi lửa mà kẻ địch dính phải."
SKILL_DESC_90000032,"Kỹ năng đánh trúng sẽ gây thêm Sát thương phép thuật tương đương 4,3% điểm Tấn công trên mỗi lần cộng dồn Mồi lửa mà kẻ địch dính phải."
SKILL_DESC_90000033,"Kỹ năng đánh trúng sẽ gây thêm Sát thương phép thuật tương đương 5,2% điểm Tấn công trên mỗi lần cộng dồn Mồi lửa mà kẻ địch dính phải."
