KEY,Korean
CS_CHE_H1_1_001,메이 언니~~!!!! 놀러왔어!!
CS_CHE_H1_1_002,당근사탕! 당근사탕 있어?!
CS_CHE_H1_1_003,당근사탕...? 처음 들어보는 사탕 종류인데...초콜렛이라면 있지만...
CS_CHE_H1_1_004,초코도 맛있어!
CS_CHE_H1_1_005,냠냠...응? 저기 저 키 큰 언니는 누구? 처음 보는데?
CS_CHE_H1_1_006,"아, 얀느 언니?"
CS_CHE_H1_1_007,진~짜 대단하신 분이야! 드래곤 슬레이어라고 불릴 정도로 유명해!
CS_CHE_H1_1_008,"광룡 스베르타라고 악명 높은 용이 하나 있었는데, 몇 년 전에 혼자 때려잡으셨어!"
CS_CHE_H1_1_009,...광...광룡? 그게 뭐야?
CS_CHE_H1_1_010,세계의 수호자로서 살아야 할 드래곤이 어떠한 이유로 타락해서 미쳐버린 경우지.
CS_CHE_H1_1_011,"메이, 저번에 부탁했던 드래곤 비늘, 가죽이랑 다른 재료들, 밖에다 두었어~"
CS_CHE_H1_1_012,언제나 감사합니다~헤헷.
CS_CHE_H1_1_013,아~ 드래곤! 커다란 도마뱀! 뭔지 알어! 키 큰 언니 멋져!!
CS_CHE_H1_1_014,적어도 길 건너편 대장장이 앞에선 그런 얘기는 피하는게 좋을지도 모르겠는데?
CS_CHE_H1_1_015,"헤헷, 진은 관대하셔서 괜찮을 거에요."
CS_CHE_H1_1_016,"근데 언니! 뭔가 많이 달라진 거 같은데? 상점도 그렇고, 언니 옷도 그렇고!"
CS_CHE_H1_1_017,"응, 안그래도 오늘 밤 할로윈 축제 때문에 재단 의뢰가 많이 들어왔거든."
CS_CHE_H1_1_018,오랜만에 실력을 발휘해봤어!
CS_CHE_H1_1_019,그 실력이라면 종합상점이 아니라 유명 재단사로도 활약할 수 있을 거 같은데?
CS_CHE_H1_1_020,"아하하, 사실 옷 만드는 건 취미에 가까워서요."
CS_CHE_H1_1_021,오오오~너무 귀엽다!
CS_CHE_H1_1_022,루나 꺼는? 루나 꺼는?
CS_CHE_H1_1_023,"아! 그러고보니 루나 사이즈에 맞는 어린이용 옷도 몇 벌 만들었는데, 한 번 입어볼래?"
CS_CHE_H1_1_024,응응! 어서 보여줘!
CS_CHE_H1_1_025,"알았어~ 잠시만, 몇 벌 가져올게!"
CS_CHE_H1_1_027,꺄아악!
CS_CHE_H1_1_028,메이 언니!! 무슨 일?!
CS_CHE_H1_1_030,...대답이 없어. 안쪽으로 들어가봐야겠는데?
CS_CHE_H1_1_031,엥? 아무것도 안 보여!
CS_CHE_H1_1_032,"...어둠의 기운? 아니, 이건 느낌이 좀 다른데..."
CS_CHE_H1_1_034,"...키 큰 언니, 이건 설마..."
CS_CHE_H1_1_035,"....응, 그런거 같네."
CS_CHE_H1_1_036,떨어진다아아아---!!
CS_CHE_H1_2_001,으음...여기는..?
CS_CHE_H1_2_002,"히잉, 아퍼...머리 부딪혔어!"
CS_CHE_H1_2_003,근데 메이 언니는 어디에...앗!
CS_CHE_H1_2_004,기절했을 뿐인가. 다행히 몸에 큰 상처는 없는 것 같아.
CS_CHE_H1_2_005,메이 언니! 일어나! 이런 데서 잠들면 감기 걸린다고!
CS_CHE_H1_2_006,으..으음....응? 얀느 언니...? 루나...?
CS_CHE_H1_2_007,여기는 어디지? 분명히 난 내 옷들을 가지러...
CS_CHE_H1_2_008,옷장을 열어서 의상을 챙기다 보니까 여섯 벌 정도가 자리에 없어서 찾는 중이었는데...
CS_CHE_H1_2_009,"잠깐, 이야기는 나중에. 뭔가...안 좋은 예감이 들어."
CS_CHE_H1_3_001,이상한 호박을 쓴 몬스터부터 해서 뭔가 이상한데? 평범한 언데드는 아니군.
CS_CHE_H1_3_002,늘 보던 몬스터들이랑은 다른 느낌이군.
CS_CHE_H1_3_003,"키 큰 언니, 저거 나쁜 놈들이야? 때려잡으면 돼?"
CS_CHE_H1_3_004,근데 쟤네 머리는 귀여워!
CS_CHE_H1_3_005,하나 떼어서 메이 언니 상점에 하나 진열하자!
CS_CHE_H1_3_006,"아하하, 호박 장식이라면 이미 있으니까 저런 건 좀..."
CS_CHE_H1_3_007,우리에게는 적대적인 것 같으니까 일단은 뚫고 지나갈 수 밖에.
CS_CHE_H1_4_001,"쉿, 잠깐 멈춰봐. 저건..."
CS_CHE_H1_4_002,....저건 뭐죠?
CS_CHE_H1_4_003,나도 정확히는 모르겠지만...사람 형태를 한 악령의 부류인가...
CS_CHE_H1_4_004,좀 다르게 생긴 것도 하나 있는 거 같은데?
CS_CHE_H1_4_006,응? 왜 그래?
CS_CHE_H1_4_007,"아, 아하하...사실 저 옷이 아까 찾고 있었던 없어진 의상 중 하나라서..."
CS_CHE_H1_4_008,"음, 아에기나 사막의 언데드 미이라들을 본딴 건가..."
CS_CHE_H1_4_009,붕대밖에 없네! 어디 다친 거야? 호~ 해줘야 돼?
CS_CHE_H1_4_010,"아, 아하하하..."
CS_CHE_H1_4_011,근데 저건 누구죠? 왜 제가 만든 의상을...
CS_CHE_H1_4_012,느낌상으로는 저기 있는 다른 악령들과 비슷한 기운을 풍기고 있는데...
CS_CHE_H1_4_013,어쨌든 나쁜 놈이라는 거지? 메이 언니 옷을 훔친 나쁜 도둑놈 악령!
CS_CHE_H1_4_014,좋았어~! 언니 옷은 내가 되찾을 꺼얏!
CS_CHE_H1_4_015,루나! 혼자 가면 위험해!
CS_CHE_H1_4_016,???
CS_CHE_H1_4_017,성급하긴!
CS_CHE_H1_4_018,...아까 보니까 루나 공격은 전혀 안 먹히던데...
CS_CHE_H1_4_019,메이 언니 공격은 먹혔는데...히잉.
CS_CHE_H1_4_020,...아까 분명히 메이가 입은 옷이랑 악령이 입은 옷에서 뭔가 기운이...
CS_CHE_H1_4_021,잉? 둘 다 메이 언니가 만든 옷 아니야?
CS_CHE_H1_4_022,응. 그거랑 뭔가 관계가 있는 거겠지?
CS_CHE_H1_4_024,"메이, 혹시 의상 남는 거 있어?"
CS_CHE_H1_4_025,"아, 네. 루나 보여주려고 했던 어린이용 의상 하나랑..."
CS_CHE_H1_4_026,...그 외로 몇 벌 더 있긴 한데...헤헤헤...
CS_CHE_H1_4_027,...?
CS_CHE_H1_4_028,일단 꺼내서 보자고.
CS_CHE_H1_4_029,"와, 귀여워! 진짜 귀여워!"
CS_CHE_H1_4_030,"아하하, 고마워! 꺄아, 루나 너무 귀엽다~"
CS_CHE_H1_4_032,진짜 나한테 맞는게...이거 밖에 없는 거지?
CS_CHE_H1_4_033,음...뭔가 좀 부끄러운데? 하하....
CS_CHE_H1_4_034,아하하하....그게 좀 시원하죠?
CS_CHE_H1_4_035,"...하, 하지만 굉장히 잘 어울려요!"
CS_CHE_H1_4_036,토끼귀다 토끼귀!
CS_CHE_H1_4_037,키 큰 언니 루나랑 똑같다!
CS_CHE_H1_4_038,"...하하, 뭐, 어쩔 수 없지."
CS_CHE_H1_4_039,"내 예상이 맞다면, 메이가 만든 옷을 입어야...."
CS_CHE_H1_4_040,메이 옷을 입은 악령들을 쓰러뜨릴 수 있어.
CS_CHE_H1_4_041,신중하게 가보자고.
CS_CHE_H1_4_042,돌겨어어억!!!
CS_CHE_H1_4_043,"하하하하, 재밌는 꼬마네."
CS_CHE_H1_4_044,에라 모르겠다. 어이~ 같이 가자고!!
CS_CHE_H1_4_045,"아! 루나, 혼자 가면 위험해~! 다 같이 가자!!"
CS_CHE_H1_5_001,"이걸로 세 벌째! 세 벌 남은 거지, 메이 언니?"
CS_CHE_H1_5_002,"응, 이제 반쯤 되찾았어!"
CS_CHE_H1_5_003,그런데 왜 내가 만든 옷이 이런 특이한 힘을...
CS_CHE_H1_5_004,"악령들, 옷만 남기고 빛의 구슬이 되어 사라졌어! 그러더니 주변의 다른 몬스터들도! 신기해!"
CS_CHE_H1_5_005,확실히 신기한 일이야. 악령은 쓰러뜨려도 보통 그런 식으로 간단하게 정화되질 않는데...
CS_CHE_H1_5_006,일단 나머지 세 벌을 찾는 거랑 여기서 나가는 방법을 찾는 거에 집중하자.
CS_CHE_H1_5_007,왠지 몬스터가 많이 모이는 곳에 꼭 옷을 입은 악령들이 있는 거 같은데...
CS_CHE_H1_5_008,다음은 저쪽으로 가보자고.
CS_CHE_H1_6_001,여기가 마지막 같은데?
CS_CHE_H1_6_002,다섯 벌 되찾았으니 이게 마지막이 되겠군요.
CS_CHE_H1_6_003,벌써 끝이야? 호박 쏴서 깨뜨리는 거 재밌었는데!
CS_CHE_H1_6_004,그나저나 돌아갈 방법은 아직도 못 찾았다는 게 마음에 걸리는데..
CS_CHE_H1_6_005,일단 마지막 의상부터 되찾고 생각해 보자.
CS_CHE_H1_7_001,...? 저건 설마...
CS_CHE_H1_7_002,"잠깐, 뭔가 이상해. 메이, 저거 네가 만든 옷 맞지?"
CS_CHE_H1_7_003,"응? 아, 네! 맞아요! 제일 처음 만든 옷 중 하나에요."
CS_CHE_H1_7_004,...악령치고는 느낌이 너무...묘한데?
CS_CHE_H1_7_005,그건 내가 악령이 아니기 때문이지. 그저 일개 마법사라네.
CS_CHE_H1_7_006,...!!
CS_CHE_H1_7_007,"하하하, 너무 경계하지 말게나."
CS_CHE_H1_7_008,"반갑군, 메이. 내 일에 휘말리게 해서 미안하다네."
CS_CHE_H1_7_009,...닉스 씨? 닉스 씨 맞죠? 난 또 악령이 닉스 씨의 모습을 한 줄 알고...
CS_CHE_H1_7_010,"하하하, 그럴 만도 하지."
CS_CHE_H1_7_011,주문한 옷들은 원한 대로 잘 나왔더군.
CS_CHE_H1_7_012,정말 고맙다네.
CS_CHE_H1_7_013,주문한 옷?
CS_CHE_H1_7_014,"아, 저 분은 닉스 씨라고, 신출귀몰하는 특이한 마법사 분이신데,"
CS_CHE_H1_7_015,이번에 뭔가 큰 실험에 쓸거라고 하시면서 고급 원단하고 실을 엄청나게 많이 주셨거든.
CS_CHE_H1_7_016,"그걸 바탕으로 이번 축제에 쓸 의상을 몇 개는 테마를 정해서, 나머지는 생각나는대로 만들어 달라 하셨는데..."
CS_CHE_H1_7_017,"그럼 여태 우리가 모으던 의상들이라던가, 입고 있는 의상이라던가..."
CS_CHE_H1_7_018,그 재료로 만든 옷인 거야?
CS_CHE_H1_7_019,그런 셈이지. 그 옷들이 급하게 필요해져서 포탈을 열어서 몇 벌 일찍 수령했다네.
CS_CHE_H1_7_020,그러던 와중 의도치 않게 자네들을 다 휘말리게 했지만...
CS_CHE_H1_7_021,놀라게 했다면 미안하군.
CS_CHE_H1_7_022,"아, 선불로 대금도 주셨고 남는 실과 원단은 마음대로 쓰라고 하셔서 그건 상관 없는데..."
CS_CHE_H1_7_023,이건 도대체 무슨 상황이...
CS_CHE_H1_7_024,"음, 미안하지만 지금은 설명할 시간이 없다네."
CS_CHE_H1_7_025,지금은 내 상대를 좀 해줘야겠어.
CS_CHE_H1_7_026,상대?
CS_CHE_H1_7_027,말 그대로 전투라네. 실험에 살짝 실패해서 말이지...몸이 제멋대로 움직이고 있다네.
CS_CHE_H1_7_028,악령? 악령 짓이야?
CS_CHE_H1_7_029,"그렇다네. 일단 최대한 억누르고는 있지만, 이 옷에 빙의한 악령부터 좀 부탁하네."
CS_CHE_H1_7_030,흐응~ 그런데 말이야.
CS_CHE_H1_7_031,"당신이 이 모든 일을 벌이고, 우리를 위험에 빠뜨린 사람이라는 거지?"
CS_CHE_H1_7_032,"...음, 그렇게 되겠군. 다시 말하지만 미안하게 됐 -"
CS_CHE_H1_7_033,"됐고, 먼저 몇 대 때리지 않고서는 분이 안 풀릴 거 같은데."
CS_CHE_H1_7_034,키 큰 언니 화난 거 같은데...
CS_CHE_H1_7_035,아하하하....
CS_CHE_H1_8_001,"그만, 그만. 악령은 제령되었다네. 그 화살 좀 내려놓지 않겠나. 맞았다간 죽겠군."
CS_CHE_H1_8_002,"...쳇, 한 대도 제대로 맞지 않고 피한 주제에 입은 살았군."
CS_CHE_H1_8_003,하하하...자네에게 한대라도 제대로 맞는 순간 내 목숨이 없지 않은가.
CS_CHE_H1_8_004,"바바리안 족의 마지막 여전사이자 희대의 드래곤 슬레이어, 얀느."
CS_CHE_H1_8_005,"...흥. 뭐, 좋아."
CS_CHE_H1_8_006,"악령도 마저 퇴치했겠다, 슬슬 돌아갈 방법을 알려줘야겠어."
CS_CHE_H1_8_007,음? 돌아가는 거라면 언제든지 가능하다네. 여긴 내가 만든 아공간 속의 세계라...
CS_CHE_H1_8_008,"물론, 빙의한 악령이 제령되어서 가능하다는 얘기라네. 그 화살 좀 제발 내려놓게나."
CS_CHE_H1_8_009,"자, 내 뒤에 포탈을 하나 열어두었으니 필요하면 쓰게나."
CS_CHE_H1_8_010,잠깐! 궁금한게 있어.
CS_CHE_H1_8_011,짝짝이 눈 아저씨는 근데 무슨 실험을 한 거야?
CS_CHE_H1_8_012,짝짝이 눈...하하하. 당돌한 아가씨군.
CS_CHE_H1_8_013,"흠, 할로윈은 죽은 자들을 기리는 축제라는 건 알고 있겠지?"
CS_CHE_H1_8_014,그런데 악령들이 가끔은 축제 중에 사람들 사이에서 끼어서 피해를 끼치기도 한다네.
CS_CHE_H1_8_015,그래서 악령들만을 모아서 인간들에게 피해가 가지 않을 축제를 하려고 했었지.
CS_CHE_H1_8_016,"일이 원하는 대로 잘 돌아가진 않았지만, 자네들의 도움을 받아서 잘 끝났어."
CS_CHE_H1_8_017,잉? 그럼 우린 여태껏 치고받고 악령들이랑 재밌게 파티한 거?
CS_CHE_H1_8_018,그렇게 되는군. 하하하.
CS_CHE_H1_8_019,근데 그게 메이 언니 옷이랑 무슨 상관이야?
CS_CHE_H1_8_020,간단하게 말하자면 원하는 악령들이 해보고 싶은 것을 할 수 있게 해준 것이라네.
CS_CHE_H1_8_021,신나게 싸워보고 싶은 악령. 뭔가 맛있는 걸 먹어보고 싶은 악령. 예쁜 옷을 입어보고 싶은 악령.
CS_CHE_H1_8_022,"미련을 날리고 저세상으로 갈 수 있도록 도와주는 과정에서, 메이에게 옷을 주문했지."
CS_CHE_H1_8_023,"얀느, 그대가 입고 있는 그 옷도 어느 한 악령의 취미...라는 것이 되겠군."
