KEY,"Russian"
CS_CHE_H1_1_001,"Мэй~!! Давай поиграем!!"
CS_CHE_H1_1_002,"Морковная конфетка! У тебя, случаем, нет морковной конфетки?!"
CS_CHE_H1_1_003,"Морковная конфетка? Никогда о таком не слышала... Но... У меня есть шоколадка..."
CS_CHE_H1_1_004,"Шоколад тоже сойдёт!"
CS_CHE_H1_1_005,"Ням ням... Ой, а что это за девушка вон там? Никогда её не видела!"
CS_CHE_H1_1_006,"Ах, ты имеешь ввиду Янни?"
CS_CHE_H1_1_007,"Она невероятная... Её зовут Убийцей Драконов!"
CS_CHE_H1_1_008,"Несколько лет назад жил-был страшный, злобный дракон по имени Светла Безумный. Она победила его одна, без какой-либо помощи!"
CS_CHE_H1_1_009,"Безумный? Он что, всегда злился?"
CS_CHE_H1_1_010,"Некоторые драконы переходят на темную сторону и сходят с ума. Они сеют хаос и разрушение вместо того, чтобы охранять мир и покой."
CS_CHE_H1_1_011,"Мэй, я сложила Драконью чешую и шкуры, которые ты просила, снаружи."
CS_CHE_H1_1_012,"Спасибо~ хехе."
CS_CHE_H1_1_013,"Драконы это такие большие и толстые ящерицы? Ого! Да ты сильна, сестрёнка!"
CS_CHE_H1_1_014,"Смотри не попадись тому кузницу на той стороне дороги, болтая подобное, ага?"
CS_CHE_H1_1_015,"Хаха, Джин хороший, все будет в порядке."
CS_CHE_H1_1_016,"Между прочим, Мэй! Что-то не так! Твой магазин, твоя одежда, всё другое!"
CS_CHE_H1_1_017,"О, знаешь, многие спрашивали о костюмах на Хеллоуин в последнее время."
CS_CHE_H1_1_018,"Так что, я дала себе волю!"
CS_CHE_H1_1_019,"С таким уровнем мастерства, тебе не нужно быть простым торговцем. Ты бы стала знаменитым портным, без вопросов."
CS_CHE_H1_1_020,"Ахаха, нет, шить вещи- это моё хобби."
CS_CHE_H1_1_021,"Ох, это так миленько!"
CS_CHE_H1_1_022,"Я очень хочу такой! Что-нибудь есть для меня?"
CS_CHE_H1_1_023,"Ну, у меня есть несколько костюмов как раз твоего размера. Хочешь примерить?"
CS_CHE_H1_1_024,"Да, да, конечно, скорее!"
CS_CHE_H1_1_025,"Так~ Подожду секунду, я принесу несколько нарядов!"
CS_CHE_H1_1_027,"Аааааах!"
CS_CHE_H1_1_028,"Мэй!! Что-то случилось?!"
CS_CHE_H1_1_030,"...Не отвечает. Давай ка глянем, что с ней."
CS_CHE_H1_1_031,"Ой! Я ничего не вижу!"
CS_CHE_H1_1_032,"...Силы Тьмы? Нет, что-то другое..."
CS_CHE_H1_1_034,"Сестрёнка, это..."
CS_CHE_H1_1_035,"... Ага, похоже на то."
CS_CHE_H1_1_036,"Мы падаеееееееееееем!!!!!!!!!!!!!!!"
CS_CHE_H1_2_001,"...Хм... Где это мы?"
CS_CHE_H1_2_002,"Ой ой ой, больно то как! Ударилась головушкой..."
CS_CHE_H1_2_003,"Но где Мэй... Ах!"
CS_CHE_H1_2_004,"Она без сознания, но хорошо, что она не пострадала."
