KEY,ChineseTraditional
CHAPTER1_TITLE,第1章.旅程的起點
CHAPTER2_TITLE,第2章.繼承
CHAPTER3_TITLE,第3章.劍之所向
CHAPTER4_TITLE,第4章.席捲而來的黑暗
CHAPTER5_TITLE,第5章.迷霧女王
CHAPTER6_TITLE,第6章.沾染金光的黑暗
CHAPTER7_TITLE,第7章.光之路
CHAPTER8_TITLE,第8章. 地獄之門
CHAPTER9_TITLE,第9章. 混沌再臨
CHAPTER95_TITLE,最終章
CHAPTER1_BACKGROUND,王之平原
CHAPTER2_BACKGROUND,艾莉朵拉森林
CHAPTER3_BACKGROUND,歐格利亞高山地
CHAPTER4_BACKGROUND,克盧雅平原
CHAPTER5_BACKGROUND,阿羅維納海岸
CHAPTER6_BACKGROUND,埃伊納沙漠
MAP_LAMUS_PLAIN,王之平原
MAP_ELLIDORA_FOREST,艾莉朵拉森林
MAP_KRAD_MOUNTAIN,歐格利亞高山地
MAP_KRAD_FOREST,克盧雅平原
MAP_SICRAKAM_PLAIN,阿羅維納海岸
MAP_HALLA_DESERT,埃伊納沙漠
MAP_BALLUTUA_SNOW_MOUNTAIN,風地雪山
MAP_DIZARSTOM_VOLCANO,德拉吉亞火山
MAP_GARGOSS_SWAMP,卡爾庫斯沼澤地帶
MAP_Mysterious_Ruins,猜謎遺跡
MAP_ Realm_Empire,帝國領地
MAP_ OrvelianCapital_ Orvel,首都奧勒貝爾
MAP_ LandofDeath_Galua,死亡之地克盧雅
MAP_Border,邊境地區
MAP_Border_Outskirts,邊境地區外圍
MAP_Imperial_Office,帝國辦公室
MAP_Present,現在
MAP_Past,過去
TITLE_DARKNESS,黑暗的
HERO_GROUP_1,克麗歐 & 羅伊
HERO_GROUP_2,一同
HERO_GROUP_3,露娜 & 梅伊
HERO_GROUP_4,露娜 & 雅妮
HERO_GROUP_5,愛紗 & 阿蒂蜜雅
HERO_GROUP_6,士兵1 & 2
HERO_GROUP_7,獸人部隊
HERO_GROUP_8,愛比絲 & 珍
HERO_GROUP_9,雜種
HERO_GROUP_10,魅魔
HERO_GROUP_11,希歐&???
HERO_GROUP_12,薩蜜拉
HERO_GROUP_13,伊茲凱爾 & 薇絲卡
HERO_GROUP_14,實驗體
HERO_GROUP_15,黛彌兒 & 克勞斯
HERO_GROUP_16,羅迪娜 & 露娜
HERO_GROUP_17,芮奎娜 & 梅蒂安娜
HERO_GROUP_18,艾希莉卡 & 亞克
HERO_GROUP_19,米露露 & 拉克拉克
HERO_GROUP_20,迪麥 & 伊茲凱爾
HERO_GROUP_21,迪麥 & 瑟琳
HERO_GROUP_22,樂皮＆歐迪
HERO_GROUP_23,黑騎士
HERO_GROUP_24,伊茲凱爾 & 薇絲卡 (?)
HERO_GROUP_25,索妮亞＆米芮安
HERO_GROUP_26,黎莉雅＆奈洛希思
HERO_GROUP_27,克洛＆希歐
HERO_GROUP_28,伊茲凱爾＆米特拉
HERO_GROUP_29,潘希洛奈＆米特拉
HERO_GROUP_30,瑞卡德＆黛彌兒
HERO_GROUP_31,查畢勒＆勞蒂亞
HERO_GROUP_32,里歐＆克勞斯
HERO_GROUP_33,克勞斯＆洛曼
HERO_GROUP_34,伽司＆里歐
HERO_GROUP_35,尼克斯＆歐迪
HERO_GROUP_36,史嘉蕾＆阿蒂蜜雅
HERO_GROUP_37,奈洛希思＆黎莉雅
HERO_GROUP_38,梅伊＆芮奎娜
HERO_GROUP_39,瑞卡德＆米芮安
HERO_GROUP_40,弗魯斯＆克莉莎
HERO_GROUP_41,希歐＆伊茲凱爾
HERO_GROUP_42,米特拉＆羅迪娜
HERO_GROUP_43,芙萊兒＆凱瑟
