KEY,French
CHAPTER1_TITLE,Chapitre 1. Le Début du Voyage
CHAPTER2_TITLE,Chapitre 2. Succession
CHAPTER3_TITLE,Chapitre 3. Où la Lame Vise
CHAPTER4_TITLE,Chapitre 4. Envahir les ténèbres
CHAPTER5_TITLE,Chapitre 5. La Reine dans le Brouillard
CHAPTER6_TITLE,Chapitre 6. Obscurité Dorée
CHAPTER7_TITLE,Chapitre 7. Chemin de Lumière
CHAPTER8_TITLE,Chapitre 8. Le Portail infernal
CHAPTER9_TITLE,Chapitre 9. Pandémonium
CHAPTER95_TITLE,Le dernier chapitre
CHAPTER1_BACKGROUND,Plaines du Roi
CHAPTER2_BACKGROUND,Forêt Elidora
CHAPTER3_BACKGROUND,Montagne Ogria
CHAPTER4_BACKGROUND,Plaines Galluah
CHAPTER5_BACKGROUND,Rivage Arrovina
CHAPTER6_BACKGROUND,Désert Aegina
MAP_LAMUS_PLAIN,Plaines du Roi
MAP_ELLIDORA_FOREST,Forêt Elidora
MAP_KRAD_MOUNTAIN,Montagne Ogria
MAP_KRAD_FOREST,Plaines Galluah
MAP_SICRAKAM_PLAIN,Rivage Arrovina
MAP_HALLA_DESERT,Désert Aegina
MAP_BALLUTUA_SNOW_MOUNTAIN,Montagne Enneigée Terre-Venteuse
MAP_DIZARSTOM_VOLCANO,Volcan Dragia
MAP_GARGOSS_SWAMP,Marais de Gargoss
MAP_Mysterious_Ruins,Ruine mystère
MAP_ Realm_Empire,Empire
MAP_ OrvelianCapital_ Orvel,Orvel
MAP_ LandofDeath_Galua,"Galluah, zone de mort"
MAP_Border,Frontière
MAP_Border_Outskirts,Zone frontalière
MAP_Imperial_Office,Bureau impérial
MAP_Present,Présent
MAP_Past,Passé
TITLE_DARKNESS,Obscurité de
HERO_GROUP_1,Cleo & Roi
HERO_GROUP_2,Groupe
HERO_GROUP_3,Luna & May
HERO_GROUP_4,Luna & Yanne
HERO_GROUP_5,Aisha & Artemia
HERO_GROUP_6,Soldats 1 & 2
HERO_GROUP_7,Unité orc
HERO_GROUP_8,Epis & Jane
HERO_GROUP_9,Half Breed
HERO_GROUP_10,Succube
HERO_GROUP_11,Theo & ???
HERO_GROUP_12,Shamilla
HERO_GROUP_13,Ezekiel & Viska
HERO_GROUP_14,Sujet de test
HERO_GROUP_15,Demia & Clause
HERO_GROUP_16,Rodina & Luna
HERO_GROUP_17,Requina & Mediana
HERO_GROUP_18,Aselica & Arch
HERO_GROUP_19,Miruru & Lakrak
HERO_GROUP_20,Dimael & Ezekiel
HERO_GROUP_21,Dimael & Selene
HERO_GROUP_22,Rephy & Oddy
HERO_GROUP_23,Chevalier noir
HERO_GROUP_24,Ezekiel & Viska (?)
HERO_GROUP_25,Sonia & Mirianne
HERO_GROUP_26,Lilia & Neraxis
HERO_GROUP_27,Crow & Theo
HERO_GROUP_28,Ezekiel & Mitra
HERO_GROUP_29,Pansirone & Mitra
HERO_GROUP_30,Ricardo & Demia
HERO_GROUP_31,Zafir & Laudia
HERO_GROUP_32,Leo & Clause
HERO_GROUP_33,Clause & Loman
HERO_GROUP_34,Chase & Leo
HERO_GROUP_35,Nyx & Oddy
HERO_GROUP_36,Scarlet & Artemia
HERO_GROUP_37,Neraxis & Lilia
HERO_GROUP_38,May & Requina
HERO_GROUP_39,Ricardo & Mirianne
HERO_GROUP_40,Fluss & Chrisha
HERO_GROUP_41,Theo & Ezekiel
HERO_GROUP_42,Mitra & Rodina
HERO_GROUP_43,Frey & Kasel
HERO_GROUP_44,Frey & Cleo
HERO_GROUP_45,Glenwys & Chrisha
HERO_GROUP_46,Ophelia & Shea
HERO_GROUP_47,Seria & Erze
HERO_GROUP_48,Cecilia & Leo
HERO_GROUP_49,Dosarta & Leo
HERO_GROUP_50,Dosarta & Mitra
HERO_GROUP_51,Clause & Demia
HERO_GROUP_52,Clause & Frey
HERO_GROUP_53,Mitra & Pansirone
HERO_GROUP_54,Mitra & Pansirone & Dryades
HERO_GROUP_55,Mitra & Dryades
NPC_KYLE_NAME,Kyle
NPC_BLACKKNIGHT_NAME,Chevalier Noir
NPC_MALDUK_NAME,Malduk
NPC_IzakerrR_NAME,Izakerr
NPC_TARKAS_NAME,Tarcas
NPC_SIEG_NAME,Sieg
NPC_KINGOFSPIRIT_NAME,Roi des Esprits
NPC_UNCONFIRMED_NAME,?????
NPC_UNCONFIRMED_GROUP_NAME,??? & ???
NPC_ELROSED_NAME,El Rosed
NPC_EPIGAEL_NAME,Epigael
FAIRY_RHILL,Rhill
NPC_KAREN_NAME,Karen
NPC_LUA_NAME,Lua
NPC_CROWD_NAME,Foule
NPC_HALLHERO_NAME,Hillia
NPC_HARPY,Harpie
NPC_ORC,Orc
NPC_DARKELF,Elfe Noir
NPC_DARKNESS,Voix des Ténèbres
NPC_GNOLL,Gnoll
NPC_AGAMEMNON,Agamemnon
NPC_DRYAD,Dryade
NPC_MASK_NAME,Masque Rieur
NPC_IRIS,Iris
NPC_LEI,Lei
NPC_SOLDIER,Soldat
NPC_SOLDIER1,Soldat 1
NPC_SOLDIER2,Soldat 2
NPC_SOLDIER3,Soldat 3
NPC_SOLDIER4,Soldat 4
NPC_SOLDIER5,Soldat 5
NPC_SKELETONGIANT,Squelette géant
NPC_SKELETON,Squelette
NPC_INFIRA,Infira
NPC_DRACONIA,Draconic ténébreux
NPC_TEMERER_QUESTION,Temeraire (?)
NPC_UNDEADORC,Orc mort-vivant
NPC_GOAT,Bouc (?)
NPC_MIRURUPIRATES,Pirates de Miruru
NPC_DarkElf_SOLDIER,Soldat elfe noir
NPC_DarkElf_SOLDIER1,Soldat elfe noir 1
NPC_DarkElf_SOLDIER2,Soldat elfe noir 2
NPC_DarkElf_FRIEND,Compagnon elfe noir
NPC_DarkElf_FRIEND1,Compagnon elfe noir 1
NPC_DarkElf_FRIEND2,Compagnon elfe noir 2
NPC_DarkElf_FRIEND3,Compagnon elfe noir 3
NPC_DarkElf_FRIEND4,Compagnon elfe noir 4
NPC_DarkElf_FRIEND5,Compagnon elfe noir 5
NPC_DarkElf_FRIEND6,Compagnon elfe noir 6
NPC_DarkElf_FRIEND7,Compagnon elfe noir 7
NPC_DARKFORCES_SOLDIER,Force obscure
NPC_SIEL,Siel
NPC_DEVIL,Créature démoniaque
NPC_ANCIENTMONSTER_HELTANIOS,Heltanios
NPC_GATEKEEPER1,Gardien 1
NPC_GATEKEEPER2,Gardien 2
NPC_CHORUS,Chœur
NPC_LIZARDMAN,Homme-lézard
NPC_LIZARDMAN_GOLD,Porteur d'or
NPC_VILLAGEHEAD,Chef
NPC_DARKSOUL,Âme sombre
NPC_GUARD,Garde
NPC_WOMAN_1,Femme 1
NPC_WOMAN_2,Femme 2
NPC_WOMAN_3,Femme 3
NPC_WOMAN_4,Femme 4
NPC_WOMAN_5,Femme 5
NPC_MAN_1,Homme 1
NPC_MAN_2,Homme 2
NPC_MAN_3,Homme 3
NPC_MAN_4,Homme 4
NPC_MAN_5,Homme 5
NPC_UNDEAD,Mort-vivant
NPC_UNDEADS,Armée de morts-vivants
NPC_HUMANEZE,Ezekiel (humain)
NPC_DEMONEZE,Ezekiel (démon)
NPC_ALTERVISKA,Viska (?)
NPC_VI,Vi
NPC_COLDNIGHTKING,Chevalier de la nuit impitoyable
NPC_SAVAGENIGHTKING,Chevalier de la nuit féroce
NPC_CAT1,Chat espiègle
NPC_CAT2,Chat timide
NPC_SONGWITCH,Sorcière chantante
NPC_FIREWITCH,Sorcière flamboyante
NPC_DARKPRIEST,Foi déchue
NPC_DARKQUEEN,Éclat déchu
NPC_CRAZEDKNIGHT,Chevalier noir berserk
NPC_SILENTKNIGHT,Chevalier noir du silence
NPC_VALANCE,Valance
NPC_REINHART,Reinhart
NPC_ROA,Loah
NPC_ROZE,Rose
NPC_ESOLDIER,Soldat impérial
NPC_ESOLDIER1,Soldat impérial 1
NPC_ESOLDIER2,Soldat impérial 2
NPC_ESOLDIER3,Soldat impérial 3
NPC_ESOLDIER4,Soldat impérial 4
NPC_QVOICE,Voix mystérieuse
NPC_YMVOICE,Voix de jeune homme
NPC_YWOFFICER,Voix de jeune officière
NPC_MSGIRL,Fille mystérieuse
NPC_MSOUND,Bruit de machines
NPC_OLDGENTLEMAN,Vieux gentilhomme
NPC_PANCIRONNE,Pansirone
NPC_LUCIKIEL,Lucikiel
NPC_ELMORY,El Moriham
NPC_TURAN,Turan
NPC_HANUS,Hanos
NPC_KUMURO,Kumuro
NPC_HAVELOCK,Havelock
NPC_Villager,Villageois
NPC_CATSOLDIER1,Chat numéro 1
NPC_CATSOLDIER2,Chat numéro 2
NPC_CATSOLDIER3,Chat numéro 3
NPC_EVERYONE,Tout le monde
NPC_ORPHANS,Orphelins
NPC_TOWNCHILDREN,Enfants du village
NPC_TOWNPEOPLE,Villageois
NPC_CHILD1,Enfant du village 1
NPC_CHILD2,Enfant du village 2
NPC_CHILD3,Enfant du village 3
NPC_SCHTE,Schute
NPC_MC,Emcee
NPC_ALIAS1,Beauté viking
NPC_AUDIENCE,Public
NPC_ALIAS2,Fiancée du printemps
NPC_ALIAS3,Pirate blonde
NPC_ALIAS4,Amante féline
NPC_Golem,Golem
NPC_EmpireOfficer,Officier de l'empire
NPC_Hoabis,Hoabis
NPC_Kain,Cain
NPC_Kurtel,Kurtel
NPC_CHILDREN,Les enfants
NPC_BOY,Gamin
NPC_NOBLE1,Noble 1
NPC_NOBLE2,Noble 2
NPC_TARGARIOS,Targarios
NPC_SCHWANHEITE,Schwanheite
NPC_HEXIPOLIA,Hexipolia
NPC_VELLEKIA,Vellekia
NPC_ELLICIAD,Elliciad
NPC_CARTA,Carta
NPC_EUCALETUS,Eucaletus
NPC_NPC_RACIFIL,Lasiphil
NPC_SUSPICIOUS_BOOK,Livre Suspicieux
NPC_NOTDIEPEOPLE,Ceux qui ne peuvent mourir
NPC_BERMAN,Berman
NPC_CLERK,Employée
NPC_DUNNNEMICIA,Dunn Nemecia
NPC_TWISTEDDARK,Ténèbres Distordues
NPC_TRIBESMEN1,Homme de la Tribu 1
NPC_TRIBESMEN2,Homme de la Tribu 2
NPC_SHAKMEH,Shakmeh
NPC_JIN,Jin
NPC_Blacksmith,Jin le Forgeron
NPC_MERCENARY1,Mercenaire 1
NPC_MERCENARY2,Mercenaire 2
NPC_SERVANT1,Domestique 1
NPC_SERVANT2,Domestique 2
NPC_SOLDIER6,Soldat 6
NPC_SOLDIER_GROUP,Soldats
NPC_SUBORDINATE,Subordonné direct
NPC_GUARDIAN,Gardien ordinaire
NPC_MYSTERY_GUARDIAN,Gardien suspicieux
NPC_MYSTERY_GUARDIAN_GROUP,Gardiens suspicieux
NPC_KIBERA,Kibera
NPC_SNOW_DRYAD1,Dryade de la Montagne enneigée 1
NPC_SNOW_DRYAD2,Dryade de la Montagne enneigée 2
NPC_SNOW_DRYAD_DUO,Les deux Dryades de la Montagne enneigée
NPC_IDRIAN,Idrian
NPC_DWARFGROUP,Nains
NPC_COURIERMAN,Employé de la poste
