KEY,"French"
CHAPTER1_TITLE,"Chapitre 1. Le Début du Voyage"
CHAPTER2_TITLE,"Chapitre 2. Succession"
CHAPTER3_TITLE,"Chapitre 3. Où la Lame Vise"
CHAPTER4_TITLE,"Chapitre 4. Envahir les ténèbres"
CHAPTER5_TITLE,"Chapitre 5. La Reine dans le Brouillard"
CHAPTER6_TITLE,"Chapitre 6. Obscurité Dorée"
CHAPTER7_TITLE,"Chapitre 7. Chemin de Lumière"
CHAPTER8_TITLE,"Chapitre 8. Le Portail infernal"
CHAPTER9_TITLE,"Chapitre 9. Pandémonium"
CHAPTER95_TITLE,"Le dernier chapitre"
CHAPTER1_BACKGROUND,"Plaines du Roi"
CHAPTER2_BACKGROUND,"Forêt Elidora"
CHAPTER3_BACKGROUND,"Montagne Ogria"
CHAPTER4_BACKGROUND,"Plaines Galluah"
CHAPTER5_BACKGROUND,"Rivage Arrovina"
CHAPTER6_BACKGROUND,"Désert Aegina"
MAP_LAMUS_PLAIN,"Plaines du Roi"
MAP_ELLIDORA_FOREST,"Forêt Elidora"
MAP_KRAD_MOUNTAIN,"Montagne Ogria"
MAP_KRAD_FOREST,"Plaines Galluah"
MAP_SICRAKAM_PLAIN,"Rivage Arrovina"
MAP_HALLA_DESERT,"Désert Aegina"
MAP_BALLUTUA_SNOW_MOUNTAIN,"Montagne Enneigée Terre-Venteuse"
MAP_DIZARSTOM_VOLCANO,"Volcan Dragia"
MAP_GARGOSS_SWAMP,"Marais de Gargoss"
MAP_Mysterious_Ruins,"Ruine mystère"
MAP_ Realm_Empire,"Empire"
MAP_ OrvelianCapital_ Orvel,"Orvel"
MAP_ LandofDeath_Galua,"Galluah, zone de mort"
MAP_Border,"Frontière"
MAP_Border_Outskirts,"Zone frontalière"
MAP_Imperial_Office,"Bureau impérial"
MAP_Present,"Présent"
MAP_Past,"Passé"
TITLE_DARKNESS,"Obscurité de"
HERO_GROUP_1,"Cleo & Roy"
HERO_GROUP_2,"Groupe"
HERO_GROUP_3,"Luna & May"
HERO_GROUP_4,"Luna & Yanne"
HERO_GROUP_5,"Aisha & Artemia"
HERO_GROUP_6,"Soldats 1 et 2"
HERO_GROUP_7,"Unité orc"
HERO_GROUP_8,"Epis et Jane"
HERO_GROUP_9,"Half Breed"
HERO_GROUP_10,"Succube"
HERO_GROUP_11,"Theo&???"
HERO_GROUP_12,"Shamilla"
HERO_GROUP_13,"Ezekiel et Viska"
HERO_GROUP_14,"Sujet de test"
HERO_GROUP_15,"Demia et Clause"
HERO_GROUP_16,"Rodina et Luna"
HERO_GROUP_17,"Requina et Mediana"
HERO_GROUP_18,"Aselica et Arch"
HERO_GROUP_19,"Miruru et Lakrak"
HERO_GROUP_20,"Dimael et Ezekiel"
HERO_GROUP_21,"Dimael et Selene"
HERO_GROUP_22,"Rephy et Oddy"
HERO_GROUP_23,"Chevalier noir"
HERO_GROUP_24,"Ezekiel et Viska (?)"
HERO_GROUP_25,"Sonia et Mirianne"
HERO_GROUP_26,"Lilia et Neraxis"
HERO_GROUP_27,"Crow et Theo"
HERO_GROUP_28,"Ezekiel et Mitra"
HERO_GROUP_29,"Pansirone et Mitra"
HERO_GROUP_30,"Ricardo & Demia"
HERO_GROUP_31,"Zafir & Laudia"
HERO_GROUP_32,"Leo et Clause"
HERO_GROUP_33,"Clause et Loman"
HERO_GROUP_34,"Chase et Leo"
HERO_GROUP_35,"Nyx et Oddy"
HERO_GROUP_36,"Scarlet et Artemia"
HERO_GROUP_37,"Neraxis & Lilia"
HERO_GROUP_38,"May et Requina"
HERO_GROUP_39,"Ricardo et Mirianne"
HERO_GROUP_40,"Fluss et Chrisha"
HERO_GROUP_41,"Theo et Ezekiel"
HERO_GROUP_42,"Mitra et Rodina"
NPC_KYLE_NAME,"Kyle"
NPC_BLACKKNIGHT_NAME,"Chevalier Noir"
NPC_MALDUK_NAME,"Malduk"
NPC_IzakerrR_NAME,"Izakerr"
NPC_TARKAS_NAME,"Tarcas"
NPC_SIEG_NAME,"Sieg"
NPC_KINGOFSPIRIT_NAME,"Roi des Esprits"
NPC_UNCONFIRMED_NAME,"?????"
NPC_UNCONFIRMED_GROUP_NAME,"??? & ???"
NPC_ELROSED_NAME,"El Rosed"
NPC_EPIGAEL_NAME,"Epigael"
FAIRY_RHILL,"Rhill"
NPC_KAREN_NAME,"Karen"
NPC_LUA_NAME,"Lua"
NPC_CROWD_NAME,"Foule"
NPC_HALLHERO_NAME,"Hillia"
NPC_HARPY,"Harpie"
NPC_ORC,"Orc"
NPC_DARKELF,"Elfe Noir"
NPC_DARKNESS,"Voix des Ténèbres"
NPC_GNOLL,"Gnoll"
NPC_AGAMEMNON,"Agamemnon"
NPC_DRYAD,"Driade"
NPC_MASK_NAME,"Masque Rieur"
NPC_IRIS,"Iris"
NPC_LEI,"Lei"
NPC_SOLDIER,"Soldat"
NPC_SOLDIER1,"Soldat 1"
NPC_SOLDIER2,"Soldat 2"
NPC_SOLDIER3,"Soldat 3"
NPC_SOLDIER4,"Soldat 4"
NPC_SOLDIER5,"Soldat 5"
NPC_SKELETONGIANT,"Squelette géant"
NPC_SKELETON,"Squelette"
NPC_INFIRA,"Infira"
NPC_DRACONIA,"Draconics"
NPC_TEMERER_QUESTION,"Temeraire (?)"
NPC_UNDEADORC,"Orc mort-vivant"
NPC_GOAT,"Bouc (?)"
NPC_MIRURUPIRATES,"Pirates de Miruru"
NPC_DarkElf_SOLDIER,"Soldat elfe noir"
NPC_DarkElf_SOLDIER1,"Soldat elfe noir 1"
NPC_DarkElf_SOLDIER2,"Soldat elfe noir 2"
NPC_DarkElf_FRIEND,"Compagnon elfe noir"
NPC_DarkElf_FRIEND1,"Compagnon elfe noir 1"
NPC_DarkElf_FRIEND2,"Compagnon elfe noir 2"
NPC_DarkElf_FRIEND3,"Compagnon elfe noir 3"
NPC_DarkElf_FRIEND4,"Compagnon elfe noir 4"
NPC_DarkElf_FRIEND5,"Compagnon elfe noir 5"
NPC_DarkElf_FRIEND6,"Compagnon elfe noir 6"
NPC_DarkElf_FRIEND7,"Compagnon elfe noir 7"
NPC_DARKFORCES_SOLDIER,"Force obscure"
NPC_SIEL,"Siel"
NPC_DEVIL,"Créature démoniaque"
NPC_ANCIENTMONSTER_HELTANIOS,"Heltanios"
NPC_GATEKEEPER1,"Gardien 1"
NPC_GATEKEEPER2,"Gardien 2"
NPC_CHORUS,"Chœur"
NPC_LIZARDMAN,"Homme-lézard"
NPC_LIZARDMAN_GOLD,"Porteur d'or"
NPC_VILLAGEHEAD,"Chef"
NPC_DARKSOUL,"Âme sombre"
NPC_GUARD,"Garde"
NPC_WOMAN_1,"Femme 1"
NPC_WOMAN_2,"Femme 2"
NPC_WOMAN_3,"Femme 3"
NPC_WOMAN_4,"Femme 4"
NPC_WOMAN_5,"Femme 5"
NPC_MAN_1,"Homme 1"
NPC_MAN_2,"Homme 2"
NPC_MAN_3,"Homme 3"
NPC_MAN_4,"Homme 4"
NPC_MAN_5,"Homme 5"
NPC_UNDEAD,"Mort-vivant"
NPC_UNDEADS,"Armée de morts-vivants"
NPC_HUMANEZE,"Ezekiel (humain)"
NPC_DEMONEZE,"Ezekiel (démon)"
NPC_ALTERVISKA,"Viska (?)"
NPC_VI,"Vi"
NPC_COLDNIGHTKING,"Chevalier de la nuit impitoyable"
NPC_SAVAGENIGHTKING,"Chevalier de la nuit féroce"
NPC_CAT1,"Chat espiègle"
NPC_CAT2,"Chat timide"
NPC_SONGWITCH,"Sorcière chantante"
NPC_FIREWITCH,"Sorcière flamboyante"
NPC_DARKPRIEST,"Foi déchue"
NPC_DARKQUEEN,"Éclat déchu"
NPC_CRAZEDKNIGHT,"Chevalier noir berserk"
NPC_SILENTKNIGHT,"Chevalier noir du silence"
NPC_VALANCE,"Valance"
NPC_REINHART,"Reinhart"
NPC_ROA,"Loah"
NPC_ROZE,"Rose"
NPC_ESOLDIER,"Soldat impérial"
NPC_ESOLDIER1,"Soldat impérial1"
NPC_ESOLDIER2,"Soldat impérial2"
NPC_QVOICE,"Voix mystérieuse"
NPC_YMVOICE,"Voix de jeune homme"
NPC_YWOFFICER,"Voix de jeune officière"
NPC_MSGIRL,"Fille mystérieuse"
NPC_MSOUND,"Bruit de machines"
NPC_OLDGENTLEMAN,"Vieux gentilhomme"
NPC_PANCIRONNE,"Pansirone"
NPC_LUCIKIEL,"Lucikiel"
NPC_ELMORY,"El Moriham"
NPC_TURAN,"Turan"
NPC_HANUS,"Hanos"
NPC_KUMURO,"Kumuro"
NPC_HAVELOCK,"Havelock"
NPC_Villager,"Villageois"
NPC_CATSOLDIER1,"Chat numéro 1"
NPC_CATSOLDIER2,"Chat numéro 2"
NPC_CATSOLDIER3,"Chat numéro 3"
NPC_EVERYONE,"Tout le monde"
NPC_ORPHANS,"Orphelins"
NPC_TOWNCHILDREN,"Enfants du village"
NPC_TOWNPEOPLE,"Villageois"
NPC_CHILD1,"Enfant du village 1"
NPC_CHILD2,"Enfant du village 2"
NPC_CHILD3,"Enfant du village 3"
NPC_SCHTE,"Schute"
NPC_MC,"Emcee"
NPC_ALIAS1,"Beauté viking"
NPC_AUDIENCE,"Public"
NPC_ALIAS2,"Fiancée du printemps"
NPC_ALIAS3,"Pirate blonde"
NPC_ALIAS4,"Amante féline"
NPC_Hoabis,"Hoabis"
NPC_Kain,"Cain"
NPC_Kurtel,"Kurtel"
CHAPTER1_BOSS1_NAME,"Marrik"
CHAPTER1_BOSS1_TITLE,"Frénétique"
CHAPTER1_BOSS1_DESC,"Un pillard gobelin professionnel aussi puissant que les chevaliers humains."
CHAPTER1_BOSS2_NAME,"Tarokki"
CHAPTER1_BOSS2_TITLE,"Démon Fou"
CHAPTER1_BOSS2_DESC,"Un gobelin malin et rusé qui est habile pour fabriquer de la poudre à canon."
CHAPTER1_BOSS3_NAME,"Bodakka"
CHAPTER1_BOSS3_TITLE,"Chevaucheur de Sanglier"
CHAPTER1_BOSS3_DESC,"Un cruel et féroce guerrier gobelin qui mène une horde de gobelins pour coopérer avec les Forces Ténébreuses."
CHAPTER2_BOSS1_NAME,"Lafairy"
CHAPTER2_BOSS1_TITLE,"Lance de Confiance"
CHAPTER2_BOSS1_DESC,"L'honorable Chef des Driades."
CHAPTER2_BOSS2_NAME,"Himmullis"
CHAPTER2_BOSS2_TITLE,"Ailes de Liberté"
CHAPTER2_BOSS2_DESC,"Une maîtresse du vent Harpie qui attire les mâles ennemis à son nid et les tue en absorbant leur esprit."
CHAPTER2_BOSS3_NAME,"Balalaika"
CHAPTER2_BOSS3_TITLE,"L'abîme du Zénith"
CHAPTER2_BOSS3_DESC,"Ceux qui succombent à sa séduction oublient leur peur de la mort et meurent dans la joie."
CHAPTER3_BOSS1_NAME,"Throne"
CHAPTER3_BOSS1_TITLE,"Chef du Groupe de Charge"
CHAPTER3_BOSS1_DESC,"Un guerrier Orc d'élite cruel et féroce, porteur d'épée et bras-droit de Sieg."
CHAPTER3_BOSS2_NAME,"Dain"
