KEY,"German"
CHAPTER1_TITLE,"Kapitel 1. Beginn des Abenteuers"
CHAPTER2_TITLE,"Kapitel 2. Nachfolge"
CHAPTER3_TITLE,"Kapitel 3. Wohin die Klinge zielt"
CHAPTER4_TITLE,"Kapitel 4. Überwältigende Dunkelheit"
CHAPTER5_TITLE,"Kapitel 5. Die Königin im Nebel"
CHAPTER6_TITLE,"Kapitel 6. Vergoldete Dunkelheit"
CHAPTER7_TITLE,"Kapitel 7. Pfad des Lichts"
CHAPTER8_TITLE,"Kapitel 8. Infernalisches Tor"
CHAPTER9_TITLE,"Kapitel 9. Pandämonium"
CHAPTER95_TITLE,"Das letzte Kapitel"
CHAPTER1_BACKGROUND,"Königsebenen"
CHAPTER2_BACKGROUND,"Elidora-Wald"
CHAPTER3_BACKGROUND,"Ogria-Gebirge"
CHAPTER4_BACKGROUND,"Galluah-Ebenen"
CHAPTER5_BACKGROUND,"Arrovina-Küste"
CHAPTER6_BACKGROUND,"Aegina-Wüste"
MAP_LAMUS_PLAIN,"Königsebenen"
MAP_ELLIDORA_FOREST,"Elidora-Wald"
MAP_KRAD_MOUNTAIN,"Ogria-Gebirge"
MAP_KRAD_FOREST,"Galluah-Ebenen"
MAP_SICRAKAM_PLAIN,"Arrovina-Küste"
MAP_HALLA_DESERT,"Aegina-Wüste"
MAP_BALLUTUA_SNOW_MOUNTAIN,"Windland-Schneegebirge"
MAP_DIZARSTOM_VOLCANO,"Dragia-Vulkan"
MAP_GARGOSS_SWAMP,"Sümpfe von Gargoss"
MAP_Mysterious_Ruins,"Geheimruinen"
MAP_ Realm_Empire,"Imperium"
MAP_ OrvelianCapital_ Orvel,"Orvel"
MAP_ LandofDeath_Galua,"Galluah, Land des Todes"
MAP_Border,"Grenze"
MAP_Border_Outskirts,"Äußere Grenze"
MAP_Imperial_Office,"Kaiserliches Amt"
MAP_Present,"Gegenwart"
MAP_Past,"Vergangenheit"
TITLE_DARKNESS,"Dunkelheit von"
HERO_GROUP_1,"Cleo & Roi"
HERO_GROUP_2,"Gruppe"
HERO_GROUP_3,"Luna & May"
HERO_GROUP_4,"Luna & Yanne"
HERO_GROUP_5,"Aisha & Artemia"
HERO_GROUP_6,"Soldat 1 und 2"
HERO_GROUP_7,"Ork-Einheit"
HERO_GROUP_8,"Epis und Jane"
HERO_GROUP_9,"Half Breed"
HERO_GROUP_10,"Sukkubus"
HERO_GROUP_11,"Theo&???"
HERO_GROUP_12,"Shamilla"
HERO_GROUP_13,"Ezekiel und Viska"
HERO_GROUP_14,"Testsubjekt"
HERO_GROUP_15,"Demia & Clause"
HERO_GROUP_16,"Rodina & Luna"
HERO_GROUP_17,"Requina & Mediana"
HERO_GROUP_18,"Aselica & Arch"
HERO_GROUP_19,"Miruru & Lakrak"
HERO_GROUP_20,"Dimael & Ezekiel"
HERO_GROUP_21,"Dimael & Selene"
HERO_GROUP_22,"Rephy und Oddy"
HERO_GROUP_23,"Dunkler Ritter"
HERO_GROUP_24,"Ezekiel und Viska (?)"
HERO_GROUP_25,"Sonia & Mirianne"
HERO_GROUP_26,"Lilia & Neraxis"
HERO_GROUP_27,"Crow & Theo"
HERO_GROUP_28,"Ezekiel & Mitra"
HERO_GROUP_29,"Pansirone & Mitra"
HERO_GROUP_30,"Ricardo & Demia"
HERO_GROUP_31,"Zafir & Laudia"
HERO_GROUP_32,"Leo & Clause"
HERO_GROUP_33,"Clause & Loman"
HERO_GROUP_34,"Chase & Leo"
HERO_GROUP_35,"Nyx & Oddy"
HERO_GROUP_36,"Scarlet & Artemia"
HERO_GROUP_37,"Neraxis & Lilia"
HERO_GROUP_38,"May & Requina"
HERO_GROUP_39,"Ricardo & Mirianne"
HERO_GROUP_40,"Fluss & Chrisha"
