KEY,Japanese
CHAPTER1_TITLE,第1章 旅のはじまり
CHAPTER2_TITLE,第2章 王位継承
CHAPTER3_TITLE,第3章 刃の向けられた先
CHAPTER4_TITLE,第4章 闇の侵食
CHAPTER5_TITLE,第5章 霧の女王
CHAPTER6_TITLE,第6章 装飾されし暗闇
CHAPTER7_TITLE,第7章 光の道
CHAPTER8_TITLE,第8章 地獄の扉
CHAPTER9_TITLE,第9章 Pandemonium
CHAPTER95_TITLE,最終章
CHAPTER1_BACKGROUND,王の平原
CHAPTER2_BACKGROUND,エリドラの森
CHAPTER3_BACKGROUND,オグリア山
CHAPTER4_BACKGROUND,ガルア平原
CHAPTER5_BACKGROUND,アロヴィーナ海岸
CHAPTER6_BACKGROUND,アイギーナ砂漠
MAP_LAMUS_PLAIN,王の平原
MAP_ELLIDORA_FOREST,エリドラの森
MAP_KRAD_MOUNTAIN,オグリア山
MAP_KRAD_FOREST,ガルア平原
MAP_SICRAKAM_PLAIN,アロヴィーナ海岸
MAP_HALLA_DESERT,アイギーナ砂漠
MAP_BALLUTUA_SNOW_MOUNTAIN,ヴィントラント雪山
MAP_DIZARSTOM_VOLCANO,ドラギア火山
MAP_GARGOSS_SWAMP,ガルゴス沼地
MAP_Mysterious_Ruins,謎の遺跡
MAP_ Realm_Empire,帝国領
MAP_ OrvelianCapital_ Orvel,首都オルベル
MAP_ LandofDeath_Galua,死の大地ガルア
MAP_Border,国境地帯
MAP_Border_Outskirts,国境地帯外郭
MAP_Imperial_Office,帝国執務室
MAP_Present,現在
MAP_Past,過去
TITLE_DARKNESS,闇の
HERO_GROUP_1,クレオ & ロイ
HERO_GROUP_2,一行
HERO_GROUP_3,ルナ & メイ
HERO_GROUP_4,ルナ & ヤンヌ
HERO_GROUP_5,アイシャ & アルテミア
HERO_GROUP_6,兵士1 & 2
HERO_GROUP_7,オーク部隊
HERO_GROUP_8,エピス & ジェーン
HERO_GROUP_9,雑種
HERO_GROUP_10,サキュバス
HERO_GROUP_11,テオ&???
HERO_GROUP_12,シャミーラ
HERO_GROUP_13,エゼキエル＆ヴィスカ
HERO_GROUP_14,実験体
HERO_GROUP_15,デミア＆クラウス
HERO_GROUP_16,ロディナ＆ルナ
HERO_GROUP_17,レクィナ＆メディアナ
HERO_GROUP_18,アセリカ＆アーク
HERO_GROUP_19,ミルル＆ラクラック
HERO_GROUP_20,ディマエル&エゼキエル
HERO_GROUP_21,ディマエル&セレネ
HERO_GROUP_22,レピィ＆オディ
HERO_GROUP_23,ダークナイト一同
HERO_GROUP_24,エゼキエル＆ヴィスカ (?)
HERO_GROUP_25,ソニア＆ミリアンヌ
HERO_GROUP_26,リリア＆ネラクシス
HERO_GROUP_27,クロウ＆テオ
HERO_GROUP_28,エゼキエル＆ミトラ
HERO_GROUP_29,パンシローネ＆ミトラ
HERO_GROUP_30,リカルド＆デミア
HERO_GROUP_31,ザフィーラ＆ラウディア
HERO_GROUP_32,レオ＆クラウス
HERO_GROUP_33,クラウス＆ロマン
HERO_GROUP_34,チェイス＆レオ
HERO_GROUP_35,ニクス＆オディ
HERO_GROUP_36,スカーレット＆アルテミア
HERO_GROUP_37,ネラクシス&リリア
HERO_GROUP_38,メイ＆レクィナ
HERO_GROUP_39,リカルド＆ミリアンヌ
HERO_GROUP_40,フルス＆クリシャ
HERO_GROUP_41,テオ＆エゼキエル
HERO_GROUP_42,ミトラ＆ロディナ
HERO_GROUP_43,フレイ＆カーセル
HERO_GROUP_44,フレイ＆クレオ
HERO_GROUP_45,グレンウィス＆クリシャ
HERO_GROUP_46,オペリア＆シア
HERO_GROUP_47,セリア＆エルゼ
HERO_GROUP_51,クラウス＆デミア
HERO_GROUP_52,クラウス＆フレイ
NPC_KYLE_NAME,カイル
NPC_BLACKKNIGHT_NAME,黒騎士
NPC_MALDUK_NAME,マルドゥク
NPC_IzakerrR_NAME,イザケール
NPC_TARKAS_NAME,タルカス
NPC_SIEG_NAME,シーグ
NPC_KINGOFSPIRIT_NAME,精霊王
NPC_UNCONFIRMED_NAME,?????
NPC_UNCONFIRMED_GROUP_NAME,??? & ???
NPC_ELROSED_NAME,エル・ロゼド
NPC_EPIGAEL_NAME,エピゲール
FAIRY_RHILL,リール
NPC_KAREN_NAME,カレン
NPC_LUA_NAME,ルア
NPC_CROWD_NAME,民衆
NPC_HALLHERO_NAME,ヒリア
NPC_HARPY,ハーピー
NPC_ORC,オーク
NPC_DARKELF,ダークエルフ
NPC_DARKNESS,暗闇からの声
NPC_GNOLL,ノール
NPC_AGAMEMNON,アガメムノン
NPC_DRYAD,ドライアド
NPC_MASK_NAME,笑う仮面
NPC_IRIS,アイリス
NPC_LEI,レイ
NPC_SOLDIER,兵士
NPC_SOLDIER1,兵士1
NPC_SOLDIER2,兵士2
NPC_SOLDIER3,兵士3
NPC_SOLDIER4,兵士4
NPC_SOLDIER5,兵士5
NPC_SKELETONGIANT,巨大スケルトン
NPC_SKELETON,スケルトン
NPC_INFIRA,インフィラ
NPC_DRACONIA,邪竜
NPC_TEMERER_QUESTION,テメレル(？)
NPC_UNDEADORC,アンデッドオーク
NPC_GOAT,ヤギ(？)
NPC_MIRURUPIRATES,ミルル海賊団
NPC_DarkElf_SOLDIER,ダークエルフソルジャー
NPC_DarkElf_SOLDIER1,ダークエルフソルジャー1
NPC_DarkElf_SOLDIER2,ダークエルフソルジャー2
NPC_DarkElf_FRIEND,ダークエルフの仲間
NPC_DarkElf_FRIEND1,ダークエルフの仲間1
NPC_DarkElf_FRIEND2,ダークエルフの仲間2
NPC_DarkElf_FRIEND3,ダークエルフの仲間3
NPC_DarkElf_FRIEND4,ダークエルフの仲間4
NPC_DarkElf_FRIEND5,ダークエルフの仲間5
NPC_DarkElf_FRIEND6,ダークエルフの仲間6
NPC_DarkElf_FRIEND7,ダークエルフの仲間7
NPC_DARKFORCES_SOLDIER,魔王軍
NPC_SIEL,シエル
NPC_DEVIL,魔物
NPC_ANCIENTMONSTER_HELTANIOS,ヘルタニオス
NPC_GATEKEEPER1,門番1
NPC_GATEKEEPER2,門番2
NPC_CHORUS,一同
NPC_LIZARDMAN,リザードマン
NPC_LIZARDMAN_GOLD,黄金ポーター
NPC_VILLAGEHEAD,村長
NPC_DARKSOUL,闇の魂
NPC_GUARD,警備兵
NPC_WOMAN_1,女性１
NPC_WOMAN_2,女性２
NPC_WOMAN_3,女性３
NPC_WOMAN_4,女性４
NPC_WOMAN_5,女性５
NPC_MAN_1,男性１
NPC_MAN_2,男性２
NPC_MAN_3,男性３
NPC_MAN_4,男性４
NPC_MAN_5,男性５
NPC_UNDEAD,アンデッド
NPC_UNDEADS,アンデッド軍団
NPC_HUMANEZE,エゼキエル(人)
NPC_DEMONEZE,エゼキエル(魔)
NPC_ALTERVISKA,ヴィスカ(？)
NPC_VI,ビー
NPC_COLDNIGHTKING,無情なる夜の王
NPC_SAVAGENIGHTKING,凶暴なる夜の王
NPC_CAT1,おどけたキャット
NPC_CAT2,びくびくキャット
NPC_SONGWITCH,歌の魔女
NPC_FIREWITCH,火炎の魔女
NPC_DARKPRIEST,堕落した信仰
NPC_DARKQUEEN,堕落した輝き
NPC_CRAZEDKNIGHT,狂気のダークナイト
NPC_SILENTKNIGHT,沈黙のダークナイト
NPC_VALANCE,バランセ
NPC_REINHART,ラインハルト
NPC_ROA,ロア
NPC_ROZE,ロゼ
NPC_ESOLDIER,帝国兵士
NPC_ESOLDIER1,帝国兵士1
NPC_ESOLDIER2,帝国兵士2
NPC_QVOICE,謎の声
NPC_YMVOICE,若い男の声
NPC_YWOFFICER,若い女将校
NPC_MSGIRL,不思議な少女
NPC_MSOUND,機械音
NPC_OLDGENTLEMAN,老紳士
NPC_PANCIRONNE,パンシローネ
NPC_LUCIKIEL,ルシキエル
NPC_ELMORY,エル・モリハム
NPC_TURAN,トゥラン
NPC_HANUS,ハヌス
NPC_KUMURO,クムロ
NPC_HAVELOCK,ハベロック
NPC_Villager,村人
NPC_CATSOLDIER1,猫1号
NPC_CATSOLDIER2,猫2号
NPC_CATSOLDIER3,猫3号
NPC_EVERYONE,全員
NPC_ORPHANS,孤児院の子どもたち
NPC_TOWNCHILDREN,村の子ども
NPC_TOWNPEOPLE,村人
NPC_CHILD1,村の子ども1
NPC_CHILD2,村の子ども2
NPC_CHILD3,村の子ども3
NPC_SCHTE,シュート
NPC_MC,司会者
NPC_ALIAS1,ビューティ・バイキング
NPC_AUDIENCE,観客
NPC_ALIAS2,スプリング・ブライド
NPC_ALIAS3,ブロンド・パイレーツ
NPC_ALIAS4,キャットニップ・ラバー
NPC_Golem,ゴーレム
NPC_EmpireOfficer,帝国将校
NPC_Hoabis,ホアビス
NPC_Kain,カイン
NPC_Kurtel,クルテル
NPC_CHILDREN,子どもたち
NPC_BOY,少年
NPC_NOBLE1,貴族1
NPC_NOBLE2,貴族2
NPC_TARGARIOS,ターガリオス
NPC_SCHWANHEITE,シュワンハイト
NPC_HEXIPOLIA,ヘクシポリア
NPC_BERMAN,ベルマン
NPC_TRIBESMEN1,部族民1
NPC_TRIBESMEN2,部族民2
NPC_SHAKMEH,シャクメ
CHAPTER1_BOSS1_NAME,マリック
CHAPTER1_BOSS1_TITLE,狂乱
CHAPTER1_BOSS1_DESC,人間の騎士と互角に戦えるほど強い、熟練のゴブリン略奪者。
CHAPTER1_BOSS2_NAME,タロッキ
CHAPTER1_BOSS2_TITLE,狂えるデーモン
CHAPTER1_BOSS2_DESC,火薬作りが得意な、頭の回る陰険なゴブリン。
CHAPTER1_BOSS3_NAME,ボダッカ
CHAPTER1_BOSS3_TITLE,イノシシの乗り手
CHAPTER1_BOSS3_DESC,魔王軍と共に戦うゴブリンの群れを率いる、冷酷で凶暴なゴブリンの戦士。
CHAPTER2_BOSS1_NAME,ラフェイリー
CHAPTER2_BOSS1_TITLE,信頼の槍
CHAPTER2_BOSS1_DESC,ドライアドたちの高潔な指導者。
CHAPTER2_BOSS2_NAME,ヒミュリス
CHAPTER2_BOSS2_TITLE,自由の翼
CHAPTER2_BOSS2_DESC,敵の男たちを巣へ誘ってからその魂と命を奪う、ハーピーのウィンドマスター。
CHAPTER2_BOSS3_NAME,バラライカ
CHAPTER2_BOSS3_TITLE,頂点の奈落
CHAPTER2_BOSS3_DESC,彼女の誘惑に負けたものは恐怖を忘れてしまい、喜んで死ににいくだろう。
CHAPTER3_BOSS1_NAME,スローン
CHAPTER3_BOSS1_TITLE,突撃隊長
CHAPTER3_BOSS1_DESC,残酷で凶暴なオークの戦士。オークの剣士シーグに腹心として仕える。
CHAPTER3_BOSS2_NAME,デイン
CHAPTER3_BOSS2_TITLE,遺恨を抱く者
CHAPTER3_BOSS2_DESC,赤き大地族で長を務めたことがある、非常に強力なシャーマン。
CHAPTER3_BOSS3_NAME,シーグ
CHAPTER3_BOSS3_TITLE,グラムの持ち手
CHAPTER3_BOSS3_DESC,「ドラゴンスレイヤーの子孫」とも知られたこともある、最強のオークの戦士。
CHAPTER4_BOSS1_NAME,ウルスラ
CHAPTER4_BOSS1_TITLE,恐るべき大剣使い
CHAPTER4_BOSS1_DESC,マルドゥクにある次元門からやってきたエリート級のスケルトン。一般のスケルトン兵を指揮する。
CHAPTER4_BOSS2_NAME,ケルスティクス
CHAPTER4_BOSS2_TITLE,監視者
CHAPTER4_BOSS2_DESC,マルドゥクにある次元門からやってきた巨大スケルトン。高所からクラッドの森を見守る。
CHAPTER4_BOSS3_TITLE,魂を奪うもの
CHAPTER4_BOSS3_DESC,ついていくように次元門を通った、魔王の忠実なしもべ。アンデッドの父として君臨している。
CHAPTER5_BOSS0_TITLE,混種マルーム
CHAPTER5_BOSS0_DESC,このマルームは複数の種類から成り立っている。
CHAPTER5_BOSS1_NAME,ロボノール
CHAPTER5_BOSS1_TITLE,ノール・シーカー
CHAPTER5_BOSS1_DESC,ノール呪い師の長。他のあらゆる魔法よりも強力な禁呪を用い、他の生物から生命力を吸い取る。
CHAPTER5_BOSS2_NAME,バスコス
CHAPTER5_BOSS2_TITLE,偵察隊長
CHAPTER5_BOSS2_DESC,ダークエルフ弓兵隊長。魔法の矢で一度に複数の敵を同時に射止める。
CHAPTER5_BOSS3_NAME,エル・ロゼド
CHAPTER5_BOSS3_TITLE,悪夢の女王
CHAPTER5_BOSS3_DESC,裏でダークエルフを操っていた存在。悪魔と契約を交わし、強力な暗黒魔法と月光魔法を使う。
CHAPTER6_BOSS0_NAME,タマク
CHAPTER6_BOSS1_NAME,アグイアナト
CHAPTER6_BOSS1_TITLE,リザードマン・サンドキャスター
CHAPTER6_BOSS2_NAME,バルタン
CHAPTER6_BOSS2_TITLE,古代の宮廷神官
CHAPTER6_BOSS3_TITLE,地平の果ての光
CHAPTER7_BOSS0_NAME,ラデリーン
CHAPTER7_BOSS0_TITLE,冷気の歌
CHAPTER7_BOSS1_NAME,カラド
CHAPTER7_BOSS1_TITLE,氷の風
CHAPTER7_BOSS2_NAME,ルベリオン
CHAPTER7_BOSS2_TITLE,消えぬ無念
CHAPTER7_BOSS3_NAME,タルカス
CHAPTER7_BOSS3_TITLE,霜の王
CHAPTER7_BOSS4_TITLE,氷の城塞
CHAPTER8_BOSS0_NAME,イーグ
CHAPTER8_BOSS0_TITLE,竜斬り
CHAPTER8_BOSS1_NAME,ラーグオリス
CHAPTER8_BOSS1_TITLE,流れ出る溶岩
CHAPTER8_BOSS2_NAME,ニシア
CHAPTER8_BOSS2_TITLE,竜を焼き付ける火炎
CHAPTER8_BOSS3_NAME,インフィラ
CHAPTER8_BOSS3_TITLE,竜の血を欲する者
CHAPTER8_BOSS4_NAME,ニオゲータ
CHAPTER8_BOSS4_TITLE,炎火の魔手
CHAPTER9_BOSS4_NAME,キベオード
CHAPTER9_BOSS4_TITLE,塔の守護者
GOBLIN_SHIELD_SUPERELITE_TITLE_1,鋼の鎧
