KEY,"Russian"
CHAPTER1_TITLE,"Глава 1. Начало пути"
CHAPTER2_TITLE,"Глава 2. Наследие"
CHAPTER3_TITLE,"Глава 3. Куда укажет острие меча"
CHAPTER4_TITLE,"Глава 4. Вторжение тьмы"
CHAPTER5_TITLE,"Глава 5. Королева в тумане"
CHAPTER6_TITLE,"Глава 6. Золотая тьма"
CHAPTER7_TITLE,"Глава 7. Путь света"
CHAPTER8_TITLE,"Глава 8. Инфернальные врата"
CHAPTER9_TITLE,"Глава 9. Пандемониум"
CHAPTER95_TITLE,"Последняя глава"
CHAPTER1_BACKGROUND,"Королевские равнины"
CHAPTER2_BACKGROUND,"Лес Элидоры"
CHAPTER3_BACKGROUND,"Гора Огрия"
CHAPTER4_BACKGROUND,"Равнины Галлуа"
CHAPTER5_BACKGROUND,"Побережье Аравины"
CHAPTER6_BACKGROUND,"Пустыня Аэгина"
MAP_LAMUS_PLAIN,"Королевские равнины"
MAP_ELLIDORA_FOREST,"Лес Элидоры"
MAP_KRAD_MOUNTAIN,"Гора Огрия"
MAP_KRAD_FOREST,"Равнины Галлуа"
MAP_SICRAKAM_PLAIN,"Побережье Аравины"
MAP_HALLA_DESERT,"Пустыня Аэгина"
MAP_BALLUTUA_SNOW_MOUNTAIN,"Заснеженные горы Виндланда"
MAP_DIZARSTOM_VOLCANO,"Вулкан Драгия"
MAP_GARGOSS_SWAMP,"Топи Гаргосса"
MAP_Mysterious_Ruins,"Древние руины"
MAP_ Realm_Empire,"Империя"
MAP_ OrvelianCapital_ Orvel,"Орвел"
MAP_ LandofDeath_Galua,"Галлуа, Земля Смерти"
MAP_Border,"Граница"
MAP_Border_Outskirts,"Приграничье"
MAP_Imperial_Office,"Имперский офис"
MAP_Present,"Настоящее"
MAP_Past,"Прошлое"
TITLE_DARKNESS,"Тьма"
HERO_GROUP_1,"Клео и Рой"
HERO_GROUP_2,"Группа"
HERO_GROUP_3,"Луна и Мэй"
HERO_GROUP_4,"Луна и Янни"
HERO_GROUP_5,"Аиша и Артемиа"
HERO_GROUP_6,"Солдаты 1 и 2"
HERO_GROUP_7,"Отряд орков"
HERO_GROUP_8,"Эфис и Джейн"
HERO_GROUP_9,"Бестолочь"
HERO_GROUP_10,"Суккуб"
HERO_GROUP_11,"Тэо&???"
HERO_GROUP_12,"Шамилья"
HERO_GROUP_13,"Иезекииль и Виска"
HERO_GROUP_14,"Объект испытания"
HERO_GROUP_15,"Дэмия и Клаус"
HERO_GROUP_16,"Дина и Луна"
HERO_GROUP_17,"Рекина и Медиана"
HERO_GROUP_18,"Аселика и Арх"
HERO_GROUP_19,"Мируру и Лакрак"
HERO_GROUP_20,"Тимаэль и Иезекииль"
HERO_GROUP_21,"Тимаэль и Селена"
HERO_GROUP_22,"Леви и Одди"
HERO_GROUP_23,"Темный рыцарь"
HERO_GROUP_24,"Иезекииль и Виска (?)"
HERO_GROUP_25,"Соня и Мириам"
HERO_GROUP_26,"Лилия и Нераксис"
HERO_GROUP_27,"Кроу и Тэо"
HERO_GROUP_28,"Иезекииль и Митра"
HERO_GROUP_29,"Пансирона и Митра"
HERO_GROUP_30,"Рикардо и Дэмия"
HERO_GROUP_31,"Зафир и Лаудия"
HERO_GROUP_32,"Лео и Клаус"
HERO_GROUP_33,"Клаус и Ломан"
HERO_GROUP_34,"Чейс и Лео"
HERO_GROUP_35,"Никс и Одди"
HERO_GROUP_36,"Скарлет и Артемиа"
HERO_GROUP_37,"Нераксис и Лилия"
HERO_GROUP_38,"Мэй и Рекина"
HERO_GROUP_39,"Рикардо и Мириам"
HERO_GROUP_40,"Флусс и Криша"
HERO_GROUP_41,"Тэо и Иезекииль"
HERO_GROUP_42,"Митра и Дина"
NPC_KYLE_NAME,"Кайл"
NPC_BLACKKNIGHT_NAME,"Черный рыцарь"
NPC_MALDUK_NAME,"Мальдук"
NPC_IzakerrR_NAME,"Изакер"
NPC_TARKAS_NAME,"Таркас"
NPC_SIEG_NAME,"Зиг"
NPC_KINGOFSPIRIT_NAME,"Король духов"
NPC_UNCONFIRMED_NAME,"?????"
NPC_UNCONFIRMED_GROUP_NAME,"??? & ???"
NPC_ELROSED_NAME,"Эль Розед"
NPC_EPIGAEL_NAME,"Эфикаэль"
FAIRY_RHILL,"Рил"
NPC_KAREN_NAME,"Карен"
NPC_LUA_NAME,"Луа"
NPC_CROWD_NAME,"Люди"
NPC_HALLHERO_NAME,"Хиллия"
NPC_HARPY,"Гарпия"
NPC_ORC,"Орк"
NPC_DARKELF,"Темный эльф"
NPC_DARKNESS,"Голос из тьмы"
NPC_GNOLL,"Гнолл"
NPC_AGAMEMNON,"Агаменон"
NPC_DRYAD,"Дриада"
NPC_MASK_NAME,"Смеющаяся маска"
NPC_IRIS,"Айрис"
NPC_LEI,"Рей"
NPC_SOLDIER,"Солдат"
NPC_SOLDIER1,"Солдат 1"
NPC_SOLDIER2,"Солдат 2"
NPC_SOLDIER3,"Солдат 3"
NPC_SOLDIER4,"Солдат 4"
NPC_SOLDIER5,"Солдат 5"
NPC_SKELETONGIANT,"Гигантский скелет"
NPC_SKELETON,"Скелет"
NPC_INFIRA,"Инфира"
NPC_DRACONIA,"Драконикс"
NPC_TEMERER_QUESTION,"Темерер (?)"
NPC_UNDEADORC,"Орк-нежить"
NPC_GOAT,"Козел (?)"
NPC_MIRURUPIRATES,"Пираты Мируру"
NPC_DarkElf_SOLDIER,"Темный эльф-солдат"
NPC_DarkElf_SOLDIER1,"Темный эльф-солдат 1"
NPC_DarkElf_SOLDIER2,"Темный эльф-солдат 2"
NPC_DarkElf_FRIEND,"Темный эльф-товарищ"
NPC_DarkElf_FRIEND1,"Темный эльф-товарищ 1"
NPC_DarkElf_FRIEND2,"Темный эльф-товарищ 2"
NPC_DarkElf_FRIEND3,"Темный эльф-товарищ 3"
NPC_DarkElf_FRIEND4,"Темный эльф-товарищ 4"
NPC_DarkElf_FRIEND5,"Темный эльф-товарищ 5"
NPC_DarkElf_FRIEND6,"Темный эльф-товарищ 6"
NPC_DarkElf_FRIEND7,"Темный эльф-товарищ 7"
NPC_DARKFORCES_SOLDIER,"Темные силы"
NPC_SIEL,"Сиэль"
NPC_DEVIL,"Демоническая сущность"
NPC_ANCIENTMONSTER_HELTANIOS,"Гелтаний"
NPC_GATEKEEPER1,"Хранитель врат 1"
NPC_GATEKEEPER2,"Хранитель врат 2"
NPC_CHORUS,"Хор"
NPC_LIZARDMAN,"Ящер"
NPC_LIZARDMAN_GOLD,"Золотой привратник"
NPC_VILLAGEHEAD,"Вождь"
NPC_DARKSOUL,"Темная душа"
NPC_GUARD,"Страж"
NPC_WOMAN_1,"Женщина 1"
NPC_WOMAN_2,"Женщина 2"
NPC_WOMAN_3,"Женщина 3"
NPC_WOMAN_4,"Женщина 4"
NPC_WOMAN_5,"Женщина 5"
NPC_MAN_1,"Мужчина 1"
NPC_MAN_2,"Мужчина 2"
NPC_MAN_3,"Мужчина 3"
NPC_MAN_4,"Мужчина 4"
NPC_MAN_5,"Мужчина 5"
NPC_UNDEAD,"Нежить"
NPC_UNDEADS,"Армия нежити"
NPC_HUMANEZE,"Иезекииль (человек)"
NPC_DEMONEZE,"Иезекииль (демон)"
NPC_ALTERVISKA,"Виска (?)"
NPC_VI,"Ви"
NPC_COLDNIGHTKING,"Бессердечный король ночи"
NPC_SAVAGENIGHTKING,"Свирепый король ночи"
NPC_CAT1,"Шаловливый кот"
NPC_CAT2,"Пугливый кот"
NPC_SONGWITCH,"Поющая ведьма"
NPC_FIREWITCH,"Огненная ведьма"
NPC_DARKPRIEST,"Грешная вера"
NPC_DARKQUEEN,"Грешное великолепие"
