KEY,ChineseSimplified
E1_Pancironne_1_1_1,快点～快点啊～快点～快点～
E1_Pancironne_1_1_2,快点～快点～快点啊～快点～
E1_Pancironne_1_1_3,呃啊啊，没意思…
E1_Pancironne_1_1_4,挖一块地有什么难的，还需要这么长时间呢？
E1_Pancironne_1_1_5,唉…都已经好几个月了。
E1_Pancironne_1_1_6,那个…少尉。
E1_Pancironne_1_1_7,那个…在这个区域开始工作5分钟都没到…
E1_Pancironne_1_1_8,还有大家好几天都没有休息了…
E1_Pancironne_1_1_9,而且这里是完全没有能源信号的地区…
E1_Pancironne_1_1_10,请您再等一会…
E1_Pancironne_1_1_11,你话很多啊？
E1_Pancironne_1_1_12,啊…啊…？！
E1_Pancironne_1_1_13,烧起来吧～！
E1_Pancironne_1_1_14,额啊啊啊！！
E1_Pancironne_1_1_15,我…我错了！
E1_Pancironne_1_1_16,真烦！
E1_Pancironne_1_1_17,都不知道说同样的话有多累！！
E1_Pancironne_1_1_18,有空说这些闲话，还不如去给我挖地！
E1_Pancironne_1_1_19,快点～快点～快点～快点～！！！！！！！！
E1_Pancironne_1_1_20,额啊啊！！！！
E1_Pancironne_1_1_21,怎么偏偏新上任的长官是这种大疯子啊！
E1_Pancironne_1_1_22,我听说薪水高才下决心来的，唉…
E1_Pancironne_1_1_23,活儿又累得要命…
E1_Pancironne_1_1_24,怎么挖连只蚂蚁都没出来…
E1_Pancironne_1_1_25,哇！我实在做不了了。
E1_Pancironne_1_1_26,现在看见土都想吐！
E1_Pancironne_1_1_27,嗬啊…求求你让我睡个觉吧…
E1_Pancironne_1_1_28,不，就让我坐一会儿也行！！
E1_Pancironne_1_1_29,这里和战场有什么不一样呢？
E1_Pancironne_1_1_30,不如直接把我送回战场吧！！
E1_Pancironne_1_1_31,真的…受不了了！
E1_Pancironne_1_1_32,这样工作下去会死掉的！
E1_Pancironne_1_1_33,走吧！！
E1_Pancironne_1_1_34,又开始了…
E1_Pancironne_1_1_35,我们都死定了。
E1_Pancironne_1_1_36,嗯哼～？
E1_Pancironne_1_1_37,请…请让我们休息一下吧！
E1_Pancironne_1_1_38,实在太累了，做不下去了！
E1_Pancironne_1_1_39,不如让我们回帝国吧！
E1_Pancironne_1_1_40,已经挖遍少尉您指示的区域，也没挖出任何东西！
E1_Pancironne_1_1_41,这不是说明长官能力有问题吗！
E1_Pancironne_1_1_42,啊－哈？
E1_Pancironne_1_1_43,对！！虽说是军人，也不要再用没有结果的事情折磨我们了!
E1_Pancironne_1_1_44,如果您这样也不听我们的话，
E1_Pancironne_1_1_45,我…我们也没有其他办法了！
E1_Pancironne_1_1_46,嘿…有点意思呢～
E1_Pancironne_1_2_1,来！！想先死的人举手～～！
E1_Pancironne_1_3_1,额啊啊啊啊！！！！
E1_Pancironne_1_3_2,嘿嘿，刚才那招如何～？
E1_Pancironne_1_3_3,我的屁股着火了！！
E1_Pancironne_1_3_4,生病的孩子应该要打针～！
E1_Pancironne_1_3_5,噔噔！能力有问题的潘希洛奈为你们准备了特制处方药！
E1_Pancironne_1_3_6,我要继续给你们开药了哦～！
E1_Pancironne_1_3_7,哈哈哈～！
E1_Pancironne_1_3_8,救命啊！！！！
E1_Pancironne_1_4_1,猎犬部队解散两个月后
E1_Pancironne_1_4_2,最终猎犬部队还是解散了啊。
E1_Pancironne_1_4_3,虽然在某种程度上，是一个令人信服的决定，
E1_Pancironne_1_4_4,但是就这样让这些人才解散，倒是很可惜。
E1_Pancironne_1_4_5,特别是首领更是如此。
E1_Pancironne_1_4_6,军队高层似乎认为现在他的状态很危险。
E1_Pancironne_1_4_7,凡是失去最宝贵的东西的人，总会目空一切的。
E1_Pancironne_1_4_8,被复仇蒙蔽双眼的人是福是祸，全看你怎么利用这个人。
E1_Pancironne_1_4_9,反而在我眼里，那些高层的家伙们，只是因为怕他而心虚。
E1_Pancironne_1_4_10,我感觉某种不寻常的气息袭来。
E1_Pancironne_1_4_11,……
E1_Pancironne_1_4_12,而且，再怎么想还是觉得很可惜。
E1_Pancironne_1_4_13,…最近还是亲自见他一面好了。
E1_Pancironne_1_4_14,啊？…
E1_Pancironne_1_4_15,之前要你调查剩下的部队成员的行踪，调查得如何了？
E1_Pancironne_1_4_16,啊啊，是的。
E1_Pancironne_1_4_17,追踪结果显示，基裴拉少尉接到了伊德里安副官的命令去了奥勒贝利亚。
E1_Pancironne_1_4_18,虽不知道详细理由，不过看上去是私人问题。
E1_Pancironne_1_4_19,根据调查，他本来就不是帝国的人，
E1_Pancironne_1_4_20,如果不是因为部队的任务，他根本没有留在这里的理由。
E1_Pancironne_1_4_21,可能是事后判断危险性较小，在离开本国时军队也没有采取特别措施。
E1_Pancironne_1_4_22,他是为数不多能看得出费拉尔塔的美丽的人呢，真可惜。
E1_Pancironne_1_4_23,米特拉少尉现在处于失踪的状态。
E1_Pancironne_1_4_24,他本来就因为经常闯祸而闻名，据说军队正在找他。
E1_Pancironne_1_4_25,那头白发一目了然呢，呵呵。
E1_Pancironne_1_4_26,问题…就是这个人。
E1_Pancironne_1_4_27,哈哈哈，这部队真有意思。
E1_Pancironne_1_4_28,每个人都不会让我失望。
E1_Pancironne_1_4_29,好吧，那潘希洛奈少尉回到了原来的部队吗？
E1_Pancironne_1_4_30,是的，正如您所说的，猎犬部队解散后，好像被派回机械部队了。
E1_Pancironne_1_4_31,但是这位…那个…
