KEY,"English"
CONVERSATION_TU_144,"Let's have a look inside! Hope there are no demons."
CONVERSATION_TU_163,"Ha ha. That was really tough..."
CONVERSATION_TU_164,"Congratulations Kasel! You have passed the test."
CONVERSATION_TU_165,"You have won the battle against your corrupted self."
CONVERSATION_TU_166,"Thank you, Hillia."
CONVERSATION_TU_167,"But this is not the end."
CONVERSATION_TU_168,"You should have retrieved a Crystal of Darkness from your corrupted self."
CONVERSATION_TU_169,"You mean this thing?"
CONVERSATION_TU_170,"Yes. Take it to the Room of Purification to purify it. Then you can unleash your true powers with it."
CONVERSATION_TU_171,"Amazing. I feel like I'm bursting with energy!"
CONVERSATION_TU_172,"Well done. You have grown a lot by overcoming these ordeals."
CONVERSATION_TU_173,"Don't forget this lesson, and devote yourself to overcoming any hardships in the future."
CONVERSATION_TU_174,"Thank you, Hillia. I will keep it in mind."
CONVERSATION_238,"Wh... what you is?"
CONVERSATION_239,"And you why is so strong-ak?"
CONVERSATION_240,"Where's my brother?"
CONVERSATION_241,"Your brother? Why you ask me?"
CONVERSATION_242,"Calm down, Kasel!"
CONVERSATION_243,"Relax."
CONVERSATION_244,"You'll only make bad choices."
CONVERSATION_245,"Whew... whew..."
CONVERSATION_246,"Anyway..."
CONVERSATION_247,"Are these all bombs?"
CONVERSATION_248,"Bombs. Me proud!"
CONVERSATION_249,"My captain praise-ak!"
CONVERSATION_250,"Me bomb tree!"
CONVERSATION_251,"Captain? Tree? You mean the World Tree?"
CONVERSATION_252,"Me say wrong!"
CONVERSATION_253,"Tarokki in trouble!"
CONVERSATION_254,"World Tree?"
CONVERSATION_255,"Boom, vibrations"
CONVERSATION_256,"Drat!"
CONVERSATION_257,"It's coming from the World Tree!"
CONVERSATION_258,"Kasel, Kasel!"
CONVERSATION_259,"Wait!"
CONVERSATION_260,"Fools!"
CONVERSATION_261,"Sigh. Roi, take care of it and follow us!"
CONVERSATION_262,"Tarokki run!"
CONVERSATION_263,"He's gone... well, he shouldn't cause too much trouble."
CONVERSATION_264,"He's running with a burning bomb."
CONVERSATION_272,"Hang on. I'm coming to help!"
CONVERSATION_273,"Oh my! I don't remember inviting a kid knight."
CONVERSATION_274,"Kasel!"
CONVERSATION_286,"That's not happening..."
CONVERSATION_287,"I'm going to save my brother!"
CONVERSATION_290,"Oh no..."
