KEY,"French"
CONVERSATION_TU_144,"Jetons un coup d'oeil à l'intérieur! J'espère qu'il n'y a pas de démons."
CONVERSATION_TU_163,"Haha. C'était vraiment difficile..."
CONVERSATION_TU_164,"Félicitations Kasel! Vous avez réussi le test."
CONVERSATION_TU_165,"Vous avez gagné la bataille contre votre propre corruption."
CONVERSATION_TU_166,"Merci, Hillia."
CONVERSATION_TU_167,"Mais ce n'est pas fini."
CONVERSATION_TU_168,"Vous devez avoir récupéré un Crystal des Ténèbres de votre propre corruption."
CONVERSATION_TU_169,"Vous voulez dire ce truc?"
CONVERSATION_TU_170,"Oui. Emmenez-le dans la Salle de Purification pour le purifier. Ensuite, vous pouvez libérer vos vrais pouvoirs grâce à cela."
CONVERSATION_TU_171,"Incroyable. J'ai l'impression de déborder d'énergie!"
CONVERSATION_TU_172,"Bien joué. Vous avez beaucoup grandi en surmontant ces épreuves."
CONVERSATION_TU_173,"N'oubliez pas cette leçon, et consacrez-vous à surmonter toutes les difficultés dans le futur."
CONVERSATION_TU_174,"Merci, Hillia. Je garderai ça à l'esprit."
CONVERSATION_238,"Qu... que vous êtes?"
CONVERSATION_239,"Et vous pourquoi est si fort?"
CONVERSATION_240,"Où est mon frère?"
CONVERSATION_241,"Ton frère? Pourquoi vous demandez ça à moi?"
CONVERSATION_242,"Du calme, Kasel!"
CONVERSATION_243,"Relax."
CONVERSATION_244,"Vous n'allez faire que des mauvais choix."
CONVERSATION_245,"Ouh... Ouh..."
CONVERSATION_246,"En tous cas..."
CONVERSATION_247,"Est-ce que ce sont toutes des bombes?"
CONVERSATION_248,"Des bombes. Moi fier!"
CONVERSATION_249,"Mon capitaine gloire-ak!"
CONVERSATION_250,"Moi arbre à bombes!"
CONVERSATION_251,"Capitaine? Arbre? Vous voulez dire l'Arbre Monde?"
CONVERSATION_252,"Moi dis mal!"
CONVERSATION_253,"Tarokki en difficulté!"
CONVERSATION_254,"Arbre Monde?"
CONVERSATION_255,"Boum, vibrations"
CONVERSATION_256,"Bon sang!"
CONVERSATION_257,"Ca vient de l'Arbre Monde!"
CONVERSATION_258,"Kasel, Kasel!"
CONVERSATION_259,"Attendez!"
CONVERSATION_260,"Idiots!"
CONVERSATION_261,"Soupir. Roy, prenez-en soin et suivez-nous!Sigh."
CONVERSATION_262,"Tarokki courez!"
CONVERSATION_263,"Il est parti ... Eh bien, il ne devrait pas causer beaucoup de peine."
CONVERSATION_264,"Il court avec une bombe incendiaire."
CONVERSATION_272,"Attendez. Je viens aider!"
CONVERSATION_273,"Oh! Je ne me souviens pas d'avoir invité un enfant chevalier."
CONVERSATION_274,"Kasel!"
CONVERSATION_286,"C'est pas vrai..."
CONVERSATION_287,"Je vais sauver mon frère!"
CONVERSATION_290,"Oh non..."
CONVERSATION_291,"Bon sang! Kasel!"
CONVERSATION_292,"Laisse-moi, démon!"
CONVERSATION_293,"Je ne peux pas vous laisser faire ça!"
CONVERSATION_294,"Battons-nous loyalement!"
CONVERSATION_295,"Ha ha ha."
CONVERSATION_306,"Maintenant, préparez-vous à mourir."
CONVERSATION_307,"Zut, est-ce fini?"
CONVERSATION_308,"Je ne peux même pas sauver mon frère."
CONVERSATION_309,"Frey,"
CONVERSATION_310,"Miss Cleo,"
CONVERSATION_311,"Roy..."
CONVERSATION_312,"Allons-nous tous mourir ici?"
CONVERSATION_313,"J'aurais été plus prudent."
CONVERSATION_314,"Mais... Je suis arrivé jusqu'ici"
CONVERSATION_315,"Avec l'aide de tous..."
CONVERSATION_316,"Je ne peux pas simplement abandonner comme ça."
CONVERSATION_317,"Frey,"
CONVERSATION_318,"Clause,"
CONVERSATION_319,"Miss Cleo,"
CONVERSATION_320,"Roy... Je ne peux pas les quitter."
CONVERSATION_321,"Je ne serai pas un soucis pour mon frère!"
CONVERSATION_322,"Je ne peux pas mourir comme ça. Je dois sauver mon frère et Frey!"
CONVERSATION_323,"Arrrrrrrrrrgh!"
CONVERSATION_324,"Incantation Compétence No. 3"
CONVERSATION_325,"C'est...!"
CONVERSATION_326,"Je vais les garder en sécurité."
CONVERSATION_327,"Clause, Frey,"
CONVERSATION_328,"Cleo, Roy!"
CONVERSATION_329,"Je vais les garder en sécurité!"
CONVERSATION_330,"J'arrive, sorcière!"
CONVERSATION_343,"Mais vous attendez simplement de voir. Je prendrai votre épée un jour."
CONVERSATION_346,"Quoi?"
CONVERSATION_348,"Arg... attendez!"
CONVERSATION_349,"Comment le démon sait-il à propos de ma mère...?"
CONVERSATION_1453,"Euh, quelque chose est en train de pourrir."
CONVERSATION_1454,"C'est pire que tout ce que j'ai vécu avant..."
CONVERSATION_1455,"Bien, je sens quelque chose. Ca ne sent pas la magie."
CONVERSATION_1456,"Nous parlons de magie corrompue."
CONVERSATION_1457,"Eh bien, il y a aussi cette odeur."
CONVERSATION_1458,"Il y avait des principautés dans cette région."
CONVERSATION_1459,"Ensuite, ça s'est transformé en champ de bataille contre le Seigneur des Ténèbres."
CONVERSATION_1460,"Lorsque cette bataille a été gagnée, l'humanité a réussi à tourner le vent en sa faveur."
CONVERSATION_1461,"Mais toute la région était complètement ruinée."
CONVERSATION_1462,"Les morts-vivants sont encore très présents ici."
CONVERSATION_1463,"Cela signifie qu'on pourrait être retenu ici."
CONVERSATION_1464,"Vous ne pouvez pas les tuer. Ils se relèveront et viendront encore et encore."
CONVERSATION_1465,"Nous devons passer à travers et vite."
CONVERSATION_1466,"Ne vous inquiétez pas. Je ne suis pas stupide!"
CONVERSATION_1467,"Nous trouverons Phillop et nous sortir de là."
CONVERSATION_1468,"Cela doit être à ça que la peste sombre ressemble."
CONVERSATION_1469,"Je peux presque sentir la douleur du regard."
CONVERSATION_1470,"Alors que les humains sont immunisés, c'est mortel pour les animaux."
CONVERSATION_1471,"La douleur les rend fous et les fait attaquer tout ce qui est autour d'eux."
CONVERSATION_1472,"Un remède?"
CONVERSATION_1473,"Rien de concret pour le moment."
CONVERSATION_1474,"Nous y travaillons toujours. Pas de traitement pour l'instant."
CONVERSATION_1475,"Je suppose que c'est comme ça. Faisons vite!"
CONVERSATION_1476,"Wow, c'était dur."
CONVERSATION_1477,"Il se détruisait. C'était trop pour lui..."
CONVERSATION_1478,"Pauvre chose."
CONVERSATION_1479,"Les études suggèrent que rien ne peut rester sain d'esprit dans cette douleur."
CONVERSATION_1480,"Ce serait une grâce de mettre fin à cette misère."
CONVERSATION_1481,"Ouais. Une grâce."
CONVERSATION_1482,"C'est trop triste."
CONVERSATION_1483,"Eh. Regarde. Le mort-vivant."
CONVERSATION_1484,"Ils étaient autrefois de fiers guerriers."
CONVERSATION_1485,"Maintenant, tout sauf l'envie de se battre est perdu."
CONVERSATION_1486,"La chevalerie apportait une aide régulière pour les garder sous contrôle."
CONVERSATION_1487,"On dirait que ce n'est plus le cas."
CONVERSATION_1488,"Ouais."
CONVERSATION_1489,"Avec l'Arbre Monde attaqué, ce serait le dernier endroit dont les gens se soucieraient."
CONVERSATION_1490,"Ce n'est pas tout à fait une vue agréable."
CONVERSATION_1491,"J'ai lu des choses sur eux, mais cela ne m'aide pas non plus."
CONVERSATION_1492,"D'ACCORD. Passons au-dessus. Vite."
CONVERSATION_1493,"Sois prudent, Clause."
CONVERSATION_1494,"Vous faites attention. Ca ne sera pas facile."
CONVERSATION_1495,"Wow, c'était juste."
CONVERSATION_1496,"Ils étaient plus forts que nous l'avions entendu."
CONVERSATION_1497,"Je pense que cet endroit est envahi par les Forces Sombres."
CONVERSATION_1498,"Peut-être devrions-nous voir si il y a le Noyau des Ténèbres."
CONVERSATION_1499,"Nous ne savons pas. Je n'aime pas laisser ça en l'état,"
CONVERSATION_1500,"mais concentrons-nous sur Phillop en premier."
CONVERSATION_1501,"Nous ne devrions pas traîner les pieds."
CONVERSATION_1502,"Kasel, vous n'etes pas sérieux."
CONVERSATION_1503,"Nous serions les seules personnes qui pourraient détruire le Noyau des Ténèbres."
CONVERSATION_1504,"C'est notre devoir en tant que chevaliers!"
CONVERSATION_1505,"Nous ne pouvons plus nous détourner."
CONVERSATION_1506,"Aider Naila et Kaulah a suffit."
CONVERSATION_1507,"Nous ne devrions pas perdre de temps sur quelque chose dont nous ne sommes même pas sûrs!"
CONVERSATION_1508,"Arrêtez, vous deux."
CONVERSATION_1509,"Nous pouvons garder un oeil sur le Noyau des Ténèbres tout en recherchant Phillop."
CONVERSATION_1510,"Il n'y a aucune raison de discuter alors que nous pouvons faire les deux."
CONVERSATION_1511,"Bien. Nous pouvons nous occuper du Noyau des Ténèbres maintenant que nous savons qu'il y en a un."
CONVERSATION_1512,"Ca me va."
CONVERSATION_1513,"Kasel a raison."
CONVERSATION_1514,"Bougeons, alors!"
CONVERSATION_1515,"J'espère que tout ira bien..."
CONVERSATION_1516,"Arg, la puanteur!"
CONVERSATION_1517,"C'est la magie en putréfaction qui émane du Noyau des Ténèbres sans doute!"
CONVERSATION_1518,"C'était le Noyau des Ténèbres après tout!"
CONVERSATION_1519,"Bien. Maintenant, nous pouvons le détruire et continuer."
CONVERSATION_1520,"Attendez. Ca pourrait être un piège."
CONVERSATION_1521,"Quoi, nous ne pouvons pas nous asseoir ici."
CONVERSATION_1522,"Nous n'avons plus le temps."
CONVERSATION_1523,"Piège ou pas, je préfère avancer et me poser des questions ensuite!"
CONVERSATION_1524,"Kasel, non!"
CONVERSATION_1525,"Bon sang, Cleo! Ferme les yeux!"
CONVERSATION_1526,"C'est bon, tant que ce n'est pas l'obscurité totale!"
CONVERSATION_1527,"Frey! Kasel! Clause!"
CONVERSATION_1528,"Je suis là!"
CONVERSATION_1529,"Kasel!"
CONVERSATION_1530,"Je suis ici aussi. Restons ensemble!"
CONVERSATION_1531,"Haha, une fois l'Épée Sacrée obtenue, vous êtes tout à coup un homme."
CONVERSATION_1532,"Vous avez couru lorsque votre petite soeur était emmenée par les démons,"
CONVERSATION_1533,"c'est drôle de vous voir agir en héros avec cette Épée Sacrée."
CONVERSATION_1534,"C'est drôle en effet."
CONVERSATION_1535,"Bon sang... qui est-ce?"
CONVERSATION_1536,"Donc, vous en avez sauvé quelques-uns. Cela fait-il de vous un héros?"
CONVERSATION_1537,"Je ne pense pas. Vous puez encore la culpabilité."
CONVERSATION_1538,"Vous étiez le seul survivant là-bas."
CONVERSATION_1539,"Vous vivez parce que vous avez fui. Comment osez-vous jouer le héros."
CONVERSATION_1540,"Pitoyable. Honteux."
CONVERSATION_1541,"Assez! Montrez-vous! Venez et affrontez-moi!"
CONVERSATION_1542,"Du calme, Kasel!"
CONVERSATION_1543,"C'est le murmure noir, ne l'écoutez pas!"
CONVERSATION_1544,"Ahh... cher Clause."
