KEY,"Japanese"
CONVERSATION_TU_144,"確認してみよう。魔族たちがいるかもしれない。"
CONVERSATION_TU_163,"はぁはぁ、大変だった。"
CONVERSATION_TU_164,"そなた、カーセルよ。試練を乗り越えた事を心よりお祝いしよう。"
CONVERSATION_TU_165,"そなたは立派に堕落した自分との戦いに勝利した。"
CONVERSATION_TU_166,"ありがとうございます。ヒリア様。"
CONVERSATION_TU_167,"だがこれで終わりではない。"
CONVERSATION_TU_168,"\n堕落した自分から闇の決定を得たことであろう。"
CONVERSATION_TU_169,"あ、この事をおっしゃっているんですね。"
CONVERSATION_TU_170,"さよう。それを浄化の部屋に持っていき浄化をすれば本当のそなたの力で使えるであろう。"
CONVERSATION_TU_171,"すごい、全身に力が溢れているみたい!"
CONVERSATION_TU_172,"素晴らしい。そなたは試練を越え、大きく成長したな。"
CONVERSATION_TU_173,"正に今その気持ちを忘れず精進し、将来の苦難を克服すべし。"
CONVERSATION_TU_174,"ありがとうございます。ヒリア様。肝に銘じます。"
CONVERSATION_238,"君のムォニャック!"
CONVERSATION_239,"君の何だこのようにガングハニャック!"
CONVERSATION_240,"うちの兄さんはどこにあって!"
CONVERSATION_241,"君の兄さんどうして私からチァッニャック!"
CONVERSATION_242,"真正で、カセル!"
CONVERSATION_243,"興奮を静めなさい。"
CONVERSATION_244,"選択を誤るようになるだけである。"
CONVERSATION_245,"フウ......フウ......。"
CONVERSATION_246,"とにかく、"
CONVERSATION_247,"これがすべて爆弾と言う言葉なの?"
CONVERSATION_248,"爆弾私のザラングイダック!"
CONVERSATION_249,"大将様誉めてズシンダック!"
CONVERSATION_250,"木ブスンダック!"
CONVERSATION_251,"大将様?木?まさか世界数か?"
CONVERSATION_252,"ウアック、間違ってマルヘッダック!"
CONVERSATION_253,"他ロッキークンイルナッダック!"
CONVERSATION_254,"世界数......?"
CONVERSATION_255,"暴飲、振動"
CONVERSATION_256,"くそ!"
CONVERSATION_257,"世界数の方である!"
CONVERSATION_258,"カセル、カセル!"
CONVERSATION_259,"待って!"
CONVERSATION_260,"アアッ、あの馬鹿が!"
CONVERSATION_261,"あらら、ロイ、分かって処理と付いて来て!"
CONVERSATION_262,"他ロッキーは逃亡Gandak!"
CONVERSATION_263,"あれ、逃してしまったな......、置いても大きい脅威はだめである。"
CONVERSATION_264,"火が付いた爆弾を逃げているの。"
CONVERSATION_272,"待って、すぐ助けに行く!"
CONVERSATION_273,"まあ、小僧記事様を招待した記憶はないのに?"
CONVERSATION_274,"カセル!"
CONVERSATION_286,"そんなことはできなくて......"
CONVERSATION_287,"型を求めるつもりの!"
CONVERSATION_290,"クウック!"
CONVERSATION_291,"くそ、カセル!"
CONVERSATION_292,"くそ、ちょっと落ちなさい、マゾック!"
CONVERSATION_293,"そのように置くようなのか!"
CONVERSATION_294,"まともに勝負しなさい!"
CONVERSATION_295,"フフフ、"
CONVERSATION_306,"さあ、もうそれ位にして君の力無さに抜けて死ぬ準備を下簾。"
CONVERSATION_307,"申し立てを、ここまでか......"
CONVERSATION_308,"型を求めることもできなくて、"
CONVERSATION_309,"フレーも、"
CONVERSATION_310,"クルレオさんも、"
CONVERSATION_311,"ロイさんも......"
CONVERSATION_312,"皆死んでしまうことか?"
CONVERSATION_313,"私が不足なくせにあまり暴れ狂ったのか。"
CONVERSATION_314,"それでも......ここまで来たが、"
CONVERSATION_315,"皆の助けを借りて来たが......。"
CONVERSATION_316,"このままあきらめることはできない。"
CONVERSATION_317,"フレーも、"
CONVERSATION_318,"クラウス型も、"
CONVERSATION_319,"クルレオさんも、"
CONVERSATION_320,"ロイさんも......このまま置くことはできない。"
CONVERSATION_321,"型に恥ずかしい弟はならなくて!"
CONVERSATION_322,"このまま死ぬことはできなくて、型も、フレーも求めればこそ日!"
CONVERSATION_323,"イヤアアアアアアッ!"
CONVERSATION_325,"これは......!"
CONVERSATION_326,"守り出してしまって、"
CONVERSATION_327,"型も、フレーも、"
CONVERSATION_328,"クルレオさんも、ロイさんも!"
CONVERSATION_329,"守り出してしまうことと!"
CONVERSATION_330,"行く、魔女!"
CONVERSATION_343,"しかし時間をかけて見てごらん、君の剣、いつかもらって行くようにするよ。"
CONVERSATION_346,"何と......?"
CONVERSATION_348,"クウ......待って!"
CONVERSATION_349,"どうしてマゾックがお母さんの話が分かることなの......?"
CONVERSATION_1453,"ウック、腐るにおいが私。"
CONVERSATION_1454,"今まで引き受けて見たよりずっと濃いですね......。"
CONVERSATION_1455,"これは私も引き受けることができるのを、魔力ではないようなの。"
CONVERSATION_1456,"いいえ、魔力が腐るにおいだと。"
CONVERSATION_1457,"そのにおいもないのではないが。"
CONVERSATION_1458,"こちらはこの前には多くの公国があったとやって。"
CONVERSATION_1459,"しかし、魔王侵攻当時にここで激戦があったの。"
CONVERSATION_1460,"その戦闘の勝利で人間は戦争の版図を替えたが、"
CONVERSATION_1461,"こちらは完全に廃墟になってしまったの。"
CONVERSATION_1462,"それで相変らずオンデドがしばしば目撃される所であったり日。"
CONVERSATION_1463,"それだけ時間を長く引きずるようになりうる。"
CONVERSATION_1464,"オンデドは倒しても倒してもまた起きるから。"
CONVERSATION_1465,"最大限早く突破する覚悟をして争わなければならない。"
CONVERSATION_1466,"心配するな、私も馬鹿ではないのを!"
CONVERSATION_1467,"ピルロブ様だけ探して早く去ろう!"
CONVERSATION_1468,"ウック、あれがうわさだけできいた暗黒病にかかった動物か?"
CONVERSATION_1469,"見るだけで痛く見えます......。"
CONVERSATION_1470,"暗黒病は人間に伝染しないが、動物には致命的だろう。"
CONVERSATION_1471,"私病気にかかった動物は苦痛で及んで周辺のすべてのことを攻撃する。"
