KEY,"Korean"
CONVERSATION_TU_144,"확인해보자. 마족들이 있을지도 몰라."
CONVERSATION_TU_163,"하아, 하아, 어려웠어……."
CONVERSATION_TU_164,"그대, 카셀이여. 시련을 통과한 것을 진심으로 축하하노라."
CONVERSATION_TU_165,"그대는 훌륭하게 타락한 자신과의 싸움에서 승리하였도다."
CONVERSATION_TU_166,"감사합니다, 힐리아 님."
CONVERSATION_TU_167,"그러나 이것으로 끝난 것이 아니니라."
CONVERSATION_TU_168,"타락한 자신으로부터 어둠의 결정을 얻었을 것이도다."
CONVERSATION_TU_169,"아, 이걸 말씀하시는 거군요."
CONVERSATION_TU_170,"그러하다. 그것을 정화의 방으로 가져가 정화를 거쳐야 정녕 그대의 힘으로 쓸 수 있을 것이다."
CONVERSATION_TU_171,"굉장해, 온몸에 힘이 흘러 넘치는 것 같아!"
CONVERSATION_TU_172,"훌륭하도다, 그대는 시련을 넘어 크게 성장하였도다."
CONVERSATION_TU_173,"마땅히 그 마음가짐을 잊지 말고 정진하여 장차의 고난을 극복할지어다."
CONVERSATION_TU_174,"감사합니다, 힐리아 님. 명심하겠습니다."
CONVERSATION_238,"너네 뭐냑! "
CONVERSATION_239,"너네 뭔데 이렇게 강하냑!"
CONVERSATION_240,"우리 형은 어디 있어!"
CONVERSATION_241,"네 형 왜 나한테서 찾냑!"
CONVERSATION_242,"진정해, 카셀!"
CONVERSATION_243,"흥분을 가라앉혀라."
CONVERSATION_244,"선택을 그르치게 될 뿐이다."
CONVERSATION_245,"후우……후우……."
CONVERSATION_246,"그나저나, "
CONVERSATION_247,"이게 다 폭탄이란 말이야?"
CONVERSATION_248,"폭탄 내 자랑이닥! "
CONVERSATION_249,"대장님 칭찬해 주신닥! "
CONVERSATION_250,"나무 부순닥!"
CONVERSATION_251,"대장님? 나무? 설마 세계수인가?"
CONVERSATION_252,"으악, 잘못 말했닥! "
CONVERSATION_253,"타록키 큰일났닥!"
CONVERSATION_254,"세계수……?"
CONVERSATION_255,"폭음, 진동"
CONVERSATION_256,"젠장! "
CONVERSATION_257,"세계수 쪽이다!"
CONVERSATION_258,"카셀, 카셀!"
CONVERSATION_259,"기다려!"
CONVERSATION_260,"아앗, 저 바보들이! "
CONVERSATION_261,"어휴, 로이, 알아서 처리하고 따라와!"
CONVERSATION_262,"타록키는 도망간닥!"
CONVERSATION_263,"이런, 놓쳐버렸군……뭐, 놔둬도 큰 위협은 안 되겠지."
CONVERSATION_264,"불 붙은 폭탄을 들고 뛰고 있으니."
CONVERSATION_272,"기다려, 금방 도우러 갈게!"
CONVERSATION_273,"어머나, 꼬마 기사님을 초대한 기억은 없는데?"
CONVERSATION_274,"카셀!"
CONVERSATION_286,"그럴 수는 없어……"
CONVERSATION_287,"형을 구할 거야!"
CONVERSATION_290,"크윽!"
CONVERSATION_291,"젠장, 카셀! "
CONVERSATION_292,"제기랄, 좀 떨어져라, 마족!"
CONVERSATION_293,"그렇게 둘 것 같냐!"
CONVERSATION_294,"제대로 승부해라!"
CONVERSATION_295,"후후후, "
CONVERSATION_306,"자, 이제 그만 네 무력함에 빠져 죽을 준비를 하렴."
CONVERSATION_307,"제길, 여기까지인가……"
CONVERSATION_308,"형을 구하지도 못하고,"
CONVERSATION_309,"프레이도,"
CONVERSATION_310,"클레오 씨도,"
CONVERSATION_311,"로이 씨도……"
CONVERSATION_312,"모두 죽고 마는 건가?"
CONVERSATION_313,"내가 부족한 주제에 너무 날뛴 걸까."
CONVERSATION_314,"그래도…… 여기까지 왔는데,"
CONVERSATION_315,"모두의 도움을 받아 왔는데……."
CONVERSATION_316,"이대로 포기할 수는 없어."
CONVERSATION_317,"프레이도,"
CONVERSATION_318,"클라우스 형도,"
CONVERSATION_319,"클레오 씨도,"
