KEY,Russian
E1_Pancironne_1_1_1,Быстрее! Быстрее! Быстрее! Быстрее!
E1_Pancironne_1_1_2,Быстрее! Быстрее! Быстрее! Быстрее!
E1_Pancironne_1_1_3,"Эх, как скучно..."
E1_Pancironne_1_1_4,"Что, так сложно копать какую-то землю? Что вы вздыхаете?"
E1_Pancironne_1_1_5,У-уф... Уже какой месяц так.
E1_Pancironne_1_1_6,Это... Младший лейтенант.
E1_Pancironne_1_1_7,Эм... Мы начали работу на этом участке менее 5 минут назад...
E1_Pancironne_1_1_8,"К тому же, все остаются без отдыха уже который день."
E1_Pancironne_1_1_9,"Глядя на то, что в этом регионе совершенно невозможно поймать энергетический сигнал..."
E1_Pancironne_1_1_10,Просим Вас подождать ещё нем...
E1_Pancironne_1_1_11,Что-то ты разговорился!
E1_Pancironne_1_1_12,А... Я?!
E1_Pancironne_1_1_13,Сгори!!!
E1_Pancironne_1_1_14,Ааааа!
E1_Pancironne_1_1_15,И-извините!
E1_Pancironne_1_1_16,Как всё достало!!
E1_Pancironne_1_1_17,"Ты даже не представляешь, насколько это трудно говорить одно и то же!!"
E1_Pancironne_1_1_18,"Вместо того, чтобы болтать, иди рой землю!"
E1_Pancironne_1_1_19,Быстрее! Быстрее! Быстрее! Быстрее!!!!!
E1_Pancironne_1_1_20,Ааааа!!!
E1_Pancironne_1_1_21,"Кто бы знал, что назначенный босс будет такой бестией!"
E1_Pancironne_1_1_22,"Я был в таком ожидании оттого, что мне сказали, что нам хорошо заплатят... Эх..."
E1_Pancironne_1_1_23,Ужасно тяжело...
E1_Pancironne_1_1_24,Сколько ни копай – ни один муравей даже не выполз...
E1_Pancironne_1_1_25,Буэ! Я больше не могу.
E1_Pancironne_1_1_26,Меня теперь при одном взгляде на землю будет тошнить!
E1_Pancironne_1_1_27,Ха... Дайте поспать...
E1_Pancironne_1_1_28,"Хотя нет, дайте хотя бы ненадолго присесть!!"
E1_Pancironne_1_1_29,"Что тут, что на войне – разницы нет!"
E1_Pancironne_1_1_30,"Хотя нет, верните меня на фронт!!"
E1_Pancironne_1_1_31,Я... Я больше не могу это терпеть!
E1_Pancironne_1_1_32,"Если мы продолжим так работать, то скоро сдохнем!"
E1_Pancironne_1_1_33,Пойдемте!
E1_Pancironne_1_1_34,Снова за своё...
E1_Pancironne_1_1_35,Нам конец.
E1_Pancironne_1_1_36,Ооо?
E1_Pancironne_1_1_37,По-позвольте нам отдохнуть!
E1_Pancironne_1_1_38,"Нам так тяжело, что мы больше не можем!"
E1_Pancironne_1_1_39,"Если это продолжится, то лучше отправьте нас обратно в Империю!"
E1_Pancironne_1_1_40,"Мы перекопали все земли, что Вы указали, но так ничего и не нашли!"
E1_Pancironne_1_1_41,Разве это не указывает на проблемы с Вашими собственными способностями?
E1_Pancironne_1_1_42,Что-о??
E1_Pancironne_1_1_43,"Да!! Пусть мы и простые солдаты, но к бесмысленной работе нас не привлекайте!"
E1_Pancironne_1_1_44,"Если Вы к нам не прислушаетесь,"
E1_Pancironne_1_1_45,"на-нам ничего больше не остается, кроме как это!"
E1_Pancironne_1_1_46,Хи... Становится веселее?!
E1_Pancironne_1_2_1,"Так!! Поднимите руки те, кто хочет сдохнуть первым!"
E1_Pancironne_1_3_1,Ааааа!!!
E1_Pancironne_1_3_2,"Хе-хе, ну как вам??"
E1_Pancironne_1_3_3,Моя пятая точка горит!!
E1_Pancironne_1_3_4,Больным нужно поставить укольчик!
E1_Pancironne_1_3_5,"Вот так! Особый рецепт от Пансироны, которая имеет проблемы со способностями!"
E1_Pancironne_1_3_6,"Ещё, и ещё, и ещё!"
