KEY,"Thai"
CONVERSATION_TU_144,"ไปตรวจสอบกัน บางทีเราอาจจะเจอกับพวกกองกำลังปีศาจก็ได้"
CONVERSATION_TU_163,"ฮ่า ฮ่า  มันเป็นเรื่องที่ยากจริงๆ ......"
CONVERSATION_TU_164,"เจ้า,  Kasel  ข้าขอแสดงความยินดีด้วย! เจ้าได้ผ่านการทดสอบแล้ว"
CONVERSATION_TU_165,"เจ้าได้รับรางวัลเป็นชัยชนะครั้งใหญ่ในการต่อสู้กับตัวเองที่โดนความมืดเกาะกินจิตใจ"
CONVERSATION_TU_166,"ขอบคุณ, Hilia"
CONVERSATION_TU_167,"แต่ตอนนี้ยังไม่จบ"
CONVERSATION_TU_168,"เจ้าได้ดึงผลึกแห่งความมืดออกมาจากตัวเอง เจ้าได้ทำลายความมืดภายในจิตใจ"
CONVERSATION_TU_169,"เจ้าหมายถึงสิ่งนี้ใช่มั้ย?"
CONVERSATION_TU_170,"ใช่ จงเอามันไปยังห้องแห่งการชำระล้างและชำระล้างมัน \nจากนั้นเจ้าจะสามารถปลดปล่อยพลังที่แท้จริงของเจ้าได้"
CONVERSATION_TU_171,"น่าอัศจรรย์ รู้สึกเหมือนข้าเปี่ยมไปด้วยพลังเลยตอนนี้!"
CONVERSATION_TU_172,"ทำได้ดี เจ้าจะเติบโตขึ้นด้วยการเอาชนะใจตนเอง"
CONVERSATION_TU_173,"อย่าลืมบทเรียนนี้, และจงอุทิศตัวเองเพื่อเอา​​ชนะความยากลำบากต่างๆ ในอนาคต"
CONVERSATION_TU_174,"ขอบคุณ,  Hilia ข้าจะจดจำไว้"
CONVERSATION_238,"อ่ะ...เจ้าเป็นอะไรเนี่ย!"
CONVERSATION_239,"เจ้ามันแข็งแกร่งเกินไปแล้ว!"
CONVERSATION_240,"พี่น้องของข้าอยู่ที่ไหน!"
CONVERSATION_241,"ข้าไม่รู้ เรื่องพี่น้องของเจ้า!"
CONVERSATION_242,"ใจเย็น, Kasel!"
CONVERSATION_243,"คุมตัวเองหน่อย"
CONVERSATION_244,"ทำแบบนี้ เจ้าจะตัดสินใจพลาดได้นะ"
CONVERSATION_245,"โอ๊ย ... โอ๊ย ..."
CONVERSATION_246,"อย่างไรก็ตาม..."
CONVERSATION_247,"พวกนั้นมันเป็นระเบิดทั้งหมดเลยเหรอ?"
CONVERSATION_248,"ระเบิด, ความภูมิใจของข้า!"
CONVERSATION_249,"จงสรรเสริญ กัปตันของข้า!"
CONVERSATION_250,"ข้า ระเบิดต้นไม้!"
CONVERSATION_251,"กัปตัน? ต้นไม้? ต้นไม้กำเนิดโลกเจ้าหมายถึงอะไร?"
CONVERSATION_252,"ข้าพูดผิด!"
CONVERSATION_253,"Tarokki กำลังมีปัญหา!"
CONVERSATION_254,"ต้นไม้กำเนิดโลก ... ?"
CONVERSATION_255,"เสียงดังสนั่น, พื้นก็สั่นไหว"
CONVERSATION_256,"!"
CONVERSATION_257,"มันคือต้นไม้กำเนิดโลก!"
CONVERSATION_258,"Kasel, Kasel!"
CONVERSATION_259,"เดี๋ยวก่อน!"
CONVERSATION_260,"เจ้าคนโง่!"
CONVERSATION_261,"เอ่อ, Roi เจ้ารีบจัดการพวกมันซะแล้วตามพวกเรามา!"
CONVERSATION_262,"Tarokki วิ่ง!"
CONVERSATION_263,"เจ้านั่นหายไปไหนแล้ว ... เอ่อ, หวังว่ามันจะไม่สร้างปัญหาอะไรขึ้นอีกนะ "
CONVERSATION_264,"นั่นมันกำลังวิ่งถือระเบิดที่จุดแล้ว นี่ "
CONVERSATION_272,"เดี๋ยวสิ, นี่ข้ามาช่วยเจ้านะ!"
CONVERSATION_273,"ฮะ? ข้าจำไม่ได้สักหน่อยว่าได้เชิญอัศวินฝึกหัดมาที่นี่"
CONVERSATION_274,"Kasel!"
CONVERSATION_286,"มันไม่ได้เกิดขึ้นใช่มั้ย..."
CONVERSATION_287,"ข้าจะไปช่วยพี่น้องของข้า!"
CONVERSATION_290,"ไม่นะ..."
CONVERSATION_291,"Kasel!"
CONVERSATION_292,"ปล่อยข้า, เจ้าปีศาจ!"
CONVERSATION_293,"ข้าปล่อยให้เจ้าทำแบบนั้นไม่ได้!"
CONVERSATION_294,"เรามาต่อสู้กันอย่างยุติธรรมเถอะ!"
CONVERSATION_295,"ฮ่า ฮ่า ฮ่า"
CONVERSATION_306,"ตอนนี้ จงเตรียมตัวตายซะ"
CONVERSATION_307,"หรือนี่คือ... "
CONVERSATION_308,"ข้าไม่สามารถที่จะช่วยพี่น้องของข้าได้,"
CONVERSATION_309,"Frey."
CONVERSATION_310,"Cleo ..."
CONVERSATION_311,"Roi ..."
CONVERSATION_312,"พวกเราทุกคนจะต้องตายที่นี่สินะ?"
CONVERSATION_313,"ข้าควรที่จะต้องระวังให้มากกว่านี้แท้ๆ"
CONVERSATION_314," แต่ ... ข้ากลับทำให้มันเรื่องมันเลวร้ายได้ขนาดนี้"
CONVERSATION_315,"ทั้งๆที่ได้รับความช่วยเหลือจากทุกคน ... "
CONVERSATION_316,"ข้าจะยอมแพ้แบบนี้ไม่ได้"
CONVERSATION_317,"Frey,"
CONVERSATION_318,"Clause,"
CONVERSATION_319,"Cleo ..."
CONVERSATION_320,"Roi ... ข้าจะทิ้งพวกเขาไม่ได้"
CONVERSATION_321,"ข้าจะไม่เป็นพี่น้องที่น่าอับอาย!"
CONVERSATION_322,"ข้าจะไม่ยอมตายแบบนี้, ข้าจะต้องช่วยพี่น้องของข้า และ Freyให้จงได้!"
CONVERSATION_323,"อ๊าคคค!"
CONVERSATION_324,"ทักษะการร่ายเวทย์ระดับ 3"
CONVERSATION_325,"นี่คือ...!"
CONVERSATION_326,"ข้าจะทำให้พวกเขาปลอดภัย"
CONVERSATION_327,"พี่น้องของข้า, Frey,"
CONVERSATION_328," Cleo,  Roi !"
CONVERSATION_329,"ข้าจะต้องปกป้องพวกเขาให้ได้!"
CONVERSATION_330,"ข้ามาแล้ว, เจ้าแม่มด!"
CONVERSATION_343,"แต่จำไว้, วันนึงข้าจะกลับมาเอาชนะดาบของเจ้า"
CONVERSATION_346,"อะไรนะ...?"
CONVERSATION_348,"โอ๊ะ ...เดี๋ยวก่อน!"
CONVERSATION_349,"เจ้าปีศาจนั่นรู้เรื่องของแม่ข้าได้ยังไง.. ?"
CONVERSATION_1453,"อี๋,สัมผัสอะไรที่รุนแรงและชั่วร้ายขนาดนี้"
CONVERSATION_1454,"นี่มันแย่มากกว่าอะไรที่ข้าเคยเจอมาก่อน"
CONVERSATION_1455,"อืม, ข้าสัมผัสได้ถึงบางสิ่ง แต่ไม่ใช่สัมผัสของเวทย์มนต์"
CONVERSATION_1456,"เรากำลังพูดถึงเวทย์ดำ"
CONVERSATION_1457,"อืม, ตรงนั้นก็รู้สึกได้เหมือนกัน"
CONVERSATION_1458,"แถวๆนี้นี่ต้องเคยเป็นอาณาเขตเมืองมาก่อน"
CONVERSATION_1459,"แล้วก็กลายเป็นสมรภูมิที่ต่อสู้กับราชาปีศาจ"
CONVERSATION_1460,"เมื่อสงครามสิ้นสุดลงด้วยชัยชนะ, เหล่ามนุษย์ก็สามารถพลิกวิกฤติเป็นโอกาสได้"
CONVERSATION_1461,"แต่อาณาเขตอื่นๆกลับถูกปล่อยจนรกร้างอย่างสิ้นเชิง"
CONVERSATION_1462,"พวกอมนุษย์ยังคงอยู่กันที่นี่"
CONVERSATION_1463,"หมายความว่า พวกเราควรจะเกาะกลุ่มกันไว้"
CONVERSATION_1464,"เจ้าจะฆ่าพวกมันไม่ตายพวกมันก็แค่จะยิ่งเข้ามาหาเจ้ามากยิ่งขึ้น"
CONVERSATION_1465,"เราต้องรีบฝ่าออกไปให้เร็วที่สุด"
CONVERSATION_1466,"อย่าห่วงเลย ข้าไม่ได้โง่นะ!"
CONVERSATION_1467,"พวกเราต้องตามหา  Phillop และรีบออกจากที่นี่"
CONVERSATION_1468,"ที่นี่ดูเหมือนกับแหล่งโรคระบาดยังไงยังงั้น"
CONVERSATION_1469,"ข้าสัมผัสได้ถึงความเจ็บปวดเพียงแค่มองผ่าน"
CONVERSATION_1470,"พวกมนุษย์อาจจะต้านทานได้, แต่มันทำให้พวกสัตว์ถึงตายเชียว"
CONVERSATION_1471,"ความเจ็บปวดบังคับให้พวกมันบ้าคลั่งและโจมตีทุกสิ่งทุกอย่างที่ขวางหน้า"
CONVERSATION_1472,"แล้วรักษายังไงหรอ?"
CONVERSATION_1473,"ยังไม่มีอะไรรักษาได้จริงๆหรอก"
CONVERSATION_1474,"เรากำลังทำมันอยู่แต่ว่ายังไม่มีวิธีรักษาในตอนนี้"
CONVERSATION_1475,"ข้าเดาว่ามันคงเป็นเช่นนั้น รีบเร่งฝีเท้าดีกว่า!"
CONVERSATION_1476,"ว้าวนั่นมันรุนแรงมาก"
CONVERSATION_1477,"มันคงทำลายตัวมันเอง คงรับเข้าไปมากเกินไป"
CONVERSATION_1478,"น่าเศร้า"
CONVERSATION_1479,"ผลการศึกษาชี้ว่าไม่มีสิ่งใดสามารถคงสติสัมปชัญญะในสถานที่นี้ได้"
CONVERSATION_1480,"มันจะเป็นการเมตตากว่าถ้าจบความทุกขเวทนานี้"
CONVERSATION_1481,"...ช่าย เมตตา"
CONVERSATION_1482,"มันน่าเศร้ามาก"
CONVERSATION_1483,"เฮ้, ดูนั่น อมนุษย์"
CONVERSATION_1484,"พวกมันเคยเป็นอดีตทหารกล้า"
CONVERSATION_1485,"ตอนนี้สูญสิ้นแม้แรงกระตุ้นที่จะต่อสู้"
CONVERSATION_1486,"พวกเหล่าอัศวินถูกส่งมาเพื่อควบคุมพวกมัน"
CONVERSATION_1487,"ดูเหมือนตอนนี้มันจะไม่ใช่ปัญหาอีกต่อไป"
CONVERSATION_1488,"ช่าย"
CONVERSATION_1489,"เมื่อต้นไม้กำเนิดโลกถูกโจมตี, ที่นี่คือที่สุดท้ายในโลกที่ทุกคนจะสนใจ"
CONVERSATION_1490,"มันไม่ใช่ที่ๆน่ารื่นรมย์เลย"
CONVERSATION_1491,"ข้าเคยอ่านเรื่องราวของพวกมัน แต่มันก็ไม่ได้ช่วยอะไรเลย"
CONVERSATION_1492,"ไม่เป็นไร...มาเอามันไป, เร็ว."
CONVERSATION_1493,"ระวังตัวด้วย Clause"
CONVERSATION_1494,"เจ้าดูนั่นสิ มันไม่ง่ายเลยนะ"
CONVERSATION_1495,"ว้า, มันปิดแล้ว"
CONVERSATION_1496,"พวกมันแข็งแกร่งกว่าที่เราเคยได้ยิน"
CONVERSATION_1497,"ข้าว่าสถานที่นี้คงจะพังทลายลงด้วยกองกำลังแห่งความมืด อย่างแน่นอน"
CONVERSATION_1498,"เราคงต้องมาดูกันว่าเราจะได้เจอแกนแห่งความมืดที่นี่มั้ย"
CONVERSATION_1499,"ก็ไม่รู้หรอก แต่ข้าไม่ชอบเลยที่จากมาอย่างนี้"
CONVERSATION_1500,"แต่ยังไงพวกเราก็ควรจะลงมือหา Phillop ก่อนเป็นอย่างแรกสิ"
CONVERSATION_1501,"เราไม่ควรที่จะทิ้งรอยเท้าเอาไว้"
CONVERSATION_1502,"Kasel เจ้าไม่ต้องคิดมากหน่า"
CONVERSATION_1503,"คงจะมีแค่พวกเราหล่ะมั้งที่ทำลายแกนแห่งความมืดได้ "
CONVERSATION_1504,"มันเป็นหน้าที่ของเราในฐานะอัศวิน!"
CONVERSATION_1505,"เราจะมาเปลี่ยนจุดมุ่งหมายกันตอนนี้ไม่ได้"
CONVERSATION_1506,"แค่ช่วย Naila และ Kaulah ได้ก็พอแล้ว"
CONVERSATION_1507,"อย่ามาเสียเวลากับสิ่งที่เราเองก็ไม่แน่ใจว่าจะทำได้ดีกว่า!"
CONVERSATION_1508,"หยุดเลยนะ, เจ้าทั้งสองคน"
CONVERSATION_1509,"พวกเราเองก็ต้องระวังแกนแห่งความมืดไว้ให้ดี ในขณะที่เรากำลังตามหา Phillop"
CONVERSATION_1510,"ไม่มีเหตุผลที่จะมาเถียงกันสักหน่อย ก็แค่ทำมันทั้งสองอย่างไปพร้อมๆกันก็ได้"
