KEY,ChineseSimplified
CONVERSATION_TU_256_1,站住！从这里开始是禁区。
CONVERSATION_TU_256_2,除相关人员外，任何人不准进入！
CONVERSATION_TU_256_3,我是见习骑士凯瑟。
CONVERSATION_TU_256,气氛好像很乱...究竟发生了什么事？
CONVERSATION_TU_257,看来你还没有听到消息。在地下发现了一个古老的金库。
CONVERSATION_TU_257_1,据推测是古代王室的金库，因此迅速成立了调查团，
CONVERSATION_TU_257_2,但怪物出乎意料的出没让调查处于搁浅状态。
CONVERSATION_TU_258,又不是什么别的地方，怪物居然出现在王室...
CONVERSATION_TU_259,目前除了见习团员以外，大部分骑士团都投入到了镇压怪物的行列。
CONVERSATION_TU_260,在情况稳定之前，骑士团的相关业务将会全面停止。
CONVERSATION_TU_261,凯瑟，我们是不是该回去了？
CONVERSATION_TU_262,在这种情况下，骑士团的业务似乎难以进行了。
CONVERSATION_TU_263,唔...
CONVERSATION_TU_264,虽然只是见习，但我也是一名骑士，我想留下来做支援。
CONVERSATION_TU_265,有什么我能帮得上的忙吗？
CONVERSATION_TU_266,其实我们本来就在招募有实力讨伐怪物的人。
CONVERSATION_TU_266_1,参加的人越多，骑士团就能越快回到原本的岗位上。
CONVERSATION_TU_266_2,如果能将怪物消灭，陛下会给予适当的奖励，
CONVERSATION_TU_266_3,有机会的话希望你也能参与。
CONVERSATION_TU_267,来看一下，距离交班日期…噢~还剩7年啦！
CONVERSATION_TU_268,哦~这种地方也有久老的塔，挺意外啊。
CONVERSATION_TU_269,哇啊！人类！？你们是人类对吧？
CONVERSATION_TU_270,没想到能亲眼目睹到所谓的人类…
CONVERSATION_TU_271,好久不见啊，朵莎尔妲。
CONVERSATION_TU_272,天啊，姐姐！好高兴你能来看我。
CONVERSATION_TU_273,但这几位是…？
CONVERSATION_TU_274,哦，打个招呼吧。这位是和圣剑勇者一起来的人。
CONVERSATION_TU_275,圣剑…勇者？姐姐，这是真的吗？
CONVERSATION_TU_276,哇啊！没想到在这能遇到这么伟大的人啊！
CONVERSATION_TU_277,啊哈哈哈…过奖了。我并不是那么伟大的人。
CONVERSATION_TU_278,话说…刚才对瑟琳公主叫姐姐的话，那朵莎尔妲也…？
CONVERSATION_TU_279,是的，朵莎尔妲是我的亲妹妹。
CONVERSATION_TU_280,这挑战之塔是我们精灵王室亲自管辖的领域，
CONVERSATION_TU_281,由王室的后裔们每隔20年轮流看管。
CONVERSATION_TU_282,每隔20年…？
CONVERSATION_TU_283,不用惊讶。20年的话，对于精灵来说跟人类的2年差不多。
CONVERSATION_TU_284,但是姐姐，圣剑勇者来到这的话就表示…
CONVERSATION_TU_285,对，是时候打开挑战之塔的大门了。
CONVERSATION_TU_286,哦~那我就可以跟他们经常见到面了！以后就不会无聊啦。
CONVERSATION_TU_287,不好意思打断两位的谈话，但可以介绍一下这个地方吗？
CONVERSATION_TU_288,因为我头一次听说艾莉朵拉森林里有如此高的塔。
CONVERSATION_TU_289,这座塔是在历史纪载以前…也就是说从很早以前就已经存在了。
CONVERSATION_TU_290,我们精灵皇室虽然花了很长的时间调查这座塔，
CONVERSATION_TU_291,但尚未查出这座塔是何时建成以及建造的目的为何，
CONVERSATION_TU_292,可是在调查的过程中，我们发现了上古神器的残骸，
CONVERSATION_TU_293,于是我们把那些残骸收集起来并且成功地将物品复原，
CONVERSATION_TU_294,随后我们发现那些神器不仅特殊还拥有强大的力量。
CONVERSATION_TU_295,特殊…且强大？
CONVERSATION_TU_296,正好圣剑勇者也在这里，那我讲一下这个东西的故事吧。
CONVERSATION_TU_297,100年前，奥勒贝利亚的王－凯尔想拥有对抗魔族的力量。
CONVERSATION_TU_298,当时，他听到有关这里的事，就开始独自登塔。
CONVERSATION_TU_299,但塔内各层都栖息着非常强大的怪物，
CONVERSATION_TU_300,根据调查，据说可以从那些怪物的身上感受到异次元的气息，
CONVERSATION_TU_301,若想获得神器碎片就必须打败那些怪物。
CONVERSATION_TU_302,异次元的气息…？那么那些怪物是异界生物吗？
CONVERSATION_TU_303,我们也不是很清楚，这只是那些研究塔的学者们的推论而已。
CONVERSATION_TU_304,到最后凯尔王还是成功地集齐了所有神器碎片，
