KEY,"ChineseSimplified"
CONVERSATION_TU_256_1,"站住！从这里开始是禁区。"
CONVERSATION_TU_256_2,"除相关人员外，任何人不准进入！"
CONVERSATION_TU_256_3,"我是见习骑士凯瑟。"
CONVERSATION_TU_256,"气氛好像很乱...究竟发生了什么事？"
CONVERSATION_TU_257,"看来你还没有听到消息。在地下发现了一个古老的金库。"
CONVERSATION_TU_257_1,"据推测是古代王室的金库，因此迅速成立了调查团，"
CONVERSATION_TU_257_2,"但怪物出乎意料的出没让调查处于搁浅状态。"
CONVERSATION_TU_258,"又不是什么别的地方，怪物居然出现在王室..."
CONVERSATION_TU_259,"目前除了见习团员以外，大部分骑士团都投入到了镇压怪物的行列。"
CONVERSATION_TU_260,"在情况稳定之前，骑士团的相关业务将会全面停止。"
CONVERSATION_TU_261,"凯瑟，我们是不是该回去了？"
CONVERSATION_TU_262,"在这种情况下，骑士团的业务似乎难以进行了。"
CONVERSATION_TU_263,"唔..."
CONVERSATION_TU_264,"虽然只是见习，但我也是一名骑士，我想留下来做支援。"
CONVERSATION_TU_265,"有什么我能帮得上的忙吗？"
CONVERSATION_TU_266,"其实我们本来就在招募有实力讨伐怪物的人。"
CONVERSATION_TU_266_1,"参加的人越多，骑士团就能越快回到原本的岗位上。"
CONVERSATION_TU_266_2,"如果能将怪物消灭，陛下会给予适当的奖励，"
CONVERSATION_TU_266_3,"有机会的话希望你也能参与。"
CONVERSATION_TU_267,"让我看看...还剩下多少日子才能从这裡出去呢..."
CONVERSATION_TU_268,"哇呜！现在刚好剩下整整７年就能换班了呢～！"
CONVERSATION_TU_269,"啊啊...刚来到这里的时候还觉得前途一片渺茫呢..."
CONVERSATION_TU_270,"竟然已经是13年前的事了。"
CONVERSATION_TU_271,"天啊～这种地方竟然有个古老的塔。"
CONVERSATION_TU_272,"哇呜！人类！？你们是人类没错吧？"
CONVERSATION_TU_273,"哇～！！我从没想过在有生之年能见到人类。"
CONVERSATION_TU_274,"请别把我们当作奇珍异兽。"
CONVERSATION_TU_275,"啊啊！不...不好意思。"
CONVERSATION_TU_276,"我独自在这个地方待了13年，太无聊了才..."
CONVERSATION_TU_277,"就连朋友跟家人都没来找我聊天......"
CONVERSATION_TU_278,"让我很忧郁，现在好不容易有人跟我说话，我太高兴了才......"
CONVERSATION_TU_279,"辛苦了，朵莎尔妲。"
CONVERSATION_TU_280,"啊啊！姐姐！？哇～不光人类，竟然还看到了姐姐。"
CONVERSATION_TU_281,"现在的心情就跟放假一样呢。"
CONVERSATION_TU_282,"你说的姐姐..."
CONVERSATION_TU_283,"您也是精灵的公主吗？"
CONVERSATION_TU_284,"是的，身为精灵皇室的一员，我们每个人都轮流花20年守护这座挑战之塔。"
CONVERSATION_TU_285,"哇，20年......"
CONVERSATION_TU_286,"以人类的年龄来算，大概是2年左右吧。"
CONVERSATION_TU_287,"打招呼呀，朵莎尔妲，这位就是圣剑勇者。"
CONVERSATION_TU_288,"真的吗？姐姐，你不是从很小的时候就很喜欢圣剑的故事吗？"
CONVERSATION_TU_289,"等等，这么说来..."
CONVERSATION_TU_290,"是啊，现在就是打开挑战之塔大门的时候了。"
CONVERSATION_TU_291,"那么...这几位之后会常常来拜访罗？"
CONVERSATION_TU_292,"这样我就不会觉得无聊了。"
CONVERSATION_TU_293,"在所有的兄弟姊妹里，我们可能是最幸运的了。"
CONVERSATION_TU_294,"姐姐见到了憧憬的圣剑勇者，而我的工作之后也不会再那么无聊了～"
CONVERSATION_TU_295,"是呀。"
CONVERSATION_TU_296,"你能向英雄们说明挑战之塔的相关事项吗？"
CONVERSATION_TU_297,"没问题，那我开始啰。"
CONVERSATION_TU_298,"挑战之塔是一座自历史记载以前，从远古的时代时便已存在的塔，"
CONVERSATION_TU_299,"最一开始是哪个种族先发现这座塔尚不得而知，"
CONVERSATION_TU_300,"由于人们在进入这座塔时，会一边大喊「挑战！」，因而有了挑战之塔这个名称。"
CONVERSATION_TU_301,"而塔中保管的蕴含强大能量的神器也就此为人所知，"
CONVERSATION_TU_302,"关于神器的传闻也在刹那间传开，"
CONVERSATION_TU_303,"许多人为了挖掘神器进入了挑战之塔。"
CONVERSATION_TU_304,"然而，"
