KEY,"ChineseTraditional"
CONVERSATION_TU_256_1,"站住！從這裡開始是禁區。"
CONVERSATION_TU_256_2,"閒雜人等不得進入！"
CONVERSATION_TU_256_3,"我是見習騎士凱瑟。"
CONVERSATION_TU_256,"這裡的氣氛似乎相當混亂...到底發生了什麼事？"
CONVERSATION_TU_257,"看來你還沒聽說那個消息，在地下發現了一個古老的金庫。"
CONVERSATION_TU_257_1,"推測是古代王室的東西，所以迅速組成了調查團，"
CONVERSATION_TU_257_2,"但是因為突然出現了許多怪物，使得調查陷入困境。"
CONVERSATION_TU_258,"是王室又不是什麼別的地方，竟然會出現怪物..."
CONVERSATION_TU_259,"目前除了見習團員，大部分的騎士團都已經投入鎮壓怪物的行列。"
CONVERSATION_TU_260,"在狀況穩定之前，騎士團相關的事務將會全面停止。"
CONVERSATION_TU_261,"凱瑟，我們是不是該回去了？"
CONVERSATION_TU_262,"在這種情況下應該很難辦理騎士團的事務了。"
CONVERSATION_TU_263,"嗯..."
CONVERSATION_TU_264,"雖然我只是個見習騎士，但身為一名騎士，我也想要盡一點心力。"
CONVERSATION_TU_265,"有什麼我能幫忙的嗎？"
CONVERSATION_TU_266,"其實我們本來就有在招募有實力討伐怪物的人。"
CONVERSATION_TU_266_1,"參加的人越多，騎士團就能越早返回原本的工作崗位。"
CONVERSATION_TU_266_2,"正好陛下有旨，只要消滅怪物就會賜予相應的獎賞，"
CONVERSATION_TU_266_3,"有機會的話，希望你也能一起參與。"
CONVERSATION_TU_267,"讓我看看...還剩下多少日子才能從這裡出去呢..."
CONVERSATION_TU_268,"哇嗚！現在剛好剩下整整７年就能換班了呢～！"
CONVERSATION_TU_269,"啊啊...剛來到這裡的時候還覺得前途一片渺茫呢..."
CONVERSATION_TU_270,"竟然已經是13年前的事了。"
CONVERSATION_TU_271,"天啊～這種地方竟然有個古老的塔。"
CONVERSATION_TU_272,"哇嗚！人類！？你們是人類沒錯吧？"
CONVERSATION_TU_273,"哇～！！我從沒想過在有生之年能見到人類。"
CONVERSATION_TU_274,"請別把我們當作奇珍異獸。"
CONVERSATION_TU_275,"啊啊！不...不好意思。"
CONVERSATION_TU_276,"我獨自在這個地方待了13年，太無聊了才..."
CONVERSATION_TU_277,"就連朋友跟家人都沒來找我聊天......"
CONVERSATION_TU_278,"讓我很憂鬱，現在好不容易有人跟我說話，我太高興了才......"
CONVERSATION_TU_279,"辛苦了，朵莎爾妲。"
CONVERSATION_TU_280,"啊啊！姊姊！？哇～不光人類，竟然還看到了姊姊。"
CONVERSATION_TU_281,"現在的心情就跟放假一樣呢。"
CONVERSATION_TU_282,"妳說的姊姊..."
CONVERSATION_TU_283,"您也是精靈的公主嗎？"
CONVERSATION_TU_284,"是的，身為精靈皇室的一員，我們每個人都輪流花20年守護這座挑戰之塔。"
CONVERSATION_TU_285,"哇，20年......"
CONVERSATION_TU_286,"以人類的年齡來算，大概是2年左右吧。"
CONVERSATION_TU_287,"打招呼呀，朵莎爾妲，這位就是聖劍勇者。"
CONVERSATION_TU_288,"真的嗎？姊姊，妳不是從很小的時候就很喜歡聖劍的故事嗎？"
CONVERSATION_TU_289,"等等，這麼說來..."
CONVERSATION_TU_290,"是啊，現在就是打開挑戰之塔大門的時候了。"
CONVERSATION_TU_291,"那麼...這幾位之後會常常來拜訪囉？"
CONVERSATION_TU_292,"這樣我就不會覺得無聊了。"
CONVERSATION_TU_293,"在所有的兄弟姊妹裡，我們可能是最幸運的了。"
CONVERSATION_TU_294,"姊姊見到了憧憬的聖劍勇者，而我的工作之後也不會再那麼無聊了～"
CONVERSATION_TU_295,"是呀。"
CONVERSATION_TU_296,"妳能向英雄們說明挑戰之塔的相關事項嗎？"
CONVERSATION_TU_297,"沒問題，那我開始囉。"
CONVERSATION_TU_298,"挑戰之塔是一座自歷史記載以前，從遠古的時代時便已存在的塔，"
CONVERSATION_TU_299,"最一開始是哪個種族先發現這座塔尚不得而知，"
CONVERSATION_TU_300,"由於人們在進入這座塔時，會一邊大喊「挑戰！」，因而有了挑戰之塔這個名稱。"
CONVERSATION_TU_301,"而塔中保管的蘊含強大能量的神器也就此為人所知，"
CONVERSATION_TU_302,"關於神器的傳聞也在剎時間傳開，"
CONVERSATION_TU_303,"許多人為了挖掘神器進入了挑戰之塔。"
CONVERSATION_TU_304,"然而，"
CONVERSATION_TU_305,"那些神器其實都被下了詛咒，"
CONVERSATION_TU_306,"一種能使生物慾望增強的詛咒！"
CONVERSATION_TU_307,"為了能取得更多的神器，人們在塔內互相爭奪，"
CONVERSATION_TU_308,"所有人都喊著「我的寶貝！」，場面十分的混亂，"
CONVERSATION_TU_309,"在這場爭奪之下，曾被視為目標的神器也全數被摧毀殆盡，"
CONVERSATION_TU_310,"然而那些喪心病狂的人至今仍未踏出那座塔。"
CONVERSATION_TU_311,"這座塔真是太可怕了。"
CONVERSATION_TU_312,"所以我們皇室最後決定要接管這座塔，"
CONVERSATION_TU_313,"我們把門關上，不讓任何人進入，"
