KEY,"English"
CONVERSATION_TU_256,"I've come to quit being a squire. What procedures do we have to follow?"
CONVERSATION_TU_257,"I'm sorry, but all personnel matters related to the squire class have been suspended."
CONVERSATION_TU_258,"Excuse me? Then what about all the squires that were left behind?"
CONVERSATION_TU_259,"We will regroup once the situation stabilizes."
CONVERSATION_TU_260,"Current conditions? What in the world is happening?"
CONVERSATION_TU_261,"We found a vault in the basement of the royal palace."
CONVERSATION_TU_262,"It holds many treasures, but all the monsters are causing an issue."
CONVERSATION_TU_263,"The Royal Palace ordered all work in the royal palace to be stopped,"
CONVERSATION_TU_264,"and asked us to put all our efforts toward taking care of the monsters down below."
CONVERSATION_TU_265,"If you kill the monsters, you can receive a reward from the Palace."
CONVERSATION_TU_266,"We encourage you to participate."
CONVERSATION_TU_267,"Let's see. How many more days do I have left till the end of my service?"
CONVERSATION_TU_268,"Seven years till I leave..!! Wahoo!!"
CONVERSATION_TU_269,"The first year felt like forever…"
CONVERSATION_TU_270,"It's already been 13 years now. I can't believe it!"
CONVERSATION_TU_271,"An ancient tower? How interesting!"
CONVERSATION_TU_272,"Wow, humans! You're humans, right?"
CONVERSATION_TU_273,"I never thought I could see one in my whole life!!"
CONVERSATION_TU_274,"Please stop rubbernecking us."
CONVERSATION_TU_275,"My bad! Please, excuse me."
CONVERSATION_TU_276,"It's just been so boring, sitting around alone for the past 13 years…"
CONVERSATION_TU_277,"Even my friends and family never came by to chat."
CONVERSATION_TU_278,"I was too excited to meet actual, speaking people!"
CONVERSATION_TU_279,"Have you been doing well, Dosarta?"
CONVERSATION_TU_280,"Sister!? I can't believe I get to meet you alongside humans!"
CONVERSATION_TU_281,"It's like I've received a day off!"
CONVERSATION_TU_282,"Sister...?"
CONVERSATION_TU_283,"Are you a princess of the elves, too?"
CONVERSATION_TU_284,"Yes. As members of the Elven Royal Family, we guard the Tower of Challenges in shifts, taking turns every 20 years."
CONVERSATION_TU_285,"Wow. Twenty years. That's like forever."
CONVERSATION_TU_286,"So…that'd be 2 years for humans."
CONVERSATION_TU_287,"Dosarta, I'd like to introduce you to the Hero of the Holy Sword."
CONVERSATION_TU_288,"Are you serious?! You used to love the stories about the holy sword as a child!"
CONVERSATION_TU_289,"Wait… then that means…"
CONVERSATION_TU_290,"Yes. It's time to open the Tower of Challenge."
CONVERSATION_TU_291,"Then, these guys will keep visiting this place!"
CONVERSATION_TU_292,"I won't be bored anymore!!"
CONVERSATION_TU_293,"We are probably the luckiest elves alive!"
CONVERSATION_TU_294,"You got to meet the Hero of the Holy Sword that you used to dream of, and I won't be bored anymore at work!!"
CONVERSATION_TU_295,"I guess so."
CONVERSATION_TU_296,"Would you explain the Tower of Challenge to the Hero?"
CONVERSATION_TU_297,"Okay, I'll start."
CONVERSATION_TU_298,"The Tower of Challenge was built before history was even recorded."
CONVERSATION_TU_299,"We don't know which race discovered the tower first."
CONVERSATION_TU_300,"But we do know that the tower came to be called the Tower of Challenge due to the endless number of challengers to reach the top."
CONVERSATION_TU_301,"These challengers discovered powerful artifacts that were sealed within the tower."
CONVERSATION_TU_302,"The news spread quickly,"
CONVERSATION_TU_303,"and many more entered the Tower of Challenge to discover other artifacts."
CONVERSATION_TU_304,"However,"
CONVERSATION_TU_305,"the artifacts were cursed…"
CONVERSATION_TU_306,"by a curse that amplified the desires of any creature that touched them!"
CONVERSATION_TU_307,"In the Tower, rumbles broke out among those who wanted to possess more artifacts."
CONVERSATION_TU_308,"They say it was true mayhem, with some running around shrieking, 'My precious'!"
CONVERSATION_TU_309,"Eventually, all of the artifacts were destroyed,"
CONVERSATION_TU_310,"and those who lost their minds over the artifacts never left the Tower."
CONVERSATION_TU_311,"Scary."
CONVERSATION_TU_312,"My Family finally decided to restrict access to the Tower of Challenge."
CONVERSATION_TU_313,"We locked the gates and no one was permitted to enter afterwards."
CONVERSATION_TU_314,"Members of the Royal Family guarded the Tower of Challenge in rotation."
CONVERSATION_TU_315,"When the demons invaded a century ago,"
CONVERSATION_TU_316,"King Kyle of Orvelia came to the Tower of Challenge,"
CONVERSATION_TU_317,"requesting access because he needed strong powers to defeat the demons."
CONVERSATION_TU_318,"He took back the pieces of artifacts from the insane who were still calling for their 'precious',"
CONVERSATION_TU_319,"and put the pieces back together."
CONVERSATION_TU_320,"Wasn't Kyle cursed by touching the artifact?"
CONVERSATION_TU_321,"Upon putting together the artifacts, an analysis took place,"
CONVERSATION_TU_322,"and it revealed that when the artifacts had been destroyed, the curse too had disappeared."
CONVERSATION_TU_323,"And the curse will not return, even if those artifacts become whole?"
CONVERSATION_TU_324,"The analysis implied that the curse only worked while the artifact was inside the Tower of Challenge."
CONVERSATION_TU_325,"While it is believed that no artifacts remain whole as of now, we cannot be sure."
CONVERSATION_TU_326,"Since those undying cursed ones are still too dangerous,"
CONVERSATION_TU_327,"we have locked the gate of the Tower and watched over it."
CONVERSATION_TU_328,"But now, things are different. The holy sword showed up, which is a signal that the world is in danger."
CONVERSATION_TU_329,"Therefore, we are opening the gate today, allowing you to challenge the Tower."
CONVERSATION_CHPT01,"Chapter 1. The Beginning of the Journey"
CONVERSATION_1,"Common calendar year 700, Orvelia Kingdom, King's Plains"
CONVERSATION_SILENCE,"……."
CONVERSATION_SURPRISE,"!!!"
CONVERSATION_FLINCH,"…!"
CONVERSATION_INTRO_51,"About a century ago, a wizard opened the Demon's Gate"
CONVERSATION_INTRO_52,"and allowed demons to invade the entire continent."
CONVERSATION_INTRO_53,"The Dark Lord Angmund"
CONVERSATION_INTRO_54,"proclaimed himself King of the World"
CONVERSATION_INTRO_55,"and left the world covered in blood, tears, and screams."
CONVERSATION_INTRO_56,"But the righteous marched forth towards the Dark Lord's fortress,\n\nwading through pain and despair."
CONVERSATION_INTRO_57,"These heroes were King Kyle of Orvelia,\n\nthe last kingdom of humans, and his brave companions."
CONVERSATION_INTRO_58,"A fierce battle raged in front of Angmund's fortress."
CONVERSATION_INTRO_59,"While his companions they desperately fought off the Dark Forces,"
CONVERSATION_INTRO_60,"Kyle walked into the Dark Lord's castle alone"
CONVERSATION_INTRO_61,"and stabbed Angmund's heart with the Holy Sword Aea."
CONVERSATION_INTRO_62,"Only the Holy Sword remained."
CONVERSATION_INTRO_63,"There was no trace of Kyle or Angmund."
CONVERSATION_INTRO_64,"Without their lord, the demons quickly weakened,"
CONVERSATION_INTRO_65,"and the war ended in victory\n\nfor the people of the land."
CONVERSATION_INTRO_66,"By the time peace was restored to the continent\n\nand the wounds of the old war had started to fade,"
CONVERSATION_INTRO_67,"an unknown darkness creeped around the Holy Sword Aea."
CONVERSATION_INTRO_68,"The heroes who fought alongside Kyle,"
