KEY,French
CONVERSATION_TU_256_1,Halte ! Vous vous approchez d'une zone interdite.
CONVERSATION_TU_256_2,Il est strictement interdit au public de passer par ici !
CONVERSATION_TU_256_3,Je m'appelle Kasel et je suis un apprenti-chevalier.
CONVERSATION_TU_256,Que se passe-t-il ? L'ambiance semble différente aujourd'hui.
CONVERSATION_TU_257,Tu n'as sûrement pas encore entendu la nouvelle. Une Crypte Antique a été découverte dans la cave du Palais Royal.
CONVERSATION_TU_257_1,Cette Crypte semble avoir appartenu à une Famille Royale Antique. Nous avons donc envoyé une équipe d'enquête.
CONVERSATION_TU_257_2,Mais des monstres ont surgi de nulle part et nous posent problème.
CONVERSATION_TU_258,Des monstres dans le Palais Royal... ? 
CONVERSATION_TU_259,"À l'exception des apprentis, la majorité des chevaliers ont été envoyés pour tuer les monstres."
CONVERSATION_TU_260,Toutes les affaires traitant des chevaliers sont alors suspendues jusqu'à nouvel ordre.
CONVERSATION_TU_261,"Kasel, nous ferions mieux de partir."
CONVERSATION_TU_262,Je ne pense pas que ce soit le meilleur moment pour régler notre problème.
CONVERSATION_TU_263,Hmm...
CONVERSATION_TU_264,"Il est vrai que je suis encore un apprenti-chevalier, mais en tant que membre de l'Ordre de la Chevalerie, je souhaite vous offrir mon aide."
CONVERSATION_TU_265,Que puis-je faire ?
CONVERSATION_TU_266,"Nous sommes, en effet, à la recherche de braves soldats pour anéantir les monstres."
CONVERSATION_TU_266_1,"Avec plus d'apprentis-chevaliers comme toi, l'Ordre de la Chevalerie pourra se remettre au travail plus rapidement. "
CONVERSATION_TU_266_2,"Si tu réussis à éradiquer les monstres, tu pourras recevoir une récompense du Palais."
CONVERSATION_TU_266_3,Je t'encourage donc à participer.
CONVERSATION_TU_267,"Voyons, quand est-ce que je pourrai enfin quitter cet endroit... ? Oh ! Il ne me reste plus que 7 ans ! "
CONVERSATION_TU_268,Oooh ! Il y a une ancienne tout ici ? C'est inattendu.
CONVERSATION_TU_269,"Wow ! Des humains ?! Vous êtes bien des humains, n'est-ce pas ? "
CONVERSATION_TU_270,Je n'aurais jamais cru en voir un de mon vivant...
CONVERSATION_TU_271,"Ça fait longtemps, Dosarta."
CONVERSATION_TU_272,"Oh, grande sœur ! Je suis vraiment ravie que vous soyez venue me voir."
CONVERSATION_TU_273,Mais qui sont ces personnes... ? 
CONVERSATION_TU_274,"Ah, je voudrais te présenter le Héros de l'Épée-Sacrée et ses compagnons."
CONVERSATION_TU_275,"Le Héros... de l'Épée-Sacrée ? Vous en êtes certaine, Selene ? "
CONVERSATION_TU_276,"Wow ! Je n'y crois pas, c'est incroyable de pouvoir rencontrer un grand homme comme vous, ici ! "
CONVERSATION_TU_277,Ahahaha... Vous en faites de trop. Je ne suis pas digne d'un tel compliment.
CONVERSATION_TU_278,"Par ailleurs... Vous avez appelez la princesse Selene, grande sœur. Alors, êtes-vous aussi... ? "
CONVERSATION_TU_279,"Oui, Dosarta est ma petite sœur."
CONVERSATION_TU_280,La Tour des Défis est un territoire surveillé exceptionnellement par la famille royale des elfes.
CONVERSATION_TU_281,Les enfants de la famille royale se relaient tous les 20 ans pour surveiller la Tour.
CONVERSATION_TU_282,20 ans... ? 
CONVERSATION_TU_283,"Il n'y a rien de surprenant. 20 ans chez les elfes, c'est comme 2 ans pour les humains."
