KEY,German
CONVERSATION_TU_256_1,Halt! Ab hier ist Sperrgebiet.
CONVERSATION_TU_256_2,Hier kommt man nur mit Eintrittsbefugnis rein!
CONVERSATION_TU_256_3,"Ich bin Kasel, ein Knappe."
CONVERSATION_TU_256,Es ist unruhig hier ... was ist passiert?
CONVERSATION_TU_257,Hast du noch nicht gehört? Wir haben eine alte Schatzkammer im Keller gefunden.
CONVERSATION_TU_257_1,"Die alte Schatzkammer scheint Teil des antiken Königreichs zu sein. Wir haben zwar so schnell wie moeglich eine Expeditionstruppe zusammengestellt,"
CONVERSATION_TU_257_2,aber die Monster verhindern einen schnellen Vorzug.
CONVERSATION_TU_258,Monster im Keller des Schloßes?
CONVERSATION_TU_259,"Daher wurden fast alle Ritter, ausser die, die sich noch in der Ausbildung befinden, zum Kampf mit den Monstern geschickt."
CONVERSATION_TU_260,"Alle anderen Aufgaben der Ritter sind bis auf Weiteres eingestellt, bis sich die Situation beruhigt hat."
CONVERSATION_TU_261,"Kasel, sollten wir nicht besser zurückgehen?"
CONVERSATION_TU_262,In solchen Situationen scheint es schwierig die Pflichten eines Ritters zu erfüllen.
CONVERSATION_TU_263,Hmm ...
CONVERSATION_TU_264,"Ich möchte helfen, obwohl ich erst ein Knappe bin."
CONVERSATION_TU_265,"Gibt es etwas, bei dem ich helfen kann?"
CONVERSATION_TU_266,"Wir suchen nach Leuten, die die Monster bekämpfen können."
CONVERSATION_TU_266_1,"Je mehr Freiwillige sich melden, desto schneller können die Ritter zu ihren eigentlichen Pflichten zurückkehren."
CONVERSATION_TU_266_2,Für die Bekämpfung der Monster gibt es natürlich eine angemessene Belohnung.
CONVERSATION_TU_266_3,Du solltest diese Gelegenheit nutzen.
CONVERSATION_TU_267,"Mal sehen, wann ich abgelöst werde ... Wow, nur noch 7 Jahre!! Juhuu!"
CONVERSATION_TU_268,"Oh, so ein alter Turm an so einem Ort. Das ist unerwartet."
CONVERSATION_TU_269,"Wow! Menschen?! Ihr seid Menschen, oder?"
CONVERSATION_TU_270,"Ich kenne Menschen nur aus Geschichten, aber dass ich mal auf einen stoßen würde ..."
CONVERSATION_TU_271,"Lange nicht gesehen, Dosarta."
