KEY,Japanese
CONVERSATION_TU_256_1,止まれ！ここから先は制限区域だ。
CONVERSATION_TU_256_2,関係者でない者は、何人たりとも通せんぞ！
CONVERSATION_TU_256_3,俺は見習い騎士のカーセルと言います。
CONVERSATION_TU_256,なんだか慌ただしいですけど...何かあったんですか？
CONVERSATION_TU_257,まだ何も聞いていないようだな。王城の地下から、古い宝物庫が見つかったのだ。
CONVERSATION_TU_257_1,古き王家のものと思われ、すぐに調査団を送ったが
CONVERSATION_TU_257_2,突然モンスターどもが出没し、調査は難航しているようだ。
CONVERSATION_TU_258,そんな、どうして王城にモンスターが...
CONVERSATION_TU_259,現在、見習い団員を除くほとんどの騎士団がモンスターの鎮圧に向かっている。
CONVERSATION_TU_260,事態が収まるまでは、騎士団に関わる業務はすべて中断しているところだ。
CONVERSATION_TU_261,カーセル、もう戻ったほうがいいんじゃないかしら？
CONVERSATION_TU_262,今の状況じゃ、騎士団の用事をこなすのは無理かもしれないわ。
CONVERSATION_TU_263,うーん...
CONVERSATION_TU_264,俺はまだ見習いですけど、1人の騎士として力になりたいんです。
CONVERSATION_TU_265,俺にできることはありませんか？
CONVERSATION_TU_266,ちょうど今、モンスター討伐のために腕利きを集めているところだ。
CONVERSATION_TU_266_1,志願者が多いほど、騎士団も早めに本来の役割を取り戻すことができるだろう。
CONVERSATION_TU_266_2,モンスターを退治した者は、陛下から相応の報酬をいただけるぞ。
CONVERSATION_TU_266_3,機会があれば、君にも参加してほしい。
CONVERSATION_TU_267,えーっと、交替の日までは…わぁ～っ！あと、たったの7年ね！
CONVERSATION_TU_268,へぇ～こんなところに、古代の塔？意外ね。
CONVERSATION_TU_269,うわっ！人間！？人間ですよね？
CONVERSATION_TU_270,話でしか聞いたことのない人間に、こんなところで出会えるなんて…
CONVERSATION_TU_271,久しぶりね、ドザルタ。
CONVERSATION_TU_272,姉様！来てくださってうれしいです！
CONVERSATION_TU_273,それより、横にいる方々は…？
CONVERSATION_TU_274,紹介するわ。この人たちは、聖剣の戦士とその仲間の方々よ。
CONVERSATION_TU_275,聖剣の…戦士？姉様、それ本当ですか！？
CONVERSATION_TU_276,わぁ～！まさかここでそんなスゴイ方とお会いできるなんて！
CONVERSATION_TU_277,ははは…ほめすぎですよ。俺は別に、すごい人ではありませんから。
CONVERSATION_TU_278,それより…いま、セレネ姫のことを「姉様」とおっしゃいましたけど、もしかしてドザルタ様も…？
CONVERSATION_TU_279,はい、ドザルタは私の実の妹です。
CONVERSATION_TU_280,ここ挑戦の塔は、私たちエルフ王家が直々に管理している領域。
CONVERSATION_TU_281,20年ごとに交替で、王家の者たちがその役割を担っているんです。
CONVERSATION_TU_282,に、20年だって…？
CONVERSATION_TU_283,別に普通のことよ。エルフにとって20年なんて、人間の基準ではたったの2年くらいだもの。
CONVERSATION_TU_284,ところで姉様、聖剣の戦士様がここに来たということは…
CONVERSATION_TU_285,そう。 挑戦の塔を開ける時が来たのよ。
CONVERSATION_TU_286,わぁ！つまり、これからもこの方たちに会えるってことですよね！これでもう、退屈な日々とはお別れだわ！
CONVERSATION_TU_287,なぁ、2人とも。話しているところすまないが、ここについて説明してくれないか？
CONVERSATION_TU_288,エリドラの森にこんな高い塔があるなんて、初めて聞いたからな。
CONVERSATION_TU_289,もともとこの塔は、歴史が記録されるよりも前…つまり、太古の昔から存在しているのです。
CONVERSATION_TU_290,私たちエルフ王家でも長い間塔について調べてきましたが、
CONVERSATION_TU_291,いつ、何のために建てられたのかは、未だに明かされていません。
CONVERSATION_TU_292,でも塔を調査しているとき、古代遺物の残骸を発見したことで、
CONVERSATION_TU_293,その欠片を集めて1つの完全な物を復元することに成功したんです。
CONVERSATION_TU_294,そしてその遺物には、特別で強力な力が備わっていることも分かったんですよ。
CONVERSATION_TU_295,特別で…強力な？
CONVERSATION_TU_296,ちょうど聖剣の戦士様もいらっしゃいますし、それに関する逸話をお話ししますね。
CONVERSATION_TU_297,100年前、オルベルリアの王カイルは魔族に対敵する力を望みました。
CONVERSATION_TU_298,そんな中、この塔のことを知った彼は1人で塔を登り始めたんです。
CONVERSATION_TU_299,でも、塔の中には各階ごとに手強いモンスターが棲み着いています。
CONVERSATION_TU_300,調べによると、別の次元のエネルギーが感じられる存在だそうですけど、
CONVERSATION_TU_301,遺物の欠片を手に入れるためにはそれらを倒す必要があったんです。
CONVERSATION_TU_302,別の次元のエネルギー…？ってことはそのモンスター、異界の存在ってこと？
CONVERSATION_TU_303,詳しいことは私たちにも分からないんです。塔を研究した学者たちの推論に過ぎませんからね。
CONVERSATION_TU_304,とにかく、カイル王は散らばった遺物の欠片をすべて集めるのに成功し、
