KEY,Korean
CONVERSATION_TU_256_1,멈춰라! 여기서부터는 제한 구역이다.
CONVERSATION_TU_256_2,관계자 외에는 아무도 들일 수 없다!
CONVERSATION_TU_256_3,저는 수습 기사인 카셀이라고 합니다.
CONVERSATION_TU_256,분위기가 많이 어수선한 것 같은데... 대체 무슨 일인가요?
CONVERSATION_TU_257,아직 소식을 듣지 못한 모양이군. 지하에서 오래된 금고가 발견되었다.
CONVERSATION_TU_257_1,"고대 왕실의 것으로 추정되어 신속히 조사단을 꾸렸지만,"
CONVERSATION_TU_257_2,갑작스러운 몬스터들의 출몰로 인해 난항을 겪고 있다.
CONVERSATION_TU_258,"다른 곳도 아니고, 왕실에서 몬스터라니..."
CONVERSATION_TU_259,현재 수습 단원을 제외한 대부분의 기사단이 몬스터 진압에 투입되었다.
CONVERSATION_TU_260,상황이 진정될 때까지 기사단 관련 업무는 일체 중지될 것이다.
CONVERSATION_TU_261,"카셀, 이만 돌아가는 게 좋지 않을까?"
CONVERSATION_TU_262,이런 상황에서 기사단 용무를 보기는 어려울 것 같은데.
CONVERSATION_TU_263,흠...
CONVERSATION_TU_264,"비록 수습이지만, 저도 한 명의 기사로서 보탬이 되고 싶습니다."
CONVERSATION_TU_265,제가 도울 일은 없을까요?
CONVERSATION_TU_266,그렇지 않아도 몬스터 토벌을 위한 실력자들을 모집하고 있다.
CONVERSATION_TU_266_1,지원자가 많을수록 기사단이 본래의 자리로 돌아갈 시기도 빨라질 터.
CONVERSATION_TU_266_2,"마침 몬스터를 처치하면 폐하께서 적절한 보상을 내린다고 하셨으니,"
CONVERSATION_TU_266_3,기회가 되면 그대도 참여하길 바란다.
CONVERSATION_TU_267,"어디 보자, 교대 날짜가... 오~ 앞으로 7년밖에 안 남았다!"
CONVERSATION_TU_268,"오~ 이런 곳에 오래된 탑이라니, 좀 의외네."
CONVERSATION_TU_269,우왓! 인간!? 당신들 인간 맞죠?
CONVERSATION_TU_270,이야기로만 듣던 인간들을 이런 곳에서 만나게 되다니...
CONVERSATION_TU_271,"오랜만이구나, 도자르타."
CONVERSATION_TU_272,"어머, 언니! 이렇게 와주셔서 정말 기뻐요."
CONVERSATION_TU_273,그보다 옆에 계신 분들은...?
CONVERSATION_TU_274,"아, 인사해. 여기 이분들은 성검의 용사님과 그 일행분들이셔."
CONVERSATION_TU_275,"성검의... 용사? 언니, 그게 정말인가요?"
CONVERSATION_TU_276,와아! 설마 이곳에서 그런 대단한 분과 만나게 될 줄이야!
