KEY,"Korean"
CONVERSATION_TU_256,"기사단 퇴단 수속을 밟으러 왔습니다."
CONVERSATION_TU_257,"현재 수습 기사 관련 인사 업무는 중지된 상태라네."
CONVERSATION_TU_258,"네? 그럼 수습 기사들은 어떻게 되는 건가요?"
CONVERSATION_TU_259,"현 상황이 안정되면 인원을 다시 정비할 예정이다."
CONVERSATION_TU_260,"현 상황? 무슨 일을 말씀하시는 겁니까."
CONVERSATION_TU_261,"왕실 지하에 숨겨진 금고가 발견되었다네."
CONVERSATION_TU_262,"많은 재화가 있지만 몬스터들 때문에 접근이 어려운 상황이지."
CONVERSATION_TU_263,"때문에 국왕 폐하께서 왕실의 모든 업무를 중지하고"
CONVERSATION_TU_264,"이 일에 최선을 다하라 명하셨다."
CONVERSATION_TU_265,"몬스터를 처치하면 왕실로부터 하사금도 받을 수 있으니"
CONVERSATION_TU_266,"자네도 원한다면 참여하게나."
CONVERSATION_TU_267,"어디 보자… 여기서 나갈 날까지 얼마나 남았더라…"
CONVERSATION_TU_268,"우와! 이제 정확히 7년만 있으면 교대할 수 있겠구나~!"
CONVERSATION_TU_269,"아아… 정말 여기 처음 왔을 때는 앞날이 깜깜했는데…"
CONVERSATION_TU_270,"그게 벌써 13년 전이라니."
CONVERSATION_TU_271,"호오~ 이런 곳에 오래된 탑이라니."
CONVERSATION_TU_272,"우왓! 인간!? 당신들 인간 맞죠?"
CONVERSATION_TU_273,"와~!! 살다보니 이런 진귀한 구경을 다 해보네."
CONVERSATION_TU_274,"대놓고 구경거리 취급이라니."
CONVERSATION_TU_275,"아앗! 시… 실례했습니다."
CONVERSATION_TU_276,"제가 여기에 혼자 13년을 있다보니 너무 심심하고…"
CONVERSATION_TU_277,"또 가족들과 친구들도 너무 그립고……."
CONVERSATION_TU_278,"그렇게 우울하던 차에 말하는 존재들을 만나니 너무 반가워서 그만……."
CONVERSATION_TU_279,"수고가 많구나, 도자르타."
CONVERSATION_TU_280,"아앗! 언니!? 이야~ 인간도 보고 언니도 만나다니."
CONVERSATION_TU_281,"왠지 휴가 받은 기분이야."
CONVERSATION_TU_282,"언니라면…"
CONVERSATION_TU_283,"당신도 엘프의 공주이신가요?"
CONVERSATION_TU_284,"그렇습니다. 엘프 왕가의 자제들은 20년씩 돌아가면서 이 도전의 탑을 지키죠."
CONVERSATION_TU_285,"헉, 20년 씩이나……."
CONVERSATION_TU_286,"인간 나이로 치자면 2년 정도 되겠네."
CONVERSATION_TU_287,"인사해, 도자르타. 여기 이 분이 바로 성검의 용사님이셔."
CONVERSATION_TU_288,"정말? 성공했네, 언니. 어릴 적부터 성검 이야기를 그렇게 좋아하더니."
CONVERSATION_TU_289,"잠깐, 그렇다면…"
CONVERSATION_TU_290,"그래, 이제 도전의 탑 문을 열 때가 되었다는 거지."
CONVERSATION_TU_291,"그러면… 이 분들이 계속해서 여기에 방문하겠네?"
CONVERSATION_TU_292,"이제 심심하지 않겠다."
CONVERSATION_TU_293,"형제, 자매들 중에 우리가 제일 행운아일 거야."
CONVERSATION_TU_294,"언니는 동경하던 성검의 용사를 만나고, 나는 근무기간 동안 심심하지 않고~."
CONVERSATION_TU_295,"그러네."
CONVERSATION_TU_296,"그럼 용사님께 도전의 탑에 대해 설명을 드리렴."
CONVERSATION_TU_297,"네, 그럼 시작하겠습니다."
CONVERSATION_TU_298,"도전의 탑은 역사가 쓰여지기 이전. 아주 고대부터 존재한 탑입니다."
CONVERSATION_TU_299,"탑을 처음 발견한 이가 어느 종족인지 밝혀지진 않았지만"
CONVERSATION_TU_300,"탑에 들어가면서 '도전!'이라 외쳤다 하여 도전의 탑이라 불리게 되었습니다."
CONVERSATION_TU_301,"그리고 이 탑에 보관된, 강력한 힘을 뿜는 유물들을 발견하게 되었죠."
CONVERSATION_TU_302,"소문은 삽시간에 퍼졌고 많은 이들이 그 유물을 발굴하기 위해"
CONVERSATION_TU_303,"도전의 탑에 들어갔습니다."
CONVERSATION_TU_304,"그런데!!"
CONVERSATION_TU_305,"그 유물들에는 저주가 걸려있던 것이었습니다."
CONVERSATION_TU_306,"생명체의 욕심을 증폭시키는 저주가!"
CONVERSATION_TU_307,"탑 안에서 서로 더 많은 유물을 차지하기 위한 싸움이 일어났습니다."
CONVERSATION_TU_308,"모두가 마이 프레셔스!라고 외치면서 난장판도 그런 난장판이 없었다 합니다."
CONVERSATION_TU_309,"그렇게 싸우다 보니 그들의 목표였던 유물들도 전부 부서졌지만"
CONVERSATION_TU_310,"아예 정신이 나간 이들은 탑에서 나오지를 않았습니다."
CONVERSATION_TU_311,"이 탑 뭐야, 무서워."
CONVERSATION_TU_312,"우리 왕실은 결국 도전의 탑을 통제하기로 결정했습니다."
CONVERSATION_TU_313,"문을 걸어잠그고 아무도 못들어가게 했죠."
CONVERSATION_TU_314,"그렇게 오랜 시간 동안 우리 왕실의 자제들은 돌아가며 도전의 탑을 지켰습니다."
CONVERSATION_TU_315,"그러다 100년 전, 마족들이 쳐들어왔을 때"
CONVERSATION_TU_316,"오르벨리아의 왕 카일이 마족을 상대하려면 강력한 힘이 필요하다며"
CONVERSATION_TU_317,"도전의 탑에 들어가"
CONVERSATION_TU_318,"마이 프레셔스!라고 아직도 외치고 있는 정신 나간 이들로부터"
CONVERSATION_TU_319,"유물 조각을 가지고 나와 복원을 했죠."
CONVERSATION_TU_320,"카일 왕께서는 저주에 걸리지 않았나 보군요."
CONVERSATION_TU_321,"카일 왕이 가져온 유물 조각 중 복원할 수 없는 것들로 연구를 진행한 결과,"
CONVERSATION_TU_322,"유물이 깨졌기 때문에 더 이상의 저주는 없다는 결론을 내렸습니다."
CONVERSATION_TU_323,"유물을 복원해도 저주는 발현되지 않나 보네요."
CONVERSATION_TU_324,"그렇다기 보다 온전한 유물이 탑 안에 있을 때 그 저주가 발현되는 것이었습니다."
CONVERSATION_TU_325,"이제는 온전한 유물이 없는 것 같지만 정확히 파악된 건 아닌데다"
CONVERSATION_TU_326,"마이 프레셔스!의 저주에 걸려 죽지도 않는 자들이 너무 위험하기 때문에"
CONVERSATION_TU_327,"탑의 문을 닫고 우리가 지키고 있는 것이죠."
CONVERSATION_TU_328,"하지만 세계가 위험하다는 증명인 성검이 나타난 이상"
CONVERSATION_TU_329,"이제 탑의 문을 열고 용사 일행의 도전을 시작해야 하는 것입니다."
