KEY,Russian
CONVERSATION_TU_256_1,Стоять! Вы попали в зону ограничения!
CONVERSATION_TU_256_2,Посторонним вход воспрещён!
CONVERSATION_TU_256_3,Я оруженосец! Меня зовут Кассель.
CONVERSATION_TU_256,Здесь ощущается какая-то странная атмосфера... Что-то произошло?
CONVERSATION_TU_257,"Видимо, до вас ещё слухи не дошли. В подвале был обнаружен тайник."
CONVERSATION_TU_257_1,"Мы определили, что он был построен во времена древних королей. И для исследования тайника была создана следственная группа, "
CONVERSATION_TU_257_2,"однако монстры тут же захватили его, поэтому пробраться туда стало сложнее."
CONVERSATION_TU_258,"Надо же, монстры в Королевстве..."
CONVERSATION_TU_259,"На данный момент были мобилизованы все рыцари, кроме оруженосцев."
CONVERSATION_TU_260,До стабилизации ситуации рыцарская служба на местах была временно приостановлена.
CONVERSATION_TU_261,"Кассель, может нам лучше отсюда уйти?"
CONVERSATION_TU_262,"В такой ситуации, кажись, сложно будет увидеться с рыцарями."
CONVERSATION_TU_263,Хм...
CONVERSATION_TU_264,"Хоть я всего лишь и оруженосец, как часть Рыцарского Ордена, я тоже хотел бы присоединиться."
CONVERSATION_TU_265,"Может, я смогу чем-нибудь помочь?"
CONVERSATION_TU_266,"У нас, как раз, ведётся набор добровольцев, кто сможет бороться с монстрами."
CONVERSATION_TU_266_1,"Чем больше придёт добровольцев, тем быстрее рыцари смогут вернуться на свою службу."
CONVERSATION_TU_266_2,"К тому же, если Вы сможете победить монстров, Вам будет вручено вознаграждение от Короля."
CONVERSATION_TU_266_3,Поэтому я надеюсь на Ваше участие.
CONVERSATION_TU_267,И та-а-ак... Сколько мне тут осталось коротать?!\nО! Всего каких-то 7 лет!
CONVERSATION_TU_268,"Ого! Старинная башня в таком-то месте, неожиданно."
CONVERSATION_TU_269,"Ух-ты! Люди! Вы же люди, да?"
CONVERSATION_TU_270,"Кто бы мог поверить, что я встречу людей в таком месте..."
CONVERSATION_TU_271,"Дозарта, давно не виделись."
CONVERSATION_TU_272,"Ой! Сестра! Я так рада, что Вы пришли меня навестить."
CONVERSATION_TU_273,А кто эти люди рядом?..
CONVERSATION_TU_274,"Ах да, поздоровайся. Это Избранный Священным мечом и его союзники."
CONVERSATION_TU_275,"Избранный... Священным мечом? Сестра, это вправду он?"
CONVERSATION_TU_276,"Ух ты! Не подумала бы, что встречу здесь такого великого человека!"
CONVERSATION_TU_277,Ха-ха... Вы преувеличиваете. Я совсем не великий.
CONVERSATION_TU_278,"Если Вы назвали принцессу Селену сестрой, значит Вы тоже?.."
CONVERSATION_TU_279,"Да, Дозарта моя младшая сестрёнка."
CONVERSATION_TU_280,"Это место - Башня Вызова, находится под стражей королевской семьи эльфов,"
CONVERSATION_TU_281,"члены королевской семьи охраняют её, сменяя друг друга раз в 20 лет."
CONVERSATION_TU_282,"Ого, раз в 20 лет?"
CONVERSATION_TU_283,"Ничего особенного. Для эльфов 20 лет - это даже меньше, чем 2 человеческих года."
CONVERSATION_TU_284,"Погодите-ка сестра, если Избранный Священным мечом пришёл сюда..."
