KEY,Thai
CONVERSATION_TU_256_1,หยุดอยู่ตรงนั้น! จากนี้ไปเป็นเขตหวงห้าม
CONVERSATION_TU_256_2,ถ้าไม่ใช่ผู้เกี่ยวข้องห้ามเข้า!
CONVERSATION_TU_256_3,ข้าคืออัศวินผู้ฝึกหัด Kasel
CONVERSATION_TU_256,สถานการณ์ดูไม่ค่อยดีนัก ไม่ทราบว่าเกิดอะไรขึ้น
CONVERSATION_TU_257,ยังไม่รู้เรื่องสินะ ที่ใต้ดินมีการพบคุกใต้ดินเก่าแก่
CONVERSATION_TU_257_1,พบว่าเป็นของราชวงศ์โบราณเลยส่งคนออกไปสำรวจแล้ว
CONVERSATION_TU_257_2,แต่เพราะว่าพวกปีศาจปรากฏตัวขึ้นมาเลยเกิดการต่อสู้อยู่
CONVERSATION_TU_258,พวกปีศาจที่ท้องพระคลังหรือนี่...
CONVERSATION_TU_259,ตอนนี้พวกกลุ่มอัศวินยกเว้นผู้ฝึกหัดกำลังถูกพวกปีศาจบุกรุกน่ะสิ
CONVERSATION_TU_260,จนกว่าสถานการณ์จะกลับมาเป็นปกติ อัศวินก็คงทำหน้าที่ของตนเองไม่ได้
CONVERSATION_TU_261,Kasel พวกเรากลับไปก่อนจะไม่ดีกว่าหรอ
CONVERSATION_TU_262,ในสถานการณ์แบบนึ้คงจะไม่ง่าย
CONVERSATION_TU_263,อืม...
CONVERSATION_TU_264,ถึงจะเป็นแค่เด็กฝึกหัด แต่ข้าเองก็อยากจะช่วยอะไรบ้างในฐานะอัศวินคนหนึ่ง
CONVERSATION_TU_265,มีอะไรที่ข้าสามารถช่วยเหลือได้บ้าง
CONVERSATION_TU_266,ตอนนี้กำลังรวบรวมพลกำลังต่อกรกับพวกปีศาจอยู่
CONVERSATION_TU_266_1,หากมีผู้สนับสนุนมากก็จะทำให้กลุ่มอัศวินของเรากลับมาไวขึ้น
CONVERSATION_TU_266_2,และได้ยินมาว่า ถ้าปราบปีศาจสำเร็จล่ะก็ จะมีการมอบรางวัลให้อย่างงาม
CONVERSATION_TU_266_3,หากมีโอกาสก็ขอเชิญเข้าร่วม
CONVERSATION_TU_267,ไหนดูซิ วันที่จะได้เปลี่ยนเวร... โอ้~ เหลืออีกแค่ 7 ปีเอง
CONVERSATION_TU_268,โอ้~ มีหอคอยอยู่ในที่แบบนี้ด้วย ไม่น่าเชื่อเลย
CONVERSATION_TU_269,โอ๊ะ! มนุษย์!! พวกท่านคือมนุษย์ใช่ไหม
CONVERSATION_TU_270,ได้เจอมนุษย์ที่เคยได้ยินจากเรื่องเล่า...
CONVERSATION_TU_271,ไม่ได้เจอกันนานเลยนะ Dosarta
CONVERSATION_TU_272,ท่านพี่! ดีใจจังเลยที่ได้เจอ
CONVERSATION_TU_273,แล้วท่านเหล่านี้คือ...?
CONVERSATION_TU_274,รู้จักกันไว้สิ ท่านนี้ก็คือผู้ที่ร่วมเดินทางกับนักรบแห่งดาบศักดิ์สิทธิ์ 
CONVERSATION_TU_275,นักรบ...แห่งดาบศักดิ์สิทธิ์ จริงหรอเนี่ย
CONVERSATION_TU_276,ว้าว! ไม่อยากจะเชื่อเลยว่าจะได้เจอคนที่สุดยอดแบบนี้ที่นี่!
CONVERSATION_TU_277,ฮ่าฮ่าฮ่า... ท่านชมข้าเกินไป ข้าไม่ใช่คนเจ๋งอะไรขนาดนั้นหรอก
CONVERSATION_TU_278,แล้วก็... ถ้าเรียกเจ้าหญิง Selene ว่าพี่ล่ะก็ แสดงว่าท่าน Dosarta ก็คงจะเป็น..
CONVERSATION_TU_279,ใช่ Dosarta คือน้องของข้าเอง
CONVERSATION_TU_280,ที่แห่งนี้คือหอคอยแห่งความท้าทาย ที่พวกเราเหล่าเอลฟ์มีหน้าที่ดูแล
CONVERSATION_TU_281,ทุก 20 ปีราชวงศ์เอลฟ์มีหน้าที่ผลัดกันดูแลที่แห่งนี้
CONVERSATION_TU_282,20 ปีหรอ..
CONVERSATION_TU_283,ไม่ต้องตกใจไปหรอก สำหรับเอลฟ์แล้ว 20 ปีก็แค่ประมาณ 2 ปีน่ะ
CONVERSATION_TU_284,แต่ว่าที่ท่านพี่นักรบแห่งดาบศักดิ์สิทธิ์เดินทางมาที่นี่...
CONVERSATION_TU_285,ใช่ ถึงเวลาเปิดประตูหอคอยแห่งความท้าทาย
CONVERSATION_TU_286,ถ้าอย่างนั้นก็คงจะได้เจอกันอีกบ่อยๆแน่! ต่อไปก็คงจะไม่เบื่อแล้ว
CONVERSATION_TU_287,ขออภัยท่านทั้งสองที่กำลังคุยกัน แต่ช่วยอธิบายที่แห่งนี้ให้ฟังหน่อยจะได้ไหม
CONVERSATION_TU_288,เพิ่งเคยเห็นหอคอยที่สูงขนาดนี้ในป่า Elidora เป็นครั้งแรก
CONVERSATION_TU_289,ที่นี่เป็นสถานที่ที่ตั้งก่อนการบันทึกประวัติศาสตร์ เป็นหอคอยที่มีมาแต่โบราณ
CONVERSATION_TU_290,พวกเราชาวเอลฟ์ก็มีการศึกษาเกี่ยวกับหอคอยเป็นเวลานานแล้ว
CONVERSATION_TU_291,แต่ก็ไม่อาจทราบได้ว่าหอคอยนี้สร้างมาเพื่อวัตถุประสงค์ใด
CONVERSATION_TU_292,ในขณะที่กำลังศึกษาก็ได้พบกับซากวัตถุโบราณเข้า
CONVERSATION_TU_293,เลยนำชิ้นส่วนมารวมกันได้เป็นวัตถุชิ้นหนึ่ง
CONVERSATION_TU_294,และได้ทราบว่าเป็นวัตถุโบราณที่พิเศษและเปี่ยมไปด้วยพลัง
CONVERSATION_TU_295,พิเศษและ.. เต็มไปด้วยพลังงั้นหรอ
CONVERSATION_TU_296,ท่านนักรบแห่งดาบศักดิ์สิทธิ์ก็อยู่ที่นี่ด้วย งั้นข้าจะเล่าถึงตำนานของที่นี่ให้ฟัง
CONVERSATION_TU_297,100 ปีก่อน ในตอนที่กษัตริย์ Kyle แห่ง Orvelia ต้องการพลังไปปราบพวกปีศาจ
CONVERSATION_TU_298,และได้ยินถึงเรื่องราวของที่แห่งนี้ จึงออกเดินทางมายังที่นี่
CONVERSATION_TU_299,ในหอคอยมีมอนสเตอร์ดุร้ายอยู่ในแต่ละชั้น
CONVERSATION_TU_300,และเหมือนจะเป็นพวกที่มีพลังจากมิติอื่น
CONVERSATION_TU_301,หากต้องการครอบครองชิ้นส่วนวัตถุโบราณจะต้องผ่านมันไปให้ได้
CONVERSATION_TU_302,พลังจากมิติอื่น..? เป็นสัตว์ประหลาดที่มาจากนอกโลกงั้นหรอ
CONVERSATION_TU_303,พวกเราเองก็ไม่รู้รายละเอียด นี่เป็นเพียงข้อสันนิษฐานของผู้ที่ศึกษาหอคอยเท่านั้น
CONVERSATION_TU_304,แต่กษัตริย์ Kyle ก็รวบรวมชิ้นส่วนวัตถุโบราณได้สำเร็จ
CONVERSATION_TU_305,และได้รับความช่วยเหลือจากพวกเราชาวเอลฟ์จนสามารถประกอบชิ้นส่วนวัตถุโบราณทั้งหมด
CONVERSATION_TU_306,หลังจากการต่อสู้กับพวกปีศาจในที่แห่งนี้เพียงลำพังก็ได้รับการยกย่องจากสิ่งมีชีวิตแห่ง Elidora
CONVERSATION_TU_307,เพราะความเคารพในจิตใจแห่งความท้าทายจึงเรียกที่นี่ว่า หอคอยแห่งความท้าทาย
CONVERSATION_TU_308,ความเป็นมาแบบนี้นี่เอง
CONVERSATION_TU_309,แต่ว่าปีศาจก็ยังคงมีพลังมหาศาลและไร้ความปราณี
CONVERSATION_TU_310,ในตอนนั้นผู้ที่ได้ยินเรื่องราวของกษัตริย์ Kyle ก็เดินทางมาที่แห่งนี้เพื่อประลอง
CONVERSATION_TU_311,แต่ทว่าไม่มีผู้ใดสามารถเอาชนะได้ และที่แย่ไปกว่านั้นก็มีคนที่จบชีวิตลงที่นี่
CONVERSATION_TU_312,ด้วยเหตุนั้นราชวงศ์เอลฟ์จึงต้องป้องกันไม่ให้ผู้ใดสามารถเข้าไปยังที่แห่งนี้ได้
CONVERSATION_TU_313,แต่ว่าตอนนี้ที่พวกปีศาจออกอาละวาดและการที่ดาบศักดิ์สิทธิ์ Aea ปรากฏออกมาแบบนี้
CONVERSATION_TU_314,คงเป็นนิมิตหมายที่จะเปิดประตูหอคอยให้ท่านนักรบรวบรวมวัตถุโบราณ
CONVERSATION_TU_315,และหากที่นี่ จะเป็นที่ที่ทำให้ความสามารถของท่านนักรบสูงขึ้นไปได้อีกหนึ่งระดับ ก็คงจะดี
CONVERSATION_TU_316,พระเจ้า Kyle แห่งอาณาจักร Orvelia ต้องการพลังมหาศาลในการปราบปรามพวกปีศาจ
CONVERSATION_TU_317,จึงได้เข้าไปในหอคอยแห่งความท้าทาย
CONVERSATION_TU_318,แล้วพบกับพวกเสียสติที่เอาแต่ตะโกนว่า ของล้ำค่าของข้า!
CONVERSATION_TU_319,และได้รวบรวมชิ้นส่วนวัตถุโบราณอีกครั้ง
CONVERSATION_TU_320,พระเจ้า Kyle ไม่ได้ถูกต้องคำสาปสินะ
CONVERSATION_TU_321,เมื่อได้ตรวจสอบชิ้นส่วนโบราณที่พระเจ้า Kyle นำออกมาจึงพบว่า
CONVERSATION_TU_322,เพราะวัตถุโบราณแตกออกเป็นชิ้นๆจึงทำให้ไม่ได้รับคำสาป
CONVERSATION_TU_323,ถึงจะรวบรวมวัตถุโบราณก็ไม่ทำให้ตกอยู่ในคำสาปแฮะ
CONVERSATION_TU_324,แปลว่าคำสาปจะทำงานเมื่อชิ้นส่วนสมบูรณ์อยู่ในปราสาทเท่านั้น
CONVERSATION_TU_325,ตอนนี้ยังไม่พบแน่ชัดว่ามีวัตถุโบราณสมบูรณ์หลงเหลืออยู่รึเปล่า
CONVERSATION_TU_326,แต่เพราะว่าผู้คนที่ต้องสาปของล้ำค่ายังไม่ตายและเป็นอันตรายมาก
CONVERSATION_TU_327,พวกเราจึงปิดและคอยดูหอคอยแห่งนี้
CONVERSATION_TU_328,แต่เมื่อดาบศักดิ์สิทธิ์ปรากฏ นั่นหมายถึงโลกใบนี้กำลังตกอยู่ในอันตราย
CONVERSATION_TU_329,ตอนนี้ข้าก็จะเปิดหอคอยแห่งนี้และให้คณะอัศวินเริ่มการท้าทายแล้วล่ะ
CONVERSATION_CHPT01,บทที่ 1 เริ่มเดินทาง
CONVERSATION_1,700 ปีปฏิทินสากล อาณาจักร Orvelia
CONVERSATION_SILENCE,.......
CONVERSATION_SURPRISE,!!!
CONVERSATION_FLINCH,...!
CONVERSATION_INTRO_51,100 ปีก่อน จอมเวทย์คนหนึ่งได้เปิดประตูโลกปีศาจออก
CONVERSATION_INTRO_52,ทำให้เหล่าปีศาจปรากฏตัวและเข้ารุกรานแผ่นดิน
CONVERSATION_INTRO_53,ผู้ที่ปีศาจเหล่านั้นรับใช้ก็คือ ดาร์คลอร์ด Angmund
CONVERSATION_INTRO_54,Angmund แต่งตั้งตัวเองเป็นราชาที่แท้จริงแห่งโลกใบนี้
CONVERSATION_INTRO_55,และทำให้โลกเต็มไปด้วยเลือด น้ำตาและเสียงกรีดร้อง
CONVERSATION_INTRO_56,ท่ามกลางความสิ้นหวัง ยังมีคนกลุ่มหนึ่งมุ่งหน้าไปยังป้อมปราการของดาร์คลอร์ด Angmund
CONVERSATION_INTRO_57,นั่นก็คือ Kyle ราชาแห่งอาณาจักรมนุษย์ Orvelia และทหารกล้า
CONVERSATION_INTRO_58,เบื้องหน้าป้อมปราการของ Angmund การต่อสู้อันดุเดือดดำเนินไปอย่างต่อเนื่อง
CONVERSATION_INTRO_59,นำหน้าเดินทางไปก่อนเหล่าทหารที่กำลังต่อสู้
CONVERSATION_INTRO_60,Kyle เข้าไปในป้อมปราการของดาร์คลอร์ดเพียงลำพัง
CONVERSATION_INTRO_61,และสามารถแทงดาบศักดิ์สิทธิ์ Aea ทะลุหัวใจของดาร์คลอร์ดได้
CONVERSATION_INTRO_62,แต่ว่า ที่นั่นก็หลงเหลือไว้เพียงดาบศักดิ์สิทธิ์เท่านั้น
CONVERSATION_INTRO_63,ไม่พบร่องรอยของ Kyle และ Angmund 
CONVERSATION_INTRO_64,พลังของเหล่าปีศาจที่สูญเสียผู้นำอ่อนแอลงอย่างรวดเร็ว
CONVERSATION_INTRO_65,และสงครามก็จบลงด้วยชัยชนะของเหล่าผู้ที่เป็นเจ้าของแผ่นดินนี้แต่แรก
CONVERSATION_INTRO_66,เวลาผ่านไป ในขณะที่บาดแผลจากสงครามกำลังจางหาย
CONVERSATION_INTRO_67,ความมืดก็เริ่มคืบคลานใกล้ดาบศักดิ์สิทธิ์ Aea
CONVERSATION_INTRO_68,เหล่าวีรบุรุษที่ต่อสู้ร่วมกับ Kyle
CONVERSATION_INTRO_69,ได้ผนึกดาบศักดิ์สิทธิ์ Aea ไว้ที่ต้นไม้กำเนิดโลกซึ่งมีพลังปกป้องของ Lua เทพีแห่งแสงอวยพร
CONVERSATION_INTRO_70,และหวังว่าจะสามารถปกป้องดาบจากความมืดได้ตลอดกาล
CONVERSATION_INTRO_71,ณ ตอนนี้ผ่านไป 100 ปีหลังจากประตูโลกปีศาจถูกเปิดออก
CONVERSATION_INTRO_72,ที่อาณาจักร Orvelia ไม่พบร่องรอยสงครามแล้ว
CONVERSATION_INTRO_73,พวกเขาเชื่อว่าจะอยู่อย่างสงบสุขไปตลอดกาล
CONVERSATION_INTRO_74,แต่ม่านหมอกแห่งความมืดก็ปกคลุมต้นไม้กำเนิดโลกอีกครั้ง
CONVERSATION_INTRO_75,Iris หัวหน้านักบวชแห่ง Lua
CONVERSATION_INTRO_76,สัมผัสได้ถึงพลังของ Angmund 
CONVERSATION_INTRO_77,ถึงจะแผ่วเบาแต่ก็รู้ได้ว่ากำลังฟื้นคืนมาอีกครั้ง
CONVERSATION_INTRO_78,อาณาจักร Orvelia จึงส่งคนออกไปเพื่อสำรวจ
CONVERSATION_5000,ทำไมต้องตอนนี้ด้วยนะ... อีกนิดเดียวก็จะได้เป็นอัศวินอย่างเป็นทางการแล้ว
CONVERSATION_5001,ฮ่าฮ่าฮ่า เสียดายที่ไม่ได้เข้าร่วมการสำรวจหรือไง
CONVERSATION_5002,สมกับเป็นน้องของข้า! ถึงจะเป็นแค่อัศวินผู้ฝึกหัดแต่ก็กล้าหาญเช่นนี้
CONVERSATION_5003,ไม่ได้เสียดาย แต่เพราะเป็นห่วงเลยอยากไปด้วยกันต่างหาก
CONVERSATION_5004,หลังจากสงครามกับดาร์คลอร์ด นี่ก็เป็นครั้งแรกที่มีการเดินทางสำรวจยิ่งใหญ่ขนาดนี้
CONVERSATION_5005,ฮ่าฮ่าฮ่า อัศวินผู้ฝึกหัดเป็นห่วงอัศวินเต็มตัวงั้นหรือ
CONVERSATION_5006,ถ้าพวกรุ่นพี่มาได้ยิน คงเสียความมั่นใจแย่เลย แล้วเจ้าก็จะโดนเขกหัวอีก
CONVERSATION_5007,ไม่มีทางให้ไปด้วยได้เลยเหรอ ข้ายอมโดนเขกหัวสักร้อยครั้งก็ได้ 
CONVERSATION_5008,ข้าจะบอกเจ้าอีกครั้งนะ Kasel
CONVERSATION_5009,หน้าที่ของเจ้าก็คือปกป้องผู้คนของ Orvelia ในขณะที่พวกข้าไม่อยู่
CONVERSATION_5010,สำหรับอัศวินแล้ว ไม่มีหน้าที่ไหนสำคัญกว่าการปกป้องประชาชนหรอกนะ ห้ามลืมเด็ดขาด
CONVERSATION_5011,ก็ได้ อัศวินฝึกหัดจะเชื่อมั่นในคณะเดินทาง แล้วทำอะไรที่ทำได้อยู่ที่นี่ก็แล้วกัน
CONVERSATION_5012,ยืดไหล่ออก Kasel ไม่นานเจ้าก็จะได้เป็นอัศวินที่องอาจแล้ว
CONVERSATION_5013,ถ้าเป็นเจ้า คงจะได้รับงานสำคัญเพื่ออาณาจักรของเราเป็นแน่
CONVERSATION_5014,ตอนนั้นข้าจะไปกับเจ้า
CONVERSATION_5015,จริงจังไม่สมกับเป็นพี่เลย รู้สึกไม่สบายใจเลยแฮะ
CONVERSATION_5016,ก็นะ เพราะว่าเป็นผู้ชายเลยจะต้องพูดอะไรเท่ๆบ้าง ฮ่าฮ่าฮ่า
CONVERSATION_5017,ฮ่าฮ่า ก็ไม่ได้เท่ขนาดนั้นหรอก
CONVERSATION_5018,ต้องยิ้มแบบนั้นเข้าไว้ แล้วก็ตั้งใจทำหน้าที่รอข้ากลับมาล่ะ
CONVERSATION_5019,ด้วยเกียรติของอัศวินแห่งอาณาจักร Orvelia !
CONVERSATION_5020,เพราะว่ามีพี่นั่นแหละ ก็เลยเชื่อว่าจะต้องกลับมาแน่นอน ข้าจะรอนะ!
CONVERSATION_2302,ผ่านไป 28 วัน
CONVERSATION_5021,ถึงจะรอแค่ไหนก็ไม่มีข่าวของเหล่าอัศวินเลยแฮะ
CONVERSATION_5022,เพราะว่าไม่ใช่การสำรวจธรรมดา
CONVERSATION_5023,แต่มีข่าวลือว่าเป็นการต่อสู้กับพวกปีศาจที่ปรากฏตัวอีกครั้ง
CONVERSATION_5024,รอต่อไปไม่ได้แล้ว
CONVERSATION_5025,ถ้าเป็นปีศาจจริงๆล่ะก็
CONVERSATION_5026,จะต้องไปให้ได้
CONVERSATION_5027,พี่ชายของข้า.... จะตกอยู่ในอันตรายไม่ได้!
CONVERSATION_5028,เหล่าอัศวินไปทางทิศใต้และมุ่งหน้าไปทางทิศตะวันตก
CONVERSATION_5029,ถ้าไปตามทางนั้นล่ะก็ จะต้องพบพี่ชายอย่างแน่นอน
CONVERSATION_5030,Kasel จะไปไหนน่ะ
CONVERSATION_5031,หือ Frey นึกว่าจะอยู่ที่แท่นบูชา
CONVERSATION_5032,ตั้งแต่วันนี้เป็นวันหยุดน่ะ
CONVERSATION_5033,ถ้าจะออกไปตามหา Clause ล่ะก็ ไปด้วยกันเถอะ
CONVERSATION_5034,รู้ได้ยังไง...
CONVERSATION_5035,เพราะว่าถ้าข้าต่อสู้ได้ ข้าเองก็คงทำแบบนั้นเหมือนกัน
CONVERSATION_5036,พูดเรื่องอะไรน่ะ! มันอันตรายมาก แถมยังเป็นแค่นักบวชผู้ฝึกหัด
CONVERSATION_5037,ไม่รู้ว่าข้างนอกเกิดอะไรขึ้นด้วยซ้ำ ไม่ได้รับข่าวคราวอะไรมาบ้างเลย
