KEY,ChineseTraditional
Sub1_Viska_Title,弱肉強食
Sub1_Viska_1_1_1,聽說魔族最近又開始作亂了，是真的嗎？
Sub1_Viska_1_1_2,你沒聽說遠征隊的消息嗎？聽說有非常強的魔族在四處屠殺。
Sub1_Viska_1_1_3,不只是那樣。聽說事態嚴重到連露亞教團的聖騎士團都要每天出動了。
Sub1_Viska_1_1_4,這好像不是我們這些基層士兵能幫上忙的...
Sub1_Viska_1_1_5,所以守護騎士團的黛彌兒大人才會直接下達命令啊。
Sub1_Viska_1_1_6,只要不是別無選擇，就盡可能避免戰鬥，活命要緊。
Sub1_Viska_1_1_7,那是當然。像是骷髏、殭屍，一兩隻低等魔族，這種程度還應付得來的。
Sub1_Viska_1_1_8,不死族通常都是大舉行動的啊...
Sub1_Viska_1_1_9,而且，如果是高等魔族，就完全別說戰鬥了。
Sub1_Viska_1_1_10,總之，若出現魔族...要優先報告。
Sub1_Viska_1_1_11,...？！...等一下...你沒聽到什麼聲音嗎？
Sub1_Viska_1_1_12,有窸窸窣窣的聲音...是誰在那裡！！
Sub1_Viska_1_1_13,哈啊～氣味越來越濃了。慢慢靠過去吧...
Sub1_Viska_1_1_14,唉呀，是奧勒貝利亞的士兵叔叔們？
Sub1_Viska_1_1_15,嗯？是這附近村子裡的小孩嗎？
Sub1_Viska_1_1_16,小妹妹，妳從哪裡來的？最近外面很多魔族，很危險的喔。快回家吧。
Sub1_Viska_1_1_17,妳認得路嗎？要帶妳回去嗎？
Sub1_Viska_1_1_18,嗯？不，不用了。話說回來...
Sub1_Viska_1_1_19,...？
Sub1_Viska_1_1_20,叔叔們還比較危險吧？
Sub1_Viska_1_1_21,魔族最近不是到處作亂嗎？可能會死的喔？
Sub1_Viska_1_1_22,呃，這是我們的工作...
Sub1_Viska_1_1_23,既然如此，我告訴你們一件事吧。
Sub1_Viska_1_1_24,你們看看遠方的北邊。沒看到什麼嗎？
Sub1_Viska_1_1_25,嗯...？沒有，看不太清楚...
Sub1_Viska_1_1_26,不，仔細一看好像在冒著煙...
Sub1_Viska_1_1_27,那邊不是離北海很近的萊姆村嗎？
Sub1_Viska_1_1_28,呵呵，海邊的萊姆村。唉呀，聽起來很美味呢～
Sub1_Viska_1_1_29,總之，那邊的村莊很快就要被消滅了。
Sub1_Viska_1_1_30,應該很快也會來到這邊唷？
Sub1_Viska_1_1_31,...我指的是低等不死族大軍。
Sub1_Viska_1_1_32,...欸，怎麼可能。憑他們不死族也會造船渡海？
Sub1_Viska_1_1_33,就算是這樣，妳又是怎麼知...
Sub1_Viska_1_1_34,！！！！
Sub1_Viska_1_1_35,看吧，馬上就來了呢。
Sub1_Viska_1_1_36,叔叔們，趕緊逃命好嗎？
Sub1_Viska_1_1_37,還真的越過了大海...海軍都在做什麼啊！！
Sub1_Viska_1_1_38,你快回首都向黛彌兒大人稟報！
Sub1_Viska_1_1_39,那你要怎麼辦！
Sub1_Viska_1_1_40,總不能丟下年輕小女孩不管啊？！快帶她去最近的要塞！
Sub1_Viska_1_1_41,來，過來這裡。
Sub1_Viska_1_1_42,沒事的，叔叔會保護你安全的！
Sub1_Viska_1_1_43,...
Sub1_Viska_1_1_44,真是，人類還真是麻煩的生物啊！
Sub1_Viska_1_1_45,都自身難保了，還有空管別人。
Sub1_Viska_1_1_46,...？！
Sub1_Viska_1_1_47,...魔、魔族？！
Sub1_Viska_1_1_48,你完全沒發現？呵呵呵...唉，也不意外啦。
Sub1_Viska_1_1_49,這個身體原本的主人是個人類沒錯啦。嘻嘻嘻嘻！
Sub1_Viska_1_1_50,而且還是個可愛的小女孩！確實會讓人放下戒心～
Sub1_Viska_1_1_51,邪惡的魔族！竟然搶走小女孩的身體...！
Sub1_Viska_1_1_52,搶？呵呵呵，你說這種話就太傷人囉。
Sub1_Viska_1_1_53,如果不是我的話，這小孩早就被吞噬掉了！
Sub1_Viska_1_1_54,如果不是和我締結契約，她早就被其他魔族殺死了。
Sub1_Viska_1_1_55,我難道不是她的救命恩人嗎？呵呵呵...
Sub1_Viska_1_1_56,嗯，這件事就算了。
Sub1_Viska_1_1_57,我才沒興趣殺死你們這種弱者。
Sub1_Viska_1_1_58,當然，如果你們挑釁我的話...就不一定了。
Sub1_Viska_1_1_59,好啦。從現在起，我給你們十秒。快決定要逃命，還是要打架？
Sub1_Viska_1_1_60,不過如果要打架...你們一定會死的喔？嘻嘻嘻！
Sub1_Viska_1_1_61,(嚇到失聲尖叫)
Sub1_Viska_1_1_62,...真乖。好了～現在礙事的也跑了...
Sub1_Viska_1_1_63,肚子也餓了...
Sub1_Viska_1_1_64,說不定？說不定有高等魔族在指揮那些不死族...
Sub1_Viska_1_1_65,可以期待一下～？嘿嘿嘿...
Sub1_Viska_1_1_66,那麼...要開始狩獵了嗎～？
Sub1_Viska_1_2_1,你們這些低等不死族，給我塞牙縫都不夠！
Sub1_Viska_1_2_2,吃了一點飽足感都沒有！
Sub1_Viska_1_2_3,又難吃！又沒營養！
Sub1_Viska_1_2_4,重點是吃了也不會變強！
Sub1_Viska_1_2_5,沒有更強的嗎？沒了？
Sub1_Viska_1_2_6,沒有的話，只好殺光你們了！哈哈哈哈！
Sub1_Viska_1_3_1,呵呵，你這傢伙就是首領？
Sub1_Viska_1_3_2,是很大隻啦...但還是個廢物不死族啊。
Sub1_Viska_1_3_3,看起來超難吃的，一點也不像首領...
Sub1_Viska_1_3_4,..喀喀喀...！！！
Sub1_Viska_1_3_5,呵呵呵，果然廢物不死族是無法溝通的。
Sub1_Viska_1_3_6,竟然不認得我是比你高等的魔族。
Sub1_Viska_1_3_7,也不看看你打的是誰！垃圾！
Sub1_Viska_1_4_1,呸呸呸...喔，真是，有夠難吃。
Sub1_Viska_1_4_2,不過，也好啦。從被我吞掉的靈魂得到我需要的情報了。
Sub1_Viska_1_4_3,這些傢伙的主人叫作...莫鐸克。
Sub1_Viska_1_4_4,莫鐸克這個名字，在魔族的世界裡從沒聽過...
Sub1_Viska_1_4_5,是在這個世界變成魔族的嗎？一成為了巫妖，就變成央格文的軍師...
Sub1_Viska_1_4_6,好像有點強？雖然有點介意他是不死族...
Sub1_Viska_1_4_7,算了，沒差。反正我的目標本來就是吞噬央格文，還有他的所有得力助手...
Sub1_Viska_1_4_8,反正，要往克盧雅平原前進就對了？我自己可沒辦法渡海...
Sub1_Viska_1_4_9,唉呀，不知道啦！
Sub1_Viska_1_4_10,一直走的話，總有一天會到的吧。啦啦啦啦～
Sub1_Viska_2_1_1,哼，這片森林裡蘊藏著很強的氣息呢。
Sub1_Viska_2_1_2,雖然是和我這個魔族不合的氣息...
Sub1_Viska_2_1_3,嗯？
Sub1_Viska_2_1_4,那個方向隱約有不死族的氣味...
Sub1_Viska_2_1_5,哼，果然瞞不過我的鼻子。
Sub1_Viska_2_1_6,是從海的方向漂來的，看來是又從克盧雅平原搭船過來了嗎。
Sub1_Viska_2_1_7,呿，物質世界的生物果然都遜斃了。
Sub1_Viska_2_1_8,竟然會畏懼那種像垃圾一樣的骷髏。
Sub1_Viska_2_1_9,真是失望啊～
Sub1_Viska_2_1_10,哼，我對低等魔族建立低等軍隊的方法，
Sub1_Viska_2_1_11,一點興趣都沒有。
Sub1_Viska_2_1_12,那麼，現在就出發...
Sub1_Viska_2_1_13,嗯？
Sub1_Viska_2_1_14,邪惡的魔族！滾出艾莉朵拉！
Sub1_Viska_2_1_15,我絕對不放過！你們這些使女王墮落，玷汙鷹身族自尊心的傢伙！
Sub1_Viska_2_1_16,消失吧，魔族們！
Sub1_Viska_2_1_17,我一定會將你們粉身碎骨，不讓你們再次玷汙艾莉朵拉！
Sub1_Viska_2_1_18,尤其是躲在那裡的魔族！
Sub1_Viska_2_1_19,不要只會躲躲藏藏，快滾出來！
Sub1_Viska_2_1_20,真麻煩。唉，沒辦法。
Sub1_Viska_2_1_21,妳怎麼知道的？我的氣息就跟人類沒有分別啊。
Sub1_Viska_2_1_22,妳問妳身旁的風吧！
Sub1_Viska_2_1_23,喝啊啊啊！
Sub1_Viska_2_1_24,等等等等～妳先冷靜一下。
Sub1_Viska_2_1_25,先說好，那些像垃圾一樣的骷髏跟我可沒有關係唷～
Sub1_Viska_2_1_26,我反而正要去吃掉操縱這些骷髏的人呢。
