KEY,French
Sub1_Viska_Title,La loi de la jungle
Sub1_Viska_1_1_1,Est-il vrai que les démons font encore du grabuge ?
Sub1_Viska_1_1_2,Toujours sans nouvelles de l'expédition ? Il paraît que de puissants démons sont apparus et tuent tout le monde sur leur passage.
Sub1_Viska_1_1_3,"Et il n'y a pas que ça... On rapporte de nombreux incidents, et les Chevaliers sacrés de l'Église de Lua sont constamment sollicités."
Sub1_Viska_1_1_4,Je ne pense pas que de simples soldats tels que nous puissent changer quoi que ce soit.
Sub1_Viska_1_1_5,C'est pourquoi Demia des Chevaliers gardiens est intervenue.
Sub1_Viska_1_1_6,"Elle nous a fait savoir que sauf si l'affrontement était inévitable, il valait mieux fuir."
Sub1_Viska_1_1_7,"Bien sûr, nous sommes en mesure d'affronter un ou deux démons de rang inférieur comme des squelettes ou des zombies,"
Sub1_Viska_1_1_8,mais les morts-vivants se déplacent par armées entières...
Sub1_Viska_1_1_9,Et nous n'avons aucune chance face à des démons de haut rang.
Sub1_Viska_1_1_10,"En tous cas, si des démons surgissent, nous devons d'abord le signaler."
Sub1_Viska_1_1_11,"... ! Attendez, vous avez entendu ça ?"
Sub1_Viska_1_1_12,Quelqu'un approche... Qui va là ?
Sub1_Viska_1_1_13,*Aaaaah.* Je le sens jusqu'ici... Je devrais sans doute y aller...
Sub1_Viska_1_1_14,"Oh, des soldats d'Orvelia. Bonjour."
Sub1_Viska_1_1_15,"Euh ? Elle est du coin, cette gamine ?"
Sub1_Viska_1_1_16,"Tu viens d'où, petite ? C'est dangereux dehors à cause des démons. Rentre chez toi."
Sub1_Viska_1_1_17,Tu veux que je te raccompagne ?
Sub1_Viska_1_1_18,"Hein ? Non, pas la peine. De toute façon..."
Sub1_Viska_1_1_19,... ?
Sub1_Viska_1_1_20,"Vous ne seriez pas en danger, par hasard ?"
Sub1_Viska_1_1_21,Vous ne venez pas de dire que les démons faisaient du grabuge ? Que vous pouviez mourir ?
Sub1_Viska_1_1_22,"Eh bien, c'est notre travail..."
Sub1_Viska_1_1_23,"Puisqu'on en est là, écoutez plutôt ça."
Sub1_Viska_1_1_24,Regardez vers le nord. Vous ne voyez rien ?
Sub1_Viska_1_1_25,"Hum... Non, je ne vois rien."
Sub1_Viska_1_1_26,"Attendez, on dirait de la fumée..."
Sub1_Viska_1_1_27,"Ce ne serait pas Citronvertville, près de la mer du nord ?"
Sub1_Viska_1_1_28,"Oh, Citronvertville près de la mer du nord ? Ça a l'air délicieux."
Sub1_Viska_1_1_29,Toujours est-il que ce village va être rasé.
Sub1_Viska_1_1_30,Elle va bientôt s'abattre sur lui.
Sub1_Viska_1_1_31,Je parle de la grande armée de sbires morts-vivants.
Sub1_Viska_1_1_32,Arrête. Les sbires morts-vivants n'ont pas pu construire des bateaux et traverser la mer.
Sub1_Viska_1_1_33,"Et quand bien même, comment pourrais-tu le savoir ?"
Sub1_Viska_1_1_34,!!!!
Sub1_Viska_1_1_35,"Regardez, ils sont déjà là."
Sub1_Viska_1_1_36,"Messieurs, vous ne feriez pas mieux de vous enfuir maintenant ?"
Sub1_Viska_1_1_37,Ils sont vraiment venus par la mer... Mais que faisait la marine ?
