KEY,"Japanese"
Sub1_Viska_Title,"弱肉強食"
Sub1_Viska_1_1_1,"なあ......最近また魔族が暴れてるって噂があるけど、本当なのか？"
Sub1_Viska_1_1_2,"なんだ、遠征隊の話を聞いてないのか？\n強力な魔族が現れて、あちこちで人を殺しまくってるんだってよ。"
Sub1_Viska_1_1_3,"だから最近、神殿の聖騎士団も忙しそうにしてるのか。\n長く続いた平和な時代も、終わりなのかもしれないな......。"
Sub1_Viska_1_1_4,"でも俺らみたいな下っ端には、どうしようもないさ。"
Sub1_Viska_1_1_5,"聞いたか？　守護騎士団のデミアさんからの命令。"
Sub1_Viska_1_1_6,"魔族を見かけたら、戦わずにすぐ逃げ出せって。"
Sub1_Viska_1_1_7,"そりゃそうだ。スケルトンやゾンビぐらいなら相手にできるかもしれないが、\nアンデッドでも呼び出されたら大変だからな。"
Sub1_Viska_1_1_8,"あいつらは群れで動く習性があるから、取り囲まれたらおしまいだ。"
Sub1_Viska_1_1_9,"１体で出てきても、相手が高位の魔族だったら終わりだよ。\n俺たちじゃ相手にならないし。"
Sub1_Viska_1_1_10,"とにかく、魔族に遭遇したら戦うことなんて考えないで、報告を急ごうぜ。"
Sub1_Viska_1_1_11,"ああ............？！\n......なんか物音がしないか？"
Sub1_Viska_1_1_12,"おい、誰かいるのか！？"
Sub1_Viska_1_1_13,"ふわ～あ......。くんくん、だいぶ匂いが近づいてきたな。"
Sub1_Viska_1_1_14,"あれ、そこにいるのはオルベルリアの兵士さん？　おはよー。"
Sub1_Viska_1_1_15,"うむ......近くの村の子か？"
Sub1_Viska_1_1_16,"お嬢ちゃん、どこから来たんだ？\n外は魔族が出るから危険なんだ。早くおうちへ帰りなさい。"
Sub1_Viska_1_1_17,"それとも、道に迷ったのかい？"
Sub1_Viska_1_1_18,"ううん、違うよ。ねえ、そんなことより......。"
Sub1_Viska_1_1_19,"......？"
Sub1_Viska_1_1_20,"おじさんたちのほうが危ないんじゃない？"
Sub1_Viska_1_1_21,"外には魔族がいるんでしょ？\nこんなところに突っ立ってたら、死んじゃうかもしれないよ？"
Sub1_Viska_1_1_22,"そうは言っても、俺たちは警備するのが仕事だからなぁ。"
Sub1_Viska_1_1_23,"ふーん。じゃあ、働き者のおじさんたちに、１ついいことを教えてあげるね。"
Sub1_Viska_1_1_24,"見て、あっちの北のほう。......ほら、目を凝らすと見えるでしょ？"
Sub1_Viska_1_1_25,"ん？　なんの話だ？"
Sub1_Viska_1_1_26,"......待て。北のほうから煙が上がってるぞ......！？"
Sub1_Viska_1_1_27,"あれは......北海岸に近い、ライム村の辺りじゃないか？"
Sub1_Viska_1_1_28,"へーえ、海の近くのライム村ねえ。なんだかうまそうな名前じゃん。"
Sub1_Viska_1_1_29,"えーと、とにかく。その村、もうすぐ壊滅するよ。"
Sub1_Viska_1_1_30,"だから......たぶん、ここにもすぐに来るんじゃないかな。"
Sub1_Viska_1_1_31,"おっかないアンデッドの大軍が。"
Sub1_Viska_1_1_32,"......まさか！　ライム村からここへ来るには船が必要なんだ。\nアンデッドに、そんなものが作れるわけがない！"
Sub1_Viska_1_1_33,"いや......待てよ。お嬢ちゃんは、どうしてそれを知ってるんだ！？"
Sub1_Viska_1_1_34,"......！！！"
Sub1_Viska_1_1_35,"あーあ、だから言ったじゃん。すぐに来るって。"
Sub1_Viska_1_1_36,"ほらほら、おじさんたち。さっさと逃げないと危ないよー？"
Sub1_Viska_1_1_37,"馬鹿な！　アンデッドが海を渡ってきただと！？\n海軍の連中は何をやってるんだ！？"
Sub1_Viska_1_1_38,"と、とにかくお前はすぐに首都へ戻って報告しろ！"
Sub1_Viska_1_1_39,"お前はどうするんだよ！？"
Sub1_Viska_1_1_40,"こんな小さな女の子を、１人にはしておけないだろ！\n近くの砦まで連れて行く！"
Sub1_Viska_1_1_41,"ほら、お嬢ちゃん。行くぞ！"
Sub1_Viska_1_1_42,"大丈夫だ。俺が必ず守ってやるから！"
Sub1_Viska_1_1_43,"......。"
Sub1_Viska_1_1_44,"は～あ。ホント人間って面倒くさいよね。"
Sub1_Viska_1_1_45,"自分の身も守れないほど弱っちいくせに、\n他のやつの心配なんかしてどーすんの？"
