KEY,Portuguese
Sub1_Viska_Title,Lei da Selva
Sub1_Viska_1_1_1,É verdade que os Demônios estão criando confusão novamente?
Sub1_Viska_1_1_2,Você ainda não ouviu falar da expedição? Ouvi dizer que Demônios poderosos surgiram e estão andando por aí matando todo mundo.
Sub1_Viska_1_1_3,"E não é só isso... Houve vários incidentes, e os Cavaleiros Sagrados da Igreja de Lua estão sendo chamados todos os dias."
Sub1_Viska_1_1_4,Não acho que seja algo com o que meros soldados como nós possam ajudar...
Sub1_Viska_1_1_5,"Foi por isso que Demia, dos Cavaleiros Guardiões, nos deu a ordem."
Sub1_Viska_1_1_6,"Fomos instruídos a simplesmente fugir, a menos que seja absolutamente inevitável."
Sub1_Viska_1_1_7,"Claro, talvez sejamos capazes de lidar com um ou dois Demônios inferiores, como Esqueletos ou Zumbis,"
Sub1_Viska_1_1_8,mas os Mortos-Vivos andam em tropas...
Sub1_Viska_1_1_9,E não existe a menor chance de conseguirmos lugar contra Demônios de alta patente.
Sub1_Viska_1_1_10,"Enfim, se aparecerem Demônios, temos que relatar primeiro."
Sub1_Viska_1_1_11,...!?... Espera... Ouviu isso?
Sub1_Viska_1_1_12,Tem alguém ali... Quem está aí!?
Sub1_Viska_1_1_13,*Bocejo* Estou sentindo o cheiro agora... Acho que é hora de ir embora...
Sub1_Viska_1_1_14,Ah? Soldados de Orvelia? Olá.
Sub1_Viska_1_1_15,Hein? Essa criança é daqui?
Sub1_Viska_1_1_16,"Menina, de onde você veio? É perigoso sair por conta dos Demônios. Volte pra casa."
Sub1_Viska_1_1_17,Quer que eu leve você para casa?
Sub1_Viska_1_1_18,"Hum? Não, não precisa. Enfim..."
Sub1_Viska_1_1_19,...?
Sub1_Viska_1_1_20,Você não está em perigo?
Sub1_Viska_1_1_21,Você não disse que os Demônios estão criando confusão? Vocês podem morrer?
Sub1_Viska_1_1_22,"Bem, é o nosso trabalho..."
Sub1_Viska_1_1_23,"Já que chegamos a isso, vou lhe contar uma coisa."
Sub1_Viska_1_1_24,"Olhe para o norte, ao longe. Consegue ver alguma coisa?"
Sub1_Viska_1_1_25,"Hum...? Não, não vejo nada..."
Sub1_Viska_1_1_26,"Espera, parece fumaça..."
Sub1_Viska_1_1_27,Não é a Vila Lima perto do mar nórdico?
Sub1_Viska_1_1_28,"Ah, Vila Lima perto do mar? Esse nome soa delicioso."
Sub1_Viska_1_1_29,"Enfim, aquela vila está prestes a ruir."
Sub1_Viska_1_1_30,"Vai chegar aqui logo, logo."
Sub1_Viska_1_1_31,"Digo, o vasto exército dos Mortos-Vivos inferiores."
Sub1_Viska_1_1_32,Fala sério. Sem chance de os Mortos-Vivos Inferiores terem conseguido atravessar o mar com navios...
Sub1_Viska_1_1_33,"E, mesmo que tivessem, como você saberia...?"
Sub1_Viska_1_1_34,!!!!
Sub1_Viska_1_1_35,"Olhe, já estão aqui."
Sub1_Viska_1_1_36,"Senhor, não seria melhor se você fugisse agora?"
Sub1_Viska_1_1_37,Eles realmente atravessaram o mar... O que a Marinha estava fazendo!?
Sub1_Viska_1_1_38,Volte para a capital e apresente-se para Demia!
Sub1_Viska_1_1_39,E você!?
Sub1_Viska_1_1_40,Não podemos deixar uma garotinha sozinha! Vou levá-la para a fortaleza mais próxima!
Sub1_Viska_1_1_41,Venha aqui.
Sub1_Viska_1_1_42,Vai ficar tudo bem. Vou proteger você!
Sub1_Viska_1_1_43,...
Sub1_Viska_1_1_44,*Suspiro.* Humanos são irritantes mesmo.
Sub1_Viska_1_1_45,Não conseguem nem cuidar de si mesmos e estão se preocupando com os outros.
Sub1_Viska_1_1_46,...?!
Sub1_Viska_1_1_47,U-um Demônio!?
Sub1_Viska_1_1_48,"Não deu para perceber? He he... Bem, não culpo você."
Sub1_Viska_1_1_49,"Afinal, a dona deste corpo era humana. He he he he!"
Sub1_Viska_1_1_50,"E eu sou uma garotinha fofa, não sou? Mas é claro que você não perceberia."
Sub1_Viska_1_1_51,Seu Demônio maligno! Você roubou o corpo de uma garotinha...!
Sub1_Viska_1_1_52,"Roubar? He he he, não diga isso."
Sub1_Viska_1_1_53,"Se não fosse por mim, esta garota teria sido comida pelos corvos."
Sub1_Viska_1_1_54,"Sem o contrato que fez comigo, ela teria morrido pelo ferimento causado por outro Demônio."
