KEY,"ChineseSimplified"
Sub1_Prisila_1_1_1,"充满不安的金色瞳孔。"
Sub1_Prisila_1_1_2,"我会死在这里吗？"
Sub1_Prisila_1_1_3,"这不是看起来连十岁都不到的孩子该问的事。"
Sub1_Prisila_1_1_4,"面对少女不安的视线，"
Sub1_Prisila_1_1_5,"我不自觉地就咬起了下嘴唇。"
Sub1_Prisila_1_1_6,"这双小手的主人背负改变一切的命运"
Sub1_Prisila_1_1_7,"让人不禁觉得荒唐与悲伤。"
Sub1_Prisila_1_1_8,"请放心吧，不会有事的。"
Sub1_Prisila_1_1_9,"如往常一样说出的一句话。"
Sub1_Prisila_1_1_10,"就像习惯一般、就像咒文一般"
Sub1_Prisila_1_1_11,"对信任且追随自己的人说的那一句话。"
Sub1_Prisila_1_1_12,"放心吧！不会发生任何事的。"
Sub1_Prisila_1_1_13,"少女呆滞的凝视她走下马车。"
Sub1_Prisila_1_1_14,"可以知道门外的雨势如同暴风雨一般。"
Sub1_Prisila_1_1_15,"我是接下来要服侍小姐的普莉西拉。"
Sub1_Prisila_1_1_16,"回头望着少女，简洁有力地说着。"
Sub1_Prisila_1_1_17,"不过，那句话让少女深信对方一定会保护自己。"
Sub1_Prisila_1_1_18,"谢、谢谢。"
Sub1_Prisila_1_1_19,"少女不自觉地点头响应。"
Sub1_Prisila_1_1_20,"她让少女坐在后方，然后搭上马车。"
Sub1_Prisila_1_1_21,"经过多久了呢..."
Sub1_Prisila_1_1_22,"锵锵-！！"
Sub1_Prisila_1_1_23,"尖锐的铁声使整个马车都晃动了。"
Sub1_Prisila_1_1_24,"他们的惨叫声淹没在雨声中。"
Sub1_Prisila_1_1_25,"又过了一段时间，敲打在马车上的雨声不知不觉中停止了。"
Sub1_Prisila_1_1_26,"砰咚-"
Sub1_Prisila_1_1_27,"全身淋湿的她爬上马车。"
Sub1_Prisila_1_1_28,"然后少女嚎啕大哭。"
Sub1_Prisila_1_1_29,"谢...谢谢..."
Sub1_Prisila_1_1_30,"面对哭得如此悲伤的少女..."
Sub1_Prisila_1_1_31,"她不知所措地望着..."
Sub1_Prisila_1_1_32,"小心翼翼的伸出手抱住少女。"
Sub1_Prisila_1_1_33,"少女很娇小，哭声更小。"
Sub1_Prisila_1_1_34,"没事，从现在起我会一直陪伴在小姐身边。"
Sub1_Prisila_2_1_1,"呜嗯-"
Sub1_Prisila_2_1_2,"魔物撕裂耳朵般的尖叫声"
Sub1_Prisila_2_1_3,"黏稠且令人作呕的血喷洒在空中。"
Sub1_Prisila_2_1_4,"纯白的美丽斧戟早已被血染色，失去原本的色泽。"
Sub1_Prisila_2_1_5,"军队最需要怎样的人？"
Sub1_Prisila_2_1_6,"没有自己想法的人。"
Sub1_Prisila_2_1_7,"不具有自我意识的人。"
Sub1_Prisila_2_1_8,"好，那你认为自己是种人呢？"
Sub1_Prisila_2_1_9,"拥有自信的人。"
Sub1_Prisila_2_1_10,"具备信念的人。"
Sub1_Prisila_2_1_11,"拥有强烈的自我，"
Sub1_Prisila_2_1_12,"且让大家都陷入危险的人。"
Sub1_Prisila_2_1_13,"普莉西拉少校，在我眼中你就是这样的人。"
Sub1_Prisila_2_1_14,"选择权在你！"
Sub1_Prisila_2_1_15,"是你呢？还是要让所有追随你的人"
Sub1_Prisila_2_1_16,"变不幸呢？"
Sub1_Prisila_2_1_17,"混账..."
Sub1_Prisila_2_1_18,"喔？来了！"
Sub1_Prisila_2_1_19,"队长，在这边~"
Sub1_Prisila_2_1_20,"士兵们在远处高兴地挥手迎接普莉西拉，"
Sub1_Prisila_2_1_21,"大部分都累到倒下，"
Sub1_Prisila_2_1_22,"其他人小心翼翼地照顾受伤的同伴，"
Sub1_Prisila_2_1_23,"或是为死去的同伴挖坟墓。"
Sub1_Prisila_2_1_24,"这是谁的位子呢？"
Sub1_Prisila_2_1_25,"是艾罗科兹的位子。"
Sub1_Prisila_2_1_26,"如果没有盖上泥土就会变成乌鸦的食物吧。"
Sub1_Prisila_2_1_27,"她答应会回来把遗骸全都带回祖国，"
Sub1_Prisila_2_1_28,"挖好的坟墓多达数十个。"
Sub1_Prisila_2_1_29,"这是经常发生的事。"
Sub1_Prisila_2_1_30,"一开始部队的人数多达八十几名，"
