KEY,"Thai"
Sub1_Prisila_1_1_1,"นัยน์ตาสีทองที่เต็มไปด้วยความหวั่นวิตก"
Sub1_Prisila_1_1_2,"ข้าจะตายที่นี่หรือเปล่า"
Sub1_Prisila_1_1_3,"นั่นไม่ใช่สิ่งที่เด็กอายุต่ำกว่า 10 ขวบควรจะถามนะ"
Sub1_Prisila_1_1_4,"ข้ากัดปากตัวเอง"
Sub1_Prisila_1_1_5,"ในขณะจ้องมองเด็กหญิงตัวน้อยที่วิตกกังวล"
Sub1_Prisila_1_1_6,"เด็กหญิงคนนี้มีชะตาที่สามารถเปลี่ยนแปลงทุกอย่างนี้ได้ด้วยมือเล็กๆ คู่นั้น"
Sub1_Prisila_1_1_7,"ข้ารู้สึกว่าทุกอย่างช่างไร้ประโยชน์ แต่ถึงอย่างนั้นก็ยังสงสารเด็กหญิง"
Sub1_Prisila_1_1_8,"ไม่ต้องกังวลไป ทุกอย่างจะดีเอง"
Sub1_Prisila_1_1_9,"นั่นคือวิถีทางที่ทุกอย่างมักจะเป็นไป"
Sub1_Prisila_1_1_10,"ข้าเคยบอกแบบนี้กับทุกคนที่ไว้วางใจและติดตามข้า"
Sub1_Prisila_1_1_11,"เหมือนเป็นนิสัยเดิมๆ"
Sub1_Prisila_1_1_12,"ไม่ต้องกังวลไป ทุกอย่างจะดีเอง"
Sub1_Prisila_1_1_13,"เด็กหญิงตัวน้อยจ้องมองเธออย่างว่างเปล่าในขณะที่เธอลงจากรถม้า"
Sub1_Prisila_1_1_14,"ฝนตกหนักที่ด้านนอก"
Sub1_Prisila_1_1_15,"ข้าชื่อ Priscilla นายหญิง และข้าจะรับใช้ท่านนับจากนี้เป็นต้นไป"
Sub1_Prisila_1_1_16,"หญิงสาวมองกลับไปที่เด็กหญิงและพูดด้วยใบหน้าซึ่งไร้อารมณ์ความรู้สึก"
Sub1_Prisila_1_1_17,"ถ้อยคำเหล่านั้นเป็นทางการและแข็งทื่อ แต่เสียงที่เปล่งคำเหล่านั้นฟังดูน่าเชื่อถือและน่าไว้วางใจ"
Sub1_Prisila_1_1_18,"ขะ-ขอบคุณนะ!"
Sub1_Prisila_1_1_19,"เด็กหญิงตัวน้อยพยักหน้า"
Sub1_Prisila_1_1_20,"และหญิงสาวก็ออกจากรถม้าโดยไม่ได้หันหลังกลับไปมองอีก"
Sub1_Prisila_1_1_21,"ไม่นานหลังจากนั้น จู่ๆ อากาศรอบๆ รถม้าก็เริ่มเปลี่ยนแปลงไปอย่างฉับพลัน"
Sub1_Prisila_1_1_22,"เคร้ง!"
Sub1_Prisila_1_1_23,"เสียงแหลมของเหล็กเขย่ารถม้าสะเทือน"
Sub1_Prisila_1_1_24,"เสียงกรีดร้องถูกเสียงสายฝนกลบทับ"
Sub1_Prisila_1_1_25,"เวลาผ่านไปและฝนก็ซาในที่สุด"
Sub1_Prisila_1_1_26,"*คลิก*"
Sub1_Prisila_1_1_27,"หญิงสาวเข้าไปในรถม้าด้วยเนื้อตัวที่เปียกชุ่ม"
Sub1_Prisila_1_1_28,"เด็กหญิงตัวน้อยร้องไห้โฮ"
Sub1_Prisila_1_1_29,"ขอบคุณค่ะ ขอบคุณ..."
Sub1_Prisila_1_1_30,"หญิงสาวไม่รู้ว่าต้องทำอย่างไร"
Sub1_Prisila_1_1_31,"ในขณะที่เด็กหญิงเริ่มร้องไห้คร่ำครวญด้วยความโล่งใจ"
Sub1_Prisila_1_1_32,"เธอยื่นแขนออกมาเงียบๆ และกอดเด็กหญิงตัวน้อยไว้"
Sub1_Prisila_1_1_33,"เด็กหญิงตัวเล็กมาก และเสียงร้องไห้ของเธอก็เล็กมากเช่นกัน"
Sub1_Prisila_1_1_34,"ไม่เป็นไรนะ ข้าจะอยู่ตรงนี้ข้างๆ ท่านเสมอ"
Sub1_Prisila_2_1_1,"ฮูวว..."
Sub1_Prisila_2_1_2,"สัตว์ประหลาดชั่วร้ายเปล่งเสียงกรีดร้องที่แสบแก้วหู"
Sub1_Prisila_2_1_3,"ในขณะที่เลือดที่เหนียวข้นและน่าขยะแขยงของมันสาดกระจายด้านบน"
Sub1_Prisila_2_1_4,"เลือดสีแดงเข้มเปรอะเปื้อนคมดาบง้าวที่ขาวเป็นมันวาวแสนสวยงามของเธอ"
Sub1_Prisila_2_1_5,"เจ้าคิดว่ากองทัพจำเป็นต้องมีทหารประเภทไหน"
Sub1_Prisila_2_1_6,"ประเภทที่ไม่คิดถึงตัวเอง"
Sub1_Prisila_2_1_7,"ประเภทที่ไม่คำนึงถึงตัวเองในฐานะปัจเจกบุคคล"
Sub1_Prisila_2_1_8,"แล้วเจ้าคิดว่าเจ้าเป็นทหารประเภทไหนล่ะ"
Sub1_Prisila_2_1_9,"คนที่มีความคิดเป็นของตัวเอง"
Sub1_Prisila_2_1_10,"คนที่มีความเชื่อ"
Sub1_Prisila_2_1_11,"คนที่คิดว่าตัวเองเป็นปัจเจกบุคคลที่มีความคิดเห็น"
Sub1_Prisila_2_1_12,"และคนที่จะทำให้ทุกคนตกอยู่ในอันตราย"
Sub1_Prisila_2_1_13,"ร้อยโท Priscilla นั่นแหละคือคนที่ข้าเห็นในตัวเจ้า"
Sub1_Prisila_2_1_14,"เจ้าเลือกได้นะ"
Sub1_Prisila_2_1_15,"เลือกหนึ่งในสองตัวเลือกที่จะเดินบนเส้นทางที่เต็มไปด้วยขวากหนามนี้"
