KEY,Vietnamese
Sub1_Prisila_1_1_1,Đôi mắt vàng kim đầy nỗi lo âu.
Sub1_Prisila_1_1_2,Em sẽ phải bỏ mạng ở đây ư?
Sub1_Prisila_1_1_3,Đây không phải là chuyện mà một cô bé chưa đầy mười tuổi nên hỏi đâu.
Sub1_Prisila_1_1_4,Tôi vô thức cắn chặt môi
Sub1_Prisila_1_1_5,khi nhìn bé gái đầy lo lắng kia.
Sub1_Prisila_1_1_6,Cô bé với đôi bàn tay nhỏ bé đó có sứ mệnh xoay chuyển cục diện.
Sub1_Prisila_1_1_7,"Dù mọi thứ đều vô ích, nhưng tôi vẫn thấy tiếc nuối cho cô bé."
Sub1_Prisila_1_1_8,Đừng lo lắng. Rồi mọi chuyện sẽ ổn cả thôi.
Sub1_Prisila_1_1_9,Vạn sự đều thế cả.
Sub1_Prisila_1_1_10,"Tôi từng nói điều này cho bất kỳ ai tin tưởng và đi theo mình,"
Sub1_Prisila_1_1_11,như một thói quen cũ.
Sub1_Prisila_1_1_12,"Đừng lo lắng, mọi chuyện sẽ ổn cả thôi."
Sub1_Prisila_1_1_13,Bé gái nhìn cô một cách trống rỗng khi bước ra khỏi cỗ xe ngựa.
Sub1_Prisila_1_1_14,Ngoài trời đang mưa tầm tã.
Sub1_Prisila_1_1_15,"Ta là Priscilla, thưa tiểu thư. Từ nay ta sẽ phục tùng cho em."
Sub1_Prisila_1_1_16,Người phụ nữ nhìn lại bé gái rồi cất lời mà không để lộ chút biểu cảm.
Sub1_Prisila_1_1_17,"Lời lẽ tuy trịnh trọng, cứng nhắc nhưng chất giọng nghe thật đáng tin cậy."
Sub1_Prisila_1_1_18,C-cảm ơn chị!
Sub1_Prisila_1_1_19,"Cô bé gật đầu,"
Sub1_Prisila_1_1_20,người phụ nữ rời bước khỏi cỗ xe ngựa mà không hề ngoảnh đầu nhìn lại.
Sub1_Prisila_1_1_21,"Không lâu sau, không khí xung quanh cỗ xe đột ngột thay đổi."
Sub1_Prisila_1_1_22,Keng!
Sub1_Prisila_1_1_23,Tiếng kim loại sắc nhọn làm rung chuyển cỗ xe.
Sub1_Prisila_1_1_24,Tiếng la hét chìm nghỉm trong tiếng mưa xối xả.
Sub1_Prisila_1_1_25,"Thời gian cứ trôi, cuối cùng màn mưa dần tan đi."
Sub1_Prisila_1_1_26,*Cách*
Sub1_Prisila_1_1_27,"Người phụ nữ bước vào trong cỗ xe, toàn thân ướt sũng."
Sub1_Prisila_1_1_28,Bé gái òa khóc.
Sub1_Prisila_1_1_29,Cảm ơn chị. Rất cảm ơn chị...
Sub1_Prisila_1_1_30,Người phụ nữ không biết phải làm gì
Sub1_Prisila_1_1_31,khi cô bé bắt đầu òa khóc.
Sub1_Prisila_1_1_32,Cô lặng lẽ dang tay ôm cô bé vào lòng.
Sub1_Prisila_1_1_33,"Đứa trẻ thật bé bỏng, tiếng khóc cũng nhỏ bé nghẹn ngào."
Sub1_Prisila_1_1_34,Không sao đâu. Ta sẽ luôn ở đây bên em.
Sub1_Prisila_2_1_1,Guh...
Sub1_Prisila_2_1_2,Sinh vật độc ác gầm rú inh tai
Sub1_Prisila_2_1_3,khi dòng máu ghê tởm và dính dớp của nó bắn tung tóe.
Sub1_Prisila_2_1_4,Dòng máu đỏ thẫm nhuộm đỏ lưỡi kích chói sáng tuyệt diệu của cô.
Sub1_Prisila_2_1_5,Ngươi nghĩ loại chiến binh nào xứng đáng đứng trong quân ngũ đây?
Sub1_Prisila_2_1_6,Những người biết hi sinh bản thân.
Sub1_Prisila_2_1_7,Những người biết sống vì tập thể.
Sub1_Prisila_2_1_8,Vậy ngươi nghĩ mình thuộc loại chiến binh nào đây?
Sub1_Prisila_2_1_9,Người có chính kiến.
Sub1_Prisila_2_1_10,Người có niềm tin.
Sub1_Prisila_2_1_11,Người coi trọng bản ngã với quan điểm riêng.
Sub1_Prisila_2_1_12,Và người sẽ đẩy những kẻ khác vào hiểm nguy.
Sub1_Prisila_2_1_13,"Trung úy Priscilla, đó là những gì ta thấy ở ngươi đấy."
Sub1_Prisila_2_1_14,Tùy ngươi lựa chọn.
Sub1_Prisila_2_1_15,Hãy chọn xem ai sẽ phải bước qua con đường gai góc này.
Sub1_Prisila_2_1_16,Tự ngươi gánh vác hay để những kẻ đi theo ngươi làm đá lót đường?
Sub1_Prisila_2_1_17,Quân khốn...
Sub1_Prisila_2_1_18,"Ồ, cô ả đến rồi kìa."
Sub1_Prisila_2_1_19,"Chỉ huy, đằng này!"
Sub1_Prisila_2_1_20,Các chiến binh vẫy tay gọi Priscilla từ xa.
Sub1_Prisila_2_1_21,Một số nằm bất động dưới sàn vì kiệt sức hoặc
Sub1_Prisila_2_1_22,chăm sóc những đồng đội bị thương.
Sub1_Prisila_2_1_23,Những kẻ khác thì đào huyệt để mai táng đồng đội đã hi sinh.
Sub1_Prisila_2_1_24,Phần mộ này là của ai đây?
Sub1_Prisila_2_1_25,Của Erox.
Sub1_Prisila_2_1_26,Nếu không đào sâu xuống thì các thi hài sẽ bị bầy quạ mổ rỉa hết.
Sub1_Prisila_2_1_27,"Có hàng tá nơi như thế này, chốn an nghỉ cho các chiến binh"
Sub1_Prisila_2_1_28,những người mà tôi đã hứa mang thi hài họ trở về quê hương.
Sub1_Prisila_2_1_29,Đây không phải là chuyện hiếm.
Sub1_Prisila_2_1_30,"Đội quân của tôi khởi đầu với khoảng 80 chiến binh,"
