KEY,ChineseSimplified
Sub1_Dimael_1_1_1,100年前那个耻辱的日子...
Sub1_Dimael_1_1_2,是不能也不行遗忘的记忆，
Sub1_Dimael_1_1_3,世界变得寂静无声，所有东西都濒临破碎，
Sub1_Dimael_1_1_4,选择与世界隔离的我们，无法获得任何人的帮助，
Sub1_Dimael_1_1_5,他们手中的刀刃刺穿了我父母的胸口，
Sub1_Dimael_1_1_6,那一天我们面临了惨败的局面。
Sub1_Dimael_1_1_7,迪麦，没时间了！这样下去大家都会没命的！
Sub1_Dimael_1_1_8,我们得先去要塞避难！
Sub1_Dimael_1_1_9,你先走！
Sub1_Dimael_1_1_10,看来得争取时间撤退才行。
Sub1_Dimael_1_1_11,已经到极限了！
Sub1_Dimael_1_1_12,动作快一点，还得带着尚未避难的人一起离开！
Sub1_Dimael_1_1_13,不行！若是不封锁要塞入口，那个地方不久后也会被包围！
Sub1_Dimael_1_1_14,拜托你听话，我们可能就要没命了！
Sub1_Dimael_1_1_15,反正是死路一条，那就和杀害我父母亲的垃圾一起同归于尽！
Sub1_Dimael_1_1_16,真是固执的家伙！
Sub1_Dimael_1_1_17,那我也要留下，我无法丢下你不管。
Sub1_Dimael_1_1_18,我叫你赶快走！
Sub1_Dimael_1_2_1,你们是无法越过我跨入这个要塞的！
Sub1_Dimael_1_2_2,真是恶毒的家伙。
Sub1_Dimael_1_2_3,念在你的勇气难能可贵的份上，我就饶你一条命，快让开吧。
Sub1_Dimael_1_2_4,废话少说，快点放马过来吧！
Sub1_Dimael_1_2_5,呵呵...这不是你这脏东西该说的话吧。
Sub1_Dimael_1_2_6,我们的族人...不会向区区的魔物屈服的。
Sub1_Dimael_1_2_7,真是迟钝...整个陆地就要落入央格文大人的手中了。
Sub1_Dimael_1_2_8,背叛光明而躲在影子当中的背叛者们...
Sub1_Dimael_1_2_9,向黑暗臣服，顺应自然吧！
Sub1_Dimael_1_2_10,迎接陆地被邪恶渲染的那一天吧！
Sub1_Dimael_1_3_1,呜...
Sub1_Dimael_1_3_2,就算不断地挣扎，最后也只有死亡在等待着你们。
Sub1_Dimael_1_3_3,快开路吧！
Sub1_Dimael_1_3_4,...爱碧嘉夜就拜托你了。
Sub1_Dimael_1_3_5,你在说些什么...
Sub1_Dimael_1_3_6,事到如今你该不会是想叫我独自逃跑吧？
Sub1_Dimael_1_3_7,这是我最后一次拜托你。
Sub1_Dimael_1_3_8,连我父母亲都死了。
Sub1_Dimael_1_3_9,现在只剩下你和我妹妹而已。
Sub1_Dimael_1_3_10,那你要怎么办呢？！
Sub1_Dimael_1_3_11,拜托快点走！反正凭你目前的状况根本就无法战斗！！
Sub1_Dimael_1_3_12,...
Sub1_Dimael_1_3_13,我先和爱碧嘉夜一起前往要塞。
Sub1_Dimael_1_3_14,你一定要活着回来。
Sub1_Dimael_1_4_1,呵呵...装模作样后的下场真是狼狈。
Sub1_Dimael_1_4_2,...哈哈哈，真是有趣。
Sub1_Dimael_1_4_3,原来低等种族当中也有人具备这种力量，
Sub1_Dimael_1_4_4,不过输赢早就决定好了。
Sub1_Dimael_1_4_5,别说...废话了...
Sub1_Dimael_1_4_6,呵呵... 你这种死撑活撑的顽固个性...我喜欢。
Sub1_Dimael_1_4_7,我对于执着且狠心的家伙倒是挺尊重的。
Sub1_Dimael_1_4_8,特别是像你这种家伙更是如此，呵呵呵。
Sub1_Dimael_1_4_9,明明已经死到临头了...
Sub1_Dimael_1_4_10,...？！！
Sub1_Dimael_1_4_11,啧啧...你到底对我的身体做了什么？！
Sub1_Dimael_1_4_12,我只是对你奉献的死亡送上回礼。
Sub1_Dimael_1_4_13,因为你最适合这个礼物，哈哈哈！
Sub1_Dimael_1_4_14,咳咳...咳咳！
Sub1_Dimael_1_4_15,凭借那股执着继续苟延残喘吧。
Sub1_Dimael_1_4_16,祈愿陆地上最终能诞生新的种族，
Sub1_Dimael_1_4_17,那位大人应该会非常满意吧，哈哈哈哈。
Sub1_Dimael_1_4_18,央格文大人，您的旨意...
Sub1_Dimael_1_4_19,臭小子...！
Sub1_Dimael_1_4_20,你到底在做什么......
Sub1_Dimael_2_1_1,哥哥...哥哥！
Sub1_Dimael_2_1_2,爱碧嘉夜，妳在哪里？！
Sub1_Dimael_2_1_3,快来救救我，哥哥，四周一片漆黑。
Sub1_Dimael_2_1_4,爱碧嘉夜！
Sub1_Dimael_2_1_5,哥哥，我在这边。
Sub1_Dimael_2_1_6,呜...是梦吗...
Sub1_Dimael_2_1_7,看来...我还活着。
Sub1_Dimael_2_1_8,我还活着...！
Sub1_Dimael_2_1_9,爱碧嘉夜..！
Sub1_Dimael_2_1_10,哥哥我还活着。
Sub1_Dimael_2_1_11,请一定要活下去...
Sub1_Dimael_2_1_12,罗兰大人，我观察过周围了，阿罗维纳果然也遇难了。
