KEY,"English"
Sub1_Dimael_1_1_1,"That humiliating day a hundred years ago."
Sub1_Dimael_1_1_2,"It's a memory that I can never forget, that I should never forget. \n"
Sub1_Dimael_1_1_3,"The world was dead quiet, and everything was falling apart."
Sub1_Dimael_1_1_4,"Having shut ourselves off from the rest of the world, there was no one to help us."
Sub1_Dimael_1_1_5,"Their blades even struck the hearts of my parents."
Sub1_Dimael_1_1_6,"That day, we lost completely."
Sub1_Dimael_1_1_7,"Dimael, we don't have time! We'll all get killed at this rate."
Sub1_Dimael_1_1_8,"We have to move to the Fortress!"
Sub1_Dimael_1_1_9,"Go ahead."
Sub1_Dimael_1_1_10,"I'll buy you some time."
Sub1_Dimael_1_1_11,"This is too much!"
Sub1_Dimael_1_1_12,"We'd better get out of here with those who haven't left yet!"
Sub1_Dimael_1_1_13,"No! Someone has to defend the entrance to the Fortress, or the enemies will rush in as well!"
Sub1_Dimael_1_1_14,"Listen to me! You'll get killed!"
Sub1_Dimael_1_1_15,"If I'm going to die, I'm going to die with these scumbags who killed my parents!"
Sub1_Dimael_1_1_16,"You stubborn bastard!"
Sub1_Dimael_1_1_17,"Then I'm staying, too. I'm not leaving you behind."
Sub1_Dimael_1_1_18,"I said, go!"
Sub1_Dimael_1_2_1,"You won't move a single step past me."
Sub1_Dimael_1_2_2,"Ah, what a fearless man."
Sub1_Dimael_1_2_3,"Your courage is impressive. I'll let you live. Step aside."
Sub1_Dimael_1_2_4,"Shut your filthy mouth and just bring it on!"
Sub1_Dimael_1_2_5,"*Chuckle* You look like a wreck and crave for death."
Sub1_Dimael_1_2_6,"The Dark Elves refuse to succumb to monsters like you."
Sub1_Dimael_1_2_7,"Foolish... Don't you see that the world is about to bow down to Angmund?"
Sub1_Dimael_1_2_8,"You traitors turned your backs on the light and hid in the shadows."
Sub1_Dimael_1_2_9,"Submit to the darkness and follow its laws."
Sub1_Dimael_1_2_10,"Welcome the sight of the world being tainted by evil."
Sub1_Dimael_1_3_1,"Ugh..."
Sub1_Dimael_1_3_2,"Stop struggling. Only death awaits you in your future."
Sub1_Dimael_1_3_3,"Open the path."
Sub1_Dimael_1_3_4,"Take care of Epigael."
Sub1_Dimael_1_3_5,"What are you saying?"
Sub1_Dimael_1_3_6,"Don't tell me to run out on you. I didn't come all this way, just to do that."
Sub1_Dimael_1_3_7,"This is my final wish."
Sub1_Dimael_1_3_8,"I lost my parents."
Sub1_Dimael_1_3_9,"I can't lose you or my sister."
Sub1_Dimael_1_3_10,"But what about you!?"
Sub1_Dimael_1_3_11,"Please go! You're too battered to fight, anyway!"
Sub1_Dimael_1_3_12,"....."
Sub1_Dimael_1_3_13,"I'll take Epigael to the Fortress."
Sub1_Dimael_1_3_14,"Come back in one piece."
Sub1_Dimael_1_4_1,"Khhh... That's what you get for talking big."
Sub1_Dimael_1_4_2,".... Mwa hah hah! How interesting!"
Sub1_Dimael_1_4_3,"I didn't know there was such a strong warrior among the inferiors."
Sub1_Dimael_1_4_4,"But you still lost. That doesn't change."
Sub1_Dimael_1_4_5,"Shut... up..."
Sub1_Dimael_1_4_6,"*Chuckle* You're tenacious, I'll give you that."
Sub1_Dimael_1_4_7,"I have a high regard for those who won't give up."
Sub1_Dimael_1_4_8,"Like you. *Chuckle*"
Sub1_Dimael_1_4_9,"You're dying..."
Sub1_Dimael_1_4_10,".....?!!!"
Sub1_Dimael_1_4_11,"Ugh! What on earth have you done to me!?"
