KEY,"French"
Sub1_Dimael_1_1_1,"Cette journée d'humiliation, il y a cent ans de cela."
Sub1_Dimael_1_1_2,"Un souvenir que je ne pourrai, que je ne dois jamais oublier. \n"
Sub1_Dimael_1_1_3,"Un silence de mort régnait. Le monde s'était effondré."
Sub1_Dimael_1_1_4,"Nous nous étions coupés du monde, personne n'allait venir nous aider."
Sub1_Dimael_1_1_5,"Leurs lames ont percé le cœur de mes parents."
Sub1_Dimael_1_1_6,"Ce jour-là, nous avons été terrassés."
Sub1_Dimael_1_1_7,"Dimael, on n'a pas le temps pour ça ! On va tous se faire tuer si ça continue comme ça !"
Sub1_Dimael_1_1_8,"Il faut qu'on se réfugie à la forteresse !"
Sub1_Dimael_1_1_9,"Partez devant."
Sub1_Dimael_1_1_10,"Je vais les retenir."
Sub1_Dimael_1_1_11,"Ils sont trop nombreux !"
Sub1_Dimael_1_1_12,"On ferait mieux de filer d'ici avec ceux qui n'ont pas encore fui !"
Sub1_Dimael_1_1_13,"Non ! Il faut que quelqu'un défende l'accès à la forteresse, ou l'ennemi finira par y pénétrer aussi !"
Sub1_Dimael_1_1_14,"Écoute-moi un peu ! Tu vas te faire tuer !"
Sub1_Dimael_1_1_15,"Si je dois mourir, alors les salauds qui ont assassiné mes parents m'accompagneront en enfer !"
Sub1_Dimael_1_1_16,"Espèce d'imbécile obstiné !"
Sub1_Dimael_1_1_17,"Si c'est comme ça, je reste. Pas question que je t'abandonne."
Sub1_Dimael_1_1_18,"Je t'ai dit de filer !"
Sub1_Dimael_1_2_1,"Tu n'iras pas plus loin."
Sub1_Dimael_1_2_2,"Ah, quelle bravoure !"
Sub1_Dimael_1_2_3,"Ton courage est admirable. Écarte-toi et tu auras la vie sauve."
Sub1_Dimael_1_2_4,"Boucle-la, charogne, et viens te battre !"
Sub1_Dimael_1_2_5,"*Hin hin* Tu n'es qu'une loque qui cherche à en finir avec la vie."
Sub1_Dimael_1_2_6,"Les elfes noirs ne succomberont jamais face à des monstres tels que toi."
Sub1_Dimael_1_2_7,"Imbécile... Ne vois-tu pas que le monde s'agenouillera bientôt devant Angmund ?"
Sub1_Dimael_1_2_8,"Vous avez renié la lumière pour vous réfugier dans l'ombre."
Sub1_Dimael_1_2_9,"Maintenant, soumettez-vous et obéissez aux ténèbres."
Sub1_Dimael_1_2_10,"Réjouissez-vous de voir le monde souillé par le mal."
Sub1_Dimael_1_3_1,"Argh..."
Sub1_Dimael_1_3_2,"Cesse de te débattre. Seule la mort t'attend."
Sub1_Dimael_1_3_3,"Ouvre-nous la voie."
Sub1_Dimael_1_3_4,"Prends soin d'Epigael."
Sub1_Dimael_1_3_5,"Que veux-tu dire ?"
Sub1_Dimael_1_3_6,"Je ne peux pas t'abandonner. Je n'ai pas fait tout ce chemin pour ça."
Sub1_Dimael_1_3_7,"C'est mon ultime vœu."
Sub1_Dimael_1_3_8,"J'ai déjà perdu mes parents."
Sub1_Dimael_1_3_9,"Je ne peux pas vous perdre, toi ou ma sœur."
Sub1_Dimael_1_3_10,"Mais qu'est-ce qui va t'arriver ?"
Sub1_Dimael_1_3_11,"Pars ! De toute façon, tu n'es pas en état de te battre !"
Sub1_Dimael_1_3_12,"..."
Sub1_Dimael_1_3_13,"Je vais conduire Epigael à la forteresse."
Sub1_Dimael_1_3_14,"Mais reviens-nous en un seul morceau."
Sub1_Dimael_1_4_1,"Tss... Voilà ce qui se passe quand on se surestime."
Sub1_Dimael_1_4_2,"Ah ah ah ! Intéressant !"
Sub1_Dimael_1_4_3,"Je ne pensais pas trouver un tel guerrier parmi ces créatures inférieures."
Sub1_Dimael_1_4_4,"Mais tu as beau être fort, tu as perdu."
Sub1_Dimael_1_4_5,"Ferme... là..."
Sub1_Dimael_1_4_6,"*Hin hin* Pour être tenace, tu es tenace."
Sub1_Dimael_1_4_7,"J'ai beaucoup d'estime pour ceux qui ne baissent pas les bras."
Sub1_Dimael_1_4_8,"Comme toi. *Hin hin*"
Sub1_Dimael_1_4_9,"Ta mort est imminente..."
Sub1_Dimael_1_4_10,"... !"
Sub1_Dimael_1_4_11,"Argh ! Qu'est-ce que tu m'as fait ?"
Sub1_Dimael_1_4_12,"C'est ta récompense pour m'avoir tué."
Sub1_Dimael_1_4_13,"Ce cadeau te revient plus qu'à quiconque. Ah ah ah !"
Sub1_Dimael_1_4_14,"*Kof kof*"
Sub1_Dimael_1_4_15,"Utilise cette ténacité pour rester en vie."
Sub1_Dimael_1_4_16,"Deviens la source d'une nouvelle espèce qui peuplera ce monde."
Sub1_Dimael_1_4_17,"Il devrait être heureux de voir ce que tu vas devenir. Ah ah ah !"
Sub1_Dimael_1_4_18,"Ô, Angmund, c'est ainsi que j'accomplis ta volonté..."
Sub1_Dimael_1_4_19,"Charogne !"
Sub1_Dimael_1_4_20,"Que m'as-tu fa... fait..."
Sub1_Dimael_2_1_1,"Dimael ! Dimael !"
Sub1_Dimael_2_1_2,"Epigael, où es-tu ?"
Sub1_Dimael_2_1_3,"Dimael, aide-moi. Il fait trop sombre."
Sub1_Dimael_2_1_4,"Epigael !"
Sub1_Dimael_2_1_5,"Dimael, je suis là !"
Sub1_Dimael_2_1_6,"Ah... C'est un rêve ?"
