KEY,German
Sub1_Dimael_1_1_1,Jener erniedrigende Tag vor einhundert Jahren.
Sub1_Dimael_1_1_2,"Diese Erinnerung kann ich nie vergessen, sollte ich nie vergessen. \n"
Sub1_Dimael_1_1_3,"Die Welt war totenstill, und alles zerfiel."
Sub1_Dimael_1_1_4,"Da wir uns vom Rest der Welt isoliert hatten, gab es niemanden, der uns helfen konnte."
Sub1_Dimael_1_1_5,Ihre Klingen trafen sogar die Herzen meiner Eltern.
Sub1_Dimael_1_1_6,An jenem Tag erlitten wir eine vollständige Niederlage.
Sub1_Dimael_1_1_7,"Dimael, wir haben keine Zeit! Wenn das so weitergeht, werden wir alle sterben."
Sub1_Dimael_1_1_8,Wir müssen zur Festung!
Sub1_Dimael_1_1_9,Geh schon einmal vor.
Sub1_Dimael_1_1_10,Ich verschaffe dir ein wenig Zeit.
Sub1_Dimael_1_1_11,Bist du des Wahnsinns?
Sub1_Dimael_1_1_12,"Wir sollten lieber jetzt mit allen fliehen, die noch hier sind!"
Sub1_Dimael_1_1_13,"Nein! Jemand muss den Eingang zur Festung verteidigen, ansonsten werden die Feinde eindringen!"
Sub1_Dimael_1_1_14,Hör mir doch zu! Das wird dein Ende sein!
Sub1_Dimael_1_1_15,"Wenn ich sterbe, dann wird der Abschaum, der meine Eltern getötet hat, mit mir untergehen!"
Sub1_Dimael_1_1_16,Du sturer Bastard!
Sub1_Dimael_1_1_17,Dann bleibe ich auch. Ich lasse dich nicht zurück.
Sub1_Dimael_1_1_18,"Du sollst gehen, sag ich!"
Sub1_Dimael_1_2_1,Du wirst keinen einzigen Schritt an mir vorbeikommen.
Sub1_Dimael_1_2_2,"Ah, wie furchtlos."
Sub1_Dimael_1_2_3,Dein Mut ist beeindruckend. Ich lasse dich am Leben. Tritt beiseite.
Sub1_Dimael_1_2_4,"Halt deinen Mund und versuch ruhig, an mir vorbei zu kommen!"
Sub1_Dimael_1_2_5,*Kicher* Du siehst zerschunden aus und sehnst dich nach dem Tod.
Sub1_Dimael_1_2_6,"Die Dunkelelfen weigern sich, sich Monstern wie dir zu ergeben."
Sub1_Dimael_1_2_7,"Närrisch ... Siehst du nicht, dass die Welt kurz davor steht, vor Angmund niederzuknien?"
Sub1_Dimael_1_2_8,Ihr Verräter habt euch vom Licht abgewendet und in den Schatten verborgen.
Sub1_Dimael_1_2_9,Ergib dich der Dunkelheit und folge ihren Gesetzen.
Sub1_Dimael_1_2_10,"Heiße den Anblick der Welt willkommen, wenn diese vom Bösen befleckt ist."
Sub1_Dimael_1_3_1,Argh ...
Sub1_Dimael_1_3_2,"Hör auf, dich zu wehren. Du bist schon so gut wie tot."
Sub1_Dimael_1_3_3,Gib den Weg frei.
Sub1_Dimael_1_3_4,Kümmer dich um Epigael.
Sub1_Dimael_1_3_5,Was redest du da?
Sub1_Dimael_1_3_6,"Sag mir nicht, dass ich dich im Stich lassen soll. Ich bin nicht den ganzen Weg hierhergekommen, um das zu tun."
Sub1_Dimael_1_3_7,Das ist mein letzter Wunsch.
Sub1_Dimael_1_3_8,Ich habe meine Eltern verloren.
Sub1_Dimael_1_3_9,Ich darf nicht auch noch dich oder meine Schwester verlieren.
Sub1_Dimael_1_3_10,Aber was ist mit dir?!
Sub1_Dimael_1_3_11,Bitte geh! Du bist bereits zu angeschlagen und kannst nicht kämpfen!
Sub1_Dimael_1_3_12,...
Sub1_Dimael_1_3_13,Ich bringe Epigael zur Festung.
Sub1_Dimael_1_3_14,"Komm unversehrt zurück, ich bitte dich."
Sub1_Dimael_1_4_1,Khhh ... Das hat man nun von seinem großen Mundwerk.
Sub1_Dimael_1_4_2,... Mwahaha! Wie interessant!
Sub1_Dimael_1_4_3,"Ich wusste nicht, dass sich unter den Unterlegenen solch starke Krieger befinden."
Sub1_Dimael_1_4_4,Aber trotzdem hast du verloren. Es ändert gar nichts.
Sub1_Dimael_1_4_5,Halt ... den Mund ...
Sub1_Dimael_1_4_6,"*Kicher* Du bist hartnäckig, das muss ich dir lassen."
Sub1_Dimael_1_4_7,"Ich habe eine hohe Meinung von Leuten, die nicht aufgeben."
Sub1_Dimael_1_4_8,Wie dir. *Kicher*
Sub1_Dimael_1_4_9,Du stirbst ...
Sub1_Dimael_1_4_10,...?!!!
Sub1_Dimael_1_4_11,Argh! Was zur Hölle hast du mit mir gemacht?!
Sub1_Dimael_1_4_12,"Das ist mein Dank dafür, dass du mich getötet hast."
Sub1_Dimael_1_4_13,Du verdienst dieses Geschenk mehr als jeder andere. Mwahaha!
Sub1_Dimael_1_4_14,"*Hust, hust*"
Sub1_Dimael_1_4_15,Schütze mit deiner sturen Hartnäckigkeit dein Leben.
Sub1_Dimael_1_4_16,"Werde der Ursprung einer neuen Spezies, die die Welt bevölkert."
Sub1_Dimael_1_4_17,"Er wird erfreut sein zu sehen, was aus dir geworden ist. Mwahaha!"
Sub1_Dimael_1_4_18,"Angmund, dies ist meine Art, deinen Willen auszuführen ..."
Sub1_Dimael_1_4_19,Du Bastard!
Sub1_Dimael_1_4_20,Was hast du angestellt mit ...
Sub1_Dimael_2_1_1,Dimael! Dimael!
Sub1_Dimael_2_1_2,"Epigael, wo bist du?"
Sub1_Dimael_2_1_3,"Hilf mir. Hilf mir, Dimael. Es ist zu dunkel."
Sub1_Dimael_2_1_4,Epigael!
Sub1_Dimael_2_1_5,"Dimael, ich bin hier."
Sub1_Dimael_2_1_6,Argh ... Träume ich ...?
Sub1_Dimael_2_1_7,Ich ... bin am Leben.
Sub1_Dimael_2_1_8,Ich bin am Leben – am Leben!
Sub1_Dimael_2_1_9,Epigael!
Sub1_Dimael_2_1_10,Dein Bruder ist am Leben.
Sub1_Dimael_2_1_11,Bitte halte durch. Bitte ...
Sub1_Dimael_2_1_12,"Lorraine, ich habe mich umgesehen. Sie haben auch Arrovina eingenommen."
Sub1_Dimael_2_1_13,Das ist übel.
Sub1_Dimael_2_1_14,"Die Feinde rücken schneller vor, als wir erwartet hatten. Wir müssen uns beeilen."
Sub1_Dimael_2_1_15,"Ich versuche, sie aufzuhalten, damit sie dir nicht mehr in die Quere kommen."
Sub1_Dimael_2_1_16,"Ich mache mir Sorgen, seit ich gesehen habe, was hier passiert ist. Bald wird der gesamte Kontinent von Monstern überrannt sein."
Sub1_Dimael_2_1_17,"Der Plan ist, mit den Überlebenden eine vorübergehende Verteidigungslinie zu bilden."
Sub1_Dimael_2_1_18,"Ich möchte dir folgen und dem Krieger des Heiligen Schwertes dienen,"
Sub1_Dimael_2_1_19,"aber das Wichtigste ist, so viele Leben wie möglich zu retten ... Überlass mir diesen Ort."
Sub1_Dimael_2_1_20,"Ich werde euch in einigen Tagen den Weg zu eurem Ziel freimachen, was es auch kosten mag."
Sub1_Dimael_2_1_21,"Vielen Dank, Prinzessin. Beeilen wir uns."
Sub1_Dimael_2_1_22,Was?!
Sub1_Dimael_2_1_23,Halt! Hier ist ein Überlebender!
Sub1_Dimael_2_1_24,.....?!
Sub1_Dimael_2_1_25,Was ist jetzt wieder? Ist Arrovina wirklich gefallen?
Sub1_Dimael_2_1_26,Tritt beiseite.
Sub1_Dimael_2_1_27,"Wir sind nicht hier, um dich zu verletzen. Es gibt ein paar Leute, die du sehen musst."
Sub1_Dimael_2_1_28,"Hör auf, Unsinn zu reden, und verschwinde von hier!"
Sub1_Dimael_2_1_29,"Aus dem Weg! Epigael ist die einzige, die ich sehen muss!"
Sub1_Dimael_2_1_30,Er hört nicht. Ist auch er der Dunkelheit verfallen?
Sub1_Dimael_2_1_31,"Bindet ihn fest, bevor er wegrennt!"
Sub1_Dimael_2_1_32,"Abschaum, wagt es ja nicht, mich anzufassen!"
Sub1_Dimael_2_1_33,Was geht hier vor?
Sub1_Dimael_2_1_34,"Prinzessin, es gibt hier einen Dunkelelfen, der noch am Leben ist!"
Sub1_Dimael_2_1_35,...!
Sub1_Dimael_2_1_36,"Lorraine, es gibt einen Überlebenden in Arrovina."
Sub1_Dimael_2_1_37,"... Ha, sogar die unerfreulichen Elfen sind hier!"
Sub1_Dimael_2_1_38,"Geh mir aus dem Weg, bevor ich dir was Unerfreuliches antue."
Sub1_Dimael_2_1_39,"So arrogant und wild. Du hast absolut keine Manieren, wie der Rest deines Volks."
Sub1_Dimael_2_1_40,Wir möchten reden.
Sub1_Dimael_2_1_41,Es ist wirklich wichtig.
Sub1_Dimael_2_1_42,Sei still. Ich werde mich nicht wiederholen.
Sub1_Dimael_2_1_43,Verschwindet aus Arrovina!
Sub1_Dimael_2_1_44,"Dunkelelf, bitte beruhige dich. Wir sind nicht hierhergekommen, um zu kämpfen."
Sub1_Dimael_2_1_45,"Wir sind hierhergekommen, um zu helfen."
Sub1_Dimael_2_1_46,Genug von diesem falschen Getue. Geht zurück nach Elidora!
Sub1_Dimael_2_1_47,"Kommt mir noch einmal in die Quere, dann töte ich euch alle!"
Sub1_Dimael_2_1_48,"Du Welpe unreinen Bluts,"
Sub1_Dimael_2_2_1,"wie kannst du es wagen, so mit Lorraine zu sprechen?"
Sub1_Dimael_2_2_2,"Hmpf, nichts, was jemand aus deinem Volk sagt, könnte mich umstimmen."
Sub1_Dimael_2_2_3,"Ich habe es satt, mir euren Unsinn anzuhören. Vielleicht sollte ich es hinter mich bringen und euch alle töten."
Sub1_Dimael_2_2_4,Bitte beruhige dich. Wir sind nicht deine Feinde.
Sub1_Dimael_2_2_5,"Wenn du reden willst, dann geh nach Hause und rede mit deinesgleichen!"
