KEY,"Portuguese"
Sub1_Dimael_1_1_1,"Aquele dia humilhante cem anos atrás."
Sub1_Dimael_1_1_2,"É uma lembrança da qual nunca vou me esquecer, da qual eu nunca deveria me esquecer. \n"
Sub1_Dimael_1_1_3,"O mundo estava em completo silêncio e tudo estava desmoronando."
Sub1_Dimael_1_1_4,"Tínhamos nos desligado do resto mundo e não havia ninguém para nos ajudar."
Sub1_Dimael_1_1_5,"Suas lâminas atingiram até os corações dos meus pais."
Sub1_Dimael_1_1_6,"Nós perdemos feio naquele dia."
Sub1_Dimael_1_1_7,"Dimael, não temos tempo! Desse jeito, vamos todos morrer."
Sub1_Dimael_1_1_8,"Temos que ir para a Fortaleza!"
Sub1_Dimael_1_1_9,"Vá em frente."
Sub1_Dimael_1_1_10,"Vou ganhar tempo."
Sub1_Dimael_1_1_11,"Não está dando!"
Sub1_Dimael_1_1_12,"É melhor sairmos daqui com aqueles que ainda não partiram!"
Sub1_Dimael_1_1_13,"Não! Alguém precisa defender a entrada da Fortaleza, senão os inimigos vão invadir também!"
Sub1_Dimael_1_1_14,"Me escuta! Você vai acabar morrendo!"
Sub1_Dimael_1_1_15,"Se for para eu morrer, vou morrer junto com esses canalhas que mataram os meus pais!"
Sub1_Dimael_1_1_16,"Seu teimoso maldito!"
Sub1_Dimael_1_1_17,"Então eu vou ficar também. Não vou deixar você para trás."
Sub1_Dimael_1_1_18,"Eu disse para você ir!"
Sub1_Dimael_1_2_1,"Você não vai passar por mim."
Sub1_Dimael_1_2_2,"Ah, que homem destemido."
Sub1_Dimael_1_2_3,"A sua coragem é impressionante. Vou permitir que você viva. Saia da frente."
Sub1_Dimael_1_2_4,"Cale essa boca imunda e cai dentro!"
Sub1_Dimael_1_2_5,"*Risada* Você está um caco e está querendo morrer."
Sub1_Dimael_1_2_6,"Os Elfos Sombrios se recusam a se render a monstros como você."
Sub1_Dimael_1_2_7,"Tolo... Não percebe que o mundo está prestes a se curvar perante Angmund?"
Sub1_Dimael_1_2_8,"Vocês, traidores, deram as costas para a Luz e se esconderam nas sombras."
Sub1_Dimael_1_2_9,"Entregue-se à Escuridão e obedeça às suas leis."
Sub1_Dimael_1_2_10,"Boas-vindas à cena do mundo sendo corrompido pelo mal."
Sub1_Dimael_1_3_1,"Argh..."
Sub1_Dimael_1_3_2,"Pare de se debater. Seu futuro não lhe reserva nada além da morte."
Sub1_Dimael_1_3_3,"Abra o caminho."
Sub1_Dimael_1_3_4,"Cuide da Epigael."
Sub1_Dimael_1_3_5,"O que você está dizendo?"
Sub1_Dimael_1_3_6,"Não me diga para deixar você aqui. Eu não cheguei até aqui para fazer isso."
Sub1_Dimael_1_3_7,"Este é o meu último desejo."
Sub1_Dimael_1_3_8,"Já perdi meus pais."
Sub1_Dimael_1_3_9,"Não posso perder você ou a minha irmã."
Sub1_Dimael_1_3_10,"Mas e você!?"
Sub1_Dimael_1_3_11,"Por favor, vá! De qualquer maneira, você está ferido demais para lutar!"
Sub1_Dimael_1_3_12,"....."
Sub1_Dimael_1_3_13,"Vou levar a Epigael para a Fortaleza."
Sub1_Dimael_1_3_14,"Vê se volta inteiro."
Sub1_Dimael_1_4_1,"Ah... É isso que dá ficar se gabando."
Sub1_Dimael_1_4_2,"... Muahaha! Que interessante!"
Sub1_Dimael_1_4_3,"Não sabia que existia um guerreiro tão forte dentre os seres inferiores."
Sub1_Dimael_1_4_4,"Mas você continua tendo perdido. Isso não muda."
Sub1_Dimael_1_4_5,"Cale... a boca..."
Sub1_Dimael_1_4_6,"*Risada* Admito que você é tenaz."
Sub1_Dimael_1_4_7,"Admiro pessoas que não desistem."
Sub1_Dimael_1_4_8,"Como você. *Risada*"
Sub1_Dimael_1_4_9,"Você está morrendo..."
Sub1_Dimael_1_4_10,"...?!!!"
Sub1_Dimael_1_4_11,"Argh! O que raios você fez comigo!?"
Sub1_Dimael_1_4_12,"É o meu jeito de lhe agradecer por me matar."
Sub1_Dimael_1_4_13,"Você merece este presente mais do que ninguém. Muahaha!"
Sub1_Dimael_1_4_14,"*Cof cof*"
Sub1_Dimael_1_4_15,"Proteja a sua vida com aquela sua tenacidade."
Sub1_Dimael_1_4_16,"Torne-se a origem de uma nova espécie que populará o mundo."
Sub1_Dimael_1_4_17,"Ele gostará de ver o que você se tornará. Muahaha!"
Sub1_Dimael_1_4_18,"Angmund, este é o meu jeito de fazer a sua vontade..."
Sub1_Dimael_1_4_19,"Seu canalha!"
Sub1_Dimael_1_4_20,"O que você fez... para..."
Sub1_Dimael_2_1_1,"Dimael! Dimael!"
Sub1_Dimael_2_1_2,"Epigael, cadê você?"
Sub1_Dimael_2_1_3,"Dimael, me ajude, me ajude. Está escuro demais."
Sub1_Dimael_2_1_4,"Epigael!"
Sub1_Dimael_2_1_5,"Dimael, estou aqui."
Sub1_Dimael_2_1_6,"Argh... Será que estou sonhando...?"
Sub1_Dimael_2_1_7,"Estou... vivo."
Sub1_Dimael_2_1_8,"Estou vivo–vivo!"
