KEY,Russian
Sub1_Dimael_1_1_1,Сто лет прошло с того ужасного дня.
Sub1_Dimael_1_1_2,"Но я до сих пор его помню, и я не должен о нем забывать. \n"
Sub1_Dimael_1_1_3,"Все вокруг погрузилось в мертвую тишину, привычной жизни наступал конец."
Sub1_Dimael_1_1_4,"Мы сами отгородились от остального мира, не было никого, кто мог бы нам помочь."
Sub1_Dimael_1_1_5,Они даже не пощадили моих родителей.
Sub1_Dimael_1_1_6,В тот день мы потерпели сокрушительное поражение.
Sub1_Dimael_1_1_7,"Тимаэль, времени мало! Если так пойдет и дальше, мы все погибнем."
Sub1_Dimael_1_1_8,Нам нужно укрыться в крепости!
Sub1_Dimael_1_1_9,Идите.
Sub1_Dimael_1_1_10,Я выиграю для вас немного времени.
Sub1_Dimael_1_1_11,Ну уж нет!
Sub1_Dimael_1_1_12,"Мы соберем всех, кто еще остался, и уберемся отсюда!"
Sub1_Dimael_1_1_13,"Нет! Кто-то должен защищать вход в крепость, иначе враги прорвутся внутрь!"
Sub1_Dimael_1_1_14,Послушай! Тебя же убьют!
Sub1_Dimael_1_1_15,"Если мне суждено умереть, я умру вместе с тварями, которые убили моих родителей!"
Sub1_Dimael_1_1_16,Вот ты упрямый!
Sub1_Dimael_1_1_17,Тогда я тоже остаюсь. Я не брошу тебя здесь одного.
Sub1_Dimael_1_1_18,"Я сказал, иди!"
Sub1_Dimael_1_2_1,"Ты дальше не пройдешь, пока я жив."
Sub1_Dimael_1_2_2,"О, каков храбрец."
Sub1_Dimael_1_2_3,"Твоя смелость впечатляет. Пожалуй, я оставлю тебя в живых. Только отступи."
Sub1_Dimael_1_2_4,"Кончай болтать и покажи, чего ты стоишь!"
Sub1_Dimael_1_2_5,"Ха-ха. Выглядишь ты грозно, и явно ищешь смерти."
Sub1_Dimael_1_2_6,"Темные эльфы никогда не будут служить такому монстру, как ты."
Sub1_Dimael_1_2_7,"Как глупо... Разве ты не видишь, что весь мир скоро склонится перед Ангмундом?"
Sub1_Dimael_1_2_8,"Вы же отступники, которые отвернулись от света и спрятались в тенях."
Sub1_Dimael_1_2_9,Так покоритесь тьме и живите по ее законам.
Sub1_Dimael_1_2_10,"Возрадуйтесь миру, оскверненному злом."
Sub1_Dimael_1_3_1,Уф...
Sub1_Dimael_1_3_2,Сопротивляться бесполезно. Ты только приблизишь свою смерть.
Sub1_Dimael_1_3_3,Уйди с дороги.
Sub1_Dimael_1_3_4,Позаботься об Эфикаэль.
Sub1_Dimael_1_3_5,Что ты задумал?
Sub1_Dimael_1_3_6,"Ты же не хочешь, чтобы я просто сбежал? Не за тем я прошел весь этот путь."
Sub1_Dimael_1_3_7,Это мое последнее желание.
Sub1_Dimael_1_3_8,Я уже потерял родителей.
Sub1_Dimael_1_3_9,Я не могу потерять тебя или сестру.
Sub1_Dimael_1_3_10,Но что будет с тобой?!
Sub1_Dimael_1_3_11,"Уходи, прошу! И ты слишком изранен, чтобы сражаться!"
Sub1_Dimael_1_3_12,...
Sub1_Dimael_1_3_13,Мы укроемся с Эфикаэль в крепости.
Sub1_Dimael_1_3_14,Возвращайся целым и невредимым.
Sub1_Dimael_1_4_1,Вот так... Чрезмерная самоуверенность наказуема.
Sub1_Dimael_1_4_2,Ха-ха! Поразительно!
Sub1_Dimael_1_4_3,"Кто бы мог подумать, что среди низших существ есть такой могучий воин."
Sub1_Dimael_1_4_4,Но ты все равно проиграл. Что на это скажешь?
Sub1_Dimael_1_4_5,Не... пойти бы тебе...
Sub1_Dimael_1_4_6,"Ха-ха. Отдаю тебе должное, ты крепкий парень."
Sub1_Dimael_1_4_7,"Уважаю тех, кто никогда не сдается."
Sub1_Dimael_1_4_8,"Таких, как ты. Ха-ха."
Sub1_Dimael_1_4_9,Твой конец уже близко...
Sub1_Dimael_1_4_10,Что?!
Sub1_Dimael_1_4_11,Ох! Что со мной происходит?!
Sub1_Dimael_1_4_12,Это награда тебе за мою смерть.
Sub1_Dimael_1_4_13,Только ты смог ее заслужить. А-ха-ха!
Sub1_Dimael_1_4_14,Кхе-кхе...
Sub1_Dimael_1_4_15,Пусть твоя стойкость поможет тебе выжить.
Sub1_Dimael_1_4_16,"Стань родоначальником нового вида, который наводнит этот мир."
Sub1_Dimael_1_4_17,"Он будет очень доволен, когда увидит, кем ты стал. А-ха-ха!"
Sub1_Dimael_1_4_18,"Ангмунд, так или иначе я исполню твою волю..."
Sub1_Dimael_1_4_19,Ах ты тварь!
Sub1_Dimael_1_4_20,Что ты со мной...
Sub1_Dimael_2_1_1,Тимаэль! Тимаэль!
Sub1_Dimael_2_1_2,"Эфикаэль, ты где?"
Sub1_Dimael_2_1_3,"Помоги. Помоги мне, Тимаэль. Здесь слишком темно."
Sub1_Dimael_2_1_4,Эфикаэль!
Sub1_Dimael_2_1_5,"Тимаэль, я здесь."
Sub1_Dimael_2_1_6,Хм... Я брежу?
Sub1_Dimael_2_1_7,Я... жив.
Sub1_Dimael_2_1_8,Я жив? Жив!
Sub1_Dimael_2_1_9,Эфикаэль!
Sub1_Dimael_2_1_10,Твой брат жив.
Sub1_Dimael_2_1_11,Держись сестра. Прошу...
Sub1_Dimael_2_1_12,"Лорейн, я разведала обстановку. Аравина уже пала."
Sub1_Dimael_2_1_13,Плохо дело.
Sub1_Dimael_2_1_14,"Враг наступает гораздо быстрее, чем мы предполагали. Нужно поспешить."
Sub1_Dimael_2_1_15,"Постараюсь не подпускать их к тебе, чтобы не было, как в прошлый раз."
Sub1_Dimael_2_1_16,"Все это меня очень беспокоит. Учитывая происходящее, эти монстры скоро захватят весь континент."
Sub1_Dimael_2_1_17,"Все, что мы пока можем сделать, – сформировать временную линию обороны из тех, кто уцелел."
Sub1_Dimael_2_1_18,"Я бы хотела последовать за вами и помогать воину Священного меча,"
Sub1_Dimael_2_1_19,но если самое важное сейчас – сохранить как можно больше жизней... Я пока останусь здесь.
Sub1_Dimael_2_1_20,"Через несколько дней я расчищу нам дорогу, чего бы мне это ни стоило."
Sub1_Dimael_2_1_21,"Спасибо, принцесса. Нужно торопиться."
Sub1_Dimael_2_1_22,Что?!
Sub1_Dimael_2_1_23,Смотрите! Здесь выживший!
Sub1_Dimael_2_1_24,Э?!
Sub1_Dimael_2_1_25,Что такое? Неужели Аравина пала?
Sub1_Dimael_2_1_26,Уйдите с дороги.
Sub1_Dimael_2_1_27,Мы не причиним тебе зла. Здесь кое-кто хочет с тобой увидеться.
Sub1_Dimael_2_1_28,"Хватит нести чушь, просто проваливайте отсюда!"
Sub1_Dimael_2_1_29,Убирайтесь! Я хочу видеть только Эфикаэль!
Sub1_Dimael_2_1_30,Он не слушает. Его тоже поглотила тьма?
Sub1_Dimael_2_1_31,"Свяжите его, пока он не сбежал!"
Sub1_Dimael_2_1_32,Только попробуйте меня тронуть!
